 INPUT STRING:	بثينة
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it

 INPUT STRING:	تحط
     IS_TRANS:	tHT
        INDEX:	P15W12
      OFFSETS:	58-61
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(tiHuT~)
          POS:	IV3FS+IV
          VOC:	ti+HuT~
        GLOSS:	it/they/she+put

 INPUT STRING:	لسانها
     IS_TRANS:	lsAnhA
        INDEX:	P15W13
      OFFSETS:	62-68
       TOKENS:	P15W17-P15W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lisAn_1]
   UNSPLITVOC:	(lisAnhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	lisAn+hA
        GLOSS:	tongue+its/their/her

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P15W14
      OFFSETS:	69-71
       TOKENS:	P15W19-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بقها
     IS_TRANS:	bqhA
        INDEX:	P15W15
      OFFSETS:	72-76
       TOKENS:	P15W20-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buq~_1]
   UNSPLITVOC:	(buq~ahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	buq~+hA
        GLOSS:	mouth+its/their/her

 INPUT STRING:	وتسكت
     IS_TRANS:	wtskt
        INDEX:	P15W16
      OFFSETS:	77-82
       TOKENS:	P15W22-P15W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sakat_1]
   UNSPLITVOC:	(witusokut)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+tu+sokut
        GLOSS:	and+it/they/she+silence/pacify

 INPUT STRING:	محش
     IS_TRANS:	mH$
        INDEX:	P15W17
      OFFSETS:	83-86
       TOKENS:	P15W24-P15W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mH$)
          POS:	TYPO
          VOC:	mH$
        GLOSS:	nogloss

 INPUT STRING:	طلب
     IS_TRANS:	Tlb
        INDEX:	P15W18
      OFFSETS:	87-90
       TOKENS:	P15W25-P15W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Talab_1]
   UNSPLITVOC:	(Talab)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Talab+(null)
        GLOSS:	request+he/it

 INPUT STRING:	منها
     IS_TRANS:	mnhA
        INDEX:	P15W19
      OFFSETS:	91-95
       TOKENS:	P15W26-P15W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhA)
          POS:	PREP+PRON_3FS
          VOC:	min+hA
        GLOSS:	fromit/them/her+gloss

 INPUT STRING:	تجبلنا
     IS_TRANS:	tjblnA
        INDEX:	P15W20
      OFFSETS:	96-102
       TOKENS:	P15W28-P15W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(tijib_linA)
          POS:	IV3FS+IV+PREP+PRON_1P
          VOC:	ti+jib+li+nA
        GLOSS:	it/they/she+bring+to/for+us

 INPUT STRING:	حقوقنا
     IS_TRANS:	HqwqnA
        INDEX:	P15W21
      OFFSETS:	103-109
       TOKENS:	P15W31-P15W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(HuquwqnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Huquwq+nA
        GLOSS:	right, prerogative, truth+our

 INPUT STRING:	وتحررنا
     IS_TRANS:	wtHrrnA
        INDEX:	P15W22
      OFFSETS:	110-117
       TOKENS:	P15W33-P15W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Har~ar_1]
   UNSPLITVOC:	(witHar~arnA)
          POS:	CONJ+IV3FS+IV+IVSUFF_DO:1P
          VOC:	wi+t+Har~ar+nA
        GLOSS:	and+it/they/she+make free/fr+us

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P15W23
      OFFSETS:	118-120
       TOKENS:	P15W36-P15W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P15W24
      OFFSETS:	121-124
       TOKENS:	P15W37-P15W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	بالظبط
     IS_TRANS:	bAlZbT
        INDEX:	P15W25
      OFFSETS:	125-131
       TOKENS:	P15W38-P15W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZaboT_1]
   UNSPLITVOC:	(biAlZ~aboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ZaboT
        GLOSS:	with/by+the+adjusting/regulating/precision

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P15W26
      OFFSETS:	132-136
       TOKENS:	P15W40-P15W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	جوارى
     IS_TRANS:	jwArY
        INDEX:	P15W27
      OFFSETS:	137-142
       TOKENS:	P15W41-P15W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAroyap_1]
   UNSPLITVOC:	(jawAriy)
          POS:	NOUN
          VOC:	jawAriy
        GLOSS:	maids

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P15W28
      OFFSETS:	143-145
       TOKENS:	P15W42-P15W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	emphasis

 INPUT STRING:	حنا
     IS_TRANS:	HnA
        INDEX:	P15W29
      OFFSETS:	146-149
       TOKENS:	P15W43-P15W43
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(HnA)
          POS:	TYPO
          VOC:	HnA
        GLOSS:	nogloss

 INPUT STRING:	احرار
     IS_TRANS:	AHrAr
        INDEX:	P15W30
      OFFSETS:	150-155
       TOKENS:	P15W44-P15W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~_1]
   UNSPLITVOC:	(AHorAr)
          POS:	ADJ
          VOC:	AHorAr
        GLOSS:	free/independent

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P15W31
      OFFSETS:	156-159
       TOKENS:	P15W45-P15W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuw~a)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	this+it/he

 INPUT STRING:	هنتحرر
     IS_TRANS:	hntHrr
        INDEX:	P16W1
      OFFSETS:	0-6
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHar~ar_1]
   UNSPLITVOC:	(HanitoHar~ar)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+toHar~ar
        GLOSS:	will+we+be liberated

 INPUT STRING:	نروح
     IS_TRANS:	nrwH
        INDEX:	P16W2
      OFFSETS:	7-11
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(niruwH)
          POS:	IV1P+IV
          VOC:	ni+ruwH
        GLOSS:	we+go

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P16W3
      OFFSETS:	12-15
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fayon_1]
   UNSPLITVOC:	(fayon)
          POS:	INTERROG_ADV
          VOC:	fayon
        GLOSS:	where?

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	هيحررونا
     IS_TRANS:	hyHrrwnA
        INDEX:	P17W2
      OFFSETS:	4-12
       TOKENS:	P17W2-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHar~ar_1]
   UNSPLITVOC:	(HayiHar~aruwAnA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:1P
          VOC:	Ha+yi+Har~ar+uwA+nA
        GLOSS:	will+they+be liberated/be free+[masc.pl.]+us

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P17W3
      OFFSETS:	13-15
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P17W4
      OFFSETS:	16-19
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what?

 INPUT STRING:	الواحده
     IS_TRANS:	AlwAHdh
        INDEX:	P18W1
      OFFSETS:	0-7
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(AlwAHodap)
          POS:	DET+NOUN_NUM+NSUFF_FEM_SG
          VOC:	Al+wAHod+ap
        GLOSS:	the+one/someone+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P18W2
      OFFSETS:	8-11
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/that

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P18W3
      OFFSETS:	12-16
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	تستهوى
     IS_TRANS:	tsthwY
        INDEX:	P18W4
      OFFSETS:	17-23
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isthwaY_1]
   UNSPLITVOC:	(tistahwaY)
          POS:	IV3FS+IV
          VOC:	ti+stahwaY
        GLOSS:	it/they/she+catch cold

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P18W5
      OFFSETS:	24-27
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	الشمس
     IS_TRANS:	Al$ms
        INDEX:	P18W6
      OFFSETS:	28-33
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$amos_1]
   UNSPLITVOC:	(Al$~amos)
          POS:	DET+NOUN
          VOC:	Al+$amos
        GLOSS:	the+Sun

 INPUT STRING:	تضرب
     IS_TRANS:	tDrb
        INDEX:	P18W7
      OFFSETS:	34-38
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(tiDorab)
          POS:	IV3FS+IV
          VOC:	ti+Dorab
        GLOSS:	it/they/she+strike/hit/be struck/be hit

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P18W8
      OFFSETS:	39-41
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	دماغها
     IS_TRANS:	dmAghA
        INDEX:	P18W9
      OFFSETS:	42-48
       TOKENS:	P18W9-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimAg_1]
   UNSPLITVOC:	(dimAghA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	dimAg+hA
        GLOSS:	brain/brains+its/their/her

 INPUT STRING:	وترجع
     IS_TRANS:	wtrjE
        INDEX:	P18W10
      OFFSETS:	49-54
       TOKENS:	P18W11-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragaE_1]
   UNSPLITVOC:	(witirojaE)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+rojaE
        GLOSS:	and+it/they/she+return

 INPUT STRING:	للتكييف
     IS_TRANS:	lltkyyf
        INDEX:	P18W11
      OFFSETS:	55-62
       TOKENS:	P18W13-P18W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[takoyiyf_1]
   UNSPLITVOC:	(lilt~akoyiyf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+takoyiyf
        GLOSS:	for/to+the+conditioning/air conditioner

 INPUT STRING:	تحرييييييييييييييييييير
     IS_TRANS:	tHryyyyyyyyyyyyyyyyyyyr
        INDEX:	P19W1
      OFFSETS:	0-23
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHriyr_1]
   UNSPLITVOC:	(taHriyr)
          POS:	NOUN
          VOC:	taHriyr
        GLOSS:	liberation/liberating

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P19W2
      OFFSETS:	24-26
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	تبريييييييييد
     IS_TRANS:	tbryyyyyyyyyd
        INDEX:	P19W3
      OFFSETS:	27-40
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tabriyd_1]
   UNSPLITVOC:	(tabriyd)
          POS:	NOUN
          VOC:	tabriyd
        GLOSS:	Cooling

 INPUT STRING:	بالله
     IS_TRANS:	bAllh
        INDEX:	P20W1
      OFFSETS:	0-5
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(biAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	bi+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	عليكى
     IS_TRANS:	ElykY
        INDEX:	P20W2
      OFFSETS:	6-11
       TOKENS:	P20W3-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykiy)
          POS:	PREP+PRON_2FS
          VOC:	EalaY+ik
        GLOSS:	on/above+you [fem.s.]

 INPUT STRING:	كفيانا
     IS_TRANS:	kfyAnA
        INDEX:	P20W3
      OFFSETS:	12-18
       TOKENS:	P20W5-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kifayap_1]
   UNSPLITVOC:	(kifayAnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	kifay+ap+nA
        GLOSS:	enough+[fem.sg.]+us

 INPUT STRING:	مراءة
     IS_TRANS:	mrA'p
        INDEX:	P20W4
      OFFSETS:	19-24
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mrA'p)
          POS:	TYPO
          VOC:	mrA'p
        GLOSS:	nogloss

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P20W5
      OFFSETS:	25-28
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P21W1
      OFFSETS:	0-4
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يخربيت
     IS_TRANS:	yxrbyt
        INDEX:	P21W2
      OFFSETS:	5-11
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yxrbyt)
          POS:	NO_FUNC
          VOC:	yxrbyt
        GLOSS:	nogloss

 INPUT STRING:	سوزان
     IS_TRANS:	swzAn
        INDEX:	P21W3
      OFFSETS:	12-17
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwzAn_1]
   UNSPLITVOC:	(suwzAn)
          POS:	NOUN_PROP
          VOC:	suwzAn
        GLOSS:	Susan/Suzan/Suzanne

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P21W4
      OFFSETS:	18-22
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whom

 INPUT STRING:	بوظت
     IS_TRANS:	bwZt
        INDEX:	P21W5
      OFFSETS:	23-27
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baw~aZ_1]
   UNSPLITVOC:	(baw~aZit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	baw~aZ+it
        GLOSS:	spoile/corrupt+it/they/she

 INPUT STRING:	الستات
     IS_TRANS:	AlstAt
        INDEX:	P21W6
      OFFSETS:	28-34
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sit~_1]
   UNSPLITVOC:	(Als~it~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+sit~+At
        GLOSS:	the+lady/miss/ladies/misses+[fem.pl.]

 INPUT STRING:	وخلت
     IS_TRANS:	wxlt
        INDEX:	P21W7
      OFFSETS:	35-39
       TOKENS:	P21W7-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(wixal~it)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+xal~+it
        GLOSS:	and+release/evacuate/allow/be released/be evacuated/be allowed+it/they/she

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P21W8
      OFFSETS:	40-42
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	تفكرهم
     IS_TRANS:	tfkrhm
        INDEX:	P21W9
      OFFSETS:	43-49
       TOKENS:	P21W10-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tafkir_1]
   UNSPLITVOC:	(tafkirhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	tafkir+hum
        GLOSS:	thinking/meditation/reflection+their

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P21W10
      OFFSETS:	50-54
       TOKENS:	P21W12-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+it/she/they

 INPUT STRING:	ازاى
     IS_TRANS:	AzAY
        INDEX:	P21W11
      OFFSETS:	55-59
       TOKENS:	P21W14-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	REL_ADV
          VOC:	Aiz~Ay
        GLOSS:	how??

 INPUT STRING:	تتخلص
     IS_TRANS:	ttxlS
        INDEX:	P21W12
      OFFSETS:	60-65
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoxal~aS_1]
   UNSPLITVOC:	(titoxal~aS)
          POS:	IV3FS+IV
          VOC:	ti+toxal~aS
        GLOSS:	it/they/she+get rid of

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P21W13
      OFFSETS:	66-68
       TOKENS:	P21W16-P21W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الزوج
     IS_TRANS:	Alzwj
        INDEX:	P21W14
      OFFSETS:	69-74
       TOKENS:	P21W17-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawj_1]
   UNSPLITVOC:	(Alz~awj)
          POS:	DET+NOUN
          VOC:	Al+zawj
        GLOSS:	the+spouse/husband

 INPUT STRING:	والبيت
     IS_TRANS:	wAlbyt
        INDEX:	P21W15
      OFFSETS:	75-81
       TOKENS:	P21W18-P21W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayt_1]
   UNSPLITVOC:	(wiAlbayt)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+bayt
        GLOSS:	and+the+house/houses

 INPUT STRING:	والاولاد
     IS_TRANS:	wAlAwlAd
        INDEX:	P21W16
      OFFSETS:	82-90
       TOKENS:	P21W20-P21W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(wiAlAwolAd)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+AwolAd
        GLOSS:	and+the+child/son

 INPUT STRING:	وتحط
     IS_TRANS:	wtHT
        INDEX:	P21W17
      OFFSETS:	91-95
       TOKENS:	P21W22-P21W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(witiHuT~)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+HuT~
        GLOSS:	and+it/they/she+put

 INPUT STRING:	راسها
     IS_TRANS:	rAshA
        INDEX:	P21W18
      OFFSETS:	96-101
       TOKENS:	P21W24-P21W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAs_1]
   UNSPLITVOC:	(rAshA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	rAs+hA
        GLOSS:	head/top+its/their/her

