 INPUT STRING:	صحيح
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wADiH_1]
   UNSPLITVOC:	(wADiH)
          POS:	ADJ
          VOC:	wADiH
        GLOSS:	clear/obvious/visible

 INPUT STRING:	وصريح
     IS_TRANS:	wSryH
        INDEX:	P9W21
      OFFSETS:	111-116
       TOKENS:	P9W27-P9W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SariyH_1]
   UNSPLITVOC:	(wiSariyH)
          POS:	CONJ+ADJ
          VOC:	wi+SariyH
        GLOSS:	and+candid/sincere

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	واقفه
     IS_TRANS:	wAqfh
        INDEX:	P10W2
      OFFSETS:	4-9
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqif_1]
   UNSPLITVOC:	(wAqofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	wAqof+ap
        GLOSS:	standing+[fem.sg.]

 INPUT STRING:	تضرب
     IS_TRANS:	tDrb
        INDEX:	P10W3
      OFFSETS:	10-14
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(tiDorab)
          POS:	IV3FS+IV
          VOC:	ti+Dorab
        GLOSS:	it/they/she+strike/hit/be struck/be hit

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P10W4
      OFFSETS:	15-20
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+them

 INPUT STRING:	طوب
     IS_TRANS:	Twb
        INDEX:	P10W5
      OFFSETS:	21-24
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwbap_1]
   UNSPLITVOC:	(Tuwb)
          POS:	NOUN
          VOC:	Tuwb
        GLOSS:	bricks

 INPUT STRING:	ودواليب
     IS_TRANS:	wdwAlyb
        INDEX:	P10W6
      OFFSETS:	25-32
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwlAb_1]
   UNSPLITVOC:	(widawAliyb)
          POS:	CONJ+NOUN
          VOC:	wi+dawAliyb
        GLOSS:	and+wheel/tire/gear/wheels/tires/gears

 INPUT STRING:	ورصاص
     IS_TRANS:	wrSAS
        INDEX:	P10W7
      OFFSETS:	33-38
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruSASap_1]
   UNSPLITVOC:	(wiruSAS)
          POS:	CONJ+NOUN
          VOC:	wi+ruSAS
        GLOSS:	and+bullets

 INPUT STRING:	ويعملو
     IS_TRANS:	wyEmlw
        INDEX:	P10W8
      OFFSETS:	39-45
       TOKENS:	P10W11-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(wiyiEomiluwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+yi+Eomil+uwA
        GLOSS:	and+they+do+[masc.pl.]

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P10W9
      OFFSETS:	46-51
       TOKENS:	P10W13-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+them

 INPUT STRING:	بيبي
     IS_TRANS:	byby
        INDEX:	P10W10
      OFFSETS:	52-56
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baybiy_1]
   UNSPLITVOC:	(baybiy)
          POS:	NOUN
          VOC:	baybiy
        GLOSS:	toilet

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P10W11
      OFFSETS:	57-59
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	فوق
     IS_TRANS:	fwq
        INDEX:	P10W12
      OFFSETS:	60-63
       TOKENS:	P10W17-P10W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawoq_1]
   UNSPLITVOC:	(fawoq)
          POS:	NOUN
          VOC:	fawoq
        GLOSS:	above/over/top/upper part

 INPUT STRING:	المباني
     IS_TRANS:	AlmbAny
        INDEX:	P10W13
      OFFSETS:	64-71
       TOKENS:	P10W18-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabonaY_1]
   UNSPLITVOC:	(AlmabAniy)
          POS:	DET+NOUN
          VOC:	Al+mabAniy
        GLOSS:	the+building/structure

 INPUT STRING:	عاوزهم
     IS_TRANS:	EAwzhm
        INDEX:	P10W14
      OFFSETS:	72-78
       TOKENS:	P10W19-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwizhum)
          POS:	ADJ.VN+PRON_3P
          VOC:	EAwiz+hum
        GLOSS:	wanting/needing+they

 INPUT STRING:	يعملو
     IS_TRANS:	yEmlw
        INDEX:	P10W15
      OFFSETS:	79-84
       TOKENS:	P10W21-P10W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomiluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Eomil+uwA
        GLOSS:	they+do+[masc.pl.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P10W16
      OFFSETS:	85-88
       TOKENS:	P10W22-P10W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>ayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	يتفرجو
     IS_TRANS:	ytfrjw
        INDEX:	P10W17
      OFFSETS:	89-95
       TOKENS:	P10W23-P10W23
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ytfrjw)
          POS:	NO_FUNC
          VOC:	ytfrjw
        GLOSS:	nogloss

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P10W18
      OFFSETS:	96-99
       TOKENS:	P10W24-P10W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	يقولوهم
     IS_TRANS:	yqwlwhm
        INDEX:	P10W19
      OFFSETS:	100-107
       TOKENS:	P10W25-P10W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwllihum)
          POS:	IV3MS+IV+PREP+PRON_3P
          VOC:	yi+quwl+li+hum
        GLOSS:	he/it+said/say/be said/say/(for example)+for/to+them

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P10W20
      OFFSETS:	108-112
       TOKENS:	P10W28-P10W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also/too

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P10W21
      OFFSETS:	113-117
       TOKENS:	P10W29-P10W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also/too

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	انتو
     IS_TRANS:	Antw
        INDEX:	P11W2
      OFFSETS:	4-8
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotuw_1]
   UNSPLITVOC:	(Ainotuw)
          POS:	PRON_2P
          VOC:	Ainotuw
        GLOSS:	you

 INPUT STRING:	بتحللو
     IS_TRANS:	btHllw
        INDEX:	P11W3
      OFFSETS:	9-15
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~il_1]
   UNSPLITVOC:	(bitiHal~aluwA)
          POS:	PROG_PART+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	bi+ti+Hal~al+uwA
        GLOSS:	[present-tense]+you+analyze/dissolve/legalize+[masc.pl.]

 INPUT STRING:	للمجلس
     IS_TRANS:	llmjls
        INDEX:	P11W4
      OFFSETS:	16-22
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(lilmajolis)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+majolis
        GLOSS:	for/to+the+council/board/Majlis

 INPUT STRING:	العسكري
     IS_TRANS:	AlEskry
        INDEX:	P11W5
      OFFSETS:	23-30
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	يقتل
     IS_TRANS:	yqtl
        INDEX:	P11W6
      OFFSETS:	31-35
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatal_1]
   UNSPLITVOC:	(yaqotil)
          POS:	IV3MS+IV
          VOC:	ya+qotil
        GLOSS:	he/it+kill

 INPUT STRING:	فيهم
     IS_TRANS:	fyhm
        INDEX:	P11W7
      OFFSETS:	36-40
       TOKENS:	P11W9-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhum)
          POS:	PREP+PRON_3P
          VOC:	fiy+hum
        GLOSS:	in+them

 INPUT STRING:	وبتحرمو
     IS_TRANS:	wbtHrmw
        INDEX:	P11W8
      OFFSETS:	41-48
       TOKENS:	P11W11-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Har~am_1]
   UNSPLITVOC:	(wibitiHar~amuwA)
          POS:	CONJ+PROG_PART+IV2MS+IV+IVSUFF_DO:3MS
          VOC:	wi+bi+ti+Har~am+uwA
        GLOSS:	and+[present-tense]+you+outlaw/forbid+them

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P11W9
      OFFSETS:	49-54
       TOKENS:	P11W15-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+them

 INPUT STRING:	يدافعو
     IS_TRANS:	ydAfEw
        INDEX:	P11W10
      OFFSETS:	55-61
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfiE_1]
   UNSPLITVOC:	(yidAfoEuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+dAfoE+uwA
        GLOSS:	they+defend+[masc.pl.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P11W11
      OFFSETS:	62-64
       TOKENS:	P11W18-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	نفسهم
     IS_TRANS:	nfshm
        INDEX:	P11W12
      OFFSETS:	65-70
       TOKENS:	P11W19-P11W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafoshum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	nafos+hum
        GLOSS:	same/self/selves+their

 INPUT STRING:	مانا
     IS_TRANS:	mAnA
        INDEX:	P11W13
      OFFSETS:	71-75
       TOKENS:	P11W21-P11W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anA_1]
   UNSPLITVOC:	(ma>anA)
          POS:	PART+PRON_1S
          VOC:	ma+>anA
        GLOSS:	[part.]+I

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P11W14
      OFFSETS:	76-80
       TOKENS:	P11W23-P11W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	اجبلك
     IS_TRANS:	Ajblk
        INDEX:	P11W15
      OFFSETS:	81-86
       TOKENS:	P11W24-P11W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(Aajib_lik)
          POS:	IV1S+IV+PREP+PRON_2FS
          VOC:	Aa+jib+li+ik
        GLOSS:	I+explore/traverse+to/for+you

 INPUT STRING:	ميت
     IS_TRANS:	myt
        INDEX:	P11W16
      OFFSETS:	87-90
       TOKENS:	P11W27-P11W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miy~ap_1]
   UNSPLITVOC:	(miy~it)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	miy~+ap
        GLOSS:	hundreds+[fem.sg.]

 INPUT STRING:	صوره
     IS_TRANS:	Swrh
        INDEX:	P11W17
      OFFSETS:	91-95
       TOKENS:	P11W28-P11W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	للعساكر
     IS_TRANS:	llEsAkr
        INDEX:	P11W18
      OFFSETS:	96-103
       TOKENS:	P11W29-P11W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Easkariy_1]
   UNSPLITVOC:	(liAlEsAkr)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+EsAkr
        GLOSS:	for/to+the+armies/troops/soldiers

 INPUT STRING:	وهما
     IS_TRANS:	whmA
        INDEX:	P11W19
      OFFSETS:	104-108
       TOKENS:	P11W31-P11W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wihum~a)
          POS:	SUB_CONJ+PRON_3P
          VOC:	wi+hum~a
        GLOSS:	while+they

 INPUT STRING:	واقفين
     IS_TRANS:	wAqfyn
        INDEX:	P11W20
      OFFSETS:	109-115
       TOKENS:	P11W33-P11W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqif_1]
   UNSPLITVOC:	(wAqofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	wAqof+iyn
        GLOSS:	standing+[masc.pl.]

 INPUT STRING:	يحدفو
     IS_TRANS:	yHdfw
        INDEX:	P11W21
      OFFSETS:	116-121
       TOKENS:	P11W34-P11W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hadaf_1]
   UNSPLITVOC:	(yaHdafuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	ya+Hdaf+uwA
        GLOSS:	they+throw+[masc.pl.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P11W22
      OFFSETS:	122-124
       TOKENS:	P11W35-P11W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الطوب
     IS_TRANS:	AlTwb
        INDEX:	P11W23
      OFFSETS:	125-130
       TOKENS:	P11W36-P11W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwbap_1]
   UNSPLITVOC:	(AlT~uwb)
          POS:	DET+NOUN
          VOC:	Al+Tuwb
        GLOSS:	the+bricks

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W24
      OFFSETS:	131-133
       TOKENS:	P11W37-P11W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	فووق
     IS_TRANS:	fwwq
        INDEX:	P11W25
      OFFSETS:	134-138
       TOKENS:	P11W38-P11W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fawoq_1]
   UNSPLITVOC:	(fawoq)
          POS:	NOUN
          VOC:	fawoq
        GLOSS:	above

