 INPUT STRING:	اكاذيب
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الأمن
     IS_TRANS:	Al>mn
        INDEX:	P69W9
      OFFSETS:	42-47
       TOKENS:	P69W9-P69W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	القومى
     IS_TRANS:	AlqwmY
        INDEX:	P69W10
      OFFSETS:	48-54
       TOKENS:	P69W10-P69W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawmiy_1]
   UNSPLITVOC:	(Alqawmiy)
          POS:	DET+ADJ
          VOC:	Al+qawmiy
        GLOSS:	the+national

 INPUT STRING:	العربى
     IS_TRANS:	AlErbY
        INDEX:	P69W11
      OFFSETS:	55-61
       TOKENS:	P69W11-P69W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(AlEarabiy)
          POS:	DET+ADJ
          VOC:	Al+Earabiy
        GLOSS:	the+Arabic

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P69W12
      OFFSETS:	61-62
       TOKENS:	P69W12-P69W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P70W1
      OFFSETS:	1-4
       TOKENS:	P70W1-P70W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	أحد
     IS_TRANS:	>Hd
        INDEX:	P70W2
      OFFSETS:	5-8
       TOKENS:	P70W3-P70W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN
          VOC:	>aHad
        GLOSS:	one

 INPUT STRING:	يعرف
     IS_TRANS:	yErf
        INDEX:	P70W3
      OFFSETS:	9-13
       TOKENS:	P70W4-P70W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(yaEoraf)
          POS:	IV3MS+IV
          VOC:	ya+Eoraf
        GLOSS:	he/it+know/be known

 INPUT STRING:	كيف
     IS_TRANS:	kyf
        INDEX:	P70W4
      OFFSETS:	14-17
       TOKENS:	P70W5-P70W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kayof_1]
   UNSPLITVOC:	(kayof)
          POS:	INTERROG_ADV
          VOC:	kayof
        GLOSS:	how

 INPUT STRING:	نحافظ
     IS_TRANS:	nHAfZ
        INDEX:	P70W5
      OFFSETS:	18-23
       TOKENS:	P70W6-P70W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAfIZ_1]
   UNSPLITVOC:	(nuHAfZ)
          POS:	IV1P+IV
          VOC:	nu+HAfZ
        GLOSS:	we+protect

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P70W6
      OFFSETS:	24-27
       TOKENS:	P70W7-P70W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الأمن
     IS_TRANS:	Al>mn
        INDEX:	P70W7
      OFFSETS:	28-33
       TOKENS:	P70W8-P70W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	القومى
     IS_TRANS:	AlqwmY
        INDEX:	P70W8
      OFFSETS:	34-40
       TOKENS:	P70W9-P70W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawmiy_1]
   UNSPLITVOC:	(Alqawmiy)
          POS:	DET+ADJ
          VOC:	Al+qawmiy
        GLOSS:	the+national

 INPUT STRING:	العربى
     IS_TRANS:	AlErbY
        INDEX:	P70W9
      OFFSETS:	41-47
       TOKENS:	P70W10-P70W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(AlEarabiy)
          POS:	DET+ADJ
          VOC:	Al+Earabiy
        GLOSS:	the+Arabic

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P70W10
      OFFSETS:	47-48
       TOKENS:	P70W11-P70W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وكيف
     IS_TRANS:	wkyf
        INDEX:	P70W11
      OFFSETS:	49-53
       TOKENS:	P70W12-P70W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kayof_1]
   UNSPLITVOC:	(wakayof)
          POS:	CONJ+INTERROG_ADV
          VOC:	wa+kayof
        GLOSS:	and+how

 INPUT STRING:	نؤمنه
     IS_TRANS:	n&mnh
        INDEX:	P70W12
      OFFSETS:	54-59
       TOKENS:	P70W14-P70W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>am~an_1]
   UNSPLITVOC:	(nu&mnuh)
          POS:	IV1P+IV+IVSUFF_DO:3MS
          VOC:	nu+&mn+uh
        GLOSS:	we+preotect+them

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P70W13
      OFFSETS:	59-60
       TOKENS:	P70W16-P70W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وهل
     IS_TRANS:	whl
        INDEX:	P71W1
      OFFSETS:	2-5
       TOKENS:	P71W1-P71W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(wahal)
          POS:	CONJ+INTERROG_PART
          VOC:	wa+hal
        GLOSS:	and+do?/is?

 INPUT STRING:	بالفعل
     IS_TRANS:	bAlfEl
        INDEX:	P71W2
      OFFSETS:	6-12
       TOKENS:	P71W3-P71W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(biAlfiEol)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+fiEol
        GLOSS:	with/by+the+doing/act/action

 INPUT STRING:	يوجد
     IS_TRANS:	ywjd
        INDEX:	P71W3
      OFFSETS:	13-17
       TOKENS:	P71W5-P71W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(yiwjd)
          POS:	IV3MS+IV_PASS
          VOC:	yi+wjd
        GLOSS:	he/it+be present

 INPUT STRING:	شىء
     IS_TRANS:	$Y'
        INDEX:	P71W4
      OFFSETS:	18-21
       TOKENS:	P71W6-P71W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ay'_1]
   UNSPLITVOC:	($ay')
          POS:	NOUN
          VOC:	$ay'
        GLOSS:	something/thing/things

 INPUT STRING:	اسمه
     IS_TRANS:	Asmh
        INDEX:	P71W5
      OFFSETS:	22-26
       TOKENS:	P71W7-P71W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisomuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Aisom+uh
        GLOSS:	name+his/its

 INPUT STRING:	الأمن
     IS_TRANS:	Al>mn
        INDEX:	P71W6
      OFFSETS:	27-32
       TOKENS:	P71W9-P71W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	القومى
     IS_TRANS:	AlqwmY
        INDEX:	P71W7
      OFFSETS:	33-39
       TOKENS:	P71W10-P71W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawmiy_1]
   UNSPLITVOC:	(Alqawmiy)
          POS:	DET+ADJ
          VOC:	Al+qawmiy
        GLOSS:	the+national

 INPUT STRING:	العربى
     IS_TRANS:	AlErbY
        INDEX:	P71W8
      OFFSETS:	40-46
       TOKENS:	P71W11-P71W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(AlEarabiy)
          POS:	DET+ADJ
          VOC:	Al+Earabiy
        GLOSS:	the+Arabic

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P72W1
      OFFSETS:	1-3
       TOKENS:	P72W1-P72W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amo_1]
   UNSPLITVOC:	(>amo)
          POS:	CONJ
          VOC:	>amo
        GLOSS:	or

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P72W2
      OFFSETS:	4-6
       TOKENS:	P72W2-P72W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P72W3
      OFFSETS:	7-11
       TOKENS:	P72W3-P72W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	أمن
     IS_TRANS:	>mn
        INDEX:	P72W4
      OFFSETS:	12-15
       TOKENS:	P72W4-P72W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(>amon)
          POS:	NOUN
          VOC:	>amon
        GLOSS:	security/safety

 INPUT STRING:	«
     IS_TRANS:	&#xab;
        INDEX:	P72W5
      OFFSETS:	16-17
       TOKENS:	P72W5-P72W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#xab;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P72W6
      OFFSETS:	17-20
       TOKENS:	P72W6-P72W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(duwal)
          POS:	NOUN
          VOC:	duwal
        GLOSS:	states/countries

 INPUT STRING:	»
     IS_TRANS:	&#xbb;
        INDEX:	P72W7
      OFFSETS:	20-21
       TOKENS:	P72W7-P72W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#xbb;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	عربية
     IS_TRANS:	Erbyp
        INDEX:	P72W8
      OFFSETS:	22-27
       TOKENS:	P72W8-P72W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earabiy~_1]
   UNSPLITVOC:	(Earabiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Earabiy~+ap
        GLOSS:	Arab/Arabic+[fem.sg.]

 INPUT STRING:	يجب
     IS_TRANS:	yjb
        INDEX:	P72W9
      OFFSETS:	28-31
       TOKENS:	P72W9-P72W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(yajb)
          POS:	IV3MS+IV
          VOC:	ya+jb
        GLOSS:	he/it+be necessary

 INPUT STRING:	مساندتها
     IS_TRANS:	msAndthA
        INDEX:	P72W10
      OFFSETS:	32-40
       TOKENS:	P72W10-P72W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musAnodap_1]
   UNSPLITVOC:	(musAnodathA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	musAnod+ap+hA
        GLOSS:	support+[fem.sg.]+its/their/her

 INPUT STRING:	بالكذبات
     IS_TRANS:	bAlk*bAt
        INDEX:	P72W11
      OFFSETS:	41-49
       TOKENS:	P72W12-P72W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ki*b_1]
   UNSPLITVOC:	(biAlk*bAt)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+k*bA+ap
        GLOSS:	with/by+the+lies+[fem.sg.]

 INPUT STRING:	الأخرى
     IS_TRANS:	Al>xrY
        INDEX:	P72W12
      OFFSETS:	50-56
       TOKENS:	P72W14-P72W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxoray_1]
   UNSPLITVOC:	(Al>uxoraY)
          POS:	DET+ADJ
          VOC:	Al+>uxoraY
        GLOSS:	the+other/another/additional

 INPUT STRING:	سابقة
     IS_TRANS:	sAbqp
        INDEX:	P72W13
      OFFSETS:	57-62
       TOKENS:	P72W15-P72W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(sAbiqap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	sAbiq+ap
        GLOSS:	former/previous/preceding+[fem.sg.]

 INPUT STRING:	الذكر
     IS_TRANS:	Al*kr
        INDEX:	P72W14
      OFFSETS:	63-68
       TOKENS:	P72W16-P72W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ikor_1]
   UNSPLITVOC:	(Al*~ikor)
          POS:	DET+NOUN
          VOC:	Al+*ikor
        GLOSS:	the+mention/citation/memory

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P72W15
      OFFSETS:	68-69
       TOKENS:	P72W17-P72W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	10
     IS_TRANS:	10
        INDEX:	P73W1
      OFFSETS:	1-3
       TOKENS:	P73W1-P73W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(10)
          POS:	NOUN_NUM
          VOC:	10
        GLOSS:	10

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P73W2
      OFFSETS:	4-5
       TOKENS:	P73W2-P73W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	كذبة
     IS_TRANS:	k*bp
        INDEX:	P73W3
      OFFSETS:	6-10
       TOKENS:	P73W3-P73W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ki*bap_1]
   UNSPLITVOC:	(k*bap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	k*b+ap
        GLOSS:	lie+[fem.sg.]

 INPUT STRING:	القرار
     IS_TRANS:	AlqrAr
        INDEX:	P73W4
      OFFSETS:	11-17
       TOKENS:	P73W4-P73W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(AlqarAr)
          POS:	DET+NOUN
          VOC:	Al+qarAr
        GLOSS:	the+decision/resolution

 INPUT STRING:	العربى
     IS_TRANS:	AlErbY
        INDEX:	P73W5
      OFFSETS:	18-24
       TOKENS:	P73W5-P73W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(AlEarabiy)
          POS:	DET+ADJ
          VOC:	Al+Earabiy
        GLOSS:	the+Arabic

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P74W1
      OFFSETS:	2-5
       TOKENS:	P74W1-P74W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P74W2
      OFFSETS:	6-8
       TOKENS:	P74W2-P74W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	يجده
     IS_TRANS:	yjdh
        INDEX:	P74W3
      OFFSETS:	9-13
       TOKENS:	P74W3-P74W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(yajoduh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	ya+jid+uh
        GLOSS:	he/it+find+them

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P74W4
      OFFSETS:	14-16
       TOKENS:	P74W5-P74W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يتصل
     IS_TRANS:	ytSl
        INDEX:	P74W5
      OFFSETS:	17-21
       TOKENS:	P74W6-P74W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aSal_1]
   UNSPLITVOC:	(yit~iSil)
          POS:	IV3MS+IV
          VOC:	yi+t~iSil
        GLOSS:	he/it+contact

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P74W6
      OFFSETS:	22-25
       TOKENS:	P74W7-P74W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	تليفون
     IS_TRANS:	tlyfwn
        INDEX:	P74W7
      OFFSETS:	26-32
       TOKENS:	P74W8-P74W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiliyfawn_1]
   UNSPLITVOC:	(tiliyfawn)
          POS:	NOUN
          VOC:	tiliyfawn
        GLOSS:	telephone

 INPUT STRING:	وكالات
     IS_TRANS:	wkAlAt
        INDEX:	P74W8
      OFFSETS:	33-39
       TOKENS:	P74W9-P74W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wikAlap_1]
   UNSPLITVOC:	(wakAlAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	wakAl+At
        GLOSS:	agencies+[fem.pl.]

 INPUT STRING:	الأنباء
     IS_TRANS:	Al>nbA'
        INDEX:	P74W9
      OFFSETS:	40-47
       TOKENS:	P74W10-P74W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naba>_1]
   UNSPLITVOC:	(AlAnobA')
          POS:	DET+NOUN
          VOC:	Al+AnobA'
        GLOSS:	the+news item/report

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P74W10
      OFFSETS:	48-55
       TOKENS:	P74W11-P74W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P75W1
      OFFSETS:	1-3
       TOKENS:	P75W1-P75W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الأمنيات
     IS_TRANS:	Al>mnyAt
        INDEX:	P75W2
      OFFSETS:	4-12
       TOKENS:	P75W2-P75W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>umoniy~ap_1]
   UNSPLITVOC:	(Al>umoniy~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+>umoniy~+At
        GLOSS:	the+wishes/desires/aspirations/wishful thinking+[fem.pl.]

 INPUT STRING:	صعبة
     IS_TRANS:	SEbp
        INDEX:	P75W3
      OFFSETS:	13-17
       TOKENS:	P75W3-P75W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaEob_1]
   UNSPLITVOC:	(SaEobap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	SaEob+ap
        GLOSS:	difficult/hard/arduous+[fem.sg.]

 INPUT STRING:	المنال
     IS_TRANS:	AlmnAl
        INDEX:	P75W4
      OFFSETS:	18-24
       TOKENS:	P75W4-P75W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[manAl_1]
   UNSPLITVOC:	(AlmanAl)
          POS:	DET+NOUN
          VOC:	Al+manAl
        GLOSS:	the+attainment/acquiring/obtaining

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P75W5
      OFFSETS:	25-28
       TOKENS:	P75W5-P75W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P75W6
      OFFSETS:	29-33
       TOKENS:	P75W6-P75W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which

 INPUT STRING:	يسمى
     IS_TRANS:	ysmY
        INDEX:	P75W7
      OFFSETS:	34-38
       TOKENS:	P75W7-P75W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ysmY)
          POS:	NO_FUNC
          VOC:	ysmY
        GLOSS:	nogloss

 INPUT STRING:	بالقرار
     IS_TRANS:	bAlqrAr
        INDEX:	P75W8
      OFFSETS:	39-46
       TOKENS:	P75W8-P75W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(biAlqarAr)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+qarAr
        GLOSS:	with/by+the+decision/resolution

 INPUT STRING:	العربى
     IS_TRANS:	AlErbY
        INDEX:	P75W9
      OFFSETS:	47-53
       TOKENS:	P75W10-P75W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(AlEarabiy)
          POS:	DET+ADJ
          VOC:	Al+Earabiy
        GLOSS:	the+Arabic

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P75W10
      OFFSETS:	53-54
       TOKENS:	P75W11-P75W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	فنرجو
     IS_TRANS:	fnrjw
        INDEX:	P76W1
      OFFSETS:	2-7
       TOKENS:	P76W1-P76W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
