 INPUT STRING:	ولدت
        LEMMA:	[gad_1]
   UNSPLITVOC:	(gadAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	gad+AF
        GLOSS:	tomorrow+[acc.indef.]

 INPUT STRING:	لتري
     IS_TRANS:	ltry
        INDEX:	P16W11
      OFFSETS:	47-51
       TOKENS:	P16W14-P16W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra>aY-a_1]
   UNSPLITVOC:	(litaraY)
          POS:	PREP+IV2MS+IV+IVSUFF_MOOD:S
          VOC:	li+ta+raY+(null)
        GLOSS:	for+you [masc.sg.] to+see/think/believe+[sub.]

 INPUT STRING:	رئيسا
     IS_TRANS:	r}ysA
        INDEX:	P16W12
      OFFSETS:	52-57
       TOKENS:	P16W16-P16W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iysAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	ra}iys+AF
        GLOSS:	president/head/chairman+[acc.indef.]

 INPUT STRING:	اخر
     IS_TRANS:	Axr
        INDEX:	P16W13
      OFFSETS:	58-61
       TOKENS:	P16W17-P16W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xar_1]
   UNSPLITVOC:	(|xar)
          POS:	ADJ
          VOC:	|xar
        GLOSS:	other/another

 INPUT STRING:	لمصر
     IS_TRANS:	lmSr
        INDEX:	P16W14
      OFFSETS:	62-66
       TOKENS:	P16W18-P16W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(limiSor)
          POS:	PREP+NOUN_PROP
          VOC:	li+miSor
        GLOSS:	for/to+Egypt

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P16W15
      OFFSETS:	67-70
       TOKENS:	P16W20-P16W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayor)
          POS:	NOUN
          VOC:	gayor
        GLOSS:	not/other

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P16W16
      OFFSETS:	71-77
       TOKENS:	P16W21-P16W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alra}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P16W17
      OFFSETS:	78-83
       TOKENS:	P16W22-P16W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W18
      OFFSETS:	84-85
       TOKENS:	P16W23-P16W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+without/beneath/underneath/inferior/poor

 INPUT STRING:	مبالغة
     IS_TRANS:	mbAlgp
        INDEX:	P17W2
      OFFSETS:	5-11
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mubAlagap_1]
   UNSPLITVOC:	(mubAlagap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mubAlag+ap
        GLOSS:	exaggeration+[fem.sg.]

 INPUT STRING:	اصبحت
     IS_TRANS:	ASbHt
        INDEX:	P17W3
      OFFSETS:	12-17
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSobaH_1]
   UNSPLITVOC:	(>aSobaHat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>aSobaH+at
        GLOSS:	become/begin/start+it/they/she [verb]

 INPUT STRING:	فكرة
     IS_TRANS:	fkrp
        INDEX:	P17W4
      OFFSETS:	18-22
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P17W5
      OFFSETS:	23-27
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	احد
     IS_TRANS:	AHd
        INDEX:	P17W6
      OFFSETS:	28-31
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN
          VOC:	>aHad
        GLOSS:	one (of)/someone/anyone/no-one

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P17W7
      OFFSETS:	32-35
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayor)
          POS:	NOUN
          VOC:	gayor
        GLOSS:	not/other

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P17W8
      OFFSETS:	36-42
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alra}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P17W9
      OFFSETS:	43-48
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P17W10
      OFFSETS:	49-51
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حكم
     IS_TRANS:	Hkm
        INDEX:	P17W11
      OFFSETS:	52-55
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Hukom_2]
   UNSPLITVOC:	(Hukom)
          POS:	NOUN
          VOC:	Hukom
        GLOSS:	rule/government

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P17W12
      OFFSETS:	56-59
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	شئ
     IS_TRANS:	$}
        INDEX:	P17W13
      OFFSETS:	60-62
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ayo'_1]
   UNSPLITVOC:	($a})
          POS:	NOUN
          VOC:	$a}
        GLOSS:	something/thing

 INPUT STRING:	غريب
     IS_TRANS:	gryb
        INDEX:	P17W14
      OFFSETS:	63-67
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gariyb_1]
   UNSPLITVOC:	(gariyb)
          POS:	ADJ
          VOC:	gariyb
        GLOSS:	strange

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P17W15
      OFFSETS:	68-69
       TOKENS:	P17W16-P17W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	عجيب
     IS_TRANS:	Ejyb
        INDEX:	P17W16
      OFFSETS:	70-74
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eajiyb_1]
   UNSPLITVOC:	(Eajiyb)
          POS:	ADJ
          VOC:	Eajiyb
        GLOSS:	astonishing/amazing/strange

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P17W17
      OFFSETS:	75-76
       TOKENS:	P17W18-P17W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	يصيب
     IS_TRANS:	ySyb
        INDEX:	P17W18
      OFFSETS:	77-81
       TOKENS:	P17W19-P17W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSAb_1]
   UNSPLITVOC:	(yuSiybu)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	yu+Siyb+u
        GLOSS:	he/it+strike/afflict+[ind.]

 INPUT STRING:	بالرعب
     IS_TRANS:	bAlrEb
        INDEX:	P17W19
      OFFSETS:	82-88
       TOKENS:	P17W20-P17W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ruEob_1]
   UNSPLITVOC:	(biAlruEob)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ruEob
        GLOSS:	with/by+the+fright/terror

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P17W20
      OFFSETS:	89-90
       TOKENS:	P17W22-P17W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	الذهول
     IS_TRANS:	Al*hwl
        INDEX:	P17W21
      OFFSETS:	91-97
       TOKENS:	P17W23-P17W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[*uhuwl_1]
   UNSPLITVOC:	(Al*uhuwl)
          POS:	DET+NOUN
          VOC:	Al+*uhuwl
        GLOSS:	the+numbness/indifference/confusion

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P17W22
      OFFSETS:	98-99
       TOKENS:	P17W24-P17W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	الاسهال
     IS_TRANS:	AlAshAl
        INDEX:	P17W23
      OFFSETS:	100-107
       TOKENS:	P17W25-P17W25
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isohAl_1]
   UNSPLITVOC:	(Al<isohAl)
          POS:	DET+NOUN
          VOC:	Al+<isohAl
        GLOSS:	the+diarrhea

 INPUT STRING:	احيانا
     IS_TRANS:	AHyAnA
        INDEX:	P17W24
      OFFSETS:	108-114
       TOKENS:	P17W26-P17W26
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hiyn_1]
   UNSPLITVOC:	(>aHoyAnAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aHoyAn+AF
        GLOSS:	sometimes/occasionally+[acc.indef.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P17W25
      OFFSETS:	114-115
       TOKENS:	P17W27-P17W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P17W26
      OFFSETS:	116-117
       TOKENS:	P17W28-P17W28
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P17W27
      OFFSETS:	118-121
       TOKENS:	P17W29-P17W29
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(*`lika)
          POS:	DEM_PRON_MS
          VOC:	*`lika
        GLOSS:	that

 INPUT STRING:	بسبب
     IS_TRANS:	bsbb
        INDEX:	P17W28
      OFFSETS:	122-126
       TOKENS:	P17W30-P17W31
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(bisabab)
          POS:	PREP+NOUN
          VOC:	bi+sabab
        GLOSS:	with/by+reason/cause

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P17W29
      OFFSETS:	127-130
       TOKENS:	P17W32-P17W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height

 INPUT STRING:	فترة
     IS_TRANS:	ftrp
        INDEX:	P17W30
      OFFSETS:	131-135
       TOKENS:	P17W33-P17W33
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatorap_1]
   UNSPLITVOC:	(fatorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fator+ap
        GLOSS:	phase/time period/interval+[fem.sg.]

 INPUT STRING:	بقاء
     IS_TRANS:	bqA'
        INDEX:	P17W31
      OFFSETS:	136-140
       TOKENS:	P17W34-P17W34
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqA'_1]
   UNSPLITVOC:	(baqA')
          POS:	NOUN.VN
          VOC:	baqA'
        GLOSS:	survival/remaining

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P17W32
      OFFSETS:	141-147
       TOKENS:	P17W35-P17W35
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alra}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P17W33
      OFFSETS:	148-153
       TOKENS:	P17W36-P17W36
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P17W34
      OFFSETS:	154-156
       TOKENS:	P17W37-P17W37
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الحكم
     IS_TRANS:	AlHkm
        INDEX:	P17W35
      OFFSETS:	157-162
       TOKENS:	P17W38-P17W38
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Hukom_2]
   UNSPLITVOC:	(AlHukom)
          POS:	DET+NOUN
          VOC:	Al+Hukom
        GLOSS:	the+rule/government

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P17W36
      OFFSETS:	162-163
       TOKENS:	P17W39-P17W39
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	تغيير
     IS_TRANS:	tgyyr
        INDEX:	P18W1
      OFFSETS:	0-5
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(tagoyiyr)
          POS:	NOUN
          VOC:	tagoyiyr
        GLOSS:	change/modification/replacement

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P18W2
      OFFSETS:	6-10
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	الجمهوريه
     IS_TRANS:	Aljmhwryh
        INDEX:	P18W3
      OFFSETS:	11-20
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jumohuwriy~_1]
   UNSPLITVOC:	(Aljumohuwriy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jumohuwriy~+ap
        GLOSS:	the+republican+[fem.sg.]

 INPUT STRING:	شئ
     IS_TRANS:	$}
        INDEX:	P18W4
      OFFSETS:	21-23
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ayo'_1]
   UNSPLITVOC:	($a})
          POS:	NOUN
          VOC:	$a}
        GLOSS:	something/thing

 INPUT STRING:	عادي
     IS_TRANS:	EAdy
        INDEX:	P18W5
      OFFSETS:	24-28
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAdiy~_1]
   UNSPLITVOC:	(EAdiy~)
          POS:	ADJ
          VOC:	EAdiy~
        GLOSS:	ordinary/regular/normal

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P18W6
      OFFSETS:	29-30
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	طبيعي
     IS_TRANS:	TbyEy
        INDEX:	P18W7
      OFFSETS:	31-36
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TabiyEiy~_1]
   UNSPLITVOC:	(TabiyEiy~)
          POS:	ADJ
          VOC:	TabiyEiy~
        GLOSS:	natural/normal

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P18W8
      OFFSETS:	37-40
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jid~_2]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P18W9
      OFFSETS:	41-43
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بلدان
     IS_TRANS:	bldAn
        INDEX:	P18W10
      OFFSETS:	44-49
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(bulodAn)
          POS:	NOUN
          VOC:	bulodAn
        GLOSS:	countries

 INPUT STRING:	كثيرة
     IS_TRANS:	kvyrp
        INDEX:	P18W11
      OFFSETS:	50-55
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaviyr_2]
   UNSPLITVOC:	(kaviyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kaviyr+ap
        GLOSS:	many/much/numerous+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P18W12
      OFFSETS:	56-58
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P18W13
      OFFSETS:	59-65
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world

 INPUT STRING:	حتي
     IS_TRANS:	Hty
        INDEX:	P18W14
      OFFSETS:	66-69
       TOKENS:	P18W14-P18W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Hat~aY_3]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P18W15
      OFFSETS:	70-72
       TOKENS:	P18W15-P18W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lawo_1]
   UNSPLITVOC:	(lawo)
          POS:	SUB_CONJ
          VOC:	lawo
        GLOSS:	if

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P18W16
      OFFSETS:	73-76
       TOKENS:	P18W16-P18W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	محبوب
     IS_TRANS:	mHbwb
        INDEX:	P18W17
      OFFSETS:	77-82
       TOKENS:	P18W17-P18W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHobuwb_1]
   UNSPLITVOC:	(maHobuwb)
          POS:	ADJ
          VOC:	maHobuwb
        GLOSS:	dear/desirable

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P18W18
      OFFSETS:	83-85
       TOKENS:	P18W18-P18W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P18W19
      OFFSETS:	86-91
       TOKENS:	P18W19-P18W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P18W20
      OFFSETS:	92-93
       TOKENS:	P18W20-P18W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	لكنه
     IS_TRANS:	lknh
        INDEX:	P18W21
      OFFSETS:	94-98
       TOKENS:	P18W21-P18W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[l`kin~a_1]
   UNSPLITVOC:	(l`kin~ahu)
          POS:	PSEUDO_VERB+PRON_3MS
          VOC:	l`kin~a+hu
        GLOSS:	But, however, yet, still, nevertheless, on the other hand+it/he

 INPUT STRING:	عندنا
     IS_TRANS:	EndnA
        INDEX:	P18W22
      OFFSETS:	99-104
       TOKENS:	P18W23-P18W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(EinodanA)
          POS:	NOUN+CASE_DEF_ACC+POSS_PRON_1P
          VOC:	Einod+a+nA
        GLOSS:	with/at+[def.acc.]+our

 INPUT STRING:	شئ
     IS_TRANS:	$}
