 INPUT STRING:	المشاركة
      OFFSETS:	23-28
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mano$uwr_1]
   UNSPLITVOC:	(mano$uwr)
          POS:	ADJ
          VOC:	mano$uwr
        GLOSS:	published/spread out

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P17W6
      OFFSETS:	29-32
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	جريدة
     IS_TRANS:	jrydp
        INDEX:	P17W7
      OFFSETS:	33-38
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariydap_1]
   UNSPLITVOC:	(jariydap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jariyd+ap
        GLOSS:	newspaper/journal/newspapers/journals+[fem.sg.]

 INPUT STRING:	رسميةومش
     IS_TRANS:	rsmypwm$
        INDEX:	P17W8
      OFFSETS:	39-47
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(rsmypwm$)
          POS:	NO_FUNC
          VOC:	rsmypwm$
        GLOSS:	nogloss

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P17W9
      OFFSETS:	48-50
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	اشاعة
     IS_TRANS:	A$AEp
        INDEX:	P17W10
      OFFSETS:	51-56
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a$AEap_2]
   UNSPLITVOC:	(>a$AEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>a$AE+ap
        GLOSS:	rumor+[fem.sg.]

 INPUT STRING:	نسمعها
     IS_TRANS:	nsmEhA
        INDEX:	P17W11
      OFFSETS:	57-63
       TOKENS:	P17W11-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[samaE_1]
   UNSPLITVOC:	(nisamaEhA)
          POS:	IV1P+IV+IVSUFF_DO:3FS
          VOC:	ni+samaE+hA
        GLOSS:	we+make hear/have listen+it/them/her

 INPUT STRING:	نصدقها
     IS_TRANS:	nSdqhA
        INDEX:	P17W12
      OFFSETS:	64-70
       TOKENS:	P17W13-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(niSad~aqhA)
          POS:	IV1P+IV+IVSUFF_DO:3FS
          VOC:	ni+Sad~aq+hA
        GLOSS:	we+believe/give credence to/confirm/be believed+it/them/her

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~nA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يسترها
     IS_TRANS:	ystrhA
        INDEX:	P18W2
      OFFSETS:	5-11
       TOKENS:	P18W3-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(yusoturhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yu+sotur+hA
        GLOSS:	he/it+cover/hide+it/them/her

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P18W3
      OFFSETS:	12-15
       TOKENS:	P18W5-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	يااااااااااااا
     IS_TRANS:	yAAAAAAAAAAAAA
        INDEX:	P19W1
      OFFSETS:	0-14
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	oh

 INPUT STRING:	جماعة
     IS_TRANS:	jmAEp
        INDEX:	P19W2
      OFFSETS:	15-20
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(jamAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jamAE+ap
        GLOSS:	party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	معني
     IS_TRANS:	mEny
        INDEX:	P19W3
      OFFSETS:	21-25
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonaY)
          POS:	NOUN
          VOC:	maEonaY
        GLOSS:	meaning/sense

 INPUT STRING:	الخبر
     IS_TRANS:	Alxbr
        INDEX:	P19W4
      OFFSETS:	26-31
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Alxabar)
          POS:	DET+NOUN
          VOC:	Al+xabar
        GLOSS:	the+news/report

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P19W5
      OFFSETS:	32-34
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P19W6
      OFFSETS:	35-37
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P19W7
      OFFSETS:	38-42
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P19W8
      OFFSETS:	43-45
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like

 INPUT STRING:	ديه
     IS_TRANS:	dyh
        INDEX:	P19W9
      OFFSETS:	46-49
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy~ap_1]
   UNSPLITVOC:	(diy~ap)
          POS:	DEM_PRON_FS
          VOC:	diy~at
        GLOSS:	this

 INPUT STRING:	حصلت
     IS_TRANS:	HSlt
        INDEX:	P19W10
      OFFSETS:	50-54
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSalit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	HaSal+it
        GLOSS:	occur/happen/take place+it/they/she

 INPUT STRING:	حقيقي
     IS_TRANS:	Hqyqy
        INDEX:	P19W11
      OFFSETS:	55-60
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqiy_1]
   UNSPLITVOC:	(Haqiyqiy)
          POS:	ADJ
          VOC:	Haqiyqiy
        GLOSS:	true/real

 INPUT STRING:	فاكيد
     IS_TRANS:	fAkyd
        INDEX:	P19W12
      OFFSETS:	61-66
       TOKENS:	P19W12-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(fa>akiyd)
          POS:	RC_PART+NOUN
          VOC:	fa+>akiyd
        GLOSS:	so/then+sure

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P19W13
      OFFSETS:	67-71
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	محتاجين
     IS_TRANS:	mHtAjyn
        INDEX:	P19W14
      OFFSETS:	72-79
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miHotAj_1]
   UNSPLITVOC:	(miHotAjiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	miHotAj+iyn
        GLOSS:	need/wanting+[pl.]

 INPUT STRING:	جيش
     IS_TRANS:	jy$
        INDEX:	P19W15
      OFFSETS:	80-83
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(jay$)
          POS:	NOUN
          VOC:	jay$
        GLOSS:	army/troops

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P19W16
      OFFSETS:	84-87
       TOKENS:	P19W17-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	strong/powerful

 INPUT STRING:	قادر
     IS_TRANS:	qAdr
        INDEX:	P19W17
      OFFSETS:	88-92
       TOKENS:	P19W18-P19W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAdir_1]
   UNSPLITVOC:	(qAdir)
          POS:	ADJ.VN
          VOC:	qAdir
        GLOSS:	capable/able

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P19W18
      OFFSETS:	93-96
       TOKENS:	P19W19-P19W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الصد
     IS_TRANS:	AlSd
        INDEX:	P19W19
      OFFSETS:	97-101
       TOKENS:	P19W20-P19W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~_1]
   UNSPLITVOC:	(AlS~ad~)
          POS:	DET+NOUN
          VOC:	Al+Sad~
        GLOSS:	the+resistance/deterrence/rejection

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P19W20
      OFFSETS:	102-103
       TOKENS:	P19W21-P19W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	الحرب
     IS_TRANS:	AlHrb
        INDEX:	P19W21
      OFFSETS:	104-109
       TOKENS:	P19W22-P19W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harob_1]
   UNSPLITVOC:	(AlHarob)
          POS:	DET+NOUN
          VOC:	Al+Harob
        GLOSS:	the+war/warfare/wars

 INPUT STRING:	ازاي
     IS_TRANS:	AzAy
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	INTERROG_ADV
          VOC:	Aiz~Ay
        GLOSS:	how

 INPUT STRING:	باه
     IS_TRANS:	bAh
        INDEX:	P20W2
      OFFSETS:	5-8
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so then

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P20W3
      OFFSETS:	9-10
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P20W4
      OFFSETS:	11-15
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	بنبهدل
     IS_TRANS:	bnbhdl
        INDEX:	P20W5
      OFFSETS:	16-22
       TOKENS:	P20W5-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bahodil_1]
   UNSPLITVOC:	(binibahodil)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+bahodil
        GLOSS:	[present-tense]+we+insult/ridicule

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P20W6
      OFFSETS:	23-25
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P20W7
      OFFSETS:	26-31
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P20W8
      OFFSETS:	32-34
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P20W9
      OFFSETS:	35-39
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P20W10
      OFFSETS:	40-44
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be

 INPUT STRING:	رسالة
     IS_TRANS:	rsAlp
        INDEX:	P20W11
      OFFSETS:	45-50
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[risAlap_1]
   UNSPLITVOC:	(risAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	risAl+ap
        GLOSS:	letter/communication/dissertation/letters/messages+[fem.sg.]

 INPUT STRING:	اهي
     IS_TRANS:	Ahy
        INDEX:	P21W1
      OFFSETS:	0-3
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(>ahiy)
          POS:	DEM_PRON+PRON_3FS
          VOC:	>a+hiy
        GLOSS:	this+she

 INPUT STRING:	اخبار
     IS_TRANS:	AxbAr
        INDEX:	P21W2
      OFFSETS:	4-9
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(AxobAr)
          POS:	NOUN
          VOC:	AxobAr
        GLOSS:	news/report

 INPUT STRING:	مغلوطه
     IS_TRANS:	mglwTh
        INDEX:	P21W3
      OFFSETS:	10-16
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[magoluwT_1]
   UNSPLITVOC:	(magoluwTap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	magoluwT+ap
        GLOSS:	false/wrong+[fem.sg.]

 INPUT STRING:	ينشرها
     IS_TRANS:	yn$rhA
        INDEX:	P21W4
      OFFSETS:	17-23
       TOKENS:	P21W5-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[na$ar_1]
   UNSPLITVOC:	(yan$urhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	ya+n$ur+hA
        GLOSS:	he+publish/announce/spread+it/her

 INPUT STRING:	النظام
     IS_TRANS:	AlnZAm
        INDEX:	P21W5
      OFFSETS:	24-30
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(Aln~iZAm)
          POS:	DET+NOUN
          VOC:	Al+niZAm
        GLOSS:	the+regime/government

 INPUT STRING:	الحاكم
     IS_TRANS:	AlHAkm
        INDEX:	P21W6
      OFFSETS:	31-37
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAkim_1]
   UNSPLITVOC:	(AlHAkim)
          POS:	DET+ADJ
          VOC:	Al+HAkim
        GLOSS:	the+ruler/governor

 INPUT STRING:	للغلوشه
     IS_TRANS:	llglw$h
        INDEX:	P21W7
      OFFSETS:	38-45
       TOKENS:	P21W9-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galowa$ap_1]
   UNSPLITVOC:	(lilgalowa$ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+galowa$+ap
        GLOSS:	for/to+the+despot+[fem.sg.]

 INPUT STRING:	ويرجع
     IS_TRANS:	wyrjE
        INDEX:	P21W8
      OFFSETS:	46-51
       TOKENS:	P21W11-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[rajaE_1]
   UNSPLITVOC:	(wiyirojaE)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+rojaE
        GLOSS:	and+he/it+return

 INPUT STRING:	يكدبها
     IS_TRANS:	ykdbhA
        INDEX:	P21W9
      OFFSETS:	52-58
       TOKENS:	P21W13-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kad~ab_1]
   UNSPLITVOC:	(yikad~abhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+kad~ab+hA
        GLOSS:	he/it+deny/refute/contradict/belie+it/them/her

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P21W10
      OFFSETS:	59-61
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she

 INPUT STRING:	عادته
     IS_TRANS:	EAdth
        INDEX:	P21W11
      OFFSETS:	62-67
       TOKENS:	P21W16-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAdap_1]
   UNSPLITVOC:	(EAdathu)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	EAd+ap+hu
        GLOSS:	habit/custom/practice+[fem.sg.]+his/its

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P21W12
      OFFSETS:	68-71
       TOKENS:	P21W18-P21W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	هيشتريها
     IS_TRANS:	hy$tryhA
        INDEX:	P21W13
      OFFSETS:	72-80
       TOKENS:	P21W19-P21W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otaraY_1]
   UNSPLITVOC:	(Hayi$otiriyhA)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:3FS
          VOC:	Ha+yi+$otiriy+hA
        GLOSS:	will+he/it+buy+it/them/her

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P21W14
      OFFSETS:	81-84
       TOKENS:	P21W22-P21W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	نسيو
     IS_TRANS:	nsyw
        INDEX:	P21W15
      OFFSETS:	85-89
       TOKENS:	P21W23-P21W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(nisoyuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	nisoy+uwA
        GLOSS:	forgot+they

 INPUT STRING:	خبر
     IS_TRANS:	xbr
        INDEX:	P21W16
      OFFSETS:	90-93
       TOKENS:	P21W24-P21W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(xabar)
          POS:	NOUN
          VOC:	xabar
        GLOSS:	news/report

 INPUT STRING:	دخول
     IS_TRANS:	dxwl
        INDEX:	P21W17
      OFFSETS:	94-98
       TOKENS:	P21W25-P21W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duxuwl_1]
   UNSPLITVOC:	(duxuwl)
          POS:	NOUN
          VOC:	duxuwl
        GLOSS:	entrance/penetration

 INPUT STRING:	الاسطول
     IS_TRANS:	AlAsTwl
        INDEX:	P21W18
      OFFSETS:	99-106
       TOKENS:	P21W26-P21W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<usoTuwl_1]
   UNSPLITVOC:	(Al<usoTuwl)
          POS:	DET+NOUN
          VOC:	Al+<usoTuwl
        GLOSS:	the+fleet/squadron

 INPUT STRING:	السادس
     IS_TRANS:	AlsAds
        INDEX:	P21W19
      OFFSETS:	107-113
       TOKENS:	P21W27-P21W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlsAdis_1]
   UNSPLITVOC:	(AlsAdis)
          POS:	DET+ADJ_NUM
          VOC:	Al+sAdis
        GLOSS:	the+sixth/in sixth place

 INPUT STRING:	لدمياط
     IS_TRANS:	ldmyAT
        INDEX:	P21W20
      OFFSETS:	114-120
       TOKENS:	P21W28-P21W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dumoyAT_1]
   UNSPLITVOC:	(lidumoyAT)
          POS:	PREP+NOUN_PROP
          VOC:	li+dumoyAT
        GLOSS:	for/to+Damietta

 INPUT STRING:	وعربيات
     IS_TRANS:	wErbyAt
        INDEX:	P21W21
      OFFSETS:	121-128
       TOKENS:	P21W30-P21W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(wiEarabiy~At)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+Earabiy~+At
        GLOSS:	and+cars+[fem.pl.]

 INPUT STRING:	ماشيه
     IS_TRANS:	mA$yh
        INDEX:	P21W22
      OFFSETS:	129-134
       TOKENS:	P21W32-P21W32
