 INPUT STRING:	وعليكم
        GLOSS:	.

 INPUT STRING:	سبحان
     IS_TRANS:	sbHAn
        INDEX:	P27W1
      OFFSETS:	0-5
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suboHAn_1]
   UNSPLITVOC:	(suboHAn)
          POS:	NOUN
          VOC:	suboHAn
        GLOSS:	praise

 INPUT STRING:	رحمة
     IS_TRANS:	rHmp
        INDEX:	P27W2
      OFFSETS:	6-10
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHomap_1]
   UNSPLITVOC:	(raHomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	raHom+ap
        GLOSS:	compassion/mercy+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P27W3
      OFFSETS:	11-15
       TOKENS:	P27W3-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P27W4
      OFFSETS:	16-18
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	اغلاها
     IS_TRANS:	AglAhA
        INDEX:	P27W5
      OFFSETS:	19-25
       TOKENS:	P27W6-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AglaY_1]
   UNSPLITVOC:	(AglAhA)
          POS:	ADJ_COMP+POSS_PRON_3FS
          VOC:	AglA+hA
        GLOSS:	more expensive+its/their/her

 INPUT STRING:	ندعو
     IS_TRANS:	ndEw
        INDEX:	P28W1
      OFFSETS:	0-4
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEay_1]
   UNSPLITVOC:	(nidoEuw)
          POS:	IV1P+IV
          VOC:	ni+doEuw
        GLOSS:	we+call/invite

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P28W2
      OFFSETS:	5-9
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P28W3
      OFFSETS:	10-12
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P28W4
      OFFSETS:	13-17
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	قد
     IS_TRANS:	qd
        INDEX:	P28W5
      OFFSETS:	18-20
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad_1]
   UNSPLITVOC:	(qad)
          POS:	NOUN
          VOC:	qad
        GLOSS:	may/might/perhaps

 INPUT STRING:	شرح
     IS_TRANS:	$rH
        INDEX:	P28W6
      OFFSETS:	21-24
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$araH_1]
   UNSPLITVOC:	($araH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$araH+(null)
        GLOSS:	dissect+he/it

 INPUT STRING:	صدرة
     IS_TRANS:	Sdrp
        INDEX:	P28W7
      OFFSETS:	25-29
       TOKENS:	P28W7-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sador_1]
   UNSPLITVOC:	(Sadoruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Sador+uh
        GLOSS:	chest/bosom+his/its

 INPUT STRING:	للااسلام
     IS_TRANS:	llAAslAm
        INDEX:	P28W8
      OFFSETS:	30-38
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(llAAslAm)
          POS:	NO_FUNC
          VOC:	llAAslAm
        GLOSS:	nogloss

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P28W9
      OFFSETS:	39-43
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	واصبح
     IS_TRANS:	wASbH
        INDEX:	P28W10
      OFFSETS:	44-49
       TOKENS:	P28W11-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSobaH_1]
   UNSPLITVOC:	(wi>aSobaH)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>aSobaH+(null)
        GLOSS:	and+become/begin/start+he/it

 INPUT STRING:	مسلم
     IS_TRANS:	mslm
        INDEX:	P28W11
      OFFSETS:	50-54
       TOKENS:	P28W13-P28W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misal~im_1]
   UNSPLITVOC:	(misal~im)
          POS:	ADJ
          VOC:	misal~im
        GLOSS:	muslim

 INPUT STRING:	وياخبر
     IS_TRANS:	wyAxbr
        INDEX:	P29W1
      OFFSETS:	0-6
       TOKENS:	P29W1-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(wiyAxabar)
          POS:	CONJ+VOC_PART+NOUN
          VOC:	wi+yA+xabar
        GLOSS:	and+O/oh+news

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P29W2
      OFFSETS:	7-13
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now/at this moment

 INPUT STRING:	بفلوس
     IS_TRANS:	bflws
        INDEX:	P29W3
      OFFSETS:	14-19
       TOKENS:	P29W5-P29W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filuws_1]
   UNSPLITVOC:	(bifiluws)
          POS:	PREP+NOUN
          VOC:	bi+filuws
        GLOSS:	with/by+money

 INPUT STRING:	يومين
     IS_TRANS:	ywmyn
        INDEX:	P29W4
      OFFSETS:	20-25
       TOKENS:	P29W7-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yuwmayn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	yuwm+ayn
        GLOSS:	day+two

 INPUT STRING:	ويكون
     IS_TRANS:	wykwn
        INDEX:	P29W5
      OFFSETS:	26-31
       TOKENS:	P29W8-P29W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wiyikuwn)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+kuwn
        GLOSS:	and+he/it+be

 INPUT STRING:	ببلاش
     IS_TRANS:	bblA$
        INDEX:	P29W6
      OFFSETS:	32-37
       TOKENS:	P29W10-P29W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balA$_1]
   UNSPLITVOC:	(bibalA$)
          POS:	PREP+NOUN
          VOC:	bi+balA$
        GLOSS:	with/by+free

 INPUT STRING:	مايكل
     IS_TRANS:	mAykl
        INDEX:	P30W1
      OFFSETS:	0-5
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAyokil_1]
   UNSPLITVOC:	(mAyokil)
          POS:	NOUN_PROP
          VOC:	mAyokil
        GLOSS:	Michael

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P30W2
      OFFSETS:	6-7
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P30W3
      OFFSETS:	7-8
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P30W4
      OFFSETS:	8-9
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P30W5
      OFFSETS:	9-10
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P30W6
      OFFSETS:	11-13
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	every/entire/all

 INPUT STRING:	شيء
     IS_TRANS:	$y'
        INDEX:	P30W7
      OFFSETS:	14-17
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iy'_1]
   UNSPLITVOC:	($iy')
          POS:	NOUN
          VOC:	$iy'
        GLOSS:	something/thing/things

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P30W8
      OFFSETS:	18-22
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P30W9
      OFFSETS:	23-24
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P30W10
      OFFSETS:	24-25
       TOKENS:	P30W10-P30W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P30W11
      OFFSETS:	25-26
       TOKENS:	P30W11-P30W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P30W12
      OFFSETS:	26-27
       TOKENS:	P30W12-P30W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P30W13
      OFFSETS:	27-28
       TOKENS:	P30W13-P30W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P31W1
      OFFSETS:	0-4
       TOKENS:	P31W1-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يهدينا
     IS_TRANS:	yhdynA
        INDEX:	P31W2
      OFFSETS:	5-11
       TOKENS:	P31W3-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaY_1]
   UNSPLITVOC:	(yihodiynA)
          POS:	IV3MS+IV+IVSUFF_DO:1P
          VOC:	yi+hodiy+nA
        GLOSS:	he/it+guide/direct/lead/be guided/be directed/be led+us

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P31W3
      OFFSETS:	12-13
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	يهدي
     IS_TRANS:	yhdy
        INDEX:	P31W4
      OFFSETS:	14-18
       TOKENS:	P31W6-P31W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaY_1]
   UNSPLITVOC:	(yihodiy)
          POS:	IV3MS+IV
          VOC:	yi+hodiy
        GLOSS:	he/it+guide/direct/lead/be guided/be directed/be led

 INPUT STRING:	الجميع
     IS_TRANS:	AljmyE
        INDEX:	P31W5
      OFFSETS:	19-25
       TOKENS:	P31W7-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(AljamiyE)
          POS:	DET+NOUN
          VOC:	Al+jamiyE
        GLOSS:	the+all, entire, every, whole

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P31W6
      OFFSETS:	25-26
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P31W7
      OFFSETS:	28-29
       TOKENS:	P31W9-P31W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P31W8
      OFFSETS:	31-32
       TOKENS:	P31W10-P31W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P31W9
      OFFSETS:	34-35
       TOKENS:	P31W11-P31W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	لعن
     IS_TRANS:	lEn
        INDEX:	P32W1
      OFFSETS:	0-3
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laEan_1]
   UNSPLITVOC:	(laEan)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	laEan+(null)
        GLOSS:	curse/damn+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P32W2
      OFFSETS:	4-8
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	المتشبهين
     IS_TRANS:	Almt$bhyn
        INDEX:	P32W3
      OFFSETS:	9-18
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muta$ab~ih_1]
   UNSPLITVOC:	(Almuta$ab~ihiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+muta$ab~ih+iyn
        GLOSS:	the+imitating+[pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P32W4
      OFFSETS:	19-21
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الراجل
     IS_TRANS:	AlrAjl
        INDEX:	P32W5
      OFFSETS:	22-28
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(Alr~Ajil)
          POS:	DET+NOUN
          VOC:	Al+rAjil
        GLOSS:	the+man

 INPUT STRING:	بالنساء
     IS_TRANS:	bAlnsA'
        INDEX:	P32W6
      OFFSETS:	29-36
       TOKENS:	P32W6-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(biAln~isA')
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+nisA'
        GLOSS:	with/by+the+women

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P33W1
      OFFSETS:	0-1
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	حاليا
     IS_TRANS:	HAlyA
        INDEX:	P33W2
      OFFSETS:	2-7
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy~_1]
   UNSPLITVOC:	(HAliy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	HAliy~+AF
        GLOSS:	present/current+[acc.indef.]

 INPUT STRING:	تقريبا
     IS_TRANS:	tqrybA
        INDEX:	P33W3
      OFFSETS:	8-14
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoriyb_1]
   UNSPLITVOC:	(taqoriybAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	taqoriyb+AF
        GLOSS:	approximation/bringing close/drawing near+[acc.indef.]

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P33W4
      OFFSETS:	15-19
       TOKENS:	P33W4-P33W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P33W5
      OFFSETS:	20-22
       TOKENS:	P33W5-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	معروف
     IS_TRANS:	mErwf
        INDEX:	P33W6
      OFFSETS:	23-28
       TOKENS:	P33W6-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoruwf_1]
   UNSPLITVOC:	(maEoruwf)
          POS:	ADJ
          VOC:	maEoruwf
        GLOSS:	known/well-known

 INPUT STRING:	نوعه
     IS_TRANS:	nwEh
        INDEX:	P33W7
      OFFSETS:	29-33
       TOKENS:	P33W7-P33W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawE_1]
   UNSPLITVOC:	(nuwEuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nuwE+uh
        GLOSS:	type/kind/form+his/its

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P34W1
      OFFSETS:	0-2
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	خلق
     IS_TRANS:	xlq
        INDEX:	P34W2
      OFFSETS:	3-6
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xuliq_1]
   UNSPLITVOC:	(xuliq)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	xuliq+(null)
        GLOSS:	created/molded/shaped+he/it [verb]

 INPUT STRING:	ذكر
     IS_TRANS:	*kr
        INDEX:	P34W3
      OFFSETS:	7-10
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ikor_1]
   UNSPLITVOC:	(*ikor)
          POS:	NOUN
          VOC:	*ikor
        GLOSS:	male

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P34W4
      OFFSETS:	11-12
       TOKENS:	P34W4-P34W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P34W5
      OFFSETS:	13-15
       TOKENS:	P34W5-P34W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lam_1]
   UNSPLITVOC:	(lam)
          POS:	NEG_PART
          VOC:	lam
        GLOSS:	did not

 INPUT STRING:	يرضى
     IS_TRANS:	yrDY
        INDEX:	P34W6
      OFFSETS:	16-20
       TOKENS:	P34W6-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riDiy_1]
   UNSPLITVOC:	(yaroDaY)
          POS:	IV3MS+IV
          VOC:	ya+roDaY
        GLOSS:	he/it+agree/aprove

 INPUT STRING:	بذلك
     IS_TRANS:	b*lk
        INDEX:	P34W7
      OFFSETS:	21-25
       TOKENS:	P34W7-P34W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(bi*alik)
          POS:	PREP+DEM_PRON_MS
          VOC:	bi+*alik
        GLOSS:	with/by+that

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P34W8
      OFFSETS:	26-27
       TOKENS:	P34W9-P34W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	شاف
     IS_TRANS:	$Af
        INDEX:	P34W9
      OFFSETS:	28-31
       TOKENS:	P34W10-P34W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($Af)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$Af+(null)
        GLOSS:	look+he/it

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P34W10
      OFFSETS:	32-35
       TOKENS:	P34W11-P34W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
