 INPUT STRING:	ماتأخذونيش
      COMMENT:	[]
        LEMMA:	[<idArap_1]
   UNSPLITVOC:	(<idArathu)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	<idAr+at+hu
        GLOSS:	administration/management/bureau+[fem.sg.]+his/its

 INPUT STRING:	للمنافسه
     IS_TRANS:	llmnAfsh
        INDEX:	P70W15
      OFFSETS:	75-83
       TOKENS:	P70W21-P70W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munAfosap_1]
   UNSPLITVOC:	(lilmunAfosap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+munAfos+ap
        GLOSS:	to/for+the+competition/rivalry+[fem.sg.]

 INPUT STRING:	والقياده
     IS_TRANS:	wAlqyAdh
        INDEX:	P70W16
      OFFSETS:	84-92
       TOKENS:	P70W23-P70W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiyAdap_1]
   UNSPLITVOC:	(wiAlqiyAdap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+qiyAd+ap
        GLOSS:	and+the+leadership/command+[fem.sg.]

 INPUT STRING:	بخصوص
     IS_TRANS:	bxSwS
        INDEX:	P71W1
      OFFSETS:	0-5
       TOKENS:	P71W1-P71W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuSuwS_1]
   UNSPLITVOC:	(bixuSuwS)
          POS:	PREP+NOUN
          VOC:	bi+xuSuwS
        GLOSS:	with/by+matter/issue/regard/respect/especially/in particular

 INPUT STRING:	النهارده
     IS_TRANS:	AlnhArdh
        INDEX:	P71W2
      OFFSETS:	6-14
       TOKENS:	P71W3-P71W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlnhArdh)
          POS:	NO_FUNC
          VOC:	AlnhArdh
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P71W3
      OFFSETS:	15-18
       TOKENS:	P71W4-P71W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	قريت
     IS_TRANS:	qryt
        INDEX:	P71W4
      OFFSETS:	19-23
       TOKENS:	P71W5-P71W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarA_1]
   UNSPLITVOC:	(qarayt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qar+ayt
        GLOSS:	read+I

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P71W5
      OFFSETS:	24-31
       TOKENS:	P71W6-P71W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P71W6
      OFFSETS:	32-34
       TOKENS:	P71W7-P71W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	امبارح
     IS_TRANS:	AmbArH
        INDEX:	P71W7
      OFFSETS:	35-41
       TOKENS:	P71W8-P71W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimobAriH_1]
   UNSPLITVOC:	(AimobAriH)
          POS:	NOUN
          VOC:	AimobAriH
        GLOSS:	yesterday

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P71W8
      OFFSETS:	42-44
       TOKENS:	P71W9-P71W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	قولت
     IS_TRANS:	qwlt
        INDEX:	P71W9
      OFFSETS:	45-49
       TOKENS:	P71W10-P71W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwlt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	quwl+t
        GLOSS:	said+I

 INPUT STRING:	اصبر
     IS_TRANS:	ASbr
        INDEX:	P71W10
      OFFSETS:	50-54
       TOKENS:	P71W11-P71W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sab~ar_1]
   UNSPLITVOC:	(AaSab~ar)
          POS:	IV1S+IV
          VOC:	Aa+Sab~ar
        GLOSS:	I+be patient/endure

 INPUT STRING:	واشوف
     IS_TRANS:	wA$wf
        INDEX:	P71W11
      OFFSETS:	55-60
       TOKENS:	P71W12-P71W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(wiAa$uwf)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+$uwf
        GLOSS:	and+I+look

 INPUT STRING:	مكنتش
     IS_TRANS:	mknt$
        INDEX:	P72W1
      OFFSETS:	0-5
       TOKENS:	P72W1-P72W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_kunti$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	mA+kun+t+$
        GLOSS:	not+be+I+not

 INPUT STRING:	متصوره
     IS_TRANS:	mtSwrh
        INDEX:	P72W2
      OFFSETS:	6-12
       TOKENS:	P72W4-P72W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitoSaw~ar_1]
   UNSPLITVOC:	(mitoSaw~arap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	mitoSaw~ar+ap
        GLOSS:	imagining/envisioning/pondering/depicting+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P72W3
      OFFSETS:	13-15
       TOKENS:	P72W5-P72W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~a)
          POS:	SUB_CONJ
          VOC:	<in~a
        GLOSS:	that

 INPUT STRING:	الاعداد
     IS_TRANS:	AlAEdAd
        INDEX:	P72W4
      OFFSETS:	16-23
       TOKENS:	P72W6-P72W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEodAd_1]
   UNSPLITVOC:	(AlAiEodAd)
          POS:	DET+NOUN
          VOC:	Al+AiEodAd
        GLOSS:	the+numbers

 INPUT STRING:	هتكون
     IS_TRANS:	htkwn
        INDEX:	P72W5
      OFFSETS:	24-29
       TOKENS:	P72W7-P72W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Hatikuwn)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+kuwn
        GLOSS:	will+it/they/she+be

 INPUT STRING:	بالضخامه
     IS_TRANS:	bAlDxAmh
        INDEX:	P72W6
      OFFSETS:	30-38
       TOKENS:	P72W9-P72W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaxAmap_1]
   UNSPLITVOC:	(biAlD~axAmap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+DaxAm+ap
        GLOSS:	with/by+the+bulkiness/voluminosity+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P72W7
      OFFSETS:	39-41
       TOKENS:	P72W11-P72W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P73W1
      OFFSETS:	0-4
       TOKENS:	P73W1-P73W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	actually/in effect+[acc.indef.]

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P73W2
      OFFSETS:	5-9
       TOKENS:	P73W2-P73W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	غفيره
     IS_TRANS:	gfyrh
        INDEX:	P73W3
      OFFSETS:	10-15
       TOKENS:	P73W3-P73W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gafiyr_1]
   UNSPLITVOC:	(gafiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	gafiyr+ap
        GLOSS:	numerous/abundant+[fem.sg.]

 INPUT STRING:	وغير
     IS_TRANS:	wgyr
        INDEX:	P73W4
      OFFSETS:	16-20
       TOKENS:	P73W4-P73W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(wigayor)
          POS:	CONJ+NOUN
          VOC:	wi+gayor
        GLOSS:	and+not/other

 INPUT STRING:	همجيه
     IS_TRANS:	hmjyh
        INDEX:	P73W5
      OFFSETS:	21-26
       TOKENS:	P73W6-P73W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hamajiy_1]
   UNSPLITVOC:	(hamajiyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	hamajiy+ap
        GLOSS:	rude/uncivilized/barbaric+[fem.sg.]

 INPUT STRING:	ومنظمه
     IS_TRANS:	wmnZmh
        INDEX:	P73W6
      OFFSETS:	27-33
       TOKENS:	P73W7-P73W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munaZ~amap_1]
   UNSPLITVOC:	(wimunaZ~amap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+munaZ~am+ap
        GLOSS:	and+organized/orderly/arranged+[fem.sg.]

 INPUT STRING:	حضاريه
     IS_TRANS:	HDAryh
        INDEX:	P73W7
      OFFSETS:	34-40
       TOKENS:	P73W9-P73W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaDAriy_1]
   UNSPLITVOC:	(HaDAriy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	HaDAriy~+ap
        GLOSS:	civilized/cultural+[fem.sg.]

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P73W8
      OFFSETS:	41-45
       TOKENS:	P73W10-P73W10
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yEny)
          POS:	NO_FUNC
          VOC:	yEny
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P73W9
      OFFSETS:	46-47
       TOKENS:	P73W11-P73W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P74W1
      OFFSETS:	0-2
       TOKENS:	P74W1-P74W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بعيدا
     IS_TRANS:	bEydA
        INDEX:	P74W2
      OFFSETS:	3-8
       TOKENS:	P74W2-P74W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEiyd_1]
   UNSPLITVOC:	(baEiydAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	baEiyd+AF
        GLOSS:	far away (from)+[acc.indef.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P74W3
      OFFSETS:	9-11
       TOKENS:	P74W3-P74W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	نتايجها
     IS_TRANS:	ntAyjhA
        INDEX:	P74W4
      OFFSETS:	12-19
       TOKENS:	P74W4-P74W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[natiyjap_1]
   UNSPLITVOC:	(ntAyjhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	natAyj+hA
        GLOSS:	results+it/them/her

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P74W5
      OFFSETS:	20-23
       TOKENS:	P74W6-P74W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whom/whose/that

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P74W6
      OFFSETS:	24-28
       TOKENS:	P74W7-P74W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite

 INPUT STRING:	هيكون
     IS_TRANS:	hykwn
        INDEX:	P74W7
      OFFSETS:	29-34
       TOKENS:	P74W8-P74W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(hykwn)
          POS:	NO_FUNC
          VOC:	hykwn
        GLOSS:	nogloss

 INPUT STRING:	ليها
     IS_TRANS:	lyhA
        INDEX:	P74W8
      OFFSETS:	35-39
       TOKENS:	P74W9-P74W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyhA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/for+it/them/her (it/she has, they have)

 INPUT STRING:	نتايج
     IS_TRANS:	ntAyj
        INDEX:	P74W9
      OFFSETS:	40-45
       TOKENS:	P74W11-P74W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[natiyjap_1]
   UNSPLITVOC:	(natAyij)
          POS:	NOUN
          VOC:	natAyij
        GLOSS:	results/consequences

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P75W1
      OFFSETS:	0-2
       TOKENS:	P75W1-P75W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مدى
     IS_TRANS:	mdY
        INDEX:	P75W2
      OFFSETS:	3-6
       TOKENS:	P75W2-P75W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madaY_1]
   UNSPLITVOC:	(madaY)
          POS:	NOUN
          VOC:	madaY
        GLOSS:	extent/range/period/duration

 INPUT STRING:	النتائج
     IS_TRANS:	AlntA}j
        INDEX:	P75W3
      OFFSETS:	7-14
       TOKENS:	P75W3-P75W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[natiyjap_1]
   UNSPLITVOC:	(Aln~atA}ij)
          POS:	DET+NOUN
          VOC:	Al+natA}ij
        GLOSS:	the+results/consequences

 INPUT STRING:	واهميتها
     IS_TRANS:	wAhmythA
        INDEX:	P75W4
      OFFSETS:	15-23
       TOKENS:	P75W4-P75W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aham~iy~ap_1]
   UNSPLITVOC:	(wi>aham~iy~ithA)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	wi+>aham~iy~+ap+hA
        GLOSS:	and+importance/significance+[fem.sg.]+its/their/her

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P75W5
      OFFSETS:	24-26
       TOKENS:	P75W7-P75W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	no/not

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P75W6
      OFFSETS:	27-29
       TOKENS:	P75W8-P75W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	الوقتيه
     IS_TRANS:	Alwqtyh
        INDEX:	P75W7
      OFFSETS:	30-37
       TOKENS:	P75W9-P75W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqotiy_1]
   UNSPLITVOC:	(Alwaqotiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+waqotiy~+ap
        GLOSS:	the+temporal/temporary/provisional+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P75W8
      OFFSETS:	38-40
       TOKENS:	P75W10-P75W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	القادمه
     IS_TRANS:	AlqAdmh
        INDEX:	P75W9
      OFFSETS:	41-48
       TOKENS:	P75W11-P75W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAdim_2]
   UNSPLITVOC:	(AlqAdimap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qAdim+ap
        GLOSS:	the+next/following/future+[fem.sg.]

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P75W10
      OFFSETS:	49-52
       TOKENS:	P75W12-P75W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	هنتعرف
     IS_TRANS:	hntErf
        INDEX:	P75W11
      OFFSETS:	53-59
       TOKENS:	P75W13-P75W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ear~af_1]
   UNSPLITVOC:	(hanitoEar~af)
          POS:	FUT_PART+IV1P+IV
          VOC:	ha+ni+toEar~af
        GLOSS:	will+we+know

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P75W12
      OFFSETS:	60-64
       TOKENS:	P75W15-P75W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	الراجل
     IS_TRANS:	AlrAjl
        INDEX:	P76W1
      OFFSETS:	0-6
       TOKENS:	P76W1-P76W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(Alr~Ajil)
          POS:	DET+NOUN
          VOC:	Al+rAjil
        GLOSS:	the+man

 INPUT STRING:	قرر
     IS_TRANS:	qrr
        INDEX:	P76W2
      OFFSETS:	7-10
       TOKENS:	P76W2-P76W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qar~ar_1]
   UNSPLITVOC:	(qar~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qar~ar+(null)
        GLOSS:	decide/resolve+he/it [verb]

 INPUT STRING:	يترك
     IS_TRANS:	ytrk
        INDEX:	P76W3
      OFFSETS:	11-15
       TOKENS:	P76W3-P76W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ytrk)
          POS:	NO_FUNC
          VOC:	ytrk
        GLOSS:	nogloss

 INPUT STRING:	الأضواء
     IS_TRANS:	Al>DwA'
        INDEX:	P76W4
      OFFSETS:	16-23
       TOKENS:	P76W4-P76W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daw'_1]
   UNSPLITVOC:	(Al>aDowA')
          POS:	DET+NOUN
          VOC:	Al+>aDuwA'
        GLOSS:	the+lights

 INPUT STRING:	للشباب
     IS_TRANS:	ll$bAb
        INDEX:	P76W5
      OFFSETS:	24-30
       TOKENS:	P76W5-P76W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(lil$~abAb)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+$abAb
        GLOSS:	for/to+the+young man/young men

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P76W6
      OFFSETS:	31-34
       TOKENS:	P76W7-P76W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	يسرقها
     IS_TRANS:	ysrqhA
        INDEX:	P76W7
      OFFSETS:	35-41
       TOKENS:	P76W9-P76W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ysrqhA)
          POS:	NO_FUNC
          VOC:	ysrqhA
        GLOSS:	nogloss

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P76W8
      OFFSETS:	42-46
       TOKENS:	P76W10-P76W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhum)
          POS:	PREP+PRON_3P
          VOC:	min+hum
        GLOSS:	from+them

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P76W9
      OFFSETS:	47-48
       TOKENS:	P76W12-P76W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P77W1
      OFFSETS:	0-2
       TOKENS:	P77W1-P77W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	إنى
     IS_TRANS:	<nY
        INDEX:	P77W2
      OFFSETS:	3-6
       TOKENS:	P77W2-P77W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(Aniy)
          POS:	PRON_1S
          VOC:	Aniy
        GLOSS:	I

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P77W3
      OFFSETS:	7-10
       TOKENS:	P77W3-P77W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be+I

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P77W4
      OFFSETS:	11-13
       TOKENS:	P77W4-P77W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الموقعين
     IS_TRANS:	AlmwqEyn
        INDEX:	P77W5
      OFFSETS:	14-22
       TOKENS:	P77W5-P77W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
