 INPUT STRING:	مبارك
          VOC:	Al+salafiy~+ap
        GLOSS:	the+Salafist/Salafi+[fem.sg.]

 INPUT STRING:	بيصوروها
     IS_TRANS:	bySwrwhA
        INDEX:	P51W4
      OFFSETS:	17-25
       TOKENS:	P51W4-P51W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saw~ar_1]
   UNSPLITVOC:	(biyiSaw~aruwhA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	bi+yi+Saw~ar+uwA+hA
        GLOSS:	[present-tense]+they+draw/portray/film/photograph/be filmed/be photographed+we+it/them/her

 INPUT STRING:	للناس
     IS_TRANS:	llnAs
        INDEX:	P51W5
      OFFSETS:	26-31
       TOKENS:	P51W7-P51W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(liln~As)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+nAs
        GLOSS:	for/to+the+people

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P51W6
      OFFSETS:	32-35
       TOKENS:	P51W9-P51W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P51W7
      OFFSETS:	36-40
       TOKENS:	P51W10-P51W10
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AnhA)
          POS:	NO_FUNC
          VOC:	AnhA
        GLOSS:	nogloss

 INPUT STRING:	دولة
     IS_TRANS:	dwlp
        INDEX:	P51W8
      OFFSETS:	41-45
       TOKENS:	P51W11-P51W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(dawlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawl+ap
        GLOSS:	state/country/states/countries+[fem.sg.]

 INPUT STRING:	الفجر
     IS_TRANS:	Alfjr
        INDEX:	P51W9
      OFFSETS:	46-51
       TOKENS:	P51W12-P51W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fujor_1]
   UNSPLITVOC:	(Alfujor)
          POS:	DET+NOUN
          VOC:	Al+fujor
        GLOSS:	the+immorality

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P51W10
      OFFSETS:	52-53
       TOKENS:	P51W13-P51W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	المجون
     IS_TRANS:	Almjwn
        INDEX:	P51W11
      OFFSETS:	54-60
       TOKENS:	P51W14-P51W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijaw~in_1]
   UNSPLITVOC:	(Almijaw~in)
          POS:	DET+NOUN
          VOC:	Al+mijaw~in
        GLOSS:	the+buffoonery/impudence

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P51W12
      OFFSETS:	60-61
       TOKENS:	P51W15-P51W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	فحتى
     IS_TRANS:	fHtY
        INDEX:	P52W1
      OFFSETS:	0-4
       TOKENS:	P52W1-P52W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(faHat~aY)
          POS:	SUB_CONJ+PREP
          VOC:	fa+Hat~aY
        GLOSS:	because/therefore/as+until/up to

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P52W2
      OFFSETS:	5-8
       TOKENS:	P52W3-P52W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hizb_1]
   UNSPLITVOC:	(Hizb)
          POS:	NOUN_PROP
          VOC:	Hizb
        GLOSS:	Hizb/Hezb

 INPUT STRING:	الوسط
     IS_TRANS:	AlwsT
        INDEX:	P52W3
      OFFSETS:	9-14
       TOKENS:	P52W4-P52W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wasaT_1]
   UNSPLITVOC:	(AlwasaT)
          POS:	DET+NOUN_PROP
          VOC:	Al+wasaT
        GLOSS:	the+Wasat

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P52W4
      OFFSETS:	15-19
       TOKENS:	P52W5-P52W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	خد
     IS_TRANS:	xd
        INDEX:	P52W5
      OFFSETS:	20-22
       TOKENS:	P52W6-P52W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xad_1]
   UNSPLITVOC:	(xad)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	xad+(null)
        GLOSS:	receive/carry/take+he/it

 INPUT STRING:	حكم
     IS_TRANS:	Hkm
        INDEX:	P52W6
      OFFSETS:	23-26
       TOKENS:	P52W7-P52W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(Hukom)
          POS:	NOUN
          VOC:	Hukom
        GLOSS:	judgment/decision/verdict/statutes/laws/judgments/decisions/verdicts

 INPUT STRING:	محكمة
     IS_TRANS:	mHkmp
        INDEX:	P52W7
      OFFSETS:	27-32
       TOKENS:	P52W8-P52W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHokamap_1]
   UNSPLITVOC:	(maHokamap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maHokam+ap
        GLOSS:	court/tribunal/courts/tribunals+[fem.sg.]

 INPUT STRING:	تاريخي
     IS_TRANS:	tAryxy
        INDEX:	P52W8
      OFFSETS:	33-39
       TOKENS:	P52W9-P52W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyxiy_1]
   UNSPLITVOC:	(tAriyxiy)
          POS:	ADJ
          VOC:	tAriyxiy
        GLOSS:	historical/chronological/historic

 INPUT STRING:	النهاردة
     IS_TRANS:	AlnhArdp
        INDEX:	P52W9
      OFFSETS:	40-48
       TOKENS:	P52W10-P52W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahArodap_1]
   UNSPLITVOC:	(Aln~ahArodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nahArod+ap
        GLOSS:	the+this day+[fem.sg.]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P52W10
      OFFSETS:	48-49
       TOKENS:	P52W11-P52W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	بيتقبل
     IS_TRANS:	bytqbl
        INDEX:	P52W11
      OFFSETS:	50-56
       TOKENS:	P52W12-P52W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitqab~il_1]
   UNSPLITVOC:	(biyitoqab~il)
          POS:	PROG_PART+IV3MS+IV_PASS
          VOC:	bi+yi+toqab~il
        GLOSS:	[present-tense]+he/it+agree/receive/accept

 INPUT STRING:	فكرة
     IS_TRANS:	fkrp
        INDEX:	P52W12
      OFFSETS:	57-61
       TOKENS:	P52W14-P52W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	دولة
     IS_TRANS:	dwlp
        INDEX:	P52W13
      OFFSETS:	62-66
       TOKENS:	P52W15-P52W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(dawlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawl+ap
        GLOSS:	state/country/states/countries+[fem.sg.]

 INPUT STRING:	قائمة
     IS_TRANS:	qA}mp
        INDEX:	P52W14
      OFFSETS:	67-72
       TOKENS:	P52W16-P52W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qA}im_2]
   UNSPLITVOC:	(qA}imap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	qA}im+ap
        GLOSS:	ongoing/existing/present/remaining/standing/upright+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P52W15
      OFFSETS:	73-76
       TOKENS:	P52W17-P52W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المواطنة
     IS_TRANS:	AlmwATnp
        INDEX:	P52W16
      OFFSETS:	77-85
       TOKENS:	P52W18-P52W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwATnap_1]
   UNSPLITVOC:	(AlmuwATnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+muwATn+ap
        GLOSS:	the+citizenship+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P52W17
      OFFSETS:	85-86
       TOKENS:	P52W19-P52W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	الفساد
     IS_TRANS:	AlfsAd
        INDEX:	P53W1
      OFFSETS:	0-6
       TOKENS:	P53W1-P53W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(AlfasAd)
          POS:	DET+NOUN
          VOC:	Al+fasAd
        GLOSS:	the+corruption/deterioration/decomposition

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P53W2
      OFFSETS:	7-9
       TOKENS:	P53W2-P53W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هيتغير
     IS_TRANS:	hytgyr
        INDEX:	P53W3
      OFFSETS:	10-16
       TOKENS:	P53W3-P53W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitogay~ar_1]
   UNSPLITVOC:	(Hayitogay~ar)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+togay~ar
        GLOSS:	will+he/it+be changed/modify/be modified/change

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P53W4
      OFFSETS:	17-19
       TOKENS:	P53W5-P53W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P53W5
      OFFSETS:	20-23
       TOKENS:	P53W6-P53W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	ever/period/day/today/some day

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P53W6
      OFFSETS:	24-25
       TOKENS:	P53W7-P53W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	ليلة
     IS_TRANS:	lylp
        INDEX:	P53W7
      OFFSETS:	26-30
       TOKENS:	P53W8-P53W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laylap_1]
   UNSPLITVOC:	(laylap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	layl+ap
        GLOSS:	soire/evenings/evening/night/nights/nighttime/at night+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P54W1
      OFFSETS:	0-1
       TOKENS:	P54W1-P54W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	التغير
     IS_TRANS:	Altgyr
        INDEX:	P54W2
      OFFSETS:	2-8
       TOKENS:	P54W2-P54W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagay~ur_1]
   UNSPLITVOC:	(Alt~agay~ur)
          POS:	DET+NOUN
          VOC:	Al+tagay~ur
        GLOSS:	the+changes/variations/variation/change

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P54W3
      OFFSETS:	9-10
       TOKENS:	P54W3-P54W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	نوعة
     IS_TRANS:	nwEp
        INDEX:	P54W4
      OFFSETS:	11-15
       TOKENS:	P54W4-P54W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[nuwE_1]
   UNSPLITVOC:	(nuwEuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nuwE+uh
        GLOSS:	kind/type/kinds/species+his/its

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P54W5
      OFFSETS:	16-17
       TOKENS:	P54W6-P54W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	أسلوبه
     IS_TRANS:	>slwbh
        INDEX:	P54W6
      OFFSETS:	18-24
       TOKENS:	P54W7-P54W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>usluwb_1]
   UNSPLITVOC:	(>usluwbuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>usluwb+uh
        GLOSS:	style/method/manner/methods/modes+his/its

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P54W7
      OFFSETS:	25-26
       TOKENS:	P54W9-P54W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	إتجاهه
     IS_TRANS:	<tjAhh
        INDEX:	P54W8
      OFFSETS:	27-33
       TOKENS:	P54W10-P54W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<itijAh_1]
   UNSPLITVOC:	(<itijAhh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	<itijAh+uh
        GLOSS:	direction+his/its

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P54W9
      OFFSETS:	34-38
       TOKENS:	P54W12-P54W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kul~__1]
   UNSPLITVOC:	(kul~hA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~+hA
        GLOSS:	all/entire/every/whole+its/their/her

 INPUT STRING:	تعتمد
     IS_TRANS:	tEtmd
        INDEX:	P54W10
      OFFSETS:	39-44
       TOKENS:	P54W14-P54W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotamad_1]
   UNSPLITVOC:	(tiEotimid)
          POS:	IV3FS+IV
          VOC:	ti+Eotimid
        GLOSS:	it/they/she+depend/rely/rely (on)

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P54W11
      OFFSETS:	45-48
       TOKENS:	P54W15-P54W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	العمل
     IS_TRANS:	AlEml
        INDEX:	P54W12
      OFFSETS:	49-54
       TOKENS:	P54W16-P54W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AlEamal)
          POS:	DET+NOUN
          VOC:	Al+Eamal
        GLOSS:	the+work/action/actions/activities

 INPUT STRING:	الجاد
     IS_TRANS:	AljAd
        INDEX:	P54W13
      OFFSETS:	55-60
       TOKENS:	P54W17-P54W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jAd_1]
   UNSPLITVOC:	(AljAd)
          POS:	DET+ADJ
          VOC:	Al+jAd
        GLOSS:	the+serious

 INPUT STRING:	لمصلحة
     IS_TRANS:	lmSlHp
        INDEX:	P54W14
      OFFSETS:	61-67
       TOKENS:	P54W18-P54W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(limaSolaHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+maSolaH+ap
        GLOSS:	for/to+interest/advantage/favor/interests/advantages/department/agency/departments+[fem.sg.]

 INPUT STRING:	الوطن
     IS_TRANS:	AlwTn
        INDEX:	P54W15
      OFFSETS:	68-73
       TOKENS:	P54W20-P54W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(AlwaTan)
          POS:	DET+NOUN
          VOC:	Al+waTan
        GLOSS:	the+nation/homeland/nations/homelands

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P54W16
      OFFSETS:	73-74
       TOKENS:	P54W21-P54W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P55W1
      OFFSETS:	0-5
       TOKENS:	P55W1-P55W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+troops/army

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P55W2
      OFFSETS:	6-8
       TOKENS:	P55W2-P55W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lam_1]
   UNSPLITVOC:	(lam)
          POS:	NEG_PART
          VOC:	lam
        GLOSS:	did not

 INPUT STRING:	يتدخل
     IS_TRANS:	ytdxl
        INDEX:	P55W3
      OFFSETS:	9-14
       TOKENS:	P55W3-P55W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitdax~al_1]
   UNSPLITVOC:	(yitdax~al)
          POS:	IV3MS+IV
          VOC:	yi+tdax~al
        GLOSS:	he/it+interfere/intrude/intervene

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P55W4
      OFFSETS:	15-17
       TOKENS:	P55W4-P55W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	موقعة
     IS_TRANS:	mwqEp
        INDEX:	P55W5
      OFFSETS:	18-23
       TOKENS:	P55W5-P55W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqiEap_1]
   UNSPLITVOC:	(mawqiEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mawqiE+ap
        GLOSS:	incident/event/battlefield+[fem.sg.]

 INPUT STRING:	الجمل
     IS_TRANS:	Aljml
        INDEX:	P55W6
      OFFSETS:	24-29
       TOKENS:	P55W6-P55W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamal_1]
   UNSPLITVOC:	(Aljamal)
          POS:	DET+NOUN
          VOC:	Al+jamal
        GLOSS:	the+camel/camels

 INPUT STRING:	لنفس
     IS_TRANS:	lnfs
        INDEX:	P55W7
      OFFSETS:	30-34
       TOKENS:	P55W7-P55W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(linafos)
          POS:	PREP+NOUN
          VOC:	li+nafos
        GLOSS:	for/to+same/self/selves/soul/souls

 INPUT STRING:	السبب
     IS_TRANS:	Alsbb
        INDEX:	P55W8
      OFFSETS:	35-40
       TOKENS:	P55W9-P55W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(Als~abab)
          POS:	DET+NOUN
          VOC:	Al+sabab
        GLOSS:	the+reason/cause/because of/due to/reasons/causes/circumstances

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P55W9
      OFFSETS:	41-45
       TOKENS:	P55W10-P55W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	بيخليه
     IS_TRANS:	byxlyh
        INDEX:	P55W10
      OFFSETS:	46-52
       TOKENS:	P55W11-P55W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(biyixal~iyh)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	bi+yi+xal~iy+uh
        GLOSS:	[present-tense]+he/it+release/evacuate/allow/be released/be evacuated/be allowed+it/him

 INPUT STRING:	ميتبناش
     IS_TRANS:	mytbnA$
        INDEX:	P55W11
      OFFSETS:	53-60
       TOKENS:	P55W14-P55W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taban~aY_1]
   UNSPLITVOC:	(mAyitbanA$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+yi+tbanA+$
        GLOSS:	not+he/it+adopts+not

 INPUT STRING:	تعديل
     IS_TRANS:	tEdyl
        INDEX:	P55W12
      OFFSETS:	61-66
       TOKENS:	P55W17-P55W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEodiyl_1]
   UNSPLITVOC:	(taEodiyl)
          POS:	NOUN
          VOC:	taEodiyl
        GLOSS:	adjustment/change/modification/amendment

 INPUT STRING:	كامل
     IS_TRANS:	kAml
        INDEX:	P55W13
      OFFSETS:	67-71
       TOKENS:	P55W18-P55W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmil_1]
   UNSPLITVOC:	(kAmil)
          POS:	ADJ
          VOC:	kAmil
        GLOSS:	complete/full/integral

 INPUT STRING:	للدستور
     IS_TRANS:	lldstwr
        INDEX:	P55W14
      OFFSETS:	72-79
       TOKENS:	P55W19-P55W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(lild~usotuwr)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+dusotuwr
        GLOSS:	for/to+the+constitution/statute/constitutions/statutes

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P55W15
      OFFSETS:	79-80
       TOKENS:	P55W21-P55W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
