 INPUT STRING:	اغرب
          VOC:	wilAd
        GLOSS:	child/son

 INPUT STRING:	بلده
     IS_TRANS:	bldh
        INDEX:	P9W22
      OFFSETS:	103-107
       TOKENS:	P9W26-P9W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(baladuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	balad+uh
        GLOSS:	country/country/countries+his/its

 INPUT STRING:	وبرجع
     IS_TRANS:	wbrjE
        INDEX:	P10W1
      OFFSETS:	1-6
       TOKENS:	P10W1-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(wibAarojaE)
          POS:	CONJ+PROG_PART+IV1S+IV
          VOC:	wi+bi+Aa+rojaE
        GLOSS:	and+[present-tense]+I+return/go back

 INPUT STRING:	اقول
     IS_TRANS:	Aqwl
        INDEX:	P10W2
      OFFSETS:	7-11
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl)
          POS:	IV1S+IV
          VOC:	Aa+quwl
        GLOSS:	I+said/say/be said/say/(for example)

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P10W3
      OFFSETS:	12-14
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P10W4
      OFFSETS:	15-19
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kul~_2]
   UNSPLITVOC:	(kul~hum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all, entire, every, whole+their

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W5
      OFFSETS:	20-22
       TOKENS:	P10W8-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	مصرين
     IS_TRANS:	mSryn
        INDEX:	P10W6
      OFFSETS:	23-28
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSriy_1]
   UNSPLITVOC:	(maSriy~iyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	maSriy~+iyn
        GLOSS:	Egyptian+[masc.pl.]

 INPUT STRING:	كويسين
     IS_TRANS:	kwysyn
        INDEX:	P10W7
      OFFSETS:	29-35
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~isiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	kuway~is+iyn
        GLOSS:	good+[masc.pl.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P11W1
      OFFSETS:	1-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	الفكره
     IS_TRANS:	Alfkrh
        INDEX:	P11W2
      OFFSETS:	4-10
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(Alfikorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fikor+ap
        GLOSS:	the+idea/notion/concept+[fem.sg.]

 INPUT STRING:	العامه
     IS_TRANS:	AlEAmh
        INDEX:	P11W3
      OFFSETS:	11-17
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+EAm~+ap
        GLOSS:	the+general/common/public+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P11W4
      OFFSETS:	18-22
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	اخدوها
     IS_TRANS:	AxdwhA
        INDEX:	P11W5
      OFFSETS:	23-29
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(>axaduwhA)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3FS
          VOC:	>axad+uwA+hA
        GLOSS:	take+they+it/them/her

 INPUT STRING:	عننا
     IS_TRANS:	EnnA
        INDEX:	P11W6
      OFFSETS:	30-34
       TOKENS:	P11W7-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean~_1]
   UNSPLITVOC:	(Ean~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Ean~+nA
        GLOSS:	on/above+our

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P11W7
      OFFSETS:	35-37
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P11W8
      OFFSETS:	38-42
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P11W9
      OFFSETS:	43-47
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$_1]
   UNSPLITVOC:	(maEoli$)
          POS:	INTERJ
          VOC:	maEoli$
        GLOSS:	it does not matter

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P11W10
      OFFSETS:	48-50
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الكلمه
     IS_TRANS:	Alklmh
        INDEX:	P11W11
      OFFSETS:	51-57
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(Alkilomap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kilom+ap
        GLOSS:	the+word+[fem.sg.]

 INPUT STRING:	فقرا
     IS_TRANS:	fqrA
        INDEX:	P11W12
      OFFSETS:	58-62
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqiyr_1]
   UNSPLITVOC:	(fuqarA)
          POS:	ADJ
          VOC:	fuqarA
        GLOSS:	poor/destitute

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P11W13
      OFFSETS:	63-65
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	لاقين
     IS_TRANS:	lAqyn
        INDEX:	P11W14
      OFFSETS:	66-71
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqiy_1]
   UNSPLITVOC:	(lAqiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	lAq+iyn
        GLOSS:	finding+[masc.pl.]

 INPUT STRING:	ناكل
     IS_TRANS:	nAkl
        INDEX:	P11W15
      OFFSETS:	72-76
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakal_1]
   UNSPLITVOC:	(nAkul)
          POS:	IV1P+IV
          VOC:	n+Akul
        GLOSS:	we+eat

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P11W16
      OFFSETS:	77-79
       TOKENS:	P11W18-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	conj

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P11W17
      OFFSETS:	80-88
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptian+[masc.pl.]

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P11W18
      OFFSETS:	89-94
       TOKENS:	P11W20-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	with+God/Allah

 INPUT STRING:	كويسين
     IS_TRANS:	kwysyn
        INDEX:	P11W19
      OFFSETS:	95-101
       TOKENS:	P11W22-P11W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~isiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	kuway~is+iyn
        GLOSS:	good+[masc.pl.]

 INPUT STRING:	وجدعان
     IS_TRANS:	wjdEAn
        INDEX:	P11W20
      OFFSETS:	102-108
       TOKENS:	P11W23-P11W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadaE_1]
   UNSPLITVOC:	(wijidoEAn)
          POS:	CONJ+ADJ
          VOC:	wi+jidoEAn
        GLOSS:	and+strong/macho

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P11W21
      OFFSETS:	109-111
       TOKENS:	P11W25-P11W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ظروفهم
     IS_TRANS:	Zrwfhm
        INDEX:	P11W22
      OFFSETS:	112-118
       TOKENS:	P11W26-P11W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zarof_1]
   UNSPLITVOC:	(Zuruwfhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Zuruwf+hum
        GLOSS:	circumstance/condition/situation/circumstances/condition/situation+their

 INPUT STRING:	وحشه
     IS_TRANS:	wH$h
        INDEX:	P11W23
      OFFSETS:	119-123
       TOKENS:	P11W28-P11W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiHi$_1]
   UNSPLITVOC:	(wiHo$ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wiHo$+ap
        GLOSS:	bad+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P12W1
      OFFSETS:	1-5
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~nA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/god+our

 INPUT STRING:	يصلح
     IS_TRANS:	ySlH
        INDEX:	P12W2
      OFFSETS:	6-10
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSolaH_1]
   UNSPLITVOC:	(yiSoliH)
          POS:	IV3MS+IV
          VOC:	yi+SoliH
        GLOSS:	he/it+put in order/repair/be put in order/be repaired

 INPUT STRING:	الحال
     IS_TRANS:	AlHAl
        INDEX:	P12W3
      OFFSETS:	11-16
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(AlHAl)
          POS:	DET+NOUN
          VOC:	Al+HAl
        GLOSS:	the+situation/condition/case/situations/conditions/cases

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P13W1
      OFFSETS:	1-5
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	غريبة
     IS_TRANS:	grybp
        INDEX:	P13W2
      OFFSETS:	6-11
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gariyb_1]
   UNSPLITVOC:	(gariybap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	gariyb+ap
        GLOSS:	strange+[fem.sg.]

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P13W3
      OFFSETS:	12-15
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	seriousness/earnestness+[acc.indef.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P13W4
      OFFSETS:	16-18
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	صحيحة
     IS_TRANS:	SHyHp
        INDEX:	P13W5
      OFFSETS:	19-24
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyH_1]
   UNSPLITVOC:	(SaHiyHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	SaHiyH+ap
        GLOSS:	right+[fem.sg.]

 INPUT STRING:	تحياتى
     IS_TRANS:	tHyAtY
        INDEX:	P14W1
      OFFSETS:	1-7
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHiy~ap_1]
   UNSPLITVOC:	(taHiy~Atiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	taHiy~+At+iy
        GLOSS:	greeting/salute+[fem.pl.]+my

 INPUT STRING:	انته
     IS_TRANS:	Anth
        INDEX:	P15W1
      OFFSETS:	1-5
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aintah_1]
   UNSPLITVOC:	(Aintah)
          POS:	PRON_2MS
          VOC:	Aintah
        GLOSS:	you [masc.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P15W2
      OFFSETS:	6-9
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	حكايتك
     IS_TRANS:	HkAytk
        INDEX:	P15W3
      OFFSETS:	10-16
       TOKENS:	P15W3-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HikAyap_1]
   UNSPLITVOC:	(HikAytak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	HikAy+ap+ak
        GLOSS:	story+[fem.sg.]+your [masc.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P16W1
      OFFSETS:	1-3
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	كفايه
     IS_TRANS:	kfAyh
        INDEX:	P16W2
      OFFSETS:	4-9
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kifAyap_1]
   UNSPLITVOC:	(kifAyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kifAy+ap
        GLOSS:	enough/sufficient+[fem.sg.]

 INPUT STRING:	افلام
     IS_TRANS:	AflAm
        INDEX:	P16W3
      OFFSETS:	10-15
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiylm_1]
   UNSPLITVOC:	(AfolAm)
          POS:	NOUN
          VOC:	AfolAm
        GLOSS:	film/movie/films/movies

 INPUT STRING:	خالد
     IS_TRANS:	xAld
        INDEX:	P16W4
      OFFSETS:	16-20
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAlid_1]
   UNSPLITVOC:	(xAlid)
          POS:	NOUN_PROP
          VOC:	xAlid
        GLOSS:	Khalid

 INPUT STRING:	يوسف
     IS_TRANS:	ywsf
        INDEX:	P16W5
      OFFSETS:	21-25
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwsif_1]
   UNSPLITVOC:	(yuwsif)
          POS:	NOUN_PROP
          VOC:	yuwsif
        GLOSS:	Yousif/Yusif/Joseph

 INPUT STRING:	هتبقي
     IS_TRANS:	htbqy
        INDEX:	P17W1
      OFFSETS:	1-6
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(HatbqY)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+t+bqY
        GLOSS:	will+you+remain/last

 INPUT STRING:	انته
     IS_TRANS:	Anth
        INDEX:	P17W2
      OFFSETS:	7-11
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aintah_1]
   UNSPLITVOC:	(Aintah)
          POS:	PRON_2MS
          VOC:	Aintah
        GLOSS:	you [masc.sg.]

 INPUT STRING:	وهما
     IS_TRANS:	whmA
        INDEX:	P17W3
      OFFSETS:	12-16
       TOKENS:	P17W4-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wahum~a)
          POS:	CONJ+PRON_3P
          VOC:	wa+hum~a
        GLOSS:	and+they

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P18W1
      OFFSETS:	1-6
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	with+God/Allah

 INPUT STRING:	منا
     IS_TRANS:	mnA
        INDEX:	P18W2
      OFFSETS:	7-10
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mnA)
          POS:	NO_FUNC
          VOC:	mnA
        GLOSS:	nogloss

 INPUT STRING:	عارفه
     IS_TRANS:	EArfh
        INDEX:	P18W3
      OFFSETS:	11-16
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EArif_3]
   UNSPLITVOC:	(EArifap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArif+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	تقصدوا
     IS_TRANS:	tqSdwA
        INDEX:	P18W4
      OFFSETS:	17-23
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSad_1]
   UNSPLITVOC:	(tiqoSuduwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+qoSud+uwA
        GLOSS:	you+NOT_IN_LEXICON+[masc.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P18W5
      OFFSETS:	24-27
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	what

