 INPUT STRING:	الحكومة
     IS_TRANS:	ysry
        INDEX:	P11W3
      OFFSETS:	12-16
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saaY_1]
   UNSPLITVOC:	(yasoriy)
          POS:	IV3MS+IV
          VOC:	ya+soriy
        GLOSS:	he/it+flow/circulate/spread

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P11W4
      OFFSETS:	17-20
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/he

 INPUT STRING:	الفساد
     IS_TRANS:	AlfsAd
        INDEX:	P11W5
      OFFSETS:	21-27
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(AlfasAd)
          POS:	DET+NOUN
          VOC:	Al+fasAd
        GLOSS:	the+corruption

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P11W6
      OFFSETS:	28-29
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ومفيش
     IS_TRANS:	wmfy$
        INDEX:	P11W7
      OFFSETS:	30-35
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wmfy$)
          POS:	NO_FUNC
          VOC:	wmfy$
        GLOSS:	nogloss

 INPUT STRING:	عندهم
     IS_TRANS:	Endhm
        INDEX:	P11W8
      OFFSETS:	36-41
       TOKENS:	P11W9-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einoduhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Einodu+hum
        GLOSS:	with/at+their

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P11W9
      OFFSETS:	42-44
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	ضمير
     IS_TRANS:	Dmyr
        INDEX:	P11W10
      OFFSETS:	45-49
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Damiyr_1]
   UNSPLITVOC:	(Damiyr)
          POS:	NOUN
          VOC:	Damiyr
        GLOSS:	conscience/pronoun/consciences/pronouns

 INPUT STRING:	القضاء
     IS_TRANS:	AlqDA'
        INDEX:	P12W1
      OFFSETS:	0-6
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDA'_1]
   UNSPLITVOC:	(AlqaDA')
          POS:	DET+NOUN
          VOC:	Al+qaDA'
        GLOSS:	the+justice/judiciary

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P12W2
      OFFSETS:	7-8
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	خادم
     IS_TRANS:	xAdm
        INDEX:	P12W3
      OFFSETS:	9-13
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAdim_1]
   UNSPLITVOC:	(xAdim)
          POS:	ADJ
          VOC:	xAdim
        GLOSS:	serving/waiting on/assisting

 INPUT STRING:	للسلطة
     IS_TRANS:	llslTp
        INDEX:	P12W4
      OFFSETS:	14-20
       TOKENS:	P12W4-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(lils~uloTap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+suloT+ap
        GLOSS:	for/to+the+power/authority/rule/authorities/powers/authorities/rules+[fem.sg.]

 INPUT STRING:	يسري
     IS_TRANS:	ysry
        INDEX:	P12W5
      OFFSETS:	21-25
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saraY]
   UNSPLITVOC:	(yusoriy)
          POS:	IV3MS+IV
          VOC:	yu+soriy
        GLOSS:	he/it+issue

 INPUT STRING:	الاحكام
     IS_TRANS:	AlAHkAm
        INDEX:	P12W6
      OFFSETS:	26-33
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(Al>aHokAm)
          POS:	DET+NOUN
          VOC:	Al+>aHokAm
        GLOSS:	the+judgments/decisions//verdicts

 INPUT STRING:	الظالمة
     IS_TRANS:	AlZAlmp
        INDEX:	P12W7
      OFFSETS:	34-41
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ZAlim_1]
   UNSPLITVOC:	(AlZAlomap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+ZAlim+ap
        GLOSS:	the+oppressive/tyrannical+[fem.sg.]

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P12W8
      OFFSETS:	42-44
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites

 INPUT STRING:	المعارضين
     IS_TRANS:	AlmEArDyn
        INDEX:	P12W9
      OFFSETS:	45-54
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEAriD_1]
   UNSPLITVOC:	(AlmuEAriDiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+muEAriD+iyn
        GLOSS:	the+opponent/adversary/opposition+[masc.pl.]

 INPUT STRING:	السياسيين
     IS_TRANS:	AlsyAsyyn
        INDEX:	P12W10
      OFFSETS:	55-64
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(Als~iyAsiy~iyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+siyAsiy~+iyn
        GLOSS:	the+political+[masc.pl.]

 INPUT STRING:	وخاصة
     IS_TRANS:	wxASp
        INDEX:	P12W11
      OFFSETS:	65-70
       TOKENS:	P12W12-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~ap_1]
   UNSPLITVOC:	(wixAS~apF)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+CASE_INDEF_ACC
          VOC:	wi+xAS~+ap+F
        GLOSS:	and+elite/especially/particularly+[fem.sg.]+[indef.acc.]

 INPUT STRING:	الاسلاميين
     IS_TRANS:	AlAslAmyyn
        INDEX:	P12W12
      OFFSETS:	71-81
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisolAmiy_1]
   UNSPLITVOC:	(AlAisolAmiy~iyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+AisolAmiy~+iyn
        GLOSS:	the+ismamist+[masc.pl.]

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P12W13
      OFFSETS:	82-86
       TOKENS:	P12W15-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhum)
          POS:	PREP+PRON_3P
          VOC:	min+hum
        GLOSS:	from+them

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W14
      OFFSETS:	86-87
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W15
      OFFSETS:	87-88
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W16
      OFFSETS:	88-89
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P13W1
      OFFSETS:	0-6
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+after

 INPUT STRING:	سيبك
     IS_TRANS:	sybk
        INDEX:	P13W2
      OFFSETS:	7-11
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(sybk)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	sybk+(null)
        GLOSS:	depart from/quit/let go/let loose/leave+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P13W3
      OFFSETS:	12-14
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P13W4
      OFFSETS:	15-21
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P13W5
      OFFSETS:	22-26
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that/who/which

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P13W6
      OFFSETS:	27-29
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وسائل
     IS_TRANS:	wsA}l
        INDEX:	P13W7
      OFFSETS:	30-35
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wasiylap_1]
   UNSPLITVOC:	(wasA}il)
          POS:	NOUN
          VOC:	wasA}il
        GLOSS:	means/devices/instruments

 INPUT STRING:	الاعلام
     IS_TRANS:	AlAElAm
        INDEX:	P13W8
      OFFSETS:	36-43
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAm_1]
   UNSPLITVOC:	(Al<iEolAm)
          POS:	DET+NOUN
          VOC:	Al+<iEolAm
        GLOSS:	the+information/media

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P13W9
      OFFSETS:	44-47
       TOKENS:	P13W10-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	every/all/entire+his/its

 INPUT STRING:	اكاذيب
     IS_TRANS:	AkA*yb
        INDEX:	P13W10
      OFFSETS:	48-54
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*obap_1]
   UNSPLITVOC:	(>akA*iyb)
          POS:	NOUN
          VOC:	>akA*iyb
        GLOSS:	lies

