 INPUT STRING:	اعتقد
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	AiT~alaq+it
        GLOSS:	be divorced+she/it/they

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P49W5
      OFFSETS:	21-24
       TOKENS:	P49W5-P49W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P50W1
      OFFSETS:	0-2
       TOKENS:	P50W1-P50W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	تخلفى
     IS_TRANS:	txlfY
        INDEX:	P50W2
      OFFSETS:	3-8
       TOKENS:	P50W2-P50W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~if_1]
   UNSPLITVOC:	(tixal~ifiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+xal~if+iy
        GLOSS:	you+get birth+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P50W3
      OFFSETS:	9-11
       TOKENS:	P50W3-P50W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P50W4
      OFFSETS:	12-16
       TOKENS:	P50W4-P50W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P50W5
      OFFSETS:	17-19
       TOKENS:	P50W5-P50W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بتخلف
     IS_TRANS:	btxlf
        INDEX:	P50W6
      OFFSETS:	20-25
       TOKENS:	P50W6-P50W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~if_1]
   UNSPLITVOC:	(bitixal~if)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+xal~if
        GLOSS:	[present-tense]+it/they/she+get birth

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P50W7
      OFFSETS:	26-29
       TOKENS:	P50W8-P50W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P51W1
      OFFSETS:	0-2
       TOKENS:	P51W1-P51W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حتخلص
     IS_TRANS:	HtxlS
        INDEX:	P51W2
      OFFSETS:	3-8
       TOKENS:	P51W2-P51W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiliS_1]
   UNSPLITVOC:	(HatixolaS)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+xolaS
        GLOSS:	will+it/they /she+get rid of

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P51W3
      OFFSETS:	9-11
       TOKENS:	P51W4-P51W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كلام
     IS_TRANS:	klAm
        INDEX:	P51W4
      OFFSETS:	12-16
       TOKENS:	P51W5-P51W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAm)
          POS:	NOUN
          VOC:	kalAm
        GLOSS:	speech/statement/remark/talk/saying

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P51W5
      OFFSETS:	17-20
       TOKENS:	P51W6-P51W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P52W1
      OFFSETS:	0-4
       TOKENS:	P52W1-P52W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	كدا
     IS_TRANS:	kdA
        INDEX:	P52W2
      OFFSETS:	5-8
       TOKENS:	P52W3-P52W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidA)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	such as

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P52W3
      OFFSETS:	9-11
       TOKENS:	P52W4-P52W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	تحط
     IS_TRANS:	tHT
        INDEX:	P52W4
      OFFSETS:	12-15
       TOKENS:	P52W5-P52W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(tiHuT~)
          POS:	IV3FS+IV
          VOC:	ti+HuT~
        GLOSS:	it/they/she+put

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P52W5
      OFFSETS:	16-18
       TOKENS:	P52W6-P52W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	دماغها
     IS_TRANS:	dmAghA
        INDEX:	P52W6
      OFFSETS:	19-25
       TOKENS:	P52W7-P52W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimAg_1]
   UNSPLITVOC:	(dimAghA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	dimAg+hA
        GLOSS:	brain/brains+its/their/her

 INPUT STRING:	شكرا
     IS_TRANS:	$krA
        INDEX:	P53W1
      OFFSETS:	0-4
       TOKENS:	P53W1-P53W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thank you/thanks+[acc.indef.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P53W2
      OFFSETS:	5-8
       TOKENS:	P53W2-P53W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P53W3
      OFFSETS:	9-14
       TOKENS:	P53W3-P53W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	نظرة
     IS_TRANS:	nZrp
        INDEX:	P54W1
      OFFSETS:	0-4
       TOKENS:	P54W1-P54W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZorap_1]
   UNSPLITVOC:	(naZorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	naZor+ap
        GLOSS:	look/glance/view/looks/glances/views+[fem.sg.]

 INPUT STRING:	مجتمع
     IS_TRANS:	mjtmE
        INDEX:	P54W2
      OFFSETS:	5-10
       TOKENS:	P54W2-P54W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(mijotimiE)
          POS:	NOUN
          VOC:	mijotimiE
        GLOSS:	community

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P54W3
      OFFSETS:	11-14
       TOKENS:	P54W3-P54W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PART
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P54W4
      OFFSETS:	15-17
       TOKENS:	P54W4-P54W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	مينفعش
     IS_TRANS:	mynfE$
        INDEX:	P54W5
      OFFSETS:	18-24
       TOKENS:	P54W5-P54W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaE_1]
   UNSPLITVOC:	(mA_yinofaE$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+yi+nofaE+$
        GLOSS:	not+he/it+utilize+not

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P55W1
      OFFSETS:	0-3
       TOKENS:	P55W1-P55W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(wilaw)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+law
        GLOSS:	and+if

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P55W2
      OFFSETS:	4-6
       TOKENS:	P55W3-P55W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	السبب
     IS_TRANS:	Alsbb
        INDEX:	P55W3
      OFFSETS:	7-12
       TOKENS:	P55W4-P55W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(Als~abab)
          POS:	DET+NOUN
          VOC:	Al+sabab
        GLOSS:	the+reason/cause/because of/due to

 INPUT STRING:	بنسبة
     IS_TRANS:	bnsbp
        INDEX:	P55W4
      OFFSETS:	13-18
       TOKENS:	P55W5-P55W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(binisobap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+nisob+ap
        GLOSS:	with/by+ratio/rate/percentage figure+[fem.sg.]

 INPUT STRING:	كبيرة
     IS_TRANS:	kbyrp
        INDEX:	P55W5
      OFFSETS:	19-24
       TOKENS:	P55W7-P55W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kibiyr+ap
        GLOSS:	big+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P55W6
      OFFSETS:	25-27
       TOKENS:	P55W8-P55W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الستات
     IS_TRANS:	AlstAt
        INDEX:	P55W7
      OFFSETS:	28-34
       TOKENS:	P55W9-P55W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sit~_1]
   UNSPLITVOC:	(Als~it~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+sit~+At
        GLOSS:	the+lady/miss/ladies/misses+[fem.pl.]

 INPUT STRING:	ونشفان
     IS_TRANS:	wn$fAn
        INDEX:	P55W8
      OFFSETS:	35-41
       TOKENS:	P55W10-P55W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$ofAn_1]
   UNSPLITVOC:	(wina$ofAn)
          POS:	CONJ+ADJ
          VOC:	wi+na$ofAn
        GLOSS:	and+stubborn

 INPUT STRING:	دماغها
     IS_TRANS:	dmAghA
        INDEX:	P55W9
      OFFSETS:	42-48
       TOKENS:	P55W12-P55W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimAg_1]
   UNSPLITVOC:	(dimAghA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	dimAg+hA
        GLOSS:	brain/brains+its/their/her

 INPUT STRING:	هيا
     IS_TRANS:	hyA
        INDEX:	P55W10
      OFFSETS:	49-52
       TOKENS:	P55W14-P55W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P55W11
      OFFSETS:	53-57
       TOKENS:	P55W15-P55W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who

 INPUT STRING:	بتجيب
     IS_TRANS:	btjyb
        INDEX:	P55W12
      OFFSETS:	58-63
       TOKENS:	P55W16-P55W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(bitijiyb)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+jiyb
        GLOSS:	[present-tense]+it/they/she+explore/traverse

 INPUT STRING:	لنفسها
     IS_TRANS:	lnfshA
        INDEX:	P55W13
      OFFSETS:	64-70
       TOKENS:	P55W18-P55W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(linafosahA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	li+nafos+hA
        GLOSS:	for/to+same/self/selves+its/their/her

 INPUT STRING:	الطلاق
     IS_TRANS:	AlTlAq
        INDEX:	P55W14
      OFFSETS:	71-77
       TOKENS:	P55W21-P55W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TalAq_1]
   UNSPLITVOC:	(AlT~alAq)
          POS:	DET+NOUN
          VOC:	Al+TalAq
        GLOSS:	the+divorce

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P55W15
      OFFSETS:	78-80
       TOKENS:	P55W22-P55W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	عدم
     IS_TRANS:	Edm
        INDEX:	P55W16
      OFFSETS:	81-84
       TOKENS:	P55W23-P55W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadam_1]
   UNSPLITVOC:	(Eadam)
          POS:	NOUN
          VOC:	Eadam
        GLOSS:	absence of/lack of/not/non-

 INPUT STRING:	تعاون
     IS_TRANS:	tEAwn
        INDEX:	P55W17
      OFFSETS:	85-90
       TOKENS:	P55W24-P55W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEAwun_1]
   UNSPLITVOC:	(taEAwun)
          POS:	NOUN
          VOC:	taEAwun
        GLOSS:	cooperation

 INPUT STRING:	احد
     IS_TRANS:	AHd
        INDEX:	P55W18
      OFFSETS:	91-94
       TOKENS:	P55W25-P55W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN_QUANT
          VOC:	>aHad
        GLOSS:	one of /someone/ anyone/no-one/ones

 INPUT STRING:	الطرفين
     IS_TRANS:	AlTrfyn
        INDEX:	P55W19
      OFFSETS:	95-102
       TOKENS:	P55W26-P55W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taraf_1]
   UNSPLITVOC:	(AlT~arafayn)
          POS:	DET+NOUN+NSUFF_MASC_DU
          VOC:	Al+Taraf+ayn
        GLOSS:	the+edge+two

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P55W20
      OFFSETS:	103-105
       TOKENS:	P55W27-P55W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P55W21
      OFFSETS:	106-109
       TOKENS:	P55W28-P55W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P56W1
      OFFSETS:	0-3
       TOKENS:	P56W1-P56W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	الوحدة
     IS_TRANS:	AlwHdp
        INDEX:	P56W2
      OFFSETS:	4-10
       TOKENS:	P56W2-P56W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waHid_1]
   UNSPLITVOC:	(AlwaHodap)
          POS:	DET+NOUN_NUM+NSUFF_FEM_SG
          VOC:	Al+waHod+ap
        GLOSS:	the+one+[fem.sg.]

 INPUT STRING:	الذكية
     IS_TRANS:	Al*kyp
        INDEX:	P56W3
      OFFSETS:	11-17
       TOKENS:	P56W3-P56W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*akiy_1]
   UNSPLITVOC:	(Al*~akiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+*akiy~+ap
        GLOSS:	the+intellegent+[fem.sg.]

 INPUT STRING:	تقدر
     IS_TRANS:	tqdr
        INDEX:	P56W4
      OFFSETS:	18-22
       TOKENS:	P56W4-P56W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(tiqodar)
          POS:	IV3FS+IV
          VOC:	ti+qodar
        GLOSS:	it/they/she+can/be able

 INPUT STRING:	تأسر
     IS_TRANS:	t>sr
        INDEX:	P56W5
      OFFSETS:	23-27
       TOKENS:	P56W5-P56W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>asar_1]
   UNSPLITVOC:	(ti>osar)
          POS:	IV3FS+IV
          VOC:	ti+>osar
        GLOSS:	it/they/she+capture

 INPUT STRING:	قلب
     IS_TRANS:	qlb
        INDEX:	P56W6
      OFFSETS:	28-31
       TOKENS:	P56W6-P56W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalob)
          POS:	NOUN
          VOC:	qalob
        GLOSS:	heart/center/essence

 INPUT STRING:	وعقل
     IS_TRANS:	wEql
        INDEX:	P56W7
      OFFSETS:	32-36
       TOKENS:	P56W7-P56W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqol_1]
   UNSPLITVOC:	(waEaqol)
          POS:	PREP+NOUN
          VOC:	wa+Eaqol
        GLOSS:	with+mind

 INPUT STRING:	زوجها
     IS_TRANS:	zwjhA
        INDEX:	P56W8
      OFFSETS:	37-42
       TOKENS:	P56W9-P56W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zuwj_1]
   UNSPLITVOC:	(zuwjhA)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	zuwj+hA
        GLOSS:	husband+her/it

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P56W9
      OFFSETS:	43-47
       TOKENS:	P56W11-P56W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+without/beneath/underneath/inferior/poor

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P56W10
      OFFSETS:	48-50
       TOKENS:	P56W13-P56W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	يشعر
     IS_TRANS:	y$Er
        INDEX:	P56W11
      OFFSETS:	51-55
       TOKENS:	P56W14-P56W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aEar_1]
   UNSPLITVOC:	(yu$Eur)
          POS:	IV3MS+IV
          VOC:	yu+$Eur
        GLOSS:	he/it+feel

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P56W12
      OFFSETS:	56-59
       TOKENS:	P56W15-P56W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	فعمرة
     IS_TRANS:	fEmrp
        INDEX:	P56W13
      OFFSETS:	60-65
       TOKENS:	P56W16-P56W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(faEumoruh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	fa+Eumor+uh
        GLOSS:	so/and+age/life/ages/age groups+his/its

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P56W14
      OFFSETS:	66-68
       TOKENS:	P56W19-P56W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	هيطلقها
     IS_TRANS:	hyTlqhA
        INDEX:	P56W15
      OFFSETS:	69-76
       TOKENS:	P56W20-P56W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tal~aq_1]
   UNSPLITVOC:	(HayTal~aqhA)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:3FS
          VOC:	Ha+y+Tal~aq+hA
        GLOSS:	will+he/it+divorce+it/them/her

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P57W1
      OFFSETS:	0-3
       TOKENS:	P57W1-P57W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P57W2
      OFFSETS:	4-7
       TOKENS:	P57W2-P57W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	لو
     IS_TRANS:	lw
