 INPUT STRING:	شئت
   UNSPLITVOC:	(bimawoDuwEiy~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+mawoDuwEiy~+ap
        GLOSS:	with/by+objectivity+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P10W14
      OFFSETS:	68-69
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	بتأني
     IS_TRANS:	bt>ny
        INDEX:	P10W15
      OFFSETS:	70-75
       TOKENS:	P10W17-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta>an~iy_1]
   UNSPLITVOC:	(bita>an~iy)
          POS:	PREP+NOUN
          VOC:	bi+ta>an~iy
        GLOSS:	with/by+circumspection/prudence

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P10W16
      OFFSETS:	76-77
       TOKENS:	P10W19-P10W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	باعتبار
     IS_TRANS:	bAEtbAr
        INDEX:	P10W17
      OFFSETS:	78-85
       TOKENS:	P10W20-P10W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotibAr_1]
   UNSPLITVOC:	(biAiEotibAr)
          POS:	PREP+NOUN
          VOC:	bi+AiEotibAr
        GLOSS:	with/by+regard/consideration

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P10W18
      OFFSETS:	86-90
       TOKENS:	P10W22-P10W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W19
      OFFSETS:	91-93
       TOKENS:	P10W24-P10W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P10W20
      OFFSETS:	94-100
       TOKENS:	P10W25-P10W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dinoyA_1]
   UNSPLITVOC:	(Ald~inoyA)
          POS:	DET+NOUN
          VOC:	Al+dinoyA
        GLOSS:	the+world/lifetime/life

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P10W21
      OFFSETS:	101-103
       TOKENS:	P10W26-P10W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W22
      OFFSETS:	104-106
       TOKENS:	P10W27-P10W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الآخرة
     IS_TRANS:	Al|xrp
        INDEX:	P10W23
      OFFSETS:	107-113
       TOKENS:	P10W28-P10W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axirap_1]
   UNSPLITVOC:	(Al|axirap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+|axir+ap
        GLOSS:	the+hereafter/the end of/the outcome of/the hereafter/the life after death/face+[fem.sg.]

 INPUT STRING:	هاتلاقي
     IS_TRANS:	hAtlAqy
        INDEX:	P10W24
      OFFSETS:	114-121
       TOKENS:	P10W29-P10W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(HatilAqiy)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+ti+lAqiy
        GLOSS:	will+you+find/meet/encounter

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P10W25
      OFFSETS:	122-124
       TOKENS:	P10W31-P10W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ain~_1]
   UNSPLITVOC:	(Ain~)
          POS:	SUB_CONJ
          VOC:	Ain~
        GLOSS:	that

 INPUT STRING:	كلامك
     IS_TRANS:	klAmk
        INDEX:	P10W26
      OFFSETS:	125-130
       TOKENS:	P10W32-P10W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kalAmak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	kalAm+ak
        GLOSS:	talk/remark/speech/saying+your

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P10W27
      OFFSETS:	131-134
       TOKENS:	P10W34-P10W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyor_1]
   UNSPLITVOC:	(giyor)
          POS:	NOUN
          VOC:	giyor
        GLOSS:	apart from/without/other/execpt/except/not

 INPUT STRING:	صحيح
     IS_TRANS:	SHyH
        INDEX:	P10W28
      OFFSETS:	135-139
       TOKENS:	P10W35-P10W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyH_1]
   UNSPLITVOC:	(SaHiyH)
          POS:	ADJ
          VOC:	SaHiyH
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

