 INPUT STRING:	أنا
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	dear/beloved/sweetheart+[fem.sg.]+my

 INPUT STRING:	اسمعى
     IS_TRANS:	AsmEY
        INDEX:	P16W2
      OFFSETS:	7-12
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samaE_1]
   UNSPLITVOC:	(AisomaEiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AisomaE+iy
        GLOSS:	listen+you

 INPUT STRING:	كلام
     IS_TRANS:	klAm
        INDEX:	P16W3
      OFFSETS:	13-17
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAm)
          POS:	NOUN
          VOC:	kalAm
        GLOSS:	speech/statement/remark/talk/saying

 INPUT STRING:	والدتك
     IS_TRANS:	wAldtk
        INDEX:	P16W4
      OFFSETS:	18-24
       TOKENS:	P16W5-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAlodap_1]
   UNSPLITVOC:	(wAloditik)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	wAlod+ap+ik
        GLOSS:	mother+[fem.sg.]+your

 INPUT STRING:	وممكن
     IS_TRANS:	wmmkn
        INDEX:	P17W1
      OFFSETS:	0-5
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(wimumokin)
          POS:	CONJ+ADJ
          VOC:	wi+mumokin
        GLOSS:	and+possible

 INPUT STRING:	تخليكى
     IS_TRANS:	txlykY
        INDEX:	P17W2
      OFFSETS:	6-12
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(txlykY)
          POS:	NO_FUNC
          VOC:	txlykY
        GLOSS:	nogloss

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P17W3
      OFFSETS:	13-16
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	قناعاتك
     IS_TRANS:	qnAEAtk
        INDEX:	P17W4
      OFFSETS:	17-24
       TOKENS:	P17W5-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAEAap_1]
   UNSPLITVOC:	(qanAEAatik)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	qanAEA+ap+ik
        GLOSS:	satisfaction/moderation+[fem.sg.]+your

 INPUT STRING:	وافكارك
     IS_TRANS:	wAfkArk
        INDEX:	P17W5
      OFFSETS:	25-32
       TOKENS:	P17W7-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(wiAfokArik)
          POS:	CONJ+NOUN+POSS_PRON_2FS
          VOC:	wi+AfokAr+ik
        GLOSS:	and+idea/notion/concept+your

 INPUT STRING:	وتتعاملى
     IS_TRANS:	wttEAmlY
        INDEX:	P17W6
      OFFSETS:	33-41
       TOKENS:	P17W10-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itoEAmil_1]
   UNSPLITVOC:	(wititoEAmiliy)
          POS:	CONJ+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	wi+ti+toEAmil+iy
        GLOSS:	and+you+deal+[fem.sg.]

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P17W7
      OFFSETS:	42-46
       TOKENS:	P17W12-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+her/it

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P17W8
      OFFSETS:	47-49
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P17W9
      OFFSETS:	50-55
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P18W1
      OFFSETS:	0-2
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P18W2
      OFFSETS:	3-7
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	تنزلى
     IS_TRANS:	tnzlY
        INDEX:	P18W3
      OFFSETS:	8-13
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nazal_1]
   UNSPLITVOC:	(tinoziliy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+nozil+iy
        GLOSS:	you+descend/stay+[fem.sg.]

 INPUT STRING:	تهتفى
     IS_TRANS:	thtfY
        INDEX:	P18W4
      OFFSETS:	14-19
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(thtfY)
          POS:	NO_FUNC
          VOC:	thtfY
        GLOSS:	nogloss

 INPUT STRING:	معاهم
     IS_TRANS:	mEAhm
        INDEX:	P18W5
      OFFSETS:	20-25
       TOKENS:	P18W5-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	maEa+hum
        GLOSS:	with+their

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P19W1
      OFFSETS:	0-2
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P19W2
      OFFSETS:	3-7
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P19W3
      OFFSETS:	8-12
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	تعملى
     IS_TRANS:	tEmlY
        INDEX:	P19W4
      OFFSETS:	13-18
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(tiEomiliy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+Eomil+iy
        GLOSS:	you+do+[fem.sg.]

 INPUT STRING:	ثورة
     IS_TRANS:	vwrp
        INDEX:	P19W5
      OFFSETS:	19-23
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P19W6
      OFFSETS:	24-26
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	نفسك
     IS_TRANS:	nfsk
        INDEX:	P19W7
      OFFSETS:	27-31
       TOKENS:	P19W7-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	nafos+ik
        GLOSS:	same/self/selves+your

 INPUT STRING:	وتردى
     IS_TRANS:	wtrdY
        INDEX:	P19W8
      OFFSETS:	32-37
       TOKENS:	P19W9-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(witirud~iy)
          POS:	CONJ+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	wi+ti+rud~+iy
        GLOSS:	and+you+reply+[fem.sg.]

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P19W9
      OFFSETS:	38-42
       TOKENS:	P19W11-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+her/it

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P19W10
      OFFSETS:	43-46
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P19W11
      OFFSETS:	47-49
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P19W12
      OFFSETS:	50-52
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	one

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P19W13
      OFFSETS:	53-57
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	wanting

 INPUT STRING:	يشوه
     IS_TRANS:	y$wh
        INDEX:	P19W14
      OFFSETS:	58-62
       TOKENS:	P19W17-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aw~ih_1]
   UNSPLITVOC:	(yi$aw~ih)
          POS:	IV3MS+IV
          VOC:	yi+$aw~ih
        GLOSS:	he/it+distort/tarnish/disfigure

 INPUT STRING:	الثوار
     IS_TRANS:	AlvwAr
        INDEX:	P19W15
      OFFSETS:	63-69
       TOKENS:	P19W18-P19W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vA}ir_2]
   UNSPLITVOC:	(Alv~uw~Ar)
          POS:	DET+NOUN
          VOC:	Al+vuw~Ar
        GLOSS:	the+insurgents/revolutionaries

 INPUT STRING:	ويطعن
     IS_TRANS:	wyTEn
        INDEX:	P19W16
      OFFSETS:	70-75
       TOKENS:	P19W19-P19W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaEan_1]
   UNSPLITVOC:	(wiyiToEan)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+ToEan
        GLOSS:	and+he/it+stab

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P19W17
      OFFSETS:	76-78
       TOKENS:	P19W21-P19W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عرض
     IS_TRANS:	ErD
        INDEX:	P19W18
      OFFSETS:	79-82
       TOKENS:	P19W22-P19W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaroD_1]
   UNSPLITVOC:	(EaroD)
          POS:	NOUN
          VOC:	EaroD
        GLOSS:	presentation/display/review/show/offer/presentations/shows/reviews/displays/offers/tenders

 INPUT STRING:	الثائرات
     IS_TRANS:	AlvA}rAt
        INDEX:	P19W19
      OFFSETS:	83-91
       TOKENS:	P19W23-P19W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vA}ir_1]
   UNSPLITVOC:	(Alv~A}irAt)
          POS:	DET+ADJ+NSUFF_FEM_PL
          VOC:	Al+vA}ir+At
        GLOSS:	the+agitated/exited+[fem.pl.]

 INPUT STRING:	متشكرة
     IS_TRANS:	mt$krp
        INDEX:	P20W1
      OFFSETS:	0-6
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mut$akir_1]
   UNSPLITVOC:	(mut$akarap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mut$akar+ap
        GLOSS:	thanks+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P20W2
      OFFSETS:	7-10
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ردك
     IS_TRANS:	rdk
        INDEX:	P20W3
      OFFSETS:	11-14
       TOKENS:	P20W3-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~ik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	rad~+ik
        GLOSS:	reply/response+your

 INPUT STRING:	وحاضر
     IS_TRANS:	wHADr
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HADir_1]
   UNSPLITVOC:	(waHADir)
          POS:	CONJ+INTERJ
          VOC:	wa+HADir
        GLOSS:	and+Ok

 INPUT STRING:	حعمل
     IS_TRANS:	HEml
        INDEX:	P21W2
      OFFSETS:	6-10
       TOKENS:	P21W3-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HaAaEomil)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+Eomil
        GLOSS:	will+I+do

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P21W3
      OFFSETS:	11-14
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this

