 INPUT STRING:	آخر
        GLOSS:	dear/precious

 INPUT STRING:	مقتدر
     IS_TRANS:	mqtdr
        INDEX:	P2W31
      OFFSETS:	175-180
       TOKENS:	P2W50-P2W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqotadir_1]
   UNSPLITVOC:	(muqotadir)
          POS:	ADJ
          VOC:	muqotadir
        GLOSS:	capable/potent

 INPUT STRING:	لانكو
     IS_TRANS:	lAnkw
        INDEX:	P2W32
      OFFSETS:	181-186
       TOKENS:	P2W51-P2W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~ukuw)
          POS:	PREP+SUB_CONJ+PRON_2P
          VOC:	li+<in~+kuw
        GLOSS:	for/to+that+you

 INPUT STRING:	بتكرهو
     IS_TRANS:	btkrhw
        INDEX:	P2W33
      OFFSETS:	187-193
       TOKENS:	P2W54-P2W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kirih_1]
   UNSPLITVOC:	(bitikorahuwA)
          POS:	PROG_PART+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	bi+ti+korah+uwA
        GLOSS:	[present-tense]+you+hate+you

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W34
      OFFSETS:	194-197
       TOKENS:	P2W56-P2W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	العسكر
     IS_TRANS:	AlEskr
        INDEX:	P2W35
      OFFSETS:	198-204
       TOKENS:	P2W57-P2W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokar_1]
   UNSPLITVOC:	(AlEasokar)
          POS:	DET+NOUN
          VOC:	Al+Easokar
        GLOSS:	the+army/military

 INPUT STRING:	هيغورو
     IS_TRANS:	hygwrw
        INDEX:	P2W36
      OFFSETS:	205-211
       TOKENS:	P2W58-P2W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAr_1]
   UNSPLITVOC:	(HayiguwruwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+guwr+uwA
        GLOSS:	will+they+go away+we

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P2W37
      OFFSETS:	212-214
       TOKENS:	P2W60-P2W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	صابرين
     IS_TRANS:	SAbryn
        INDEX:	P2W38
      OFFSETS:	215-221
       TOKENS:	P2W61-P2W61
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(SAbryn)
          POS:	NO_FUNC
          VOC:	SAbryn
        GLOSS:	nogloss

 INPUT STRING:	شهرين
     IS_TRANS:	$hryn
        INDEX:	P2W39
      OFFSETS:	222-227
       TOKENS:	P2W62-P2W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($ahorayn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	$ahor+ayn
        GLOSS:	month/months+two

 INPUT STRING:	وهيتحاكم
     IS_TRANS:	whytHAkm
        INDEX:	P2W40
      OFFSETS:	228-236
       TOKENS:	P2W63-P2W65
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitHAkim_1]
   UNSPLITVOC:	(wiHayitHAkim)
          POS:	CONJ+FUT_PART+IV3MS+IV_PASS
          VOC:	wi+Ha+yi+tHAkim
        GLOSS:	and+will+he/it+be judged

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P2W41
      OFFSETS:	237-239
       TOKENS:	P2W66-P2W66
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P2W42
      OFFSETS:	240-244
       TOKENS:	P2W67-P2W67
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whom

 INPUT STRING:	ساهم
     IS_TRANS:	sAhm
        INDEX:	P2W43
      OFFSETS:	245-249
       TOKENS:	P2W68-P2W68
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAhim_1]
   UNSPLITVOC:	(sAhim)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	sAhim+(null)
        GLOSS:	participate/contribute+he/it

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W44
      OFFSETS:	250-252
       TOKENS:	P2W69-P2W69
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	قطرة
     IS_TRANS:	qTrp
        INDEX:	P2W45
      OFFSETS:	253-257
       TOKENS:	P2W70-P2W70
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaTorap_1]
   UNSPLITVOC:	(qaTorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qaTor+ap
        GLOSS:	drop/drops+[fem.sg.]

 INPUT STRING:	دم
     IS_TRANS:	dm
        INDEX:	P2W46
      OFFSETS:	258-260
       TOKENS:	P2W71-P2W71
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(dam~)
          POS:	NOUN
          VOC:	dam~
        GLOSS:	blood

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P2W47
      OFFSETS:	261-263
       TOKENS:	P2W72-P2W72
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	سيبو
     IS_TRANS:	sybw
        INDEX:	P2W48
      OFFSETS:	264-268
       TOKENS:	P2W73-P2W73
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(siybuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	siyb+uwA
        GLOSS:	leave+they

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P2W49
      OFFSETS:	269-275
       TOKENS:	P2W74-P2W74
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	يشتغل
     IS_TRANS:	y$tgl
        INDEX:	P2W50
      OFFSETS:	276-281
       TOKENS:	P2W75-P2W75
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otagal_1]
   UNSPLITVOC:	(yi$otagal)
          POS:	IV3MS+IV
          VOC:	yi+$otagal
        GLOSS:	he/it+work

 INPUT STRING:	الهى
     IS_TRANS:	AlhY
        INDEX:	P2W51
      OFFSETS:	282-286
       TOKENS:	P2W76-P2W77
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ailah_1]
   UNSPLITVOC:	(Ailahiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Ailah+iy
        GLOSS:	god/deity+my

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P2W52
      OFFSETS:	287-291
       TOKENS:	P2W78-P2W79
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	ياخدكو
     IS_TRANS:	yAxdkw
        INDEX:	P2W53
      OFFSETS:	292-298
       TOKENS:	P2W80-P2W81
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(yAxudkuw)
          POS:	IV3MS+IV+IVSUFF_DO:2P
          VOC:	y+Axud+kuw
        GLOSS:	he/it+take+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P2W54
      OFFSETS:	299-301
       TOKENS:	P2W82-P2W82
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	مفسدين
     IS_TRANS:	mfsdyn
        INDEX:	P2W55
      OFFSETS:	302-308
       TOKENS:	P2W83-P2W83
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mfsdyn)
          POS:	NO_FUNC
          VOC:	mfsdyn
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	جماعة
     IS_TRANS:	jmAEp
        INDEX:	P3W2
      OFFSETS:	3-8
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(jamAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jamAE+ap
        GLOSS:	party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P3W3
      OFFSETS:	9-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	فتوكات
     IS_TRANS:	ftwkAt
        INDEX:	P3W4
      OFFSETS:	12-18
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatuwkap_1]
   UNSPLITVOC:	(fatuwkAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	fatuwk+At
        GLOSS:	clever women+[fem.pl.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P3W5
      OFFSETS:	19-23
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whom

 INPUT STRING:	بيفهم
     IS_TRANS:	byfhm
        INDEX:	P3W6
      OFFSETS:	24-29
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(biyifoham)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+foham
        GLOSS:	[present-tense]+he/it+understand

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W7
      OFFSETS:	30-32
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الفيس
     IS_TRANS:	Alfys
        INDEX:	P3W8
      OFFSETS:	33-38
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiys_1]
   UNSPLITVOC:	(Alfiys)
          POS:	DET+NOUN
          VOC:	Al+fiys
        GLOSS:	the+facebook

 INPUT STRING:	يدخل
     IS_TRANS:	ydxl
        INDEX:	P3W9
      OFFSETS:	39-43
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(yidoxul)
          POS:	IV3MS+IV
          VOC:	yi+doxul
        GLOSS:	he/it+enter/be entered

 INPUT STRING:	يعمل
     IS_TRANS:	yEml
        INDEX:	P3W10
      OFFSETS:	44-48
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomil)
          POS:	IV3MS+IV
          VOC:	yi+Eomil
        GLOSS:	he/it+do/act

 INPUT STRING:	ريبورت
     IS_TRANS:	rybwrt
        INDEX:	P3W11
      OFFSETS:	49-55
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(rybwrt)
          POS:	FOREIGN
          VOC:	rybwrt
        GLOSS:	nogloss

 INPUT STRING:	للصفحات
     IS_TRANS:	llSfHAt
        INDEX:	P3W12
      OFFSETS:	56-63
       TOKENS:	P3W13-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SafoHap_1]
   UNSPLITVOC:	(lilS~afaHAt)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	li+Al+SafaH+At
        GLOSS:	for/to+the+page+[fem.pl.]

 INPUT STRING:	ديه
     IS_TRANS:	dyh
        INDEX:	P3W13
      OFFSETS:	64-67
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P3W14
      OFFSETS:	68-72
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	NOUN
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	نهاجمهم
     IS_TRANS:	nhAjmhm
        INDEX:	P3W15
      OFFSETS:	73-80
       TOKENS:	P3W17-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAjim_1]
   UNSPLITVOC:	(nihAjimhum)
          POS:	IV1P+IV+IVSUFF_DO:3P
          VOC:	ni+hAjim+hum
        GLOSS:	we+attack+them

 INPUT STRING:	لاننا
     IS_TRANS:	lAnnA
        INDEX:	P3W16
      OFFSETS:	81-86
       TOKENS:	P3W19-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~nA)
          POS:	PREP+SUB_CONJ+PRON_1P
          VOC:	li+<in~+nA
        GLOSS:	for/to+that+we

 INPUT STRING:	واضح
     IS_TRANS:	wADH
        INDEX:	P3W17
      OFFSETS:	87-91
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wADiH_1]
   UNSPLITVOC:	(wADiH)
          POS:	ADJ
          VOC:	wADiH
        GLOSS:	clear/obvious/visible

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P3W18
      OFFSETS:	92-96
       TOKENS:	P3W23-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	سكتنالهم
     IS_TRANS:	sktnAlhm
        INDEX:	P3W19
      OFFSETS:	97-105
       TOKENS:	P3W25-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sikit_1]
   UNSPLITVOC:	(sikitnA_luhum)
          POS:	PV+PVSUFF_SUBJ:1P+PREP+PRON_3P
          VOC:	sikit+nA+li+hum
        GLOSS:	be silent+we+to/for+they

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P3W20
      OFFSETS:	106-110
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	many/much

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P3W21
      OFFSETS:	111-116
       TOKENS:	P3W29-P3W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	بتقع
     IS_TRANS:	btqE
        INDEX:	P3W22
      OFFSETS:	117-121
       TOKENS:	P3W30-P3W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqaE_1]
   UNSPLITVOC:	(bituqaE)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+tu+qaE
        GLOSS:	[present-tense]+it/they/she+fall/drop

 INPUT STRING:	وهما
     IS_TRANS:	whmA
        INDEX:	P3W23
      OFFSETS:	122-126
       TOKENS:	P3W32-P3W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wihum~a)
          POS:	SUB_CONJ+PRON_3P
          VOC:	wi+hum~a
        GLOSS:	while+they

 INPUT STRING:	بيخططو
     IS_TRANS:	byxTTw
        INDEX:	P3W24
      OFFSETS:	127-133
       TOKENS:	P3W34-P3W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaT~aT_1]
   UNSPLITVOC:	(biyixaT~aTuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+xaT~aT+uwA
        GLOSS:	[present-tense]+they+plan+they

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P3W25
      OFFSETS:	134-138
       TOKENS:	P3W36-P3W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	يدمروها
     IS_TRANS:	ydmrwhA
        INDEX:	P3W26
      OFFSETS:	139-146
       TOKENS:	P3W38-P3W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~ar_1]
   UNSPLITVOC:	(yidam~aruwhA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	yi+dam~ar+uwA+hA
        GLOSS:	they+destroy/wreck+they+it/them/her

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P3W27
      OFFSETS:	147-149
       TOKENS:	P3W40-P3W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	شغل
     IS_TRANS:	$gl
        INDEX:	P3W28
      OFFSETS:	150-153
       TOKENS:	P3W41-P3W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	($ugol)
          POS:	NOUN
          VOC:	$ugol
        GLOSS:	work/activity/occupation/work/labor/business

 INPUT STRING:	يهود
     IS_TRANS:	yhwd
        INDEX:	P3W29
      OFFSETS:	154-158
       TOKENS:	P3W42-P3W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yahuwdiy_1]
   UNSPLITVOC:	(yahuwd)
          POS:	NOUN
          VOC:	yahuwd
        GLOSS:	Jewish

 INPUT STRING:	حسبنا
     IS_TRANS:	HsbnA
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(HasabunA)
          POS:	NOUN.VN+CASE_DEF_NOM+POSS_PRON_1P
          VOC:	Hasab+u+nA
        GLOSS:	according to/in accordance with+[def.nom]+our

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P4W2
      OFFSETS:	6-10
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P4W3
      OFFSETS:	11-15
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niEma_1]
   UNSPLITVOC:	(waniEma)
          POS:	CONJ+VERB
          VOC:	wa+niEma
        GLOSS:	and+how good

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P4W4
      OFFSETS:	16-22
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+representative/agent

 INPUT STRING:	الاستبداد
     IS_TRANS:	AlAstbdAd
        INDEX:	P5W1
      OFFSETS:	1-10
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotibodAd_1]
   UNSPLITVOC:	(AlAisotibodAd)
          POS:	DET+NOUN
          VOC:	Al+AisotibodAd
        GLOSS:	the+despotism/monopolization

 INPUT STRING:	يقلب
     IS_TRANS:	yqlb
        INDEX:	P5W2
      OFFSETS:	11-15
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalab_1]
   UNSPLITVOC:	(yiqolib)
          POS:	IV3MS+IV
          VOC:	yi+qolib
        GLOSS:	he/it+turn upside down

 INPUT STRING:	الحقائق
     IS_TRANS:	AlHqA}q
        INDEX:	P5W3
      OFFSETS:	16-23
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqap_1]
   UNSPLITVOC:	(AlHaqA}iq)
          POS:	DET+NOUN
          VOC:	Al+HaqA}iq
        GLOSS:	the+truth

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W4
      OFFSETS:	24-26
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الأذهان
     IS_TRANS:	Al>*hAn
        INDEX:	P5W5
      OFFSETS:	27-34
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ihon_1]
   UNSPLITVOC:	(Al>a*ohAn)
          POS:	DET+NOUN
          VOC:	Al+>a*ohAn
        GLOSS:	the+minds

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W6
      OFFSETS:	34-35
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	فيسوق
     IS_TRANS:	fyswq
        INDEX:	P5W7
      OFFSETS:	36-41
