 INPUT STRING:	احالة
          POS:	NOUN
          VOC:	binA'
        GLOSS:	constructing/building/based on/according to

 INPUT STRING:	الكنيسة
     IS_TRANS:	Alknysp
        INDEX:	P6W16
      OFFSETS:	94-101
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiniysap_1]
   UNSPLITVOC:	(Alkiniysap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kiniys+ap
        GLOSS:	the+church+[fem.sg.]

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P6W17
      OFFSETS:	102-106
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	that

 INPUT STRING:	تعرضت
     IS_TRANS:	tErDt
        INDEX:	P6W18
      OFFSETS:	107-112
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEar~aD_1]
   UNSPLITVOC:	(taEar~aDit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	taEar~aD+it
        GLOSS:	expose/encounter+it/they/she

 INPUT STRING:	للتخريب
     IS_TRANS:	lltxryb
        INDEX:	P6W19
      OFFSETS:	113-120
       TOKENS:	P6W21-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxoriyb_1]
   UNSPLITVOC:	(lilt~axoriyb)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+taxoriyb
        GLOSS:	for/to+the+destruction/sabotage/terrorism

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W20
      OFFSETS:	121-123
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	قرية
     IS_TRANS:	qryp
        INDEX:	P6W21
      OFFSETS:	124-128
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaroyap_1]
   UNSPLITVOC:	(qaroyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qaroy+ap
        GLOSS:	village+[fem.sg.]

 INPUT STRING:	صول
     IS_TRANS:	Swl
        INDEX:	P6W22
      OFFSETS:	129-132
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Swl)
          POS:	FOREIGN
          VOC:	Swl
        GLOSS:	nogloss

 INPUT STRING:	بمحافظة
     IS_TRANS:	bmHAfZp
        INDEX:	P6W23
      OFFSETS:	133-140
       TOKENS:	P6W26-P6W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHAfaZap_2]
   UNSPLITVOC:	(bimuHAfaZap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+muHAfaZ+ap
        GLOSS:	with/by+province/governorate+[fem.sg.]

 INPUT STRING:	حلوان
     IS_TRANS:	HlwAn
        INDEX:	P6W24
      OFFSETS:	141-146
       TOKENS:	P6W28-P6W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HilowAn_1]
   UNSPLITVOC:	(HilowAn)
          POS:	NOUN_PROP
          VOC:	HilowAn
        GLOSS:	Hilwan

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P6W25
      OFFSETS:	146-147
       TOKENS:	P6W29-P6W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ويتوقع
     IS_TRANS:	wytwqE
        INDEX:	P7W1
      OFFSETS:	1-7
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawaq~aE_1]
   UNSPLITVOC:	(wiyitowaq~aE)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+towaq~aE
        GLOSS:	and+he/it+expect

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P7W2
      OFFSETS:	8-10
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	يزداد
     IS_TRANS:	yzdAd
        INDEX:	P7W3
      OFFSETS:	11-16
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AizodAd_1]
   UNSPLITVOC:	(yizodAd)
          POS:	IV3MS+IV
          VOC:	yi+zodAd
        GLOSS:	he/it+go up

 INPUT STRING:	عدد
     IS_TRANS:	Edd
        INDEX:	P7W4
      OFFSETS:	17-20
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(Eadad)
          POS:	NOUN
          VOC:	Eadad
        GLOSS:	number/quantity/issue/numbers/issues

 INPUT STRING:	المشاركين
     IS_TRANS:	Alm$Arkyn
        INDEX:	P7W5
      OFFSETS:	21-30
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$Arik_1]
   UNSPLITVOC:	(Almi$Arikiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mi$Arik+iyn
        GLOSS:	the+participant/associate+[masc.pl]

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P7W6
      OFFSETS:	31-34
       TOKENS:	P7W7-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P7W7
      OFFSETS:	35-38
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	دعوة
     IS_TRANS:	dEwp
        INDEX:	P7W8
      OFFSETS:	39-43
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(daEowap)
          POS:	NOUN.VN+NSUFF_FEM_SG
          VOC:	daEow+ap
        GLOSS:	call/invitation/supplication/calls/invitations/supplications+[fem.sg.]

 INPUT STRING:	الاقباط
     IS_TRANS:	AlAqbAT
        INDEX:	P7W9
      OFFSETS:	44-51
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qibotiy_1]
   UNSPLITVOC:	(Al>aqobAT)
          POS:	DET+NOUN
          VOC:	Al+>aqobAT
        GLOSS:	the+Copts

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P7W10
      OFFSETS:	52-55
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	مظاهرة
     IS_TRANS:	mZAhrp
        INDEX:	P7W11
      OFFSETS:	56-62
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAhorap_1]
   UNSPLITVOC:	(muZAhorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muZAhor+ap
        GLOSS:	demonstration/rally+[fem.sg.]

 INPUT STRING:	مليونية
     IS_TRANS:	mlywnyp
        INDEX:	P7W12
      OFFSETS:	63-70
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miloyuwniy_1]
   UNSPLITVOC:	(miloyuwniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	miloyuwniy~+ap
        GLOSS:	million+[fem.sg.]

 INPUT STRING:	امام
     IS_TRANS:	AmAm
        INDEX:	P7W13
      OFFSETS:	71-75
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAm_1]
   UNSPLITVOC:	(>amAm)
          POS:	NOUN
          VOC:	>amAm
        GLOSS:	front/forward

 INPUT STRING:	المبنى
     IS_TRANS:	AlmbnY
        INDEX:	P7W14
      OFFSETS:	76-82
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabonaY_1]
   UNSPLITVOC:	(AlmabonaY)
          POS:	DET+NOUN
          VOC:	Al+mabonaY
        GLOSS:	the+building/structure

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W15
      OFFSETS:	82-83
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	كبار
     IS_TRANS:	kbAr
        INDEX:	P8W1
      OFFSETS:	1-5
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kubAr)
          POS:	ADJ
          VOC:	kubAr
        GLOSS:	senior/important

 INPUT STRING:	الضباط
     IS_TRANS:	AlDbAT
        INDEX:	P8W2
      OFFSETS:	6-12
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAbiT_2]
   UNSPLITVOC:	(AlD~ub~AT)
          POS:	DET+NOUN
          VOC:	Al+Dub~AT
        GLOSS:	the+officers

 INPUT STRING:	وجاء
     IS_TRANS:	wjA'
        INDEX:	P9W1
      OFFSETS:	1-5
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA'_1]
   UNSPLITVOC:	(wijA')
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+jA'+(null)
        GLOSS:	and+come/arrive+he/it

 INPUT STRING:	قرار
     IS_TRANS:	qrAr
        INDEX:	P9W2
      OFFSETS:	6-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(qarAr)
          POS:	NOUN
          VOC:	qarAr
        GLOSS:	decision/resolution

 INPUT STRING:	النائب
     IS_TRANS:	AlnA}b
        INDEX:	P9W3
      OFFSETS:	11-17
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(Aln~A}ib)
          POS:	DET+NOUN
          VOC:	Al+nA}ib
        GLOSS:	the+deputy/delegate/vice-

 INPUT STRING:	العام
     IS_TRANS:	AlEAm
        INDEX:	P9W4
      OFFSETS:	18-23
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm)
          POS:	DET+ADJ
          VOC:	Al+EAm
        GLOSS:	the+general/common/public

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P9W5
      OFFSETS:	24-30
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+egyptian

 INPUT STRING:	عبد
     IS_TRANS:	Ebd
        INDEX:	P9W6
      OFFSETS:	31-34
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eabod_1]
   UNSPLITVOC:	(Eabod)
          POS:	NOUN_PROP
          VOC:	Eabod
        GLOSS:	Abd

 INPUT STRING:	المجيد
     IS_TRANS:	Almjyd
        INDEX:	P9W7
      OFFSETS:	35-41
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijiyd_1]
   UNSPLITVOC:	(Almijiyd)
          POS:	DET+NOUN_PROP
          VOC:	Al+mijiyd
        GLOSS:	the+Majeed/Meguid

 INPUT STRING:	محمود
     IS_TRANS:	mHmwd
        INDEX:	P9W8
      OFFSETS:	42-47
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHomuwd_1]
   UNSPLITVOC:	(maHomuwd)
          POS:	NOUN_PROP
          VOC:	maHomuwd
        GLOSS:	Mahmoud

 INPUT STRING:	باصدار
     IS_TRANS:	bASdAr
        INDEX:	P9W9
      OFFSETS:	48-54
       TOKENS:	P9W10-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiSodAr_1]
   UNSPLITVOC:	(biAiSodAr)
          POS:	PREP+NOUN
          VOC:	bi+AiSodAr
        GLOSS:	with/by+insurance/publication

 INPUT STRING:	مذكرات
     IS_TRANS:	m*krAt
        INDEX:	P9W10
      OFFSETS:	55-61
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu*ak~irap_1]
   UNSPLITVOC:	(mu*ak~irAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	mu*ak~ir+At
        GLOSS:	memoirs/diary+[fem.pl.]

 INPUT STRING:	اعتقال
     IS_TRANS:	AEtqAl
        INDEX:	P9W11
      OFFSETS:	62-68
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotiqAl_1]
   UNSPLITVOC:	(AiEotiqAl)
          POS:	NOUN
          VOC:	AiEotiqAl
        GLOSS:	arrest/detention

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P9W12
      OFFSETS:	69-71
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P9W13
      OFFSETS:	72-74
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	right, prerogative, truth

 INPUT STRING:	اربعة
     IS_TRANS:	ArbEp
        INDEX:	P9W14
      OFFSETS:	75-80
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ArobaEap_1]
   UNSPLITVOC:	(ArobaEap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	ArobaE+ap
        GLOSS:	four+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W15
      OFFSETS:	81-83
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كبار
     IS_TRANS:	kbAr
        INDEX:	P9W16
      OFFSETS:	84-88
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kubAr)
          POS:	ADJ
          VOC:	kubAr
        GLOSS:	senior/important

 INPUT STRING:	مسؤولي
     IS_TRANS:	ms&wly
        INDEX:	P9W17
      OFFSETS:	89-95
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maso&uwl_1]
   UNSPLITVOC:	(maso&uwliy)
          POS:	NOUN+NSUFF_MASC_PL_ACC_POSS
          VOC:	maso&uwl+iy
        GLOSS:	official/functionary+[masc.pl.acc.]

 INPUT STRING:	وضباط
     IS_TRANS:	wDbAT
        INDEX:	P9W18
      OFFSETS:	96-101
       TOKENS:	P9W20-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAbiT_2]
   UNSPLITVOC:	(wiDub~AT)
          POS:	CONJ+NOUN
          VOC:	wi+Dub~AT
        GLOSS:	and+officers

 INPUT STRING:	وزارة
     IS_TRANS:	wzArp
        INDEX:	P9W19
      OFFSETS:	102-107
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wizArap_1]
   UNSPLITVOC:	(wizArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wizAr+ap
        GLOSS:	ministry+[fem.sg.]

 INPUT STRING:	الداخلية
     IS_TRANS:	AldAxlyp
        INDEX:	P9W20
      OFFSETS:	108-116
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxoliy~ap_1]
   UNSPLITVOC:	(Ald~Axoliy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dAxoliy~+ap
        GLOSS:	the+interior/of state+[fem.sg.]

 INPUT STRING:	بناء
     IS_TRANS:	bnA'
        INDEX:	P9W21
      OFFSETS:	117-121
       TOKENS:	P9W24-P9W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binA'_1]
   UNSPLITVOC:	(binA')
          POS:	NOUN
          VOC:	binA'
        GLOSS:	constructing/building

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W22
      OFFSETS:	122-125
       TOKENS:	P9W25-P9W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الاشتباه
     IS_TRANS:	AlA$tbAh
        INDEX:	P9W23
      OFFSETS:	126-134
       TOKENS:	P9W26-P9W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otibAh_1]
   UNSPLITVOC:	(AlAi$otibAh)
          POS:	DET+NOUN
          VOC:	Al+Ai$otibAh
        GLOSS:	the+suspicion

 INPUT STRING:	بانهم
     IS_TRANS:	bAnhm
        INDEX:	P9W24
      OFFSETS:	135-140
       TOKENS:	P9W27-P9W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>in~_1]
   UNSPLITVOC:	(bi>in~hum)
          POS:	PREP+SUB_CONJ+PRON_3P
          VOC:	bi+>in~+hum
        GLOSS:	with/by+that+they

 INPUT STRING:	اصدروا
     IS_TRANS:	ASdrwA
        INDEX:	P9W25
      OFFSETS:	141-147
       TOKENS:	P9W30-P9W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSodar_1]
   UNSPLITVOC:	(>aSodoruwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	>aSodor+uwA
        GLOSS:	issue/publish+they

 INPUT STRING:	اوامر
     IS_TRANS:	AwAmr
        INDEX:	P9W26
      OFFSETS:	148-153
       TOKENS:	P9W31-P9W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_2]
   UNSPLITVOC:	(>awAmir)
          POS:	NOUN
          VOC:	>awAmir
        GLOSS:	orders/commands

 INPUT STRING:	باطلاق
     IS_TRANS:	bATlAq
        INDEX:	P9W27
      OFFSETS:	154-160
       TOKENS:	P9W32-P9W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiTolAq_1]
   UNSPLITVOC:	(biAiTolAq)
          POS:	PREP+NOUN
          VOC:	bi+AiTolAq
        GLOSS:	with/by+firing

 INPUT STRING:	النار
     IS_TRANS:	AlnAr
        INDEX:	P9W28
      OFFSETS:	161-166
       TOKENS:	P9W34-P9W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAr_1]
   UNSPLITVOC:	(Aln~Ar)
          POS:	DET+NOUN
          VOC:	Al+nAr
        GLOSS:	the+fire/shooting

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W29
      OFFSETS:	167-170
       TOKENS:	P9W35-P9W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	متظاهرين
     IS_TRANS:	mtZAhryn
        INDEX:	P9W30
      OFFSETS:	171-179
       TOKENS:	P9W36-P9W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaZAhir_1]
   UNSPLITVOC:	(mutaZAhiriyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	mutaZAhir+iyn
        GLOSS:	demonstrator+[masc.pl.]

 INPUT STRING:	خلال
     IS_TRANS:	xlAl
        INDEX:	P9W31
      OFFSETS:	180-184
       TOKENS:	P9W37-P9W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xilAl_1]
   UNSPLITVOC:	(xilAl)
          POS:	NOUN
          VOC:	xilAl
        GLOSS:	during/through/(by) means (of)/via/through

 INPUT STRING:	المظاهرات
     IS_TRANS:	AlmZAhrAt
        INDEX:	P9W32
      OFFSETS:	185-194
       TOKENS:	P9W38-P9W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAharap_1]
   UNSPLITVOC:	(AlmuZAharAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muZAhar+At
        GLOSS:	the+demonstrations/rallies+[fem.pl.]

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P9W33
      OFFSETS:	195-199
       TOKENS:	P9W39-P9W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	that

 INPUT STRING:	طالبت
     IS_TRANS:	TAlbt
        INDEX:	P9W34
      OFFSETS:	200-205
       TOKENS:	P9W40-P9W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TAlab_1]
   UNSPLITVOC:	(TAlabat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	TAlab+at
        GLOSS:	demand/require+she/it

 INPUT STRING:	باسقاط
     IS_TRANS:	bAsqAT
        INDEX:	P9W35
      OFFSETS:	206-212
       TOKENS:	P9W41-P9W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isoqAT_1]
   UNSPLITVOC:	(bi<isoqAT)
          POS:	PREP+NOUN
          VOC:	bi+<isoqAT
        GLOSS:	with/by+overthrow/shooting down

 INPUT STRING:	نظام
     IS_TRANS:	nZAm
        INDEX:	P9W36
      OFFSETS:	213-217
       TOKENS:	P9W43-P9W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(niZAm)
          POS:	NOUN
          VOC:	niZAm
        GLOSS:	regime/government

 INPUT STRING:	حكم
     IS_TRANS:	Hkm
        INDEX:	P9W37
      OFFSETS:	218-221
       TOKENS:	P9W44-P9W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(Hukom)
