 INPUT STRING:	إعتراف
        LEMMA:	[zAl-a_1]
   UNSPLITVOC:	(zAla)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	zAl+a
        GLOSS:	cease/stop being/stop doing+he/it [verb]

 INPUT STRING:	النظام
     IS_TRANS:	AlnZAm
        INDEX:	P9W15
      OFFSETS:	70-76
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(Aln~iZAm)
          POS:	DET+NOUN
          VOC:	Al+niZAm
        GLOSS:	the+regime/government

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P9W16
      OFFSETS:	77-78
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	التنظيم
     IS_TRANS:	AltnZym
        INDEX:	P9W17
      OFFSETS:	79-86
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanoZiym_1]
   UNSPLITVOC:	(Alt~anoZiym)
          POS:	DET+NOUN
          VOC:	Al+tanoZiym
        GLOSS:	the+organizing/controlling/planning/regulating

 INPUT STRING:	مشكلة
     IS_TRANS:	m$klp
        INDEX:	P9W18
      OFFSETS:	87-92
       TOKENS:	P9W21-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(mu$okilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu$okil+ap
        GLOSS:	problem/issue+[fem.sg.]

 INPUT STRING:	كبرى
     IS_TRANS:	kbrY
        INDEX:	P9W19
      OFFSETS:	93-97
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuboray_1]
   UNSPLITVOC:	(kuboraY)
          POS:	ADJ
          VOC:	kuboraY
        GLOSS:	big

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W20
      OFFSETS:	97-98
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مسألة
     IS_TRANS:	ms>lp
        INDEX:	P10W1
      OFFSETS:	1-6
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso>alap_1]
   UNSPLITVOC:	(maso>alap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maso>al+ap
        GLOSS:	issue/affair/matter/question+[fem.sg.]

 INPUT STRING:	التوجيه
     IS_TRANS:	Altwjyh
        INDEX:	P10W2
      OFFSETS:	7-14
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawjiyh_1]
   UNSPLITVOC:	(Alt~awjiyh)
          POS:	DET+NOUN
          VOC:	Al+tawjiyh
        GLOSS:	the+directing/guiding/sending

 INPUT STRING:	الأمثل
     IS_TRANS:	Al>mvl
        INDEX:	P10W3
      OFFSETS:	15-21
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoval_1]
   UNSPLITVOC:	(Al>amoval)
          POS:	DET+NOUN
          VOC:	Al+>amoval
        GLOSS:	the+exemplary/ideal

 INPUT STRING:	لموارد
     IS_TRANS:	lmwArd
        INDEX:	P10W4
      OFFSETS:	22-28
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawrid_1]
   UNSPLITVOC:	(limawArid)
          POS:	PREP+NOUN
          VOC:	li+mawArid
        GLOSS:	for/to+source/resource

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P10W5
      OFFSETS:	29-35
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country/states/countries+[fem.sg.]

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P10W6
      OFFSETS:	36-40
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	تاخد
     IS_TRANS:	tAxd
        INDEX:	P10W7
      OFFSETS:	41-45
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(tAxud)
          POS:	IV3FS+IV
          VOC:	t+Axud
        GLOSS:	it/they/she+take

 INPUT STRING:	عناية
     IS_TRANS:	EnAyp
        INDEX:	P10W8
      OFFSETS:	46-51
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EinAyap_1]
   UNSPLITVOC:	(EinAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EinAy+ap
        GLOSS:	care/attention/concern+[fem.sg.]

 INPUT STRING:	أكبر
     IS_TRANS:	>kbr
        INDEX:	P10W9
      OFFSETS:	52-56
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	larger/largest/greater/greatest

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P10W10
      OFFSETS:	57-59
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P10W11
      OFFSETS:	60-63
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	ADV
          VOC:	kidah
        GLOSS:	like that

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W12
      OFFSETS:	63-64
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P11W1
      OFFSETS:	1-4
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	شايف
     IS_TRANS:	$Ayf
        INDEX:	P11W2
      OFFSETS:	5-9
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayif)
          POS:	ADJ.VN
          VOC:	$Ayif
        GLOSS:	seeing

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P11W3
      OFFSETS:	10-12
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	التفحيص
     IS_TRANS:	AltfHyS
        INDEX:	P11W4
      OFFSETS:	13-20
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafoHiyS_1]
   UNSPLITVOC:	(Alt~afoHiyS)
          POS:	DET+NOUN
          VOC:	Al+tafoHiyS
        GLOSS:	the+checking

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P11W5
      OFFSETS:	21-23
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المصروفات
     IS_TRANS:	AlmSrwfAt
        INDEX:	P11W6
      OFFSETS:	24-33
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoruwf_1]
   UNSPLITVOC:	(AlmaSoruwfAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+maSoruwf+At
        GLOSS:	the+spendings+[fem.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P11W7
      OFFSETS:	34-35
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	الإنفاق
     IS_TRANS:	Al<nfAq
        INDEX:	P11W8
      OFFSETS:	36-43
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<infAq_1]
   UNSPLITVOC:	(Al<infAq)
          POS:	DET+NOUN
          VOC:	Al+<infAq
        GLOSS:	the+spending

 INPUT STRING:	الحكومي
     IS_TRANS:	AlHkwmy
        INDEX:	P11W9
      OFFSETS:	44-51
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmiy_1]
   UNSPLITVOC:	(AlHukuwmiy)
          POS:	DET+ADJ
          VOC:	Al+Hukuwmiy
        GLOSS:	the+governmental/state/official

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P11W10
      OFFSETS:	52-54
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أمور
     IS_TRANS:	>mwr
        INDEX:	P11W11
      OFFSETS:	55-59
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(>umuwr)
          POS:	NOUN
          VOC:	>umuwr
        GLOSS:	matters/issues

 INPUT STRING:	كثيرة
     IS_TRANS:	kvyrp
        INDEX:	P11W12
      OFFSETS:	60-65
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiviyr_1]
   UNSPLITVOC:	(kiviyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kiviyr+ap
        GLOSS:	many/much/numerous+[fem.sg.]

 INPUT STRING:	يمكن
     IS_TRANS:	ymkn
        INDEX:	P11W13
      OFFSETS:	66-70
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amokan_1]
   UNSPLITVOC:	(yimokin)
          POS:	IV3MS+IV
          VOC:	yi+mokin
        GLOSS:	he/it+be possible/make possible for

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P11W14
      OFFSETS:	71-73
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	يوفر
     IS_TRANS:	ywfr
        INDEX:	P11W15
      OFFSETS:	74-78
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waf~ar_1]
   UNSPLITVOC:	(yiwaf~ar)
          POS:	IV3MS+IV
          VOC:	yi+waf~ar
        GLOSS:	he/it+provide/fulfill

 INPUT STRING:	مليارات
     IS_TRANS:	mlyArAt
        INDEX:	P11W16
      OFFSETS:	79-86
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miloyAr_1]
   UNSPLITVOC:	(miloyArAt)
          POS:	NOUN_NUM+NSUFF_FEM_PL
          VOC:	miloyAr+At
        GLOSS:	billions+[fem.pl.]

 INPUT STRING:	يعاد
     IS_TRANS:	yEAd
        INDEX:	P11W17
      OFFSETS:	87-91
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aEAd_1]
   UNSPLITVOC:	(yuEAdu)
          POS:	IV3MS+IV_PASS+IVSUFF_MOOD:I
          VOC:	yu+EAd+u
        GLOSS:	he/it+(be done) again/be returned/be given back+[ind.]

 INPUT STRING:	توجيهها
     IS_TRANS:	twjyhhA
        INDEX:	P11W18
      OFFSETS:	92-99
       TOKENS:	P11W18-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tawojiyh_1]
   UNSPLITVOC:	(tawojiyhhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	tawojiyh+hA
        GLOSS:	directing/guiding/sending+its/their/her

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P11W19
      OFFSETS:	100-102
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أغراض
     IS_TRANS:	>grAD
        INDEX:	P11W20
      OFFSETS:	103-108
       TOKENS:	P11W21-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[garaD_1]
   UNSPLITVOC:	(>agorAD)
          POS:	NOUN
          VOC:	>agorAD
        GLOSS:	goals/objectives

 INPUT STRING:	إقتصادية
     IS_TRANS:	<qtSAdyp
        INDEX:	P11W21
      OFFSETS:	109-117
       TOKENS:	P11W22-P11W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iqotiSAdiy_1]
   UNSPLITVOC:	({iqotiSAdiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	{iqotiSAdiy~+ap
        GLOSS:	economic/economical+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P11W22
      OFFSETS:	118-119
       TOKENS:	P11W23-P11W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	إجتماعية
     IS_TRANS:	<jtmAEyp
        INDEX:	P11W23
      OFFSETS:	120-128
       TOKENS:	P11W24-P11W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AijotimAEiy_1]
   UNSPLITVOC:	(AijotimAEiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	AijotimAEiy~+ap
        GLOSS:	social+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W24
      OFFSETS:	128-129
       TOKENS:	P11W25-P11W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	الف
     IS_TRANS:	Alf
        INDEX:	P12W1
      OFFSETS:	1-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousand

 INPUT STRING:	الف
     IS_TRANS:	Alf
        INDEX:	P12W2
      OFFSETS:	5-8
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN
          VOC:	Alof
        GLOSS:	one thousand

 INPUT STRING:	وك
     IS_TRANS:	wk
        INDEX:	P12W3
      OFFSETS:	60-62
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wk)
          POS:	TYPO
          VOC:	wk
        GLOSS:	nogloss

 INPUT STRING:	ياتري
     IS_TRANS:	yAtry
        INDEX:	P14W1
      OFFSETS:	1-6
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yAtry)
          POS:	NO_FUNC
          VOC:	yAtry
        GLOSS:	nogloss

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P14W2
      OFFSETS:	7-9
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	الاستقاله
     IS_TRANS:	AlAstqAlh
        INDEX:	P14W3
      OFFSETS:	10-19
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiqAlap_1]
   UNSPLITVOC:	(AlAisotiqAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+AisotiqAl+ap
        GLOSS:	the+resignation/retirement+[fem.sg.]

 INPUT STRING:	رقم
     IS_TRANS:	rqm
        INDEX:	P14W4
      OFFSETS:	20-23
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqom_1]
   UNSPLITVOC:	(raqom)
          POS:	NOUN
          VOC:	raqom
        GLOSS:	number/numeral/record

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P14W5
      OFFSETS:	24-27
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(kAm)
          POS:	INTERROG_PRON
          VOC:	kAm
        GLOSS:	how many/how much

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P14W6
      OFFSETS:	28-30
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تاريخ
     IS_TRANS:	tAryx
        INDEX:	P14W7
      OFFSETS:	31-36
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyx_1]
   UNSPLITVOC:	(tAriyx)
          POS:	NOUN
          VOC:	tAriyx
        GLOSS:	date/history

 INPUT STRING:	وزارة
     IS_TRANS:	wzArp
        INDEX:	P14W8
      OFFSETS:	37-42
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wizArap_1]
   UNSPLITVOC:	(wizArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wizAr+ap
        GLOSS:	ministry+[fem.sg.]

 INPUT STRING:	النقل
     IS_TRANS:	Alnql
        INDEX:	P14W9
      OFFSETS:	43-48
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqol_1]
   UNSPLITVOC:	(Aln~aqol)
          POS:	DET+NOUN
          VOC:	Al+naqol
        GLOSS:	the+transportation/transfer/transmission/relaying/quoting

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P14W10
      OFFSETS:	48-49
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P14W11
      OFFSETS:	49-50
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ويا
     IS_TRANS:	wyA
        INDEX:	P15W1
      OFFSETS:	1-4
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(wiyA)
          POS:	CONJ+VOC_PART
          VOC:	wi+yA
        GLOSS:	and+O, oh

 INPUT STRING:	تري
     IS_TRANS:	try
        INDEX:	P15W2
      OFFSETS:	5-8
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tariy_1]
   UNSPLITVOC:	(tariy)
          POS:	VERB
          VOC:	tariy
        GLOSS:	wonder

 INPUT STRING:	استقالة
     IS_TRANS:	AstqAlp
        INDEX:	P15W3
      OFFSETS:	9-16
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiqAlap_1]
   UNSPLITVOC:	(AisotiqAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AisotiqAl+ap
        GLOSS:	resignation/retirement+[fem.sg.]

 INPUT STRING:	الوزاره
     IS_TRANS:	AlwzArh
        INDEX:	P15W4
      OFFSETS:	17-24
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wizArap_1]
   UNSPLITVOC:	(AlwizArap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+wizAr+ap
        GLOSS:	the+ministry+[fem.sg.]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P15W5
      OFFSETS:	25-27
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P15W6
      OFFSETS:	28-30
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	الحل
     IS_TRANS:	AlHl
        INDEX:	P15W7
      OFFSETS:	31-35
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(AlHal~)
          POS:	DET+NOUN
          VOC:	Al+Hal~
        GLOSS:	the+solution/dissolution/cancellation/solutions/dissolutions/cancellations

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P15W8
      OFFSETS:	36-38
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	وجهة
     IS_TRANS:	wjhp
        INDEX:	P15W9
      OFFSETS:	39-43
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wijohap_1]
   UNSPLITVOC:	(wijohap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wijoh+ap
        GLOSS:	point of view/angle+[fem.sg.]

 INPUT STRING:	نظرهم
     IS_TRANS:	nZrhm
        INDEX:	P15W10
      OFFSETS:	44-49
