 INPUT STRING:	شايف
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	($ayx)
          POS:	NOUN
          VOC:	$ayx
        GLOSS:	Sheikh/chieftain/Sheikhs/chieftains/senators

 INPUT STRING:	مسجد
     IS_TRANS:	msjd
        INDEX:	P9W9
      OFFSETS:	45-49
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misaj~id_1]
   UNSPLITVOC:	(misaj~id)
          POS:	NOUN
          VOC:	misaj~id
        GLOSS:	mosque

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P9W10
      OFFSETS:	50-53
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but/yet

 INPUT STRING:	الآن
     IS_TRANS:	Al|n
        INDEX:	P9W11
      OFFSETS:	54-58
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|an_1]
   UNSPLITVOC:	(Al|an)
          POS:	DET+NOUN
          VOC:	Al+|an
        GLOSS:	the+time/moment

 INPUT STRING:	قس
     IS_TRANS:	qs
        INDEX:	P9W12
      OFFSETS:	59-61
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qis~_1]
   UNSPLITVOC:	(qis~)
          POS:	NOUN
          VOC:	qis~
        GLOSS:	clergyman/reverend

 INPUT STRING:	يقود
     IS_TRANS:	yqwd
        INDEX:	P9W13
      OFFSETS:	62-66
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAd_1]
   UNSPLITVOC:	(yiquwd)
          POS:	IV3MS+IV
          VOC:	yi+quwd
        GLOSS:	he/it+lead/guide

 INPUT STRING:	المليشيات
     IS_TRANS:	Almly$yAt
        INDEX:	P9W14
      OFFSETS:	67-76
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyliy$iyA_1]
   UNSPLITVOC:	(Almiliy$iyAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+miliy$iy+At
        GLOSS:	the+militias+[fem.pl.]

 INPUT STRING:	الخارجة
     IS_TRANS:	AlxArjp
        INDEX:	P9W15
      OFFSETS:	77-84
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(AlxArijap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+xArij+ap
        GLOSS:	the+leaving/departing/exiting+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W16
      OFFSETS:	85-88
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	القانون
     IS_TRANS:	AlqAnwn
        INDEX:	P9W17
      OFFSETS:	89-96
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(AlqAnuwn)
          POS:	DET+NOUN
          VOC:	Al+qAnuwn
        GLOSS:	the+law/statutes/regulations

 INPUT STRING:	للإعتداء
     IS_TRANS:	ll<EtdA'
        INDEX:	P9W18
      OFFSETS:	97-105
       TOKENS:	P9W21-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotidA'_1]
   UNSPLITVOC:	(lilAiEotidA')
          POS:	PREP+DET+NOUN
          VOC:	li+Al+AiEotidA'
        GLOSS:	for/to+the+attack/agression

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W19
      OFFSETS:	106-109
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	القوات
     IS_TRANS:	AlqwAt
        INDEX:	P9W20
      OFFSETS:	110-116
       TOKENS:	P9W24-P9W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(Alquw~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+quw~+At
        GLOSS:	the+power/strength/force/violence/armed forces/power/forces+[fem.pl.]

 INPUT STRING:	المسلحة
     IS_TRANS:	AlmslHp
        INDEX:	P9W21
      OFFSETS:	117-124
       TOKENS:	P9W25-P9W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musal~aH_1]
   UNSPLITVOC:	(Almusal~aHap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+musal~aH+ap
        GLOSS:	the+armored/reinforced+[fem.sg.]

 INPUT STRING:	مستخدمين
     IS_TRANS:	mstxdmyn
        INDEX:	P9W22
      OFFSETS:	125-133
       TOKENS:	P9W26-P9W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaxodam_1]
   UNSPLITVOC:	(musotaxodamiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	musotaxodam+iyn
        GLOSS:	employing/using+[pl.]

 INPUT STRING:	الأسلحة
     IS_TRANS:	Al>slHp
        INDEX:	P9W23
      OFFSETS:	134-141
       TOKENS:	P9W27-P9W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[silAH_1]
   UNSPLITVOC:	(Al>asliHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>asliH+ap
        GLOSS:	the+weapons+[fem.sg.]

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P9W24
      OFFSETS:	142-146
       TOKENS:	P9W28-P9W28
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	أكد
     IS_TRANS:	>kd
        INDEX:	P9W25
      OFFSETS:	147-150
       TOKENS:	P9W29-P9W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ak~id_1]
   UNSPLITVOC:	(>ak~id)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>ak~id+(null)
        GLOSS:	affirm/assure+he/it

 INPUT STRING:	الدكتور
     IS_TRANS:	Aldktwr
        INDEX:	P9W26
      OFFSETS:	151-158
       TOKENS:	P9W30-P9W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(Ald~ukotawr)
          POS:	DET+NOUN
          VOC:	Al+dukotawr
        GLOSS:	the+doctor/Doctor/Dr.

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P9W27
      OFFSETS:	159-163
       TOKENS:	P9W31-P9W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Mahamad

 INPUT STRING:	سليم
     IS_TRANS:	slym
        INDEX:	P9W28
      OFFSETS:	164-168
       TOKENS:	P9W32-P9W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siliym_1]
   UNSPLITVOC:	(siliym)
          POS:	NOUN_PROP
          VOC:	siliym
        GLOSS:	Silim

 INPUT STRING:	العوا
     IS_TRANS:	AlEwA
        INDEX:	P9W29
      OFFSETS:	169-174
       TOKENS:	P9W33-P9W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EuwA_1]
   UNSPLITVOC:	(AlEuwA)
          POS:	DET+NOUN_PROP
          VOC:	Al+EuwA
        GLOSS:	the+Uwa

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W30
      OFFSETS:	175-177
       TOKENS:	P9W34-P9W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P9W31
      OFFSETS:	178-181
       TOKENS:	P9W35-P9W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	وجودها
     IS_TRANS:	wjwdhA
        INDEX:	P9W32
      OFFSETS:	182-188
       TOKENS:	P9W36-P9W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwdhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	wujuwd+hA
        GLOSS:	presence/existence+its/their/her

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P9W33
      OFFSETS:	189-191
       TOKENS:	P9W38-P9W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الكنائس
     IS_TRANS:	AlknA}s
        INDEX:	P9W34
      OFFSETS:	192-199
       TOKENS:	P9W39-P9W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaniysap_1]
   UNSPLITVOC:	(AlkanA}is)
          POS:	DET+NOUN
          VOC:	Al+kanA}is
        GLOSS:	the+churches/temples

 INPUT STRING:	أعتقد
     IS_TRANS:	>Etqd
        INDEX:	P9W35
      OFFSETS:	200-205
       TOKENS:	P9W40-P9W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaqad_1]
   UNSPLITVOC:	(AaEotaqid)
          POS:	IV1S+IV
          VOC:	Aa+Eotaqid
        GLOSS:	I+blieve

 INPUT STRING:	أنها
     IS_TRANS:	>nhA
        INDEX:	P9W36
      OFFSETS:	206-210
       TOKENS:	P9W41-P9W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+it/they/she

 INPUT STRING:	فتنة
     IS_TRANS:	ftnp
        INDEX:	P9W37
      OFFSETS:	211-215
       TOKENS:	P9W43-P9W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fitonap_1]
   UNSPLITVOC:	(fitonap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fiton+ap
        GLOSS:	sedition/dissension/discord+[fem.sg.]

 INPUT STRING:	مدبرة
     IS_TRANS:	mdbrp
        INDEX:	P9W38
      OFFSETS:	216-221
       TOKENS:	P9W44-P9W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mid~ab~ar_1]
   UNSPLITVOC:	(mid~ab~arap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mid~ab~ar+ap
        GLOSS:	delibrate/intended/planned+[fem.sg.]

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P9W39
      OFFSETS:	222-225
       TOKENS:	P9W45-P9W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiy)
          POS:	CONJ+PREP
          VOC:	wi+fiy
        GLOSS:	and+in

 INPUT STRING:	ساعة
     IS_TRANS:	sAEp
        INDEX:	P9W40
      OFFSETS:	226-230
       TOKENS:	P9W47-P9W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	sAE+ap
        GLOSS:	hour/time/hours+[fem.sg.]

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P9W41
      OFFSETS:	231-236
       TOKENS:	P9W48-P9W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P9W42
      OFFSETS:	237-239
       TOKENS:	P9W49-P9W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أربع
     IS_TRANS:	>rbE
        INDEX:	P9W43
      OFFSETS:	240-244
       TOKENS:	P9W50-P9W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ArobaE_1]
   UNSPLITVOC:	(ArobaE)
          POS:	NOUN_NUM
          VOC:	ArobaE
        GLOSS:	four

 INPUT STRING:	محافظات
     IS_TRANS:	mHAfZAt
        INDEX:	P9W44
      OFFSETS:	245-252
       TOKENS:	P9W51-P9W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAfoZap_1]
   UNSPLITVOC:	(muHAfoZAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muHAfoZ+At
        GLOSS:	province/governorate+[fem.pl.]

