 INPUT STRING:	الحمد
   UNSPLITVOC:	(Aisom)
          POS:	NOUN
          VOC:	Aisom
        GLOSS:	name

 INPUT STRING:	جمهورية
     IS_TRANS:	jmhwryp
        INDEX:	P7W16
      OFFSETS:	83-90
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumohuwriy~ap_1]
   UNSPLITVOC:	(jumohuwriy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jumohuwriy~+ap
        GLOSS:	republic/republics+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P7W17
      OFFSETS:	91-94
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P7W18
      OFFSETS:	95-102
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	بإضافة
     IS_TRANS:	b<DAfp
        INDEX:	P7W19
      OFFSETS:	103-109
       TOKENS:	P7W22-P7W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iDAfap_1]
   UNSPLITVOC:	(bi<iDAfap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+<iDAf+ap
        GLOSS:	with/by+addition/appending+[fem.sg.]

 INPUT STRING:	كلمة
     IS_TRANS:	klmp
        INDEX:	P7W20
      OFFSETS:	110-114
       TOKENS:	P7W24-P7W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kilomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kilom+ap
        GLOSS:	word/remark/speech+[fem.sg.]

 INPUT STRING:	إسلامية
     IS_TRANS:	<slAmyp
        INDEX:	P7W21
      OFFSETS:	115-122
       TOKENS:	P7W25-P7W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	<isolAmiy~+ap
        GLOSS:	Islamic/Islamist/Muslim+[fem.sg.]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P7W22
      OFFSETS:	122-123
       TOKENS:	P7W26-P7W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وذلك
     IS_TRANS:	w*lk
        INDEX:	P7W23
      OFFSETS:	124-128
       TOKENS:	P7W27-P7W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(wi*alik)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+*alik
        GLOSS:	and+this

 INPUT STRING:	أثناء
     IS_TRANS:	>vnA'
        INDEX:	P7W24
      OFFSETS:	129-134
       TOKENS:	P7W29-P7W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avonA'_1]
   UNSPLITVOC:	(>avonA')
          POS:	NOUN
          VOC:	>avonA'
        GLOSS:	during/meanwhile/meantime

 INPUT STRING:	مؤتمر
     IS_TRANS:	m&tmr
        INDEX:	P7W25
      OFFSETS:	135-140
       TOKENS:	P7W30-P7W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&otamar_1]
   UNSPLITVOC:	(mu&otamar)
          POS:	NOUN
          VOC:	mu&otamar
        GLOSS:	conference/convention

 INPUT STRING:	عقده
     IS_TRANS:	Eqdh
        INDEX:	P7W26
      OFFSETS:	141-145
       TOKENS:	P7W31-P7W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqad_1]
   UNSPLITVOC:	(Eaqaduh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	Eaqad+(null)+uh
        GLOSS:	hold/convene/conclude+he/it [verb]+it/him

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P7W27
      OFFSETS:	146-149
       TOKENS:	P7W33-P7W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(Hizob)
          POS:	NOUN
          VOC:	Hizob
        GLOSS:	party/band/parties/bands

 INPUT STRING:	النور
     IS_TRANS:	Alnwr
        INDEX:	P7W28
      OFFSETS:	151-156
       TOKENS:	P7W34-P7W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(Aln~uwr)
          POS:	DET+NOUN_PROP
          VOC:	Al+nuwr
        GLOSS:	the+Nour/Noor

 INPUT STRING:	السلفى
     IS_TRANS:	AlslfY
        INDEX:	P7W29
      OFFSETS:	157-163
       TOKENS:	P7W35-P7W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(Als~alafiy)
          POS:	DET+ADJ
          VOC:	Al+salafiy
        GLOSS:	the+Salafi/Salafist

 INPUT STRING:	بإمبابة
     IS_TRANS:	b<mbAbp
        INDEX:	P7W30
      OFFSETS:	165-172
       TOKENS:	P7W36-P7W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimobAbap_1]
   UNSPLITVOC:	(biAimobAbap)
          POS:	PREP+NOUN_PROP+NSUFF_FEM_SG
          VOC:	bi+AimobAb+ap
        GLOSS:	with/by+Imbaba+[fem.sg.]

 INPUT STRING:	مساء
     IS_TRANS:	msA'
        INDEX:	P7W31
      OFFSETS:	173-177
       TOKENS:	P7W38-P7W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masA'_1]
   UNSPLITVOC:	(masA')
          POS:	NOUN
          VOC:	masA'
        GLOSS:	in the evening

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P7W32
      OFFSETS:	178-183
       TOKENS:	P7W39-P7W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	الجمعة
     IS_TRANS:	AljmEp
        INDEX:	P7W33
      OFFSETS:	184-190
       TOKENS:	P7W40-P7W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumoEap_1]
   UNSPLITVOC:	(AljumoEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jumoE+ap
        GLOSS:	the+Friday+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W34
      OFFSETS:	190-191
       TOKENS:	P7W41-P7W41
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وانتقد
     IS_TRANS:	wAntqd
        INDEX:	P8W1
      OFFSETS:	0-6
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotaqad_1]
   UNSPLITVOC:	(wiAinotaqad)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+Ainotaqad+(null)
        GLOSS:	and+criticize+he/it [verb]

 INPUT STRING:	برهامى
     IS_TRANS:	brhAmY
        INDEX:	P8W2
      OFFSETS:	7-13
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[burhAmiy_1]
   UNSPLITVOC:	(burhAmiy)
          POS:	NOUN_PROP
          VOC:	burhAmiy
        GLOSS:	brhamy

 INPUT STRING:	مبدأ
     IS_TRANS:	mbd>
        INDEX:	P8W3
      OFFSETS:	14-18
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboda>_1]
   UNSPLITVOC:	(maboda>)
          POS:	NOUN
          VOC:	maboda>
        GLOSS:	principle/basis

 INPUT STRING:	فصل
     IS_TRANS:	fSl
        INDEX:	P8W4
      OFFSETS:	19-22
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faSol_1]
   UNSPLITVOC:	(faSol)
          POS:	NOUN.VN
          VOC:	faSol
        GLOSS:	detaching/separating/cutting off

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P8W5
      OFFSETS:	23-28
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Ald~iyn)
          POS:	DET+NOUN
          VOC:	Al+diyn
        GLOSS:	the+religion

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P8W6
      OFFSETS:	29-31
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	السياسة
     IS_TRANS:	AlsyAsp
        INDEX:	P8W7
      OFFSETS:	32-39
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(Als~iyAsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyAs+ap
        GLOSS:	the+politics+[fem.sg.]

 INPUT STRING:	وشئون
     IS_TRANS:	w$}wn
        INDEX:	P8W8
      OFFSETS:	40-45
       TOKENS:	P8W9-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(wi$u}uwn)
          POS:	CONJ+NOUN
          VOC:	wi+$u}uwn
        GLOSS:	and+affairs/matters

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P8W9
      OFFSETS:	46-52
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P8W10
      OFFSETS:	52-53
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وتساءل
     IS_TRANS:	wtsA'l
        INDEX:	P8W11
      OFFSETS:	54-60
       TOKENS:	P8W13-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasA'al_1]
   UNSPLITVOC:	(witasA'al)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+tasA'al+(null)
        GLOSS:	and+ask/wonder+he/it [verb]

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P8W12
      OFFSETS:	60-61
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	كيف
     IS_TRANS:	kyf
        INDEX:	P8W13
      OFFSETS:	62-65
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kayof_1]
   UNSPLITVOC:	(kayof)
          POS:	INTERROG_ADV
          VOC:	kayof
        GLOSS:	how

 INPUT STRING:	نفصل
     IS_TRANS:	nfSl
        INDEX:	P8W14
      OFFSETS:	66-70
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faSal_1]
   UNSPLITVOC:	(nifoSil)
          POS:	IV1P+IV
          VOC:	ni+foSil
        GLOSS:	we+separate/detach/set apart

 INPUT STRING:	شئوننا
     IS_TRANS:	$}wnnA
        INDEX:	P8W15
      OFFSETS:	71-77
       TOKENS:	P8W18-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	($u}uwn~A)
          POS:	NOUN+POSS_PRON_1P
          VOC:	$u}uwn+nA
        GLOSS:	affairs/matters+our

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P8W16
      OFFSETS:	78-80
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P8W17
      OFFSETS:	81-86
       TOKENS:	P8W21-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Ald~iyn)
          POS:	DET+NOUN
          VOC:	Al+diyn
        GLOSS:	the+religion

 INPUT STRING:	بالرغم
     IS_TRANS:	bAlrgm
        INDEX:	P8W18
      OFFSETS:	87-93
       TOKENS:	P8W22-P8W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(biAlr~agom)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ragom
        GLOSS:	with/by+the+in spite of/despite

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W19
      OFFSETS:	94-96
       TOKENS:	P8W24-P8W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كوننا
     IS_TRANS:	kwnnA
        INDEX:	P8W20
      OFFSETS:	97-102
       TOKENS:	P8W25-P8W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kuwn_1]
   UNSPLITVOC:	(kuwn~A)
          POS:	NOUN.VN+POSS_PRON_1P
          VOC:	kuwn+nA
        GLOSS:	being/events+our

 INPUT STRING:	دولة
     IS_TRANS:	dwlp
        INDEX:	P8W21
      OFFSETS:	103-107
       TOKENS:	P8W27-P8W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(dawlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawl+ap
        GLOSS:	state/country+[fem.sg.]

 INPUT STRING:	إسلامية
     IS_TRANS:	<slAmyp
        INDEX:	P8W22
      OFFSETS:	108-115
       TOKENS:	P8W28-P8W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	<isolAmiy~+ap
        GLOSS:	Islamic/Islamist/Muslim+[fem.sg.]

 INPUT STRING:	بنص
     IS_TRANS:	bnS
        INDEX:	P8W23
      OFFSETS:	116-119
       TOKENS:	P8W29-P8W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naS~_1]
   UNSPLITVOC:	(binaS~)
          POS:	PREP+NOUN
          VOC:	bi+naS~
        GLOSS:	with/by+text/texts/textually

 INPUT STRING:	الدستور
     IS_TRANS:	Aldstwr
        INDEX:	P8W24
      OFFSETS:	120-127
       TOKENS:	P8W31-P8W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(Ald~usotuwr)
          POS:	DET+NOUN
          VOC:	Al+dusotuwr
        GLOSS:	the+constitution/statute/constitutions/statutes

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P8W25
      OFFSETS:	127-128
       TOKENS:	P8W32-P8W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	مفسرا
     IS_TRANS:	mfsrA
        INDEX:	P8W26
      OFFSETS:	129-134
       TOKENS:	P8W33-P8W33
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mufas~ir_1]
   UNSPLITVOC:	(mufas~irAF)
          POS:	NOUN.VN+CASE_INDEF_ACC
          VOC:	mufas~ir+AF
        GLOSS:	commentator+[acc.indef.]

 INPUT STRING:	معنى
     IS_TRANS:	mEnY
        INDEX:	P8W27
      OFFSETS:	135-139
       TOKENS:	P8W34-P8W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonaY)
          POS:	NOUN
          VOC:	maEonaY
        GLOSS:	meaning/sense

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P8W28
      OFFSETS:	140-146
       TOKENS:	P8W35-P8W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country+[fem.sg.]

 INPUT STRING:	المدنية
     IS_TRANS:	Almdnyp
        INDEX:	P8W29
      OFFSETS:	147-154
       TOKENS:	P8W36-P8W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madaniy_1]
   UNSPLITVOC:	(Almadaniy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+madaniy~+ap
        GLOSS:	the+civilian+[fem.sg.]

 INPUT STRING:	بأنها
     IS_TRANS:	b>nhA
        INDEX:	P8W30
      OFFSETS:	155-160
       TOKENS:	P8W37-P8W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(bi<in~ahA)
          POS:	PREP+SUB_CONJ+PRON_3FS
          VOC:	bi+<in~+hA
        GLOSS:	with/by+that+it/they/she

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P8W31
      OFFSETS:	161-163
       TOKENS:	P8W40-P8W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	دينية
     IS_TRANS:	dynyp
        INDEX:	P8W32
      OFFSETS:	164-169
       TOKENS:	P8W41-P8W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyniy_1]
   UNSPLITVOC:	(diyniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	diyniy~+ap
        GLOSS:	religious+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W33
      OFFSETS:	169-170
       TOKENS:	P8W42-P8W42
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وانتقد
     IS_TRANS:	wAntqd
        INDEX:	P9W1
      OFFSETS:	0-6
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotaqad_1]
   UNSPLITVOC:	(wiAinotaqad)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+Ainotaqad+(null)
        GLOSS:	and+criticize+he/it [verb]

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P9W2
      OFFSETS:	7-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh/chieftain

 INPUT STRING:	عادل
     IS_TRANS:	EAdl
        INDEX:	P9W3
      OFFSETS:	13-17
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdil_1]
   UNSPLITVOC:	(EAdil)
          POS:	NOUN_PROP
          VOC:	EAdil
        GLOSS:	Adel/Adil

 INPUT STRING:	العزازى
     IS_TRANS:	AlEzAzY
        INDEX:	P9W4
      OFFSETS:	18-25
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EazAziy_1]
   UNSPLITVOC:	(AlEazAziY)
          POS:	DET+NOUN_PROP
          VOC:	Al+EazAziY
        GLOSS:	the+alazazy

 INPUT STRING:	مرشح
     IS_TRANS:	mr$H
        INDEX:	P9W5
      OFFSETS:	26-30
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(mura$~aH)
          POS:	NOUN
          VOC:	mura$~aH
        GLOSS:	candidate/nominee

 INPUT STRING:	الحزب
     IS_TRANS:	AlHzb
        INDEX:	P9W6
      OFFSETS:	31-36
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(AlHizob)
          POS:	DET+NOUN
          VOC:	Al+Hizob
        GLOSS:	the+party/band/parties/bands

 INPUT STRING:	لانتخابات
     IS_TRANS:	lAntxAbAt
        INDEX:	P9W7
      OFFSETS:	37-46
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotixAb_1]
   UNSPLITVOC:	(li<inotixAbAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	li+<inotixAb+At
        GLOSS:	for/to+elections/selections+[fem.pl.]

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P9W8
      OFFSETS:	47-51
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P9W9
      OFFSETS:	52-57
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation

 INPUT STRING:	بالجيزة
     IS_TRANS:	bAljyzp
        INDEX:	P9W10
      OFFSETS:	58-65
       TOKENS:	P9W12-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyzap_1]
   UNSPLITVOC:	(biAljiyzap)
          POS:	PREP+DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	bi+Al+jiyz+ap
        GLOSS:	with/by+the+Giza+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W11
      OFFSETS:	66-68
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كلمته
