 INPUT STRING:	الحياة
        LEMMA:	[gAdap_1]
   UNSPLITVOC:	(gAdap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	gAd+ap
        GLOSS:	Gada+[fem.sg.]

 INPUT STRING:	عبد
     IS_TRANS:	Ebd
        INDEX:	P37W4
      OFFSETS:	10-13
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eabod_1]
   UNSPLITVOC:	(Eabod)
          POS:	NOUN_PROP
          VOC:	Eabod
        GLOSS:	Abid

 INPUT STRING:	العال
     IS_TRANS:	AlEAl
        INDEX:	P37W5
      OFFSETS:	14-19
       TOKENS:	P37W5-P37W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAl_1]
   UNSPLITVOC:	(AlEAl)
          POS:	DET+NOUN_PROP
          VOC:	Al+EAl
        GLOSS:	the+Al

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P38W1
      OFFSETS:	1-4
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_PRON
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P38W2
      OFFSETS:	5-8
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	ADV
          VOC:	kidah
        GLOSS:	like this

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P38W3
      OFFSETS:	9-12
       TOKENS:	P38W3-P38W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الصبح
     IS_TRANS:	AlSbH
        INDEX:	P38W4
      OFFSETS:	13-18
       TOKENS:	P38W4-P38W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(AlS~uboH)
          POS:	DET+NOUN
          VOC:	Al+SuboH
        GLOSS:	the+morning/daybreak/mornings/daybreak

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P39W1
      OFFSETS:	1-3
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	فتاح
     IS_TRANS:	ftAH
        INDEX:	P39W2
      OFFSETS:	4-8
       TOKENS:	P39W2-P39W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fat~AH_1]
   UNSPLITVOC:	(fat~AH)
          POS:	ADJ
          VOC:	fat~AH
        GLOSS:	conquering

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P39W3
      OFFSETS:	9-11
       TOKENS:	P39W3-P39W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	عليم
     IS_TRANS:	Elym
        INDEX:	P39W4
      OFFSETS:	12-16
       TOKENS:	P39W4-P39W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ealiym_1]
   UNSPLITVOC:	(Ealiym)
          POS:	ADJ
          VOC:	Ealiym
        GLOSS:	specialist/erudite

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P40W1
      OFFSETS:	1-3
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	سيزر
     IS_TRANS:	syzr
        INDEX:	P40W2
      OFFSETS:	4-8
       TOKENS:	P40W2-P40W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyzar_1]
   UNSPLITVOC:	(siyzar)
          POS:	NOUN_PROP
          VOC:	siyzar
        GLOSS:	Cisar

 INPUT STRING:	إفهم
     IS_TRANS:	<fhm
        INDEX:	P40W3
      OFFSETS:	9-13
       TOKENS:	P40W3-P40W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(Aifoham)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Aifoham+(null)
        GLOSS:	understand+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P40W4
      OFFSETS:	14-16
       TOKENS:	P40W4-P40W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	حبيبى
     IS_TRANS:	HbybY
        INDEX:	P40W5
      OFFSETS:	17-22
       TOKENS:	P40W5-P40W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(Habiybiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Habiyb+iy
        GLOSS:	dear/beloved/sweetheart+my

 INPUT STRING:	قله
     IS_TRANS:	qlh
        INDEX:	P41W1
      OFFSETS:	1-4
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qil~ap_1]
   UNSPLITVOC:	(qil~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qil~+ap
        GLOSS:	scarcity/lack of/small number or amount of+[fem.sg.]

 INPUT STRING:	الوعى
     IS_TRANS:	AlwEY
        INDEX:	P41W2
      OFFSETS:	5-10
       TOKENS:	P41W2-P41W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waEoy_1]
   UNSPLITVOC:	(AlwaEoy)
          POS:	DET+NOUN
          VOC:	Al+waEoy
        GLOSS:	the+consciousness/awareness/attention

 INPUT STRING:	قله
     IS_TRANS:	qlh
        INDEX:	P41W3
      OFFSETS:	13-16
       TOKENS:	P41W3-P41W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qil~ap_1]
   UNSPLITVOC:	(qil~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qil~+ap
        GLOSS:	scarcity/lack of/small number or amount of+[fem.sg.]

 INPUT STRING:	الضمير
     IS_TRANS:	AlDmyr
        INDEX:	P41W4
      OFFSETS:	17-23
       TOKENS:	P41W4-P41W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Damiyr_1]
   UNSPLITVOC:	(AlD~amiyr)
          POS:	DET+NOUN
          VOC:	Al+Damiyr
        GLOSS:	the+conscience/pronoun/consciences/pronouns

 INPUT STRING:	شعب
     IS_TRANS:	$Eb
        INDEX:	P41W5
      OFFSETS:	26-29
       TOKENS:	P41W5-P41W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($aEob)
          POS:	NOUN
          VOC:	$aEob
        GLOSS:	people/nation/peoples/nations

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P41W6
      OFFSETS:	30-33
       TOKENS:	P41W6-P41W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P42W1
      OFFSETS:	1-4
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P42W2
      OFFSETS:	5-7
       TOKENS:	P42W2-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	اتجرا
     IS_TRANS:	AtjrA
        INDEX:	P42W3
      OFFSETS:	8-13
       TOKENS:	P42W3-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tajar~a>_1]
   UNSPLITVOC:	(Aatajar~a>)
          POS:	IV1S+IV
          VOC:	Aa+tajar~a>
        GLOSS:	I+dare/risk

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P42W4
      OFFSETS:	14-17
       TOKENS:	P42W4-P42W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	شعب
     IS_TRANS:	$Eb
        INDEX:	P42W5
      OFFSETS:	18-21
       TOKENS:	P42W5-P42W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($aEob)
          POS:	NOUN
          VOC:	$aEob
        GLOSS:	people/nation/peoples/nations

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P42W6
      OFFSETS:	22-25
       TOKENS:	P42W6-P42W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anA_1]
   UNSPLITVOC:	(>anA)
          POS:	PRON_1S
          VOC:	>anA
        GLOSS:	I

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P42W7
      OFFSETS:	26-30
       TOKENS:	P42W7-P42W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P42W8
      OFFSETS:	31-34
       TOKENS:	P42W8-P42W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+it/him

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P43W1
      OFFSETS:	1-5
       TOKENS:	P43W1-P43W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	CONJ+CONJ
          VOC:	wi+lakin
        GLOSS:	and+but/yet/however

 INPUT STRING:	السلوكيات
     IS_TRANS:	AlslwkyAt
        INDEX:	P43W2
      OFFSETS:	6-15
       TOKENS:	P43W3-P43W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suluwk_1]
   UNSPLITVOC:	(Als~uluwkiyAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+suluwkiy+At
        GLOSS:	the+behaviors+[fem.pl.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P43W3
      OFFSETS:	16-20
       TOKENS:	P43W4-P43W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	أنت
     IS_TRANS:	>nt
        INDEX:	P43W4
      OFFSETS:	21-24
       TOKENS:	P43W5-P43W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]

 INPUT STRING:	بتتكلم
     IS_TRANS:	bttklm
        INDEX:	P43W5
      OFFSETS:	25-31
       TOKENS:	P43W6-P43W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(bititokal~im)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+tokal~im
        GLOSS:	[present-tense]+it/they/she+speak/talk

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P43W6
      OFFSETS:	32-36
       TOKENS:	P43W8-P43W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/her

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P43W7
      OFFSETS:	37-39
       TOKENS:	P43W10-P43W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P43W8
      OFFSETS:	40-44
       TOKENS:	P43W11-P43W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	غاده
     IS_TRANS:	gAdh
        INDEX:	P43W9
      OFFSETS:	45-49
       TOKENS:	P43W12-P43W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAdap_1]
   UNSPLITVOC:	(gAdap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	gAd+ap
        GLOSS:	Guada+[fem.sg.]

 INPUT STRING:	كتبتها
     IS_TRANS:	ktbthA
        INDEX:	P43W10
      OFFSETS:	50-56
       TOKENS:	P43W13-P43W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(katabithA)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3FS
          VOC:	katab+it+hA
        GLOSS:	write/be written/be fated/be destined+it/they/she+it/them/her

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P43W11
      OFFSETS:	57-59
       TOKENS:	P43W15-P43W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مقالها
     IS_TRANS:	mqAlhA
        INDEX:	P43W12
      OFFSETS:	60-66
       TOKENS:	P43W16-P43W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mqAl_1]
   UNSPLITVOC:	(mqAlhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	mqAl+hA
        GLOSS:	article/essay+its/her

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P43W13
      OFFSETS:	67-69
       TOKENS:	P43W18-P43W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P43W14
      OFFSETS:	70-72
       TOKENS:	P43W19-P43W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P43W15
      OFFSETS:	73-75
       TOKENS:	P43W20-P43W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	لبنان
     IS_TRANS:	lbnAn
        INDEX:	P43W16
      OFFSETS:	76-81
       TOKENS:	P43W21-P43W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[libonAn_1]
   UNSPLITVOC:	(libonAn)
          POS:	NOUN_PROP
          VOC:	libonAn
        GLOSS:	Lebanon

 INPUT STRING:	بالعكس
     IS_TRANS:	bAlEks
        INDEX:	P43W17
      OFFSETS:	82-88
       TOKENS:	P43W22-P43W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eakos_1]
   UNSPLITVOC:	(biAlEakos)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Eakos
        GLOSS:	with/by+the+opposite/contrary

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P43W18
      OFFSETS:	89-92
       TOKENS:	P43W24-P43W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(duwal)
          POS:	NOUN
          VOC:	duwal
        GLOSS:	state/country/states/countries

 INPUT STRING:	كثير
     IS_TRANS:	kvyr
        INDEX:	P43W19
      OFFSETS:	93-97
       TOKENS:	P43W25-P43W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiviyr_2]
   UNSPLITVOC:	(kiviyr)
          POS:	ADJ
          VOC:	kiviyr
        GLOSS:	many/much/numerous

 INPUT STRING:	أفقر
     IS_TRANS:	>fqr
        INDEX:	P43W20
      OFFSETS:	98-102
       TOKENS:	P43W26-P43W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afoqar_1]
   UNSPLITVOC:	(>afoqar)
          POS:	ADJ_COMP
          VOC:	>afoqar
        GLOSS:	poorer/poorest

 INPUT STRING:	منا
     IS_TRANS:	mnA
        INDEX:	P43W21
      OFFSETS:	103-106
       TOKENS:	P43W27-P43W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minnA)
          POS:	PREP+PRON_1P
          VOC:	min+nA
        GLOSS:	from+us

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P43W22
      OFFSETS:	107-110
       TOKENS:	P43W29-P43W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but/yet/however

 INPUT STRING:	عندهم
     IS_TRANS:	Endhm
        INDEX:	P43W23
      OFFSETS:	111-116
       TOKENS:	P43W30-P43W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einoduhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Einod+hum
        GLOSS:	with / at+their

 INPUT STRING:	حب
     IS_TRANS:	Hb
        INDEX:	P43W24
      OFFSETS:	117-119
       TOKENS:	P43W32-P43W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hub~_1]
   UNSPLITVOC:	(Hub~)
          POS:	NOUN
          VOC:	Hub~
        GLOSS:	love/affection/out of affection for/for love of

 INPUT STRING:	للجمال
     IS_TRANS:	lljmAl
        INDEX:	P43W25
      OFFSETS:	120-126
       TOKENS:	P43W33-P43W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(liljamAl)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+jamAl
        GLOSS:	for/to+the+beauty

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P44W1
      OFFSETS:	1-5
       TOKENS:	P44W1-P44W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	للاسف
     IS_TRANS:	llAsf
        INDEX:	P44W2
      OFFSETS:	6-11
       TOKENS:	P44W2-P44W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lil>asaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>asaf
        GLOSS:	for/to+the+regret/sorry

 INPUT STRING:	تنامى
     IS_TRANS:	tnAmY
        INDEX:	P44W3
      OFFSETS:	12-17
       TOKENS:	P44W4-P44W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanAmay_1]
   UNSPLITVOC:	(tanAmaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tanAmaY+(null)
        GLOSS:	grow gradually/increase continually+he/it [verb]

 INPUT STRING:	داخلنا
     IS_TRANS:	dAxlnA
        INDEX:	P44W4
      OFFSETS:	18-24
       TOKENS:	P44W5-P44W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxilnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	dAxil+nA
        GLOSS:	inside of/interior/inside+our

 INPUT STRING:	حبنا
     IS_TRANS:	HbnA
        INDEX:	P44W5
      OFFSETS:	25-29
       TOKENS:	P44W7-P44W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hub~_1]
   UNSPLITVOC:	(Hub~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Hub~+nA
        GLOSS:	love/affection/out of affection for/for love of+our

 INPUT STRING:	للمناظر
     IS_TRANS:	llmnAZr
        INDEX:	P44W6
      OFFSETS:	30-37
       TOKENS:	P44W9-P44W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoZar_1]
   UNSPLITVOC:	(lilmanAZir)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+manAZir
        GLOSS:	for/to+the+view/scenery/appearance

 INPUT STRING:	المشوهة
     IS_TRANS:	Alm$whp
        INDEX:	P44W7
      OFFSETS:	38-45
       TOKENS:	P44W11-P44W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$aw~ah_1]
   UNSPLITVOC:	(Almu$aw~ahap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+mu$aw~ah+ap
        GLOSS:	the+distorted/deformed+[fem.sg.]

 INPUT STRING:	منظر
     IS_TRANS:	mnZr
        INDEX:	P45W1
      OFFSETS:	1-5
       TOKENS:	P45W1-P45W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoZar_1]
   UNSPLITVOC:	(manoZar)
          POS:	NOUN
          VOC:	manoZar
        GLOSS:	view/scenery/appearance

 INPUT STRING:	الورد
     IS_TRANS:	Alwrd
        INDEX:	P45W2
      OFFSETS:	6-11
       TOKENS:	P45W2-P45W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warodap_1]
   UNSPLITVOC:	(Alwarod)
          POS:	DET+NOUN
          VOC:	Al+warod
        GLOSS:	the+rose

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P45W3
      OFFSETS:	12-14
       TOKENS:	P45W3-P45W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or/if not/unless

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P45W4
      OFFSETS:	15-17
       TOKENS:	P45W4-P45W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	منظر
     IS_TRANS:	mnZr
        INDEX:	P45W5
      OFFSETS:	18-22
       TOKENS:	P45W5-P45W5
