 INPUT STRING:	أرفع
        LEMMA:	[Eu*or_1]
   UNSPLITVOC:	(>aEo*Ar)
          POS:	NOUN
          VOC:	>aEo*Ar
        GLOSS:	excuses

 INPUT STRING:	أعتذر
     IS_TRANS:	>Et*r
        INDEX:	P37W3
      OFFSETS:	14-19
       TOKENS:	P37W7-P37W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEota*ar_1]
   UNSPLITVOC:	(AaEota*ir)
          POS:	IV1S+IV
          VOC:	Aa+Eato*ir
        GLOSS:	i+apologize/excuse oneself

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P37W4
      OFFSETS:	20-24
       TOKENS:	P37W8-P37W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/ by+you

 INPUT STRING:	الفكرة
     IS_TRANS:	Alfkrp
        INDEX:	P38W1
      OFFSETS:	0-6
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(Alfikorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fikor+ap
        GLOSS:	the+idea/notion/concept+[fem.sg.]

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P38W2
      OFFSETS:	7-11
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	بالنسبالي
     IS_TRANS:	bAlnsbAly
        INDEX:	P38W3
      OFFSETS:	12-21
       TOKENS:	P38W3-P38W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[n~isobap_2]
   UNSPLITVOC:	(biAln~isobapliy)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG+PREP+PRON_1S
          VOC:	bi+Al+n~isob+ap+li+y
        GLOSS:	with/by+the+ink/relation (concerning/regarding)+[fem.sg.]+for/to+me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P38W4
      OFFSETS:	22-24
       TOKENS:	P38W7-P38W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مكتملة
     IS_TRANS:	mktmlp
        INDEX:	P38W5
      OFFSETS:	25-31
       TOKENS:	P38W8-P38W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mukotamil_1]
   UNSPLITVOC:	(mukotamalap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mukotamal+ap
        GLOSS:	completed/finished+[fem.sg.]

 INPUT STRING:	مكنتش
     IS_TRANS:	mknt$
        INDEX:	P39W1
      OFFSETS:	0-5
       TOKENS:	P39W1-P39W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_kunti$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	mA+kun+t+$
        GLOSS:	not+be+I+not

 INPUT STRING:	متابعة
     IS_TRANS:	mtAbEp
        INDEX:	P39W2
      OFFSETS:	6-12
       TOKENS:	P39W4-P39W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitAbiE_1]
   UNSPLITVOC:	(mitAboEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mitAboE+ap
        GLOSS:	suit/trailing/follow up+[fem.sg.]

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P39W3
      OFFSETS:	13-15
       TOKENS:	P39W5-P39W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P39W4
      OFFSETS:	16-20
       TOKENS:	P39W6-P39W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	تقريبا
     IS_TRANS:	tqrybA
        INDEX:	P39W5
      OFFSETS:	21-27
       TOKENS:	P39W7-P39W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoriyb_1]
   UNSPLITVOC:	(taqoriybAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	taqoriyb+AF
        GLOSS:	approximation/bringing close/drawing near+[acc.indef.]

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P40W1
      OFFSETS:	0-3
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P40W2
      OFFSETS:	4-7
       TOKENS:	P40W2-P40W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	28
     IS_TRANS:	28
        INDEX:	P40W3
      OFFSETS:	8-10
       TOKENS:	P40W3-P40W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[28_1]
   UNSPLITVOC:	(28)
          POS:	NOUN_NUM
          VOC:	28
        GLOSS:	28

 INPUT STRING:	تحديدا
     IS_TRANS:	tHdydA
        INDEX:	P40W4
      OFFSETS:	11-17
       TOKENS:	P40W4-P40W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHodiyd_1]
   UNSPLITVOC:	(taHodiydAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	taHodiyd+AF
        GLOSS:	specifically+[acc.indef.]

 INPUT STRING:	مجموعة
     IS_TRANS:	mjmwEp
        INDEX:	P40W5
      OFFSETS:	18-24
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majomuwEap_1]
   UNSPLITVOC:	(majomuwEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	majomuwE+ap
        GLOSS:	collection/group/bloc+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P40W6
      OFFSETS:	25-27
       TOKENS:	P40W6-P40W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	شابا
     IS_TRANS:	$AbA
        INDEX:	P40W7
      OFFSETS:	28-32
       TOKENS:	P40W7-P40W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	($AbA)
          POS:	TYPO
          VOC:	$AbA
        GLOSS:	nogloss

 INPUT STRING:	العيلة
     IS_TRANS:	AlEylp
        INDEX:	P40W8
      OFFSETS:	33-39
       TOKENS:	P40W8-P40W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~ilap_1]
   UNSPLITVOC:	(AlEay~ilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Eay~il+ap
        GLOSS:	the+family+[fem.sg.]

 INPUT STRING:	قررو
     IS_TRANS:	qrrw
        INDEX:	P40W9
      OFFSETS:	40-44
       TOKENS:	P40W9-P40W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qar~ar_1]
   UNSPLITVOC:	(qar~aruwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qar~ar+uwA
        GLOSS:	decide/resolve+they

 INPUT STRING:	ينزلو
     IS_TRANS:	ynzlw
        INDEX:	P40W10
      OFFSETS:	45-50
       TOKENS:	P40W10-P40W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nazal_1]
   UNSPLITVOC:	(yinoziluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+nozil+uwA
        GLOSS:	they+descend/stay+we

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P40W11
      OFFSETS:	51-58
       TOKENS:	P40W11-P40W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+altahrir

 INPUT STRING:	ويشاركو
     IS_TRANS:	wy$Arkw
        INDEX:	P40W12
      OFFSETS:	59-66
       TOKENS:	P40W12-P40W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Arak_1]
   UNSPLITVOC:	(wiyi$ArokuwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+yi+$Arok+uwA
        GLOSS:	and+they+participate with/share with+[masc.pl.]

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P40W13
      OFFSETS:	67-70
       TOKENS:	P40W14-P40W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	ضمنهم
     IS_TRANS:	Dmnhm
        INDEX:	P40W14
      OFFSETS:	71-76
       TOKENS:	P40W15-P40W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Dimon_1]
   UNSPLITVOC:	(Dimonhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Dimon+hum
        GLOSS:	within/inside/among+their

 INPUT STRING:	أخويا
     IS_TRANS:	>xwyA
        INDEX:	P40W15
      OFFSETS:	77-82
       TOKENS:	P40W17-P40W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(>axuwyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>axuw+iy
        GLOSS:	my brother+my

 INPUT STRING:	الصغير
     IS_TRANS:	AlSgyr
        INDEX:	P40W16
      OFFSETS:	83-89
       TOKENS:	P40W19-P40W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sugay~ar_1]
   UNSPLITVOC:	(AlS~ugay~ar)
          POS:	DET+ADJ
          VOC:	Al+Sugay~ar
        GLOSS:	the+small/young

 INPUT STRING:	وفور
     IS_TRANS:	wfwr
        INDEX:	P41W1
      OFFSETS:	0-4
       TOKENS:	P41W1-P41W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawr_1]
   UNSPLITVOC:	(wifawr)
          POS:	CONJ+NOUN
          VOC:	wi+fawr
        GLOSS:	and+immediately/at once/immediately after

 INPUT STRING:	نزولهم
     IS_TRANS:	nzwlhm
        INDEX:	P41W2
      OFFSETS:	5-11
       TOKENS:	P41W3-P41W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nuzuwl_1]
   UNSPLITVOC:	(nuzuwlhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	nuzuwl+hum
        GLOSS:	descent/ coming down / decline+their

 INPUT STRING:	انقطع
     IS_TRANS:	AnqTE
        INDEX:	P41W3
      OFFSETS:	12-17
       TOKENS:	P41W5-P41W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inoqaTaE_1]
   UNSPLITVOC:	(<inoqaTaE)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	<inoqaTaE+(null)
        GLOSS:	be severed / cut+he/it

 INPUT STRING:	الاتصال
     IS_TRANS:	AlAtSAl
        INDEX:	P41W4
      OFFSETS:	18-25
       TOKENS:	P41W6-P41W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<it~iSAl_1]
   UNSPLITVOC:	(Al<it~iSAl)
          POS:	DET+NOUN
          VOC:	Al+<it~iSAl
        GLOSS:	the+contact/communication

 INPUT STRING:	بيهم
     IS_TRANS:	byhm
        INDEX:	P41W5
      OFFSETS:	26-30
       TOKENS:	P41W7-P41W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhum)
          POS:	PREP+PRON_3P
          VOC:	bi+hum
        GLOSS:	with /by+thier

 INPUT STRING:	نهائيا
     IS_TRANS:	nhA}yA
        INDEX:	P41W6
      OFFSETS:	31-37
       TOKENS:	P41W9-P41W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nihA}iy_1]
   UNSPLITVOC:	(nihA}iy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	nihA}iy~+AF
        GLOSS:	finally/in the end+[acc.indef.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P41W7
      OFFSETS:	38-40
       TOKENS:	P41W10-P41W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	سابقة
     IS_TRANS:	sAbqp
        INDEX:	P41W8
      OFFSETS:	41-46
       TOKENS:	P41W11-P41W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAboqap_1]
   UNSPLITVOC:	(sAboqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	sAboq+ap
        GLOSS:	precedence/priority+[fem.sg.]

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P41W9
      OFFSETS:	47-49
       TOKENS:	P41W12-P41W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	تحدث
     IS_TRANS:	tHdv
        INDEX:	P41W10
      OFFSETS:	50-54
       TOKENS:	P41W13-P41W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(tiHoduv)
          POS:	IV3FS+IV
          VOC:	ti+Hoduv
        GLOSS:	it/she/they+happen/take place

 INPUT STRING:	منذ
     IS_TRANS:	mn*
        INDEX:	P41W11
      OFFSETS:	55-58
       TOKENS:	P41W14-P41W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muno*_1]
   UNSPLITVOC:	(muno*)
          POS:	NOUN
          VOC:	muno*
        GLOSS:	since/ago

 INPUT STRING:	دخول
     IS_TRANS:	dxwl
        INDEX:	P41W12
      OFFSETS:	59-63
       TOKENS:	P41W15-P41W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duxuwl_1]
   UNSPLITVOC:	(duxuwl)
          POS:	NOUN
          VOC:	duxuwl
        GLOSS:	entry/login/entrance/ingress

 INPUT STRING:	التليفونات
     IS_TRANS:	AltlyfwnAt
        INDEX:	P41W13
      OFFSETS:	64-74
       TOKENS:	P41W16-P41W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiliyfawn_1]
   UNSPLITVOC:	(Alt~iliyfuwnAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+tiliyfuwn+At
        GLOSS:	the+telephone+[fem.pl.]

 INPUT STRING:	المحمولة
     IS_TRANS:	AlmHmwlp
        INDEX:	P41W14
      OFFSETS:	75-83
       TOKENS:	P41W17-P41W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlmaHomuwl_1]
   UNSPLITVOC:	(AlmaHomuwlap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maHomuwl+ap
        GLOSS:	the+carried/held+[fem.sg.]

 INPUT STRING:	كنا
     IS_TRANS:	knA
        INDEX:	P42W1
      OFFSETS:	0-3
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kun~A)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	kun+~A
        GLOSS:	be/was/were+we [verb]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P42W2
      OFFSETS:	4-6
       TOKENS:	P42W2-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الوقت
     IS_TRANS:	Alwqt
        INDEX:	P42W3
      OFFSETS:	7-12
       TOKENS:	P42W3-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+moments/times

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P42W4
      OFFSETS:	13-15
       TOKENS:	P42W4-P42W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P42W5
      OFFSETS:	16-18
       TOKENS:	P42W5-P42W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/such as

 INPUT STRING:	المجانين
     IS_TRANS:	AlmjAnyn
        INDEX:	P42W6
      OFFSETS:	19-27
       TOKENS:	P42W6-P42W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majonuwn_1]
   UNSPLITVOC:	(AlmajAniyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+majAn+iyn
        GLOSS:	the+crazy/insane/mad/crazy men/madmen+[masc.pl.]

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P42W7
      OFFSETS:	28-31
       TOKENS:	P42W7-P42W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	محطات
     IS_TRANS:	mHTAt
        INDEX:	P42W8
      OFFSETS:	32-37
       TOKENS:	P42W8-P42W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHaT~ap_1]
   UNSPLITVOC:	(maHaT~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	maHaT~+At
        GLOSS:	station+[fem.pl.]

 INPUT STRING:	الأخبار
     IS_TRANS:	Al>xbAr
        INDEX:	P42W9
      OFFSETS:	38-45
       TOKENS:	P42W9-P42W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Al>axobAr)
          POS:	DET+NOUN
          VOC:	Al+>axobAr
        GLOSS:	the+news/reports

 INPUT STRING:	بندور
     IS_TRANS:	bndwr
        INDEX:	P42W10
      OFFSETS:	46-51
       TOKENS:	P42W10-P42W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daw~ar_1]
   UNSPLITVOC:	(binidaw~ar)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+daw~ar
        GLOSS:	[prog.]+we+search

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P42W11
      OFFSETS:	52-55
       TOKENS:	P42W12-P42W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P42W12
      OFFSETS:	56-58
       TOKENS:	P42W13-P42W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	خبر
     IS_TRANS:	xbr
        INDEX:	P42W13
      OFFSETS:	59-62
       TOKENS:	P42W14-P42W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(xabar)
          POS:	NOUN
          VOC:	xabar
        GLOSS:	news/report

 INPUT STRING:	يطمنا
     IS_TRANS:	yTmnA
        INDEX:	P42W14
      OFFSETS:	63-68
       TOKENS:	P42W15-P42W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tam~an_1]
   UNSPLITVOC:	(yaTam~innA)
          POS:	IV3MS+IV+IVSUFF_DO:1P
          VOC:	ya+Tam~in+nA
        GLOSS:	he /it+reassure/assure/promise+us

 INPUT STRING:	ووسط
     IS_TRANS:	wwsT
        INDEX:	P42W15
      OFFSETS:	69-73
       TOKENS:	P42W17-P42W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wisoT_1]
   UNSPLITVOC:	(wiwisoT)
          POS:	CONJ+NOUN
          VOC:	wi+wisoT
        GLOSS:	and+middle/midst/among

 INPUT STRING:	المناظر
     IS_TRANS:	AlmnAZr
        INDEX:	P42W16
      OFFSETS:	74-81
       TOKENS:	P42W19-P42W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoZar_1]
   UNSPLITVOC:	(AlmanAZir)
          POS:	DET+NOUN
          VOC:	Al+manAZir
        GLOSS:	the+views/scenery

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P42W17
      OFFSETS:	82-86
       TOKENS:	P42W20-P42W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	كنا
     IS_TRANS:	knA
        INDEX:	P42W18
      OFFSETS:	87-90
       TOKENS:	P42W21-P42W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kun~A)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	kun+~A
        GLOSS:	be/was/were+we [verb]

 INPUT STRING:	شايفنها
     IS_TRANS:	$AyfnhA
        INDEX:	P42W19
      OFFSETS:	91-98
       TOKENS:	P42W22-P42W22
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	($AyfnhA)
          POS:	NO_FUNC
          VOC:	$AyfnhA
        GLOSS:	nogloss

 INPUT STRING:	ع
     IS_TRANS:	E
        INDEX:	P42W20
      OFFSETS:	99-100
       TOKENS:	P42W23-P42W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المحطات
     IS_TRANS:	AlmHTAt
        INDEX:	P42W21
      OFFSETS:	101-108
       TOKENS:	P42W24-P42W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHaT~ap_1]
   UNSPLITVOC:	(AlmaHaT~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
