 INPUT STRING:	تم
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aajonabiy_1]
   UNSPLITVOC:	(AlAjAnib)
          POS:	DET+NOUN
          VOC:	Al+AjAnib
        GLOSS:	the+foreigners

 INPUT STRING:	والخونة
     IS_TRANS:	wAlxwnp
        INDEX:	P8W2
      OFFSETS:	8-15
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xA}in_1]
   UNSPLITVOC:	(waAlxawonap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wa+Al+xawon+ap
        GLOSS:	and+the+traitors/disloyal+[fem.sg.]

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P8W3
      OFFSETS:	16-19
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	وجودهم
     IS_TRANS:	wjwdhm
        INDEX:	P8W4
      OFFSETS:	20-26
       TOKENS:	P8W5-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwdhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	wujuwd+hum
        GLOSS:	presence/existence+their

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P8W5
      OFFSETS:	27-30
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayn_1]
   UNSPLITVOC:	(bayn)
          POS:	NOUN
          VOC:	bayn
        GLOSS:	between

 INPUT STRING:	المتظاهرين
     IS_TRANS:	AlmtZAhryn
        INDEX:	P8W6
      OFFSETS:	31-41
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaZAhir_1]
   UNSPLITVOC:	(AlmutaZAhiriyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mutaZAhir+iyn
        GLOSS:	the+demonstrator+[masc.pl.]

 INPUT STRING:	متوقع
     IS_TRANS:	mtwqE
        INDEX:	P8W7
      OFFSETS:	42-47
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutawaq~aE_1]
   UNSPLITVOC:	(mutawaq~aE)
          POS:	ADJ
          VOC:	mutawaq~aE
        GLOSS:	expected/anticipated

 INPUT STRING:	؛
     IS_TRANS:	&#x61b;
        INDEX:	P8W8
      OFFSETS:	47-48
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#x61b;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	لأن
     IS_TRANS:	l>n
        INDEX:	P8W9
      OFFSETS:	49-52
       TOKENS:	P8W11-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>in~_1]
   UNSPLITVOC:	(li>in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+>in~
        GLOSS:	for+that

 INPUT STRING:	استغلال
     IS_TRANS:	AstglAl
        INDEX:	P8W10
      OFFSETS:	53-60
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotigolAl_1]
   UNSPLITVOC:	(AisotigolAl)
          POS:	NOUN
          VOC:	AisotigolAl
        GLOSS:	exploitation/utilization

 INPUT STRING:	المظاهرات
     IS_TRANS:	AlmZAhrAt
        INDEX:	P8W11
      OFFSETS:	61-70
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAharap_1]
   UNSPLITVOC:	(AlmuZAharAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muZAhar+At
        GLOSS:	the+demonstrations/rallies+[fem.pl.]

 INPUT STRING:	الكبيرة
     IS_TRANS:	Alkbyrp
        INDEX:	P8W12
      OFFSETS:	71-78
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(Alkibiyrap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+kibiyr+ap
        GLOSS:	the+large/great/important/major/senior+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P8W13
      OFFSETS:	79-81
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التخريب
     IS_TRANS:	Altxryb
        INDEX:	P8W14
      OFFSETS:	82-89
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxoriyb_1]
   UNSPLITVOC:	(Alt~axoriyb)
          POS:	DET+NOUN
          VOC:	Al+taxoriyb
        GLOSS:	the+destruction/sabotage/terrorism

 INPUT STRING:	أسلوب
     IS_TRANS:	>slwb
        INDEX:	P8W15
      OFFSETS:	90-95
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usoluwb_1]
   UNSPLITVOC:	(>usoluwb)
          POS:	NOUN
          VOC:	>usoluwb
        GLOSS:	style/method/manner

 INPUT STRING:	اتعود
     IS_TRANS:	AtEwd
        INDEX:	P8W16
      OFFSETS:	96-101
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEaw~id_1]
   UNSPLITVOC:	(AitoEaw~id)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AitoEaw~id+(null)
        GLOSS:	be used to+he/it

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P8W17
      OFFSETS:	102-106
       TOKENS:	P8W20-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+he/it

 INPUT STRING:	اليهود
     IS_TRANS:	Alyhwd
        INDEX:	P8W18
      OFFSETS:	107-113
       TOKENS:	P8W22-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yahuwdiy~_1]
   UNSPLITVOC:	(Alyahuwd)
          POS:	DET+NOUN
          VOC:	Al+yahuwd
        GLOSS:	the+Jews

 INPUT STRING:	وغيرهم
     IS_TRANS:	wgyrhm
        INDEX:	P8W19
      OFFSETS:	114-120
       TOKENS:	P8W23-P8W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(wigiyrhum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wi+giyr+hum
        GLOSS:	and+not/other+their

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W20
      OFFSETS:	121-123
       TOKENS:	P8W26-P8W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الأشرار
     IS_TRANS:	Al>$rAr
        INDEX:	P8W21
      OFFSETS:	124-131
       TOKENS:	P8W27-P8W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ir~iyr_1]
   UNSPLITVOC:	(Al>a$orAr)
          POS:	DET+NOUN
          VOC:	Al+>a$orAr
        GLOSS:	the+wicked/evil/bad guys (film)

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W22
      OFFSETS:	131-132
       TOKENS:	P8W28-P8W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وأنا
     IS_TRANS:	w>nA
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	and+I

 INPUT STRING:	مكنتش
     IS_TRANS:	mknt$
        INDEX:	P9W2
      OFFSETS:	5-10
       TOKENS:	P9W3-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_kunti$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	mA+kun+t+$
        GLOSS:	not+be+I+not

 INPUT STRING:	بكذب
     IS_TRANS:	bk*b
        INDEX:	P9W3
      OFFSETS:	11-15
       TOKENS:	P9W6-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka*~ib_1]
   UNSPLITVOC:	(biAaka*~ib)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+ka*~ib
        GLOSS:	[present-tense]+I+tell that something is a lie

 INPUT STRING:	التلفزيون
     IS_TRANS:	Altlfzywn
        INDEX:	P9W4
      OFFSETS:	16-25
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tilifizoyawn_1]
   UNSPLITVOC:	(Alt~ilifizoyawn)
          POS:	DET+NOUN
          VOC:	Al+tilifizoyawn
        GLOSS:	the+television

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P9W5
      OFFSETS:	26-29
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P9W6
      OFFSETS:	30-33
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/say/(for example)+he/it

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P9W7
      OFFSETS:	33-34
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P9W8
      OFFSETS:	35-38
       TOKENS:	P9W12-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	جواسيس
     IS_TRANS:	jwAsys
        INDEX:	P9W9
      OFFSETS:	39-45
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAsuws_1]
   UNSPLITVOC:	(jawAsiys)
          POS:	NOUN
          VOC:	jawAsiys
        GLOSS:	spies

 INPUT STRING:	وخونة
     IS_TRANS:	wxwnp
        INDEX:	P9W10
      OFFSETS:	46-51
       TOKENS:	P9W15-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xA}in_1]
   UNSPLITVOC:	(wixawnap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+xawn+ap
        GLOSS:	and+traitors/disloyal+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P9W11
      OFFSETS:	51-52
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P9W12
      OFFSETS:	53-56
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P9W13
      OFFSETS:	57-61
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	غلطو
     IS_TRANS:	glTw
        INDEX:	P9W14
      OFFSETS:	62-66
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[giliT_1]
   UNSPLITVOC:	(giloTuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	giloT+uwA
        GLOSS:	be wrong+they

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P9W15
      OFFSETS:	67-70
       TOKENS:	P9W21-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P9W16
      OFFSETS:	71-75
       TOKENS:	P9W23-P9W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	مقالوش
     IS_TRANS:	mqAlw$
        INDEX:	P9W17
      OFFSETS:	76-82
       TOKENS:	P9W25-P9W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(mA_qAluw$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3P+NEG_PART
          VOC:	mA+qAl+uwA+$
        GLOSS:	not+said/say/be said/say/(for example)+they+not

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P9W18
      OFFSETS:	83-85
       TOKENS:	P9W28-P9W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P9W19
      OFFSETS:	86-92
       TOKENS:	P9W29-P9W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P9W20
      OFFSETS:	93-97
       TOKENS:	P9W30-P9W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	بتقتل
     IS_TRANS:	btqtl
        INDEX:	P9W21
      OFFSETS:	98-103
       TOKENS:	P9W31-P9W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aqtal_1]
   UNSPLITVOC:	(bitiqtil)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+qtil
        GLOSS:	[present-tense]+it/they/she+kill

 INPUT STRING:	المتظاهرين
     IS_TRANS:	AlmtZAhryn
        INDEX:	P9W22
      OFFSETS:	104-114
       TOKENS:	P9W33-P9W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaZAhir_1]
   UNSPLITVOC:	(AlmutaZAhiriyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mutaZAhir+iyn
        GLOSS:	the+demonstrator+[masc.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W23
      OFFSETS:	114-115
       TOKENS:	P9W34-P9W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

