 INPUT STRING:	اللي
      COMMENT:	[]
        LEMMA:	[niEomap_1]
   UNSPLITVOC:	(winiEomap)
          POS:	CONJ+NOUN.VN+NSUFF_FEM_SG
          VOC:	wi+niEom+ap
        GLOSS:	and+blessing/blessings+[fem.sg.]

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P7W7
      OFFSETS:	30-36
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+attorney

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P7W8
      OFFSETS:	37-39
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P7W9
      OFFSETS:	40-43
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P7W10
      OFFSETS:	44-47
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	السبب
     IS_TRANS:	Alsbb
        INDEX:	P7W11
      OFFSETS:	48-53
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(Als~abab)
          POS:	DET+NOUN
          VOC:	Al+sabab
        GLOSS:	the+reason/cause/because of/due to

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P7W12
      OFFSETS:	54-57
       TOKENS:	P7W16-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for+that

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P7W13
      OFFSETS:	58-61
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	ماتوا
     IS_TRANS:	mAtwA
        INDEX:	P7W14
      OFFSETS:	62-67
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(mAtuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	mAt+uwA
        GLOSS:	die/pass away+they

 INPUT STRING:	كانهم
     IS_TRANS:	kAnhm
        INDEX:	P7W15
      OFFSETS:	68-73
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(kAnhm)
          POS:	NO_FUNC
          VOC:	kAnhm
        GLOSS:	nogloss

 INPUT STRING:	اخواتى
     IS_TRANS:	AxwAtY
        INDEX:	P7W16
      OFFSETS:	74-80
       TOKENS:	P7W21-P7W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(<ixowAtiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	<ixow+At+iy
        GLOSS:	sisters+[fem.pl.]+my

 INPUT STRING:	بالظبط
     IS_TRANS:	bAlZbT
        INDEX:	P7W17
      OFFSETS:	81-87
       TOKENS:	P7W23-P7W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZaboT_1]
   UNSPLITVOC:	(biAlZ~aboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ZaboT
        GLOSS:	with/by+the+adjusting/regulating/precision

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~nA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	ينتقم
     IS_TRANS:	yntqm
        INDEX:	P8W2
      OFFSETS:	5-10
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotaqam_1]
   UNSPLITVOC:	(yinotiqim)
          POS:	IV3MS+IV
          VOC:	yi+notiqim
        GLOSS:	he/it+retaliate/take revenge/avenge

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P8W3
      OFFSETS:	11-14
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+him/it

 INPUT STRING:	حسبى
     IS_TRANS:	HsbY
        INDEX:	P8W4
      OFFSETS:	15-19
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasob_1]
   UNSPLITVOC:	(Hasobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Hasob+iy
        GLOSS:	enough+my

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P8W5
      OFFSETS:	20-24
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ونعمه
     IS_TRANS:	wnEmh
        INDEX:	P8W6
      OFFSETS:	25-30
       TOKENS:	P8W9-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niEomap_1]
   UNSPLITVOC:	(winiEomap)
          POS:	CONJ+NOUN.VN+NSUFF_FEM_SG
          VOC:	wi+niEom+ap
        GLOSS:	and+blessing/blessings+[fem.sg.]

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P8W7
      OFFSETS:	31-37
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+attorney

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	75
     IS_TRANS:	75
        INDEX:	P9W2
      OFFSETS:	5-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[75_1]
   UNSPLITVOC:	(75)
          POS:	NOUN_NUM
          VOC:	75
        GLOSS:	75

 INPUT STRING:	قتيل
     IS_TRANS:	qtyl
        INDEX:	P9W3
      OFFSETS:	8-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatiyl_1]
   UNSPLITVOC:	(qatiyl)
          POS:	NOUN
          VOC:	qatiyl
        GLOSS:	killed/ murdered

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P9W4
      OFFSETS:	13-14
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	1000
     IS_TRANS:	1000
        INDEX:	P9W5
      OFFSETS:	14-18
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[1000_1]
   UNSPLITVOC:	(1000)
          POS:	NOUN_NUM
          VOC:	1000
        GLOSS:	1000

 INPUT STRING:	مصاب
     IS_TRANS:	mSAb
        INDEX:	P9W6
      OFFSETS:	19-23
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSAb_1]
   UNSPLITVOC:	(muSAb)
          POS:	ADJ
          VOC:	muSAb
        GLOSS:	afflicted/injured/wounded

 INPUT STRING:	حـــــــرام
     IS_TRANS:	H_______rAm
        INDEX:	P9W7
      OFFSETS:	24-35
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P9W8
      OFFSETS:	36-38
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P9W9
      OFFSETS:	39-42
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	فوقوا
     IS_TRANS:	fwqwA
        INDEX:	P9W10
      OFFSETS:	43-48
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAq_1]
   UNSPLITVOC:	(fuwquwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	fuwq+uwA
        GLOSS:	wake up+you

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P9W11
      OFFSETS:	49-52
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P9W12
      OFFSETS:	53-58
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	بضيع
     IS_TRANS:	bDyE
        INDEX:	P9W13
      OFFSETS:	59-63
       TOKENS:	P9W13-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DAE_1]
   UNSPLITVOC:	(bitoDiyE)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ta+DiyE
        GLOSS:	[present-tense]+she/it+be lost

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P9W14
      OFFSETS:	64-69
       TOKENS:	P9W15-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iHonA_1]
   UNSPLITVOC:	(wa<iHonA)
          POS:	CONJ+PRON_1P
          VOC:	wa+<iHonA
        GLOSS:	and+we

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P9W15
      OFFSETS:	70-72
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P9W16
      OFFSETS:	73-76
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	بنضيع
     IS_TRANS:	bnDyE
        INDEX:	P9W17
      OFFSETS:	77-82
       TOKENS:	P9W19-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAE_1]
   UNSPLITVOC:	(biniDiyE)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+DiyE
        GLOSS:	[present-tense]+we+be lost

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P9W18
      OFFSETS:	83-87
       TOKENS:	P9W21-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~nA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يصلح
     IS_TRANS:	ySlH
        INDEX:	P10W2
      OFFSETS:	5-9
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSolaH_1]
   UNSPLITVOC:	(yiSoliH)
          POS:	IV3MS+IV
          VOC:	yi+SoliH
        GLOSS:	he/it+put in order/repair/be put in order/be repaired

 INPUT STRING:	حال
     IS_TRANS:	HAl
        INDEX:	P10W3
      OFFSETS:	10-13
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAl)
          POS:	NOUN
          VOC:	HAl
        GLOSS:	situation/condition/case/situations/conditions/cases

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P10W4
      OFFSETS:	14-19
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P11W2
      OFFSETS:	3-6
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all+his/its

 INPUT STRING:	سببه
     IS_TRANS:	sbbh
        INDEX:	P11W3
      OFFSETS:	7-11
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sababuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	sabab+uh
        GLOSS:	reason/cause/because of/due to+his/its

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P11W4
      OFFSETS:	12-17
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	عايزيئول
     IS_TRANS:	EAyzy}wl
        INDEX:	P11W5
      OFFSETS:	18-26
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EAyzy}wl)
          POS:	NO_FUNC
          VOC:	EAyzy}wl
        GLOSS:	nogloss

 INPUT STRING:	ازاى
     IS_TRANS:	AzAY
        INDEX:	P11W6
      OFFSETS:	27-31
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	INTERROG_ADV
          VOC:	Aiz~Ay
        GLOSS:	how

 INPUT STRING:	اسلم
     IS_TRANS:	Aslm
        INDEX:	P11W7
      OFFSETS:	32-36
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sal~im_1]
   UNSPLITVOC:	(Aasal~im)
          POS:	IV1S+IV
          VOC:	Aa+sal~im
        GLOSS:	I+hand over/surrender

 INPUT STRING:	السلطة
     IS_TRANS:	AlslTp
        INDEX:	P11W8
      OFFSETS:	37-43
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(Als~uloTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+suloT+ap
        GLOSS:	the+power/authority/rule/authorities/powers/authorities/rules+[fem.sg.]

 INPUT STRING:	والبلد
     IS_TRANS:	wAlbld
        INDEX:	P11W9
      OFFSETS:	44-50
       TOKENS:	P11W11-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(wiAlbalad)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+balad
        GLOSS:	and+the+country/country/countries

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P11W10
      OFFSETS:	51-54
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this

 INPUT STRING:	ويضرب
     IS_TRANS:	wyDrb
        INDEX:	P11W11
      OFFSETS:	55-60
       TOKENS:	P11W14-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(wiyiDorab)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+Dorab
        GLOSS:	and+he/it+strike/hit/be struck/be hit

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P11W12
      OFFSETS:	61-66
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W13
      OFFSETS:	67-69
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بعضه
     IS_TRANS:	bEDh
        INDEX:	P11W14
      OFFSETS:	70-74
       TOKENS:	P11W18-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoDuh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	baEoD+uh
        GLOSS:	some+his/its

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for+that

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P12W2
      OFFSETS:	4-6
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	السلطة
     IS_TRANS:	AlslTp
        INDEX:	P12W3
      OFFSETS:	7-13
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(Als~uloTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+suloT+ap
        GLOSS:	the+power/authority/rule/authorities/powers/authorities/rules+[fem.sg.]

 INPUT STRING:	اتسلمت
     IS_TRANS:	Atslmt
        INDEX:	P12W4
      OFFSETS:	14-20
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitosal~am_1]
   UNSPLITVOC:	(Aitosal~amit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	Aitosal~am+it
        GLOSS:	hand over/surrender+it/they/she

 INPUT STRING:	يبئى
     IS_TRANS:	yb}Y
        INDEX:	P12W5
      OFFSETS:	21-25
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yaba}aY)
          POS:	IV3MS+IV
          VOC:	ya+baqaY
        GLOSS:	he/it+become

 INPUT STRING:	حسنى
     IS_TRANS:	HsnY
        INDEX:	P12W6
      OFFSETS:	26-30
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Husoniy_1]
   UNSPLITVOC:	(Husoniy)
          POS:	NOUN_PROP
          VOC:	Husoniy
        GLOSS:	Hosny/Hosni

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P12W7
      OFFSETS:	31-36
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	هايتحاكم
     IS_TRANS:	hAytHAkm
        INDEX:	P12W8
      OFFSETS:	37-45
       TOKENS:	P12W9-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitHAkm_1]
   UNSPLITVOC:	(HayitHAkm)
          POS:	FUT_PART+IV3MS+IV_PASS
          VOC:	Ha+yi+tHAkm
        GLOSS:	will+he/it+be judged

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P12W9
      OFFSETS:	46-49
       TOKENS:	P12W11-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P12W10
      OFFSETS:	50-52
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	واعوانه
     IS_TRANS:	wAEwAnh
        INDEX:	P12W11
      OFFSETS:	53-60
       TOKENS:	P12W14-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
