 INPUT STRING:	نظرية
     IS_TRANS:	xyr
        INDEX:	P17W5
      OFFSETS:	23-26
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(xayr)
          POS:	NOUN
          VOC:	xayr
        GLOSS:	good

 INPUT STRING:	ورجعنا
     IS_TRANS:	wrjEnA
        INDEX:	P17W6
      OFFSETS:	27-33
       TOKENS:	P17W6-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(wirijiEnA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	wi+rijiE+nA
        GLOSS:	and+return/go back+we

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P17W7
      OFFSETS:	34-38
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P17W8
      OFFSETS:	39-42
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	وصحبى
     IS_TRANS:	wSHbY
        INDEX:	P17W9
      OFFSETS:	43-48
       TOKENS:	P17W10-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(wiSaHobiy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+SaHob+iy
        GLOSS:	and+friend+my

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P17W10
      OFFSETS:	49-52
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P17W11
      OFFSETS:	53-55
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	فهم
     IS_TRANS:	fhm
        INDEX:	P17W12
      OFFSETS:	56-59
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(fihim)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	fihim+(null)
        GLOSS:	understand+he/it

 INPUT STRING:	انى
     IS_TRANS:	AnY
        INDEX:	P17W13
      OFFSETS:	60-63
       TOKENS:	P17W16-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>in~_1]
   UNSPLITVOC:	(>in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	>in~+iy
        GLOSS:	that+I

 INPUT STRING:	قصدى
     IS_TRANS:	qSdY
        INDEX:	P17W14
      OFFSETS:	64-68
       TOKENS:	P17W18-P17W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSod_1]
   UNSPLITVOC:	(qaSodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qaSod+iy
        GLOSS:	intent/purpose/goal+my

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P17W15
      OFFSETS:	69-72
       TOKENS:	P17W20-P17W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الريس
     IS_TRANS:	Alrys
        INDEX:	P17W16
      OFFSETS:	73-78
       TOKENS:	P17W21-P17W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ray~is_1]
   UNSPLITVOC:	(Alr~ay~is)
          POS:	DET+NOUN
          VOC:	Al+ray~is
        GLOSS:	the+captain/chief/boss

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P17W17
      OFFSETS:	79-84
       TOKENS:	P17W22-P17W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	هيقول
     IS_TRANS:	hyqwl
        INDEX:	P18W1
      OFFSETS:	2-7
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Hayiquwl)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+quwl
        GLOSS:	will+he/it+said/say/be said/say/(for example)

 INPUT STRING:	اية
     IS_TRANS:	Ayp
        INDEX:	P18W2
      OFFSETS:	8-11
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	للعمال
     IS_TRANS:	llEmAl
        INDEX:	P18W3
      OFFSETS:	12-18
       TOKENS:	P18W4-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(lilEum~Al)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Eum~Al
        GLOSS:	for/to+the+workers

 INPUT STRING:	النهاردة
     IS_TRANS:	AlnhArdp
        INDEX:	P18W4
      OFFSETS:	19-27
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahArodah_1]
   UNSPLITVOC:	(Aln~ahArodah)
          POS:	DET+NOUN
          VOC:	Al+nahArodah
        GLOSS:	the+to day

 INPUT STRING:	رد
     IS_TRANS:	rd
        INDEX:	P19W1
      OFFSETS:	1-3
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rad~+(null)
        GLOSS:	Gloss:TBA+he/it

 INPUT STRING:	علية
     IS_TRANS:	Elyp
        INDEX:	P19W2
      OFFSETS:	4-8
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Elyp)
          POS:	TYPO
          VOC:	Elyp
        GLOSS:	nogloss

 INPUT STRING:	وقالى
     IS_TRANS:	wqAlY
        INDEX:	P19W3
      OFFSETS:	9-14
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wqAlY)
          POS:	TYPO
          VOC:	wqAlY
        GLOSS:	nogloss

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P19W4
      OFFSETS:	15-19
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakiyd_1]
   UNSPLITVOC:	(Akiyd)
          POS:	ADJ
          VOC:	Akiyd
        GLOSS:	certain/definite

 INPUT STRING:	هيتكلم
     IS_TRANS:	hytklm
        INDEX:	P19W5
      OFFSETS:	20-26
       TOKENS:	P19W5-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(Hayitokal~im)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+tokal~im
        GLOSS:	will+he/it+speak

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P19W6
      OFFSETS:	27-29
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	تحديد
     IS_TRANS:	tHdyd
        INDEX:	P19W7
      OFFSETS:	30-35
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHodiyd_1]
   UNSPLITVOC:	(taHodiyd)
          POS:	NOUN
          VOC:	taHodiyd
        GLOSS:	delimitation/specification/definition/specifically

 INPUT STRING:	النسل
     IS_TRANS:	Alnsl
        INDEX:	P19W8
      OFFSETS:	36-41
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nasol_1]
   UNSPLITVOC:	(Aln~asol)
          POS:	DET+NOUN
          VOC:	Al+nasol
        GLOSS:	the+progeny/offspring/progeny/descendants

 INPUT STRING:	وربط
     IS_TRANS:	wrbT
        INDEX:	P19W9
      OFFSETS:	42-46
       TOKENS:	P19W10-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raboT_1]
   UNSPLITVOC:	(wiraboT)
          POS:	CONJ+NOUN
          VOC:	wi+raboT
        GLOSS:	and+tying/connecting

 INPUT STRING:	الحزام
     IS_TRANS:	AlHzAm
        INDEX:	P19W10
      OFFSETS:	47-53
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HizAm_1]
   UNSPLITVOC:	(AlHizAm)
          POS:	DET+NOUN
          VOC:	Al+HizAm
        GLOSS:	the+belt/cordon/belts/cordons

 INPUT STRING:	وسلام
     IS_TRANS:	wslAm
        INDEX:	P19W11
      OFFSETS:	54-59
       TOKENS:	P19W13-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(wisalAm)
          POS:	CONJ+NOUN
          VOC:	wi+salAm
        GLOSS:	and+greeting/salute/salutation

 INPUT STRING:	سلام
     IS_TRANS:	slAm
        INDEX:	P19W12
      OFFSETS:	60-64
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(salAm)
          POS:	NOUN
          VOC:	salAm
        GLOSS:	greeting/salute/salutation

 INPUT STRING:	خلص
     IS_TRANS:	xlS
        INDEX:	P19W13
      OFFSETS:	65-68
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuluS_1]
   UNSPLITVOC:	(xuluS)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	xuluS+(null)
        GLOSS:	finish+he/it

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P19W14
      OFFSETS:	69-75
       TOKENS:	P19W17-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	قولتله
     IS_TRANS:	qwltlh
        INDEX:	P20W1
      OFFSETS:	1-7
       TOKENS:	P20W1-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwlt_luh)
          POS:	PV+PVSUFF_SUBJ:1S+PREP+PRON_3MS
          VOC:	quwl+t+li+uh
        GLOSS:	say+I+to/for+him

 INPUT STRING:	اة
     IS_TRANS:	Ap
        INDEX:	P20W2
      OFFSETS:	8-10
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	ah

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P20W3
      OFFSETS:	11-13
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P20W4
      OFFSETS:	14-18
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakiyd_1]
   UNSPLITVOC:	(Akiyd)
          POS:	ADJ
          VOC:	Akiyd
        GLOSS:	certain/definite

 INPUT STRING:	هيطلع
     IS_TRANS:	hyTlE
        INDEX:	P20W5
      OFFSETS:	19-24
       TOKENS:	P20W7-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(HayiTolaE)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+TolaE
        GLOSS:	will+he/it+go up

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P20W6
      OFFSETS:	25-29
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P20W7
      OFFSETS:	30-32
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اخر
     IS_TRANS:	Axr
        INDEX:	P20W8
      OFFSETS:	33-36
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xir_1]
   UNSPLITVOC:	(|xir)
          POS:	ADJ_COMP
          VOC:	|xir
        GLOSS:	last/end

 INPUT STRING:	الصف
     IS_TRANS:	AlSf
        INDEX:	P20W9
      OFFSETS:	37-41
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saf~_1]
   UNSPLITVOC:	(AlS~af~)
          POS:	DET+NOUN
          VOC:	Al+Saf~
        GLOSS:	the+line/row/class

 INPUT STRING:	ويقولة
     IS_TRANS:	wyqwlp
        INDEX:	P20W10
      OFFSETS:	42-48
       TOKENS:	P20W13-P20W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wyqwlp)
          POS:	TYPO
          VOC:	wyqwlp
        GLOSS:	nogloss

 INPUT STRING:	العلاوة
     IS_TRANS:	AlElAwp
        INDEX:	P20W11
      OFFSETS:	49-56
       TOKENS:	P20W14-P20W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EilAwap_1]
   UNSPLITVOC:	(AlEilAwap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EilAw+ap
        GLOSS:	the+increase/raise/bonus/increases/raises/bonuses/in addition+[fem.sg.]

 INPUT STRING:	ياريس
     IS_TRANS:	yArys
        INDEX:	P20W12
      OFFSETS:	57-62
       TOKENS:	P20W15-P20W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ray~is_1]
   UNSPLITVOC:	(yAray~is)
          POS:	VOC_PART+NOUN
          VOC:	yaA+ray~is
        GLOSS:	oh+captain/chief/boss

 INPUT STRING:	قالى
     IS_TRANS:	qAlY
        INDEX:	P21W1
      OFFSETS:	1-5
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(qAlY)
          POS:	TYPO
          VOC:	qAlY
        GLOSS:	nogloss

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P21W2
      OFFSETS:	6-10
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	يزودها
     IS_TRANS:	yzwdhA
        INDEX:	P21W3
      OFFSETS:	11-17
       TOKENS:	P21W3-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaw~id_1]
   UNSPLITVOC:	(yizaw~idhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+zaw~id+hA
        GLOSS:	he/it+increase+it/them/her

 INPUT STRING:	5
     IS_TRANS:	5
        INDEX:	P21W4
      OFFSETS:	18-19
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(5)
          POS:	ADJ_NUM
          VOC:	5
        GLOSS:	5

 INPUT STRING:	%
     IS_TRANS:	%
        INDEX:	P21W5
      OFFSETS:	19-20
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(%)
          POS:	PUNC
          VOC:	%
        GLOSS:	%

 INPUT STRING:	قولتلة
     IS_TRANS:	qwltlp
        INDEX:	P22W1
      OFFSETS:	1-7
       TOKENS:	P22W1-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwlt_luh)
          POS:	PV+PVSUFF_SUBJ:1S+PREP+PRON_3MS
          VOC:	quwl+t+li+uh
        GLOSS:	say+I+to/for+him

 INPUT STRING:	وانت
     IS_TRANS:	wAnt
        INDEX:	P22W2
      OFFSETS:	8-12
       TOKENS:	P22W4-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(wiAinota)
          POS:	CONJ+PRON_2MS
          VOC:	wi+Ainota
        GLOSS:	and+you

 INPUT STRING:	رايك
     IS_TRANS:	rAyk
        INDEX:	P22W3
      OFFSETS:	13-17
       TOKENS:	P22W6-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	ra>oy+ak
        GLOSS:	opinion/view/idea+your

 INPUT STRING:	اية
     IS_TRANS:	Ayp
        INDEX:	P22W4
      OFFSETS:	18-21
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	قالى
     IS_TRANS:	qAlY
        INDEX:	P23W1
      OFFSETS:	1-5
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(qAlY)
          POS:	TYPO
          VOC:	qAlY
        GLOSS:	nogloss

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P23W2
      OFFSETS:	6-11
       TOKENS:	P23W2-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P23W3
      OFFSETS:	12-14
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	as/like

 INPUT STRING:	الفل
     IS_TRANS:	Alfl
        INDEX:	P23W4
      OFFSETS:	15-19
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ful~_1]
   UNSPLITVOC:	(Alful~)
          POS:	DET+NOUN
          VOC:	Al+ful~
        GLOSS:	the+jasmine

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P23W5
      OFFSETS:	20-25
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	هتموت
     IS_TRANS:	htmwt
        INDEX:	P23W6
      OFFSETS:	26-31
       TOKENS:	P23W7-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(Hatimuwt)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+muwt
        GLOSS:	will+it/they/she+die/pass away

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P23W7
      OFFSETS:	32-35
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	جنية
     IS_TRANS:	jnyp
        INDEX:	P23W8
      OFFSETS:	36-40
       TOKENS:	P23W10-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P23W9
      OFFSETS:	41-45
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	وابتدينا
     IS_TRANS:	wAbtdynA
        INDEX:	P24W1
      OFFSETS:	1-9
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibotadA_1]
   UNSPLITVOC:	(wiAibotadaynA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	wi+Aibotad+aynA
        GLOSS:	and+start/begin+we

 INPUT STRING:	نعمل
     IS_TRANS:	nEml
        INDEX:	P24W2
      OFFSETS:	10-14
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(niEomil)
          POS:	IV1P+IV
          VOC:	ni+Eomil
        GLOSS:	we+do/make

 INPUT STRING:	استطلاع
     IS_TRANS:	AstTlAE
        INDEX:	P24W3
      OFFSETS:	15-22
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiTolAE_1]
   UNSPLITVOC:	(AisotiTolAE)
          POS:	NOUN
          VOC:	AisotiTolAE
        GLOSS:	poll (opinion)/investigation

 INPUT STRING:	راى
     IS_TRANS:	rAY
        INDEX:	P24W4
      OFFSETS:	23-26
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P24W5
      OFFSETS:	27-29
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
