 INPUT STRING:	السياسة
        LEMMA:	[>alomAnoyA_1]
   UNSPLITVOC:	(>alomAnoyA)
          POS:	NOUN_PROP
          VOC:	>alomAnoyA
        GLOSS:	Germany

 INPUT STRING:	وروسيا
     IS_TRANS:	wrwsyA
        INDEX:	P27W12
      OFFSETS:	60-66
       TOKENS:	P27W16-P27W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruwsyA_1]
   UNSPLITVOC:	(wiruwsyA)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+ruwsyA
        GLOSS:	and+Russia

 INPUT STRING:	دخل
     IS_TRANS:	dxl
        INDEX:	P27W13
      OFFSETS:	67-70
       TOKENS:	P27W18-P27W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(daxal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	daxal+(null)
        GLOSS:	enter+he/it [verb]

 INPUT STRING:	للاعيبة
     IS_TRANS:	llAEybp
        INDEX:	P27W14
      OFFSETS:	71-78
       TOKENS:	P27W19-P27W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laEiyb_1]
   UNSPLITVOC:	(lil~AEiybap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+lAEiyb+ap
        GLOSS:	for/to+the+players+[fem.sg.]

 INPUT STRING:	المانيا
     IS_TRANS:	AlmAnyA
        INDEX:	P27W15
      OFFSETS:	79-86
       TOKENS:	P27W21-P27W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>alomAnoyA_1]
   UNSPLITVOC:	(>alomAnoyA)
          POS:	NOUN_PROP
          VOC:	>alomAnoyA
        GLOSS:	Germany

 INPUT STRING:	واصدر
     IS_TRANS:	wASdr
        INDEX:	P27W16
      OFFSETS:	87-92
       TOKENS:	P27W22-P27W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSodar_1]
   UNSPLITVOC:	(wi>aSodar)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>aSodar+(null)
        GLOSS:	and+issue/publish+he/it [verb]

 INPUT STRING:	ليهم
     IS_TRANS:	lyhm
        INDEX:	P27W17
      OFFSETS:	93-97
       TOKENS:	P27W24-P27W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	for/to+them

 INPUT STRING:	فرمان
     IS_TRANS:	frmAn
        INDEX:	P28W1
      OFFSETS:	0-5
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faramAn_1]
   UNSPLITVOC:	(faramAn)
          POS:	NOUN
          VOC:	faramAn
        GLOSS:	firman (Ottoman decree/edict)

 INPUT STRING:	بأنهم
     IS_TRANS:	b>nhm
        INDEX:	P28W2
      OFFSETS:	6-11
       TOKENS:	P28W2-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(bi<in~uhum)
          POS:	PREP+SUB_CONJ+PRON_3P
          VOC:	bi+<in~+hum
        GLOSS:	with/by+that+they

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P28W3
      OFFSETS:	12-14
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	ماكسبوش
     IS_TRANS:	mAksbw$
        INDEX:	P28W4
      OFFSETS:	15-22
       TOKENS:	P28W6-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kisib_1]
   UNSPLITVOC:	(mA_kisobuw$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3P+NEG_PART
          VOC:	mA+kisob+uwA+$
        GLOSS:	not+win/gain/acquire/obtain+they [verb]+not

 INPUT STRING:	الشوط
     IS_TRANS:	Al$wT
        INDEX:	P28W5
      OFFSETS:	23-28
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uwT_2]
   UNSPLITVOC:	(Al$~uwT)
          POS:	DET+NOUN
          VOC:	Al+$uwT
        GLOSS:	the+round/phase/game/half period

 INPUT STRING:	التانى
     IS_TRANS:	AltAnY
        INDEX:	P28W6
      OFFSETS:	29-35
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlvAniy_1]
   UNSPLITVOC:	(AltAniy)
          POS:	DET+ADJ_NUM
          VOC:	Al+vAniy
        GLOSS:	the+second

 INPUT STRING:	هيتعدموا
     IS_TRANS:	hytEdmwA
        INDEX:	P28W7
      OFFSETS:	36-44
       TOKENS:	P28W11-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEadam_1]
   UNSPLITVOC:	(HayitoEidomuwA)
          POS:	FUT_PART+IV3P+IV_PASS+IVSUFF_SUBJ:P
          VOC:	Ha+yi+toEidom+uwA
        GLOSS:	will+they+deprive/execute+[pl.]

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P28W8
      OFFSETS:	45-49
       TOKENS:	P28W13-P28W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uhum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all/every/entire/whole+their

 INPUT STRING:	وساعتها
     IS_TRANS:	wsAEthA
        INDEX:	P28W9
      OFFSETS:	50-57
       TOKENS:	P28W15-P28W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(wisAEithA)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	wi+sAE+ap+hA
        GLOSS:	and+hour/time+[fem.sg.]+its/their/her

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P28W10
      OFFSETS:	58-62
       TOKENS:	P28W18-P28W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she [verb]

 INPUT STRING:	المانيا
     IS_TRANS:	AlmAnyA
        INDEX:	P28W11
      OFFSETS:	63-70
       TOKENS:	P28W19-P28W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>alomAnoyA_1]
   UNSPLITVOC:	(>alomAnoyA)
          POS:	NOUN_PROP
          VOC:	>alomAnoyA
        GLOSS:	Germany

 INPUT STRING:	مغلوبة
     IS_TRANS:	mglwbp
        INDEX:	P28W12
      OFFSETS:	71-77
       TOKENS:	P28W20-P28W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[magoluwb_1]
   UNSPLITVOC:	(magoluwbap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	magoluwb+ap
        GLOSS:	loser/defeated/beaten+[fem.sg.]

 INPUT STRING:	1
     IS_TRANS:	1
        INDEX:	P28W13
      OFFSETS:	78-79
       TOKENS:	P28W21-P28W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1)
          POS:	NOUN_NUM
          VOC:	1
        GLOSS:	1

 INPUT STRING:	تقريبا
     IS_TRANS:	tqrybA
        INDEX:	P28W14
      OFFSETS:	80-86
       TOKENS:	P28W22-P28W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoriyb_1]
   UNSPLITVOC:	(taqoriybAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	taqoriyb+AF
        GLOSS:	approximation/bringing close/drawing near+[acc.indef.]

 INPUT STRING:	نزلوا
     IS_TRANS:	nzlwA
        INDEX:	P29W1
      OFFSETS:	0-5
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(nizoluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	nizol+uwA
        GLOSS:	descending/staying+they [verb]

 INPUT STRING:	الشوط
     IS_TRANS:	Al$wT
        INDEX:	P29W2
      OFFSETS:	6-11
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uwT_2]
   UNSPLITVOC:	(Al$~uwT)
          POS:	DET+NOUN
          VOC:	Al+$uwT
        GLOSS:	the+round/phase/game/half period

 INPUT STRING:	التانى
     IS_TRANS:	AltAnY
        INDEX:	P29W3
      OFFSETS:	12-18
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlvAniy_1]
   UNSPLITVOC:	(AltAniy)
          POS:	DET+ADJ_NUM
          VOC:	Al+vAniy
        GLOSS:	the+second

 INPUT STRING:	وكسبوا
     IS_TRANS:	wksbwA
        INDEX:	P29W4
      OFFSETS:	19-25
       TOKENS:	P29W4-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kisib_1]
   UNSPLITVOC:	(wikisobuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+kisob+uwA
        GLOSS:	and+win/gain/acquire/obtain+they [verb]

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P30W1
      OFFSETS:	0-3
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	تقدروا
     IS_TRANS:	tqdrwA
        INDEX:	P30W2
      OFFSETS:	4-10
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(tiqodaruwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+qodar+uwA
        GLOSS:	you [pl.]+be able to/be capable of+[pl.]

 INPUT STRING:	تقولولى
     IS_TRANS:	tqwlwlY
        INDEX:	P30W3
      OFFSETS:	11-18
       TOKENS:	P30W3-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwluwA_liy)
          POS:	IV2P+IV+IVSUFF_SUBJ:P+PREP+PRON_1S
          VOC:	ti+quwl+uwA+li+iy
        GLOSS:	you [pl.]+say+[pl.]+to/for+me

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P30W4
      OFFSETS:	19-22
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_3]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	دخل
     IS_TRANS:	dxl
        INDEX:	P30W5
      OFFSETS:	23-26
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dax~al_1]
   UNSPLITVOC:	(dax~al)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	dax~al+(null)
        GLOSS:	make enter/include/insert+he/it [verb]

 INPUT STRING:	الرياضة
     IS_TRANS:	AlryADp
        INDEX:	P30W6
      OFFSETS:	27-34
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riyADap_1]
   UNSPLITVOC:	(Alr~iyADap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+riyAD+ap
        GLOSS:	the+sport/physical exercise+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P30W7
      OFFSETS:	35-37
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	السياسة
     IS_TRANS:	AlsyAsp
        INDEX:	P30W8
      OFFSETS:	38-45
       TOKENS:	P30W10-P30W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(Als~iyAsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyAs+ap
        GLOSS:	the+politics+[fem.sg.]

 INPUT STRING:	هرجع
     IS_TRANS:	hrjE
        INDEX:	P30W9
      OFFSETS:	46-50
       TOKENS:	P30W11-P30W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(HaAarojaE)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+rojaE
        GLOSS:	will+I+return

 INPUT STRING:	اقولكم
     IS_TRANS:	Aqwlkm
        INDEX:	P30W10
      OFFSETS:	51-57
       TOKENS:	P30W13-P30W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(>aquwl~ukum)
          POS:	IV1S+IV+PREP+PRON_2P
          VOC:	>a+quwl+li+kum
        GLOSS:	I+say+for/to+you [pl.]

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P30W11
      OFFSETS:	58-61
       TOKENS:	P30W16-P30W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	to/for+that

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P30W12
      OFFSETS:	62-68
       TOKENS:	P30W18-P30W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country+[fem.sg.]

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P30W13
      OFFSETS:	69-72
       TOKENS:	P30W19-P30W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all/every/entire/whole

 INPUT STRING:	مافيها
     IS_TRANS:	mAfyhA
        INDEX:	P30W14
      OFFSETS:	73-79
       TOKENS:	P30W21-P30W21
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAfyhA)
          POS:	NO_FUNC
          VOC:	mAfyhA
        GLOSS:	nogloss

 INPUT STRING:	تعتبر
     IS_TRANS:	tEtbr
        INDEX:	P30W15
      OFFSETS:	80-85
       TOKENS:	P30W22-P30W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotabar_1]
   UNSPLITVOC:	(tuEotabar)
          POS:	IV3FS+IV
          VOC:	tu+Eotabar
        GLOSS:	she/it/they+be considered/be regarded/be believed

 INPUT STRING:	منظومة
     IS_TRANS:	mnZwmp
        INDEX:	P30W16
      OFFSETS:	86-92
       TOKENS:	P30W23-P30W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoZuwmap_1]
   UNSPLITVOC:	(manoZuwmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	manoZuwm+ap
        GLOSS:	structure/hierarchy+[fem.sg.]

 INPUT STRING:	سياسية
     IS_TRANS:	syAsyp
        INDEX:	P30W17
      OFFSETS:	93-99
       TOKENS:	P30W24-P30W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(siyAsiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	siyAsiy~+ap
        GLOSS:	political+[fem.sg.]

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P30W18
      OFFSETS:	100-103
       TOKENS:	P30W25-P30W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(kamA)
          POS:	PREP+REL_PRON
          VOC:	ka+mA
        GLOSS:	like/such as+what/which

 INPUT STRING:	نص
     IS_TRANS:	nS
        INDEX:	P30W19
      OFFSETS:	104-106
       TOKENS:	P30W27-P30W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naS~_1]
   UNSPLITVOC:	(naS~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	naS~+(null)
        GLOSS:	stipulate/specify+he/it [verb]

 INPUT STRING:	القانون
     IS_TRANS:	AlqAnwn
        INDEX:	P30W20
      OFFSETS:	107-114
       TOKENS:	P30W28-P30W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(AlqAnuwn)
          POS:	DET+NOUN
          VOC:	Al+qAnuwn
        GLOSS:	the+law/statutes/regulations

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P31W1
      OFFSETS:	0-5
       TOKENS:	P31W1-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	for/to+matter/case/affair

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P31W2
      OFFSETS:	6-9
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this

 INPUT STRING:	أمريكا
     IS_TRANS:	>mrykA
        INDEX:	P31W3
      OFFSETS:	10-16
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	بمنظومتها
     IS_TRANS:	bmnZwmthA
        INDEX:	P31W4
      OFFSETS:	17-26
       TOKENS:	P31W5-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[manZuwmap_1]
   UNSPLITVOC:	(bimanZuwmithA)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	bi+manZuwm+ap+hA
        GLOSS:	with/by+structure/hierarchy+[fem.sg.]+its/their/her

 INPUT STRING:	السياسية
     IS_TRANS:	AlsyAsyp
        INDEX:	P31W5
      OFFSETS:	27-35
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(Als~iyAsiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+siyAsiy~+ap
        GLOSS:	the+political+[fem.sg.]

 INPUT STRING:	ماكانش
     IS_TRANS:	mAkAn$
        INDEX:	P31W6
      OFFSETS:	36-42
       TOKENS:	P31W9-P31W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_kAn$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+kAn+(null)+$
        GLOSS:	not+be+he/it [verb]+not

 INPUT STRING:	ينفع
     IS_TRANS:	ynfE
        INDEX:	P31W7
      OFFSETS:	43-47
       TOKENS:	P31W12-P31W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifiE_1]
   UNSPLITVOC:	(yinofaE)
          POS:	IV3MS+IV
          VOC:	yi+nofaE
        GLOSS:	he/it+be possible/be useful

 INPUT STRING:	تتغلب
     IS_TRANS:	ttglb
        INDEX:	P31W8
      OFFSETS:	48-53
       TOKENS:	P31W13-P31W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitogalab_1]
   UNSPLITVOC:	(titogilib)
          POS:	IV3FS+IV_PASS
          VOC:	ti+togilib
        GLOSS:	she/it/they+be defeated/be overcome

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P31W9
      OFFSETS:	54-56
       TOKENS:	P31W14-P31W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P31W10
      OFFSETS:	57-60
       TOKENS:	P31W15-P31W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	بمنظومتها
     IS_TRANS:	bmnZwmthA
        INDEX:	P31W11
      OFFSETS:	61-70
       TOKENS:	P31W16-P31W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[manZuwmap_1]
   UNSPLITVOC:	(bimanZuwmithA)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	bi+manZuwm+ap+hA
        GLOSS:	with/by+structure/hierarchy+[fem.sg.]+its/their/her

 INPUT STRING:	السياسية
     IS_TRANS:	AlsyAsyp
        INDEX:	P31W12
      OFFSETS:	71-79
       TOKENS:	P31W19-P31W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(Als~iyAsiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+siyAsiy~+ap
        GLOSS:	the+political+[fem.sg.]

 INPUT STRING:	ايضاً
     IS_TRANS:	AyDAF
        INDEX:	P31W13
      OFFSETS:	80-85
       TOKENS:	P31W20-P31W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayoD_1]
   UNSPLITVOC:	(>ayoDAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>ayoD+AF
        GLOSS:	also+[acc.indef.]

 INPUT STRING:	واتغلبنا
     IS_TRANS:	wAtglbnA
        INDEX:	P31W14
      OFFSETS:	86-94
       TOKENS:	P31W21-P31W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galab_1]
   UNSPLITVOC:	(wiAitogalabnA)
          POS:	CONJ+PV_PASS+PVSUFF_SUBJ:3MS+PVSUFF_DO:1P
          VOC:	wi+Aitogalab+(null)+nA
        GLOSS:	and+be defeated/be overcome+he/it [verb]+us

 INPUT STRING:	بتهديد
     IS_TRANS:	bthdyd
        INDEX:	P31W15
      OFFSETS:	95-101
       TOKENS:	P31W24-P31W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tahodiyd_1]
   UNSPLITVOC:	(bitahodiyd)
          POS:	PREP+NOUN
          VOC:	bi+tahodiyd
        GLOSS:	with/by+threatening/menacing

 INPUT STRING:	خفى
     IS_TRANS:	xfY
        INDEX:	P31W16
      OFFSETS:	102-105
       TOKENS:	P31W26-P31W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xifiy_1]
   UNSPLITVOC:	(xifiy)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	xifiy+(null)
        GLOSS:	be hidden+he/it [verb]

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P31W17
      OFFSETS:	106-111
       TOKENS:	P31W27-P31W28
