 INPUT STRING:	زي
      OFFSETS:	77-78
       TOKENS:	P10W22-P10W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P10W21
      OFFSETS:	78-79
       TOKENS:	P10W23-P10W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/her

 INPUT STRING:	جملة
     IS_TRANS:	jmlp
        INDEX:	P11W2
      OFFSETS:	4-8
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumolap_1]
   UNSPLITVOC:	(jumolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jumol+ap
        GLOSS:	sentence/clause/sentences/clauses+[fem.sg.]

 INPUT STRING:	عجبتني
     IS_TRANS:	Ejbtny
        INDEX:	P11W3
      OFFSETS:	9-15
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eajab_1]
   UNSPLITVOC:	(Eajabitniy)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:1S
          VOC:	Eajab+it+niy
        GLOSS:	liked+it/they/she+me

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W4
      OFFSETS:	16-18
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	م
     IS_TRANS:	m
        INDEX:	P11W5
      OFFSETS:	19-20
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[m_1]
   UNSPLITVOC:	(m)
          POS:	ABBREV
          VOC:	m
        GLOSS:	m

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W6
      OFFSETS:	20-21
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	كونان
     IS_TRANS:	kwnAn
        INDEX:	P11W7
      OFFSETS:	21-26
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuwnAn_1]
   UNSPLITVOC:	(kuwnAn)
          POS:	NOUN_PROP
          VOC:	kuwnAn
        GLOSS:	KWNAN

 INPUT STRING:	قالها
     IS_TRANS:	qAlhA
        INDEX:	P11W8
      OFFSETS:	27-32
       TOKENS:	P11W10-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	qAl+(null)+hA
        GLOSS:	said/say/be said/say/(for example)+he/it+it/them/her

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P11W9
      OFFSETS:	33-35
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فاكرة
     IS_TRANS:	fAkrp
        INDEX:	P11W10
      OFFSETS:	36-41
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAkir_1]
   UNSPLITVOC:	(fAkorap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAkor+ap
        GLOSS:	remember+[fem.sg.]

 INPUT STRING:	نصها
     IS_TRANS:	nShA
        INDEX:	P11W11
      OFFSETS:	42-46
       TOKENS:	P11W14-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuS~_1]
   UNSPLITVOC:	(nuS~ahA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	nuS~+hA
        GLOSS:	half+its/their/her

 INPUT STRING:	أوي
     IS_TRANS:	>wy
        INDEX:	P11W12
      OFFSETS:	47-50
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	strong/so much

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P11W13
      OFFSETS:	51-53
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	فيما
     IS_TRANS:	fymA
        INDEX:	P11W14
      OFFSETS:	54-58
       TOKENS:	P11W18-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiymA)
          POS:	PREP+REL_PRON
          VOC:	fiy+mA
        GLOSS:	in, by+what/which

 INPUT STRING:	معناها
     IS_TRANS:	mEnAhA
        INDEX:	P11W15
      OFFSETS:	59-65
       TOKENS:	P11W20-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonAhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	maEonA+hA
        GLOSS:	meaning/sense+its/their/her

 INPUT STRING:	اشتداد
     IS_TRANS:	A$tdAd
        INDEX:	P12W1
      OFFSETS:	0-6
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otidAd_1]
   UNSPLITVOC:	(Ai$otidAd)
          POS:	NOUN
          VOC:	Ai$otidAd
        GLOSS:	intensification/increace

 INPUT STRING:	ظلمة
     IS_TRANS:	Zlmp
        INDEX:	P12W2
      OFFSETS:	7-11
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zulomap_1]
   UNSPLITVOC:	(Zulomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Zulom+ap
        GLOSS:	darkness+[fem.sg.]

 INPUT STRING:	الليل
     IS_TRANS:	Allyl
        INDEX:	P12W3
      OFFSETS:	12-17
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layl_1]
   UNSPLITVOC:	(All~ayl)
          POS:	DET+NOUN
          VOC:	Al+layl
        GLOSS:	the+night/nighttime/at night/by night

 INPUT STRING:	تعني
     IS_TRANS:	tEny
        INDEX:	P12W4
      OFFSETS:	18-22
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(taEoniy)
          POS:	IV3FS+IV
          VOC:	ta+Eoniy
        GLOSS:	she/it+means

 INPUT STRING:	بداية
     IS_TRANS:	bdAyp
        INDEX:	P12W5
      OFFSETS:	23-28
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bidAyap_1]
   UNSPLITVOC:	(bidAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bidAy+ap
        GLOSS:	beginning/start+[fem.sg.]

 INPUT STRING:	بزوغ
     IS_TRANS:	bzwg
        INDEX:	P12W6
      OFFSETS:	29-33
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buzuwg_1]
   UNSPLITVOC:	(buzuwg)
          POS:	NOUN
          VOC:	buzuwg
        GLOSS:	rise/appear

 INPUT STRING:	فجر
     IS_TRANS:	fjr
        INDEX:	P12W7
      OFFSETS:	34-37
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fajor_1]
   UNSPLITVOC:	(fajor)
          POS:	NOUN
          VOC:	fajor
        GLOSS:	dawn

 INPUT STRING:	جديد
     IS_TRANS:	jdyd
        INDEX:	P12W8
      OFFSETS:	38-42
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiyd)
          POS:	ADJ
          VOC:	jidiyd
        GLOSS:	new/modern

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	رغم
     IS_TRANS:	rgm
        INDEX:	P13W2
      OFFSETS:	6-9
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(ragom)
          POS:	NOUN
          VOC:	ragom
        GLOSS:	in spite of/despite

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P13W3
      OFFSETS:	10-12
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P13W4
      OFFSETS:	13-17
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيحصل
     IS_TRANS:	byHSl
        INDEX:	P13W5
      OFFSETS:	18-23
       TOKENS:	P13W6-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(biyiHoSal)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+HoSal
        GLOSS:	[present-tense]+he/it+occur/happen/take place

 INPUT STRING:	فالواحد
     IS_TRANS:	fAlwAHd
        INDEX:	P13W6
      OFFSETS:	24-31
       TOKENS:	P13W8-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(faAlwAHid)
          POS:	CONNEC_PART+DET+NOUN_NUM
          VOC:	fa+Al+wAHid
        GLOSS:	so/then+the+person/ individual

 INPUT STRING:	مفكرش
     IS_TRANS:	mfkr$
        INDEX:	P13W7
      OFFSETS:	32-37
       TOKENS:	P13W10-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(mA_Aafak~ar$)
          POS:	NEG_PART+IV1S+IV+NEG_PART
          VOC:	mA+Aa+fak~ar+$
        GLOSS:	not+I+think/consider/ponder+not

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P13W8
      OFFSETS:	38-40
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P13W9
      OFFSETS:	41-44
       TOKENS:	P13W14-P13W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this

 INPUT STRING:	أصلاً
     IS_TRANS:	>SlAF
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	originally+[acc.indef.]

 INPUT STRING:	شئ
     IS_TRANS:	$}
        INDEX:	P14W2
      OFFSETS:	6-8
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a}_1]
   UNSPLITVOC:	($a})
          POS:	NOUN
          VOC:	$a}
        GLOSS:	something/thing

 INPUT STRING:	ملوش
     IS_TRANS:	mlw$
        INDEX:	P14W3
      OFFSETS:	9-13
       TOKENS:	P14W3-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(maluw$)
          POS:	NEG_PART+PREP+PRON_3MS+NEG_PART
          VOC:	ma+li+uh+$
        GLOSS:	not+for/to+him+not

 INPUT STRING:	لزمه
     IS_TRANS:	lzmh
        INDEX:	P14W4
      OFFSETS:	14-18
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lazomap_1]
   UNSPLITVOC:	(lazomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	lazom+ap
        GLOSS:	need+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/God+our

 INPUT STRING:	قدر
     IS_TRANS:	qdr
        INDEX:	P15W2
      OFFSETS:	5-8
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~ar_1]
   UNSPLITVOC:	(qad~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qad~ar+(null)
        GLOSS:	allow/make possible/dispose+he/it

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P15W3
      OFFSETS:	9-13
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	نعيش
     IS_TRANS:	nEy$
        INDEX:	P15W4
      OFFSETS:	14-18
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(niEiy$)
          POS:	IV1P+IV
          VOC:	ni+Eiy$
        GLOSS:	we+live/experience/long live!/be lived/be experienced

 INPUT STRING:	نروح
     IS_TRANS:	nrwH
        INDEX:	P15W5
      OFFSETS:	19-23
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(nuruwH)
          POS:	IV1P+IV
          VOC:	nu+ruwH
        GLOSS:	we+will

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P15W6
      OFFSETS:	24-28
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	موتين
     IS_TRANS:	mwtyn
        INDEX:	P15W7
      OFFSETS:	29-34
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maw~it_1]
   UNSPLITVOC:	(mimaw~itiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	mimaw~it+iyn
        GLOSS:	kill+[pl.]

 INPUT STRING:	نفسنا
     IS_TRANS:	nfsnA
        INDEX:	P15W8
      OFFSETS:	35-40
       TOKENS:	P15W10-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	nafos+nA
        GLOSS:	soul+our

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P15W9
      OFFSETS:	41-42
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P15W10
      OFFSETS:	42-43
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P15W11
      OFFSETS:	43-44
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	أصلا
     IS_TRANS:	>SlA
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily/funds/capital+[acc.indef.]

 INPUT STRING:	غباء
     IS_TRANS:	gbA'
        INDEX:	P16W2
      OFFSETS:	5-9
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gabA'_1]
   UNSPLITVOC:	(gabA')
          POS:	NOUN
          VOC:	gabA'
        GLOSS:	ignorance/stupidity

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/God+our

 INPUT STRING:	يعافينا
     IS_TRANS:	yEAfynA
        INDEX:	P17W2
      OFFSETS:	5-12
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yEAfynA)
          POS:	NO_FUNC
          VOC:	yEAfynA
        GLOSS:	nogloss

 INPUT STRING:	ويهديهم
     IS_TRANS:	wyhdyhm
        INDEX:	P17W3
      OFFSETS:	13-20
       TOKENS:	P17W4-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaY_1]
   UNSPLITVOC:	(wiyihodiyhum)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:3P
          VOC:	wi+yi+hodiy+hum
        GLOSS:	and+he/it+guide/direct/lead/be guided/be directed/be led+them

 INPUT STRING:	غفرانك
     IS_TRANS:	gfrAnk
        INDEX:	P18W1
      OFFSETS:	0-6
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[guforAn_1]
   UNSPLITVOC:	(guforAnak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	guforAn+ak
        GLOSS:	forgiveness+your

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P18W2
      OFFSETS:	7-11
       TOKENS:	P18W3-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rab~
        GLOSS:	oh+lord/master/god

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P19W1
      OFFSETS:	0-2
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	عم
     IS_TRANS:	Em
        INDEX:	P19W2
      OFFSETS:	3-5
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(Eam~)
          POS:	NOUN
          VOC:	Eam~
        GLOSS:	paternal uncle/paternal uncles

 INPUT STRING:	وليه
     IS_TRANS:	wlyh
        INDEX:	P19W3
      OFFSETS:	6-10
       TOKENS:	P19W3-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(wilayoh)
          POS:	CONJ+REL_ADV
          VOC:	wi+layoh
        GLOSS:	and+why

 INPUT STRING:	يفكر
     IS_TRANS:	yfkr
        INDEX:	P19W4
      OFFSETS:	11-15
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(yifak~ar)
          POS:	IV3MS+IV
          VOC:	yi+fak~ar
        GLOSS:	he/it+think/consider/ponder

 INPUT STRING:	يولع
     IS_TRANS:	ywlE
        INDEX:	P19W5
      OFFSETS:	16-20
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~aE_1]
   UNSPLITVOC:	(yiwal~aE)
          POS:	IV3MS+IV
          VOC:	yi+wal~aE
        GLOSS:	he/it+kindle/light/set fire to

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P19W6
      OFFSETS:	21-23
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P19W7
      OFFSETS:	24-28
       TOKENS:	P19W8-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	soul+his/its

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P20W1
      OFFSETS:	0-2
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	يقعد
     IS_TRANS:	yqEd
        INDEX:	P20W2
      OFFSETS:	3-7
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(yiqoEud)
          POS:	IV3MS+IV
          VOC:	yi+qoEud
        GLOSS:	he/it+sit down/be seated/remain

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P20W3
      OFFSETS:	8-10
       TOKENS:	P20W3-P20W3
