 INPUT STRING:	يقول
          VOC:	wa+lA
        GLOSS:	and+no/not/non-

 INPUT STRING:	شئ
     IS_TRANS:	$}
        INDEX:	P9W16
      OFFSETS:	75-77
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$i}_1]
   UNSPLITVOC:	($i})
          POS:	NOUN
          VOC:	$i}
        GLOSS:	thing/something

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W17
      OFFSETS:	77-78
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W18
      OFFSETS:	78-79
       TOKENS:	P9W24-P9W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W19
      OFFSETS:	79-80
       TOKENS:	P9W25-P9W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	فمؤسسها
     IS_TRANS:	fm&sshA
        INDEX:	P9W20
      OFFSETS:	81-88
       TOKENS:	P9W26-P9W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu&as~is_1]
   UNSPLITVOC:	(famu&as~ishA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	fa+mu&as~is+hA
        GLOSS:	so/and+founder+its/their/her

 INPUT STRING:	ومالكها
     IS_TRANS:	wmAlkhA
        INDEX:	P9W21
      OFFSETS:	89-96
       TOKENS:	P9W29-P9W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAlik_1]
   UNSPLITVOC:	(wamAlikahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wa+mAlik+hA
        GLOSS:	and+proprietor/holder/proprietors/holders+its/their/her

 INPUT STRING:	وزير
     IS_TRANS:	wzyr
        INDEX:	P9W22
      OFFSETS:	97-101
       TOKENS:	P9W32-P9W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(waziyr)
          POS:	NOUN
          VOC:	waziyr
        GLOSS:	minister/ministers

 INPUT STRING:	خارجية
     IS_TRANS:	xArjyp
        INDEX:	P9W23
      OFFSETS:	102-108
       TOKENS:	P9W33-P9W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArijiy_1]
   UNSPLITVOC:	(xArijiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xArijiy~+ap
        GLOSS:	outside/foreign/external+[fem.sg.]

 INPUT STRING:	قطر
     IS_TRANS:	qTr
        INDEX:	P9W24
      OFFSETS:	109-112
       TOKENS:	P9W34-P9W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qaTar_1]
   UNSPLITVOC:	(qaTar)
          POS:	NOUN_PROP
          VOC:	qaTar
        GLOSS:	Qatar

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W25
      OFFSETS:	112-113
       TOKENS:	P9W35-P9W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W26
      OFFSETS:	113-114
       TOKENS:	P9W36-P9W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P9W27
      OFFSETS:	115-118
       TOKENS:	P9W37-P9W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(wilaw)
          POS:	PART+SUB_CONJ
          VOC:	wi+law
        GLOSS:	so/and+if

 INPUT STRING:	أراد
     IS_TRANS:	>rAd
        INDEX:	P9W28
      OFFSETS:	119-123
       TOKENS:	P9W39-P9W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(>arAd)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>arAd+(null)
        GLOSS:	want/desire/intend/be desired/be intended+he/it

 INPUT STRING:	تطبيق
     IS_TRANS:	tTbyq
        INDEX:	P9W29
      OFFSETS:	124-129
       TOKENS:	P9W40-P9W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taTobiyq_1]
   UNSPLITVOC:	(taTobiyq)
          POS:	NOUN
          VOC:	taTobiyq
        GLOSS:	application

 INPUT STRING:	الشريعة
     IS_TRANS:	Al$ryEp
        INDEX:	P9W30
      OFFSETS:	130-137
       TOKENS:	P9W41-P9W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ariyEap_1]
   UNSPLITVOC:	(Al$~ariyEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$ariyE+ap
        GLOSS:	the+Sharia (Islamic law)/(religious) law/prescriptions of religious law+[fem.sg.]

 INPUT STRING:	لطبقها
     IS_TRANS:	lTbqhA
        INDEX:	P9W31
      OFFSETS:	138-144
       TOKENS:	P9W42-P9W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tab~aq_1]
   UNSPLITVOC:	(laTab~aqhA)
          POS:	RC_PART+PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	la+Tab~aq+(null)+hA
        GLOSS:	Will (definitely/certainly)+apply/implement+he/it [verb]+it/them/her

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W32
      OFFSETS:	145-147
       TOKENS:	P9W45-P9W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بلاده
     IS_TRANS:	blAdh
        INDEX:	P9W33
      OFFSETS:	148-153
       TOKENS:	P9W46-P9W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(bilAduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	bilAd+uh
        GLOSS:	country/countries+his/its

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W34
      OFFSETS:	153-154
       TOKENS:	P9W48-P9W48
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W35
      OFFSETS:	154-155
       TOKENS:	P9W49-P9W49
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	Rather/even/but/yet/however/but rather

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P10W2
      OFFSETS:	4-6
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	أنفى
     IS_TRANS:	>nfY
        INDEX:	P10W3
      OFFSETS:	7-11
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nafaY_1]
   UNSPLITVOC:	(>anofiy)
          POS:	IV1S+IV
          VOC:	>a+nofiy
        GLOSS:	I+deny/disavow/reject

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P10W4
      OFFSETS:	12-16
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	كوادر
     IS_TRANS:	kwAdr
        INDEX:	P10W5
      OFFSETS:	17-22
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAdir_1]
   UNSPLITVOC:	(kawAdir)
          POS:	NOUN
          VOC:	kawAdir
        GLOSS:	cadres/functionaries/staff

 INPUT STRING:	جيدة
     IS_TRANS:	jydp
        INDEX:	P10W6
      OFFSETS:	23-27
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajowad_1]
   UNSPLITVOC:	(jay~idap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jay~id+ap
        GLOSS:	good/well+[fem.sg.]

 INPUT STRING:	للغاية
     IS_TRANS:	llgAyp
        INDEX:	P10W7
      OFFSETS:	28-34
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAyap_1]
   UNSPLITVOC:	(lilgAyap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+gAy+ap
        GLOSS:	for/to+the+goal/objective/purpose/intention/goals/objectives/utmost/extreme+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P10W8
      OFFSETS:	35-37
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الجزيرة
     IS_TRANS:	Aljzyrp
        INDEX:	P10W9
      OFFSETS:	38-45
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jiziyrap_1]
   UNSPLITVOC:	(Aljiziyrap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+jiziyr+ap
        GLOSS:	the+aljazira/Jazeera/jazira+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W10
      OFFSETS:	45-46
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W11
      OFFSETS:	46-47
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	مثل
     IS_TRANS:	mvl
        INDEX:	P10W12
      OFFSETS:	48-51
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivol_1]
   UNSPLITVOC:	(mivol)
          POS:	NOUN
          VOC:	mivol
        GLOSS:	like/such as/the likes of

 INPUT STRING:	مكتب
     IS_TRANS:	mktb
        INDEX:	P10W13
      OFFSETS:	52-56
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makotab_1]
   UNSPLITVOC:	(makotab)
          POS:	NOUN
          VOC:	makotab
        GLOSS:	bureau/office/department/bureaus/offices

 INPUT STRING:	الأردن
     IS_TRANS:	Al>rdn
        INDEX:	P10W14
      OFFSETS:	57-63
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>urodun~_1]
   UNSPLITVOC:	(Al>urodun~)
          POS:	DET+NOUN_PROP
          VOC:	Al+>urodun~
        GLOSS:	the+Jordan

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W15
      OFFSETS:	63-64
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W16
      OFFSETS:	64-65
       TOKENS:	P10W17-P10W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W17
      OFFSETS:	65-66
       TOKENS:	P10W18-P10W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	كمثال
     IS_TRANS:	kmvAl
        INDEX:	P10W18
      OFFSETS:	67-72
       TOKENS:	P10W19-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivAl_1]
   UNSPLITVOC:	(kamivAl)
          POS:	PREP+NOUN
          VOC:	ka+mivAl
        GLOSS:	like/such+example/model/examples/models/proverbs

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W19
      OFFSETS:	72-73
       TOKENS:	P10W21-P10W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W20
      OFFSETS:	73-74
       TOKENS:	P10W22-P10W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	Rather/even/but/yet/however/but rather

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P11W2
      OFFSETS:	4-6
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	لاحظت
     IS_TRANS:	lAHZt
        INDEX:	P11W3
      OFFSETS:	7-12
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAHiZ_1]
   UNSPLITVOC:	(lAHiZt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	lAHiZ+t
        GLOSS:	observe/notice+I

 INPUT STRING:	التغطية
     IS_TRANS:	AltgTyp
        INDEX:	P11W4
      OFFSETS:	13-20
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoTiyap_1]
   UNSPLITVOC:	(Alt~agoTiyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+tagoTiy+ap
        GLOSS:	the+coverage/covering+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W5
      OFFSETS:	21-23
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P11W6
      OFFSETS:	24-27
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	لوجدتها
     IS_TRANS:	lwjdthA
        INDEX:	P11W7
      OFFSETS:	28-35
       TOKENS:	P11W7-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(lawajadtahA)
          POS:	RC_PART+PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3FS
          VOC:	la+wajad+at+hA
        GLOSS:	Will (definitely/certainly)+find+it/they/she [verb]+it/them/her

 INPUT STRING:	مجحفة
     IS_TRANS:	mjHfp
        INDEX:	P11W8
      OFFSETS:	36-41
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mujoHif_1]
   UNSPLITVOC:	(mujoHifap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mujoHif+ap
        GLOSS:	unfair/biased+[fem.sg.]

 INPUT STRING:	للغاية
     IS_TRANS:	llgAyp
        INDEX:	P11W9
      OFFSETS:	42-48
       TOKENS:	P11W11-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAyap_1]
   UNSPLITVOC:	(lilgAyap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+gAy+ap
        GLOSS:	for/to+the+goal/objective/purpose/intention/goals/objectives/utmost/extreme+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W10
      OFFSETS:	48-49
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W11
      OFFSETS:	49-50
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	فهى
     IS_TRANS:	fhY
        INDEX:	P11W12
      OFFSETS:	51-54
       TOKENS:	P11W15-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(fahiy~a)
          POS:	CONNEC_PART+PRON_3FS
          VOC:	fa+hiy~a
        GLOSS:	so/then+it/they/she

 INPUT STRING:	تخصص
     IS_TRANS:	txSS
        INDEX:	P11W13
      OFFSETS:	55-59
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xaS~aS_1]
   UNSPLITVOC:	(tixaS~aS)
          POS:	IV3FS+IV
          VOC:	ti+xaS~aS
        GLOSS:	it/they/she+specify/designate/allocate

 INPUT STRING:	برنامجاً
     IS_TRANS:	brnAmjAF
        INDEX:	P11W14
      OFFSETS:	60-68
       TOKENS:	P11W18-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(bironAmijAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	bironAmij+AF
        GLOSS:	program+[acc.indef.]

 INPUT STRING:	كاملا
     IS_TRANS:	kAmlA
        INDEX:	P11W15
      OFFSETS:	69-74
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAmil_1]
   UNSPLITVOC:	(kAmilAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	kAmil+AF
        GLOSS:	complete/full/integral+[acc.indef.]

 INPUT STRING:	لإشخاص
     IS_TRANS:	l<$xAS
        INDEX:	P11W16
      OFFSETS:	75-81
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(l<$xAS)
          POS:	TYPO
          VOC:	l<$xAS
        GLOSS:	nogloss

 INPUT STRING:	مثل
     IS_TRANS:	mvl
        INDEX:	P11W17
      OFFSETS:	82-85
       TOKENS:	P11W21-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivol_1]
   UNSPLITVOC:	(mivol)
          POS:	NOUN
          VOC:	mivol
        GLOSS:	like/such as/the likes of

 INPUT STRING:	إبراهيم
     IS_TRANS:	<brAhym
        INDEX:	P11W18
      OFFSETS:	86-93
       TOKENS:	P11W22-P11W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iborAhiym_1]
   UNSPLITVOC:	(<iborAhiym)
          POS:	NOUN_PROP
          VOC:	<iborAhiym
        GLOSS:	Ibrahim

 INPUT STRING:	عيسى
     IS_TRANS:	EysY
        INDEX:	P11W19
      OFFSETS:	94-98
       TOKENS:	P11W23-P11W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EiysaY_1]
   UNSPLITVOC:	(EiysaY)
          POS:	NOUN_PROP
          VOC:	EiysaY
        GLOSS:	Issa/Eissa/Jesus (in Islam)

 INPUT STRING:	وعلاء
     IS_TRANS:	wElA'
        INDEX:	P11W20
      OFFSETS:	99-104
       TOKENS:	P11W24-P11W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalA'_1]
   UNSPLITVOC:	(wiEalA')
          POS:	CONJ+NOUN_PROP
          VOC:	wi+EalA'
        GLOSS:	and+Alaa

 INPUT STRING:	الأسوانى
     IS_TRANS:	Al>swAnY
        INDEX:	P11W21
      OFFSETS:	105-113
       TOKENS:	P11W26-P11W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AsowAniy_1]
   UNSPLITVOC:	(AlAsowAniy)
          POS:	DET+NOUN_PROP
          VOC:	Al+AsowAniy
        GLOSS:	the+Aswany

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W22
      OFFSETS:	113-114
       TOKENS:	P11W27-P11W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W23
      OFFSETS:	114-115
       TOKENS:	P11W28-P11W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	يتكلمان
     IS_TRANS:	ytklmAn
        INDEX:	P11W24
      OFFSETS:	116-123
       TOKENS:	P11W29-P11W29
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ytklmAn)
          POS:	NO_FUNC
          VOC:	ytklmAn
        GLOSS:	nogloss

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P11W25
      OFFSETS:	124-127
       TOKENS:	P11W30-P11W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P11W26
      OFFSETS:	128-130
       TOKENS:	P11W32-P11W32
