 INPUT STRING:	بالصدفة
        GLOSS:	[present-tense]+he/it+strive/pursue

 INPUT STRING:	للسلطة
     IS_TRANS:	llslTp
        INDEX:	P21W11
      OFFSETS:	43-49
       TOKENS:	P21W13-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(lils~uloTap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+suloT+ap
        GLOSS:	for/to+the+power/authority/rule/authorities/powers/authorities/rules+[fem.sg.]

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P21W12
      OFFSETS:	50-53
       TOKENS:	P21W15-P21W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all, entire, every, whole

 INPUT STRING:	الطرق
     IS_TRANS:	AlTrq
        INDEX:	P21W13
      OFFSETS:	54-59
       TOKENS:	P21W17-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(AlT~uruq)
          POS:	DET+NOUN
          VOC:	Al+Turuq
        GLOSS:	the+method/procedure/methods/manners

 INPUT STRING:	الغير
     IS_TRANS:	Algyr
        INDEX:	P21W14
      OFFSETS:	60-65
       TOKENS:	P21W18-P21W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(Algayor)
          POS:	DET+NOUN
          VOC:	Al+gayor
        GLOSS:	the+not/other

 INPUT STRING:	المشروعة
     IS_TRANS:	Alm$rwEp
        INDEX:	P21W15
      OFFSETS:	66-74
       TOKENS:	P21W19-P21W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$oruwE_2]
   UNSPLITVOC:	(Alma$oruwEap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+ma$oruwE+ap
        GLOSS:	the+lawful/legal+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P21W16
      OFFSETS:	75-76
       TOKENS:	P21W20-P21W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	تدمير
     IS_TRANS:	tdmyr
        INDEX:	P21W17
      OFFSETS:	77-82
       TOKENS:	P21W21-P21W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tadomiyr_1]
   UNSPLITVOC:	(tadomiyr)
          POS:	NOUN
          VOC:	tadomiyr
        GLOSS:	destruction/annihilation

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P21W18
      OFFSETS:	83-88
       TOKENS:	P21W22-P21W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	بكدة
     IS_TRANS:	bkdp
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(bikidah)
          POS:	PREP+NOUN
          VOC:	bi+kidah
        GLOSS:	with/by+that/like that

 INPUT STRING:	نضمن
     IS_TRANS:	nDmn
        INDEX:	P22W2
      OFFSETS:	5-9
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daman_1]
   UNSPLITVOC:	(niDoman)
          POS:	IV1P+IV
          VOC:	ni+Doman
        GLOSS:	we+guarantee

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P22W3
      OFFSETS:	10-12
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P22W4
      OFFSETS:	13-15
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P22W5
      OFFSETS:	16-19
       TOKENS:	P22W6-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	ضحايا
     IS_TRANS:	DHAyA
        INDEX:	P22W6
      OFFSETS:	20-25
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(DaHAyA)
          POS:	NOUN
          VOC:	DaHAyA
        GLOSS:	victim/victims

 INPUT STRING:	جداد
     IS_TRANS:	jdAd
        INDEX:	P22W7
      OFFSETS:	26-30
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(judAd)
          POS:	ADJ
          VOC:	judAd
        GLOSS:	new

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P22W8
      OFFSETS:	31-32
       TOKENS:	P22W10-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P22W9
      OFFSETS:	33-35
       TOKENS:	P22W11-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	بلطجية
     IS_TRANS:	blTjyp
        INDEX:	P22W10
      OFFSETS:	36-42
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baloTajiy~_1]
   UNSPLITVOC:	(baloTajiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	baloTajiy~+ap
        GLOSS:	gangster/ruffian+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P22W11
      OFFSETS:	43-44
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P22W12
      OFFSETS:	45-47
       TOKENS:	P22W14-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	طرف
     IS_TRANS:	Trf
        INDEX:	P22W13
      OFFSETS:	48-51
       TOKENS:	P22W15-P22W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taraf_1]
   UNSPLITVOC:	(Taraf)
          POS:	NOUN
          VOC:	Taraf
        GLOSS:	participant/player/involved member/party/side/parties/sides

 INPUT STRING:	تالت
     IS_TRANS:	tAlt
        INDEX:	P22W14
      OFFSETS:	52-56
       TOKENS:	P22W16-P22W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAlit_1]
   UNSPLITVOC:	(tAlit)
          POS:	ADJ
          VOC:	tAlit
        GLOSS:	third

 INPUT STRING:	مندس
     IS_TRANS:	mnds
        INDEX:	P22W15
      OFFSETS:	57-61
       TOKENS:	P22W17-P22W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minodas~_1]
   UNSPLITVOC:	(minodas~)
          POS:	ADJ
          VOC:	minodas~
        GLOSS:	inserted

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P22W16
      OFFSETS:	62-63
       TOKENS:	P22W18-P22W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P22W17
      OFFSETS:	64-66
       TOKENS:	P22W19-P22W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P22W18
      OFFSETS:	67-69
       TOKENS:	P22W20-P22W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P22W19
      OFFSETS:	70-76
       TOKENS:	P22W21-P22W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P22W20
      OFFSETS:	77-81
       TOKENS:	P22W22-P22W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	زهقنا
     IS_TRANS:	zhqnA
        INDEX:	P22W21
      OFFSETS:	82-87
       TOKENS:	P22W23-P22W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zihiq_1]
   UNSPLITVOC:	(zihiqnA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1P
          VOC:	zihiq+(null)+nA
        GLOSS:	get bored+he/it+us

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P22W22
      OFFSETS:	88-91
       TOKENS:	P22W25-P22W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+it/him

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P22W23
      OFFSETS:	92-93
       TOKENS:	P22W27-P22W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	مالوش
     IS_TRANS:	mAlw$
        INDEX:	P22W24
      OFFSETS:	94-99
       TOKENS:	P22W28-P22W28
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAlw$)
          POS:	NO_FUNC
          VOC:	mAlw$
        GLOSS:	nogloss

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P22W25
      OFFSETS:	100-102
       TOKENS:	P22W29-P22W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	فايدة
     IS_TRANS:	fAydp
        INDEX:	P22W26
      OFFSETS:	103-108
       TOKENS:	P22W30-P22W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAyodap_1]
   UNSPLITVOC:	(fAyodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fAyod+ap
        GLOSS:	benefit+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P23W1
      OFFSETS:	0-1
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P23W2
      OFFSETS:	2-5
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الاقل
     IS_TRANS:	AlAql
        INDEX:	P23W3
      OFFSETS:	6-11
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqal~_1]
   UNSPLITVOC:	(Al>aqal~)
          POS:	DET+ADJ_COMP
          VOC:	Al+>aqal~
        GLOSS:	the+least/smallest/minimum

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P23W4
      OFFSETS:	12-17
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	تهدى
     IS_TRANS:	thdY
        INDEX:	P23W5
      OFFSETS:	18-22
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hidiy_1]
   UNSPLITVOC:	(tihodaY)
          POS:	IV3FS+IV
          VOC:	ti+hodaY
        GLOSS:	it/they/she+be calm

 INPUT STRING:	الكام
     IS_TRANS:	AlkAm
        INDEX:	P23W6
      OFFSETS:	23-28
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(AlkAm)
          POS:	DET+NOUN_QUANT
          VOC:	Al+kAm
        GLOSS:	the+some

 INPUT STRING:	شهر
     IS_TRANS:	$hr
        INDEX:	P23W7
      OFFSETS:	29-32
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($ahor)
          POS:	NOUN
          VOC:	$ahor
        GLOSS:	month/months

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P23W8
      OFFSETS:	33-36
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/those

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P23W9
      OFFSETS:	37-38
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	نحافظ
     IS_TRANS:	nHAfZ
        INDEX:	P23W10
      OFFSETS:	39-44
       TOKENS:	P23W10-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAfiZ_1]
   UNSPLITVOC:	(nHAfiZ)
          POS:	IV1P+IV
          VOC:	n+HAfiZ
        GLOSS:	we+protect

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P23W11
      OFFSETS:	45-48
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المتبقي
     IS_TRANS:	Almtbqy
        INDEX:	P23W12
      OFFSETS:	49-56
       TOKENS:	P23W12-P23W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutabaq~iy_1]
   UNSPLITVOC:	(Almutabaq~iy)
          POS:	DET+ADJ
          VOC:	Al+mutabaq~iy
        GLOSS:	the+residue/remnant

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P23W13
      OFFSETS:	57-59
       TOKENS:	P23W13-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مؤسسات
     IS_TRANS:	m&ssAt
        INDEX:	P23W14
      OFFSETS:	60-66
       TOKENS:	P23W14-P23W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&as~asap_1]
   UNSPLITVOC:	(mu&as~asAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	mu&as~as+At
        GLOSS:	institutions/organizations+[fem.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P23W15
      OFFSETS:	67-68
       TOKENS:	P23W15-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	كفايانا
     IS_TRANS:	kfAyAnA
        INDEX:	P23W16
      OFFSETS:	69-76
       TOKENS:	P23W16-P23W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kfAyap_1]
   UNSPLITVOC:	(kafAyAnA)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	ka+fAy+ap+nA
        GLOSS:	like/such+enough+[fem.sg.]+us

 INPUT STRING:	حرايق
     IS_TRANS:	HrAyq
        INDEX:	P23W17
      OFFSETS:	77-82
       TOKENS:	P23W19-P23W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAyiq_1]
   UNSPLITVOC:	(HarAyiq)
          POS:	NOUN
          VOC:	HarAyiq
        GLOSS:	fire

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P23W18
      OFFSETS:	83-84
       TOKENS:	P23W20-P23W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	ضحايا
     IS_TRANS:	DHAyA
        INDEX:	P23W19
      OFFSETS:	85-90
       TOKENS:	P23W21-P23W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(DaHAyA)
          POS:	NOUN
          VOC:	DaHAyA
        GLOSS:	victim/victims

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P24W1
      OFFSETS:	0-5
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also

 INPUT STRING:	نعرف
     IS_TRANS:	nErf
        INDEX:	P24W2
      OFFSETS:	6-10
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(niEoraf)
          POS:	IV1P+IV
          VOC:	ni+Eoraf
        GLOSS:	we+know/be known

 INPUT STRING:	نركز
     IS_TRANS:	nrkz
        INDEX:	P24W3
      OFFSETS:	11-15
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rak~iz_1]
   UNSPLITVOC:	(nirak~iz)
          POS:	IV1P+IV
          VOC:	ni+rak~iz
        GLOSS:	we+concentrate

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P24W4
      OFFSETS:	16-18
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	انتخابات
     IS_TRANS:	AntxAbAt
        INDEX:	P24W5
      OFFSETS:	19-27
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AinotixAbAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	{inotixAb+At
        GLOSS:	elections/selections+[fem.pl.]

 INPUT STRING:	الرئاسة
     IS_TRANS:	Alr}Asp
        INDEX:	P24W6
      OFFSETS:	28-35
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ri}Asap_1]
   UNSPLITVOC:	(Alr~i}Asap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ri}As+ap
        GLOSS:	the+presidency/leadership/chairmanship/presidencies/leaderships/chairmanships+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P24W7
      OFFSETS:	36-37
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	دراسة
     IS_TRANS:	drAsp
        INDEX:	P24W8
      OFFSETS:	38-43
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dirAsap_1]
   UNSPLITVOC:	(dirAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dirAs+ap
        GLOSS:	study/studies/research+[fem.sg.]

 INPUT STRING:	برامج
     IS_TRANS:	brAmj
        INDEX:	P24W9
      OFFSETS:	44-49
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(barAmij)
          POS:	NOUN
          VOC:	barAmij
        GLOSS:	programs

 INPUT STRING:	المرشحين
     IS_TRANS:	Almr$Hyn
        INDEX:	P24W10
      OFFSETS:	50-58
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Almr$Hyn)
          POS:	NO_FUNC
          VOC:	Almr$Hyn
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P24W11
      OFFSETS:	59-60
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P24W12
      OFFSETS:	61-63
       TOKENS:	P24W13-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	نختارش
     IS_TRANS:	nxtAr$
        INDEX:	P24W13
      OFFSETS:	64-70
       TOKENS:	P24W14-P24W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AixtAr_1]
   UNSPLITVOC:	(nixtAr$)
          POS:	IV1P+IV+NEG_PART
          VOC:	ni+xtAr+$
        GLOSS:	we+choose+not

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P24W14
      OFFSETS:	71-74
       TOKENS:	P24W16-P24W16
