 INPUT STRING:	دا
      COMMENT:	[]
        LEMMA:	[bATil_1]
   UNSPLITVOC:	(bATil)
          POS:	NOUN
          VOC:	bATil
        GLOSS:	falsehood

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P41W14
      OFFSETS:	62-64
       TOKENS:	P41W18-P41W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P41W15
      OFFSETS:	65-68
       TOKENS:	P41W19-P41W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P41W16
      OFFSETS:	69-70
       TOKENS:	P41W20-P41W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	ارزقنا
     IS_TRANS:	ArzqnA
        INDEX:	P41W17
      OFFSETS:	71-77
       TOKENS:	P41W21-P41W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[razaq_1]
   UNSPLITVOC:	(>urozuqnA)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1P
          VOC:	>urozuq+(null)+nA
        GLOSS:	bestow/endow+you [verb]+us

 INPUT STRING:	اجتنابه
     IS_TRANS:	AjtnAbh
        INDEX:	P41W18
      OFFSETS:	78-85
       TOKENS:	P41W23-P41W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{ijotinAb_1]
   UNSPLITVOC:	(AijotinAbahu)
          POS:	NOUN+CASE_DEF_ACC+POSS_PRON_3MS
          VOC:	{ijotinAb+a+hu
        GLOSS:	avoidance+[def.acc.]+its/his

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P41W19
      OFFSETS:	86-91
       TOKENS:	P41W25-P41W25
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`hum~a_1]
   UNSPLITVOC:	(All~`hum~a)
          POS:	NOUN
          VOC:	All~`hum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	اجمع
     IS_TRANS:	AjmE
        INDEX:	P41W20
      OFFSETS:	92-96
       TOKENS:	P41W26-P41W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamaE_1]
   UNSPLITVOC:	(AijmaE)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	AijmaE+(null)
        GLOSS:	gather/collect+you [verb]

 INPUT STRING:	كلمة
     IS_TRANS:	klmp
        INDEX:	P41W21
      OFFSETS:	97-101
       TOKENS:	P41W27-P41W27
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kalimap_1]
   UNSPLITVOC:	(kalimap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kalim+ap
        GLOSS:	word/remark/speech+[fem.sg.]

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P41W22
      OFFSETS:	102-110
       TOKENS:	P41W28-P41W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptian+[pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P41W23
      OFFSETS:	111-112
       TOKENS:	P41W29-P41W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P41W24
      OFFSETS:	113-115
       TOKENS:	P41W30-P41W30
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	تفرقهم
     IS_TRANS:	tfrqhm
        INDEX:	P41W25
      OFFSETS:	116-122
       TOKENS:	P41W31-P41W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[far~aq_1]
   UNSPLITVOC:	(tufar~iqahum)
          POS:	IV3FS+IV+IVSUFF_MOOD:S+IVSUFF_DO:3MP
          VOC:	tu+far~iq+a+hum
        GLOSS:	it/they/she+separate/differentiate+[sub.]+them

 INPUT STRING:	حتي
     IS_TRANS:	Hty
        INDEX:	P41W26
      OFFSETS:	123-126
       TOKENS:	P41W33-P41W33
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Hat~aY_4]
   UNSPLITVOC:	(Hat~aY)
          POS:	SUB_CONJ
          VOC:	Hat~aY
        GLOSS:	so that

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P41W27
      OFFSETS:	127-129
       TOKENS:	P41W34-P41W34
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	يشمتوا
     IS_TRANS:	y$mtwA
        INDEX:	P41W28
      OFFSETS:	130-136
       TOKENS:	P41W35-P41W35
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>a$omat_1]
   UNSPLITVOC:	(yu$omituwA)
          POS:	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:SJ
          VOC:	yu+$omit+uwA
        GLOSS:	they (people)+gloat/rejoice maliciously+[masc.pl.]

 INPUT STRING:	فيهم
     IS_TRANS:	fyhm
        INDEX:	P41W29
      OFFSETS:	137-141
       TOKENS:	P41W36-P41W37
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhim)
          POS:	PREP+PRON_3MP
          VOC:	fiy+him
        GLOSS:	in+them [masc.pl.]

 INPUT STRING:	اعداءهم
     IS_TRANS:	AEdA'hm
        INDEX:	P41W30
      OFFSETS:	142-149
       TOKENS:	P41W38-P41W39
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eaduw~_1]
   UNSPLITVOC:	(>aEodA'uhum)
          POS:	NOUN+CASE_DEF_NOM+POSS_PRON_3MP
          VOC:	>aEodA'+u+hum
        GLOSS:	enemies+[def.nom]+their

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P41W31
      OFFSETS:	150-155
       TOKENS:	P41W40-P41W40
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`hum~a_1]
   UNSPLITVOC:	(All~`hum~a)
          POS:	NOUN
          VOC:	All~`hum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	اهزم
     IS_TRANS:	Ahzm
        INDEX:	P41W32
      OFFSETS:	156-160
       TOKENS:	P41W41-P41W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hazam_1]
   UNSPLITVOC:	(Aihozim)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Aihozim+(null)
        GLOSS:	defeat+you [verb]

 INPUT STRING:	اعداء
     IS_TRANS:	AEdA'
        INDEX:	P41W33
      OFFSETS:	161-166
       TOKENS:	P41W42-P41W42
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaduw~_1]
   UNSPLITVOC:	(>aEodA')
          POS:	NOUN
          VOC:	>aEodA'
        GLOSS:	enemies

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P41W34
      OFFSETS:	167-170
       TOKENS:	P41W43-P41W43
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P42W1
      OFFSETS:	0-3
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P42W2
      OFFSETS:	4-6
       TOKENS:	P42W2-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	عايزه
     IS_TRANS:	EAyzh
        INDEX:	P42W3
      OFFSETS:	7-12
       TOKENS:	P42W3-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	desiring+[fem.sg.]

 INPUT STRING:	اسألك
     IS_TRANS:	As>lk
        INDEX:	P42W4
      OFFSETS:	13-18
       TOKENS:	P42W4-P42W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(Aaso>alak)
          POS:	IV1S+IV+IVSUFF_DO:2MS
          VOC:	Aa+so>al+ak
        GLOSS:	I+ask/inquire/request/be asked+you

 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P42W5
      OFFSETS:	19-23
       TOKENS:	P42W6-P42W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P42W6
      OFFSETS:	24-28
       TOKENS:	P42W7-P42W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	alone/ individual/ single

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P42W7
      OFFSETS:	29-31
       TOKENS:	P42W8-P42W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	سأله
     IS_TRANS:	s>lh
        INDEX:	P42W8
      OFFSETS:	32-36
       TOKENS:	P42W9-P42W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(sa>aluh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	sa>al+(null)+uh
        GLOSS:	ask/inquire/request/be asked+he/it+it/him

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P42W9
      OFFSETS:	37-41
       TOKENS:	P42W11-P42W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AanA_1]
   UNSPLITVOC:	(wiAanA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AanA
        GLOSS:	and+I

 INPUT STRING:	بسألهولك
     IS_TRANS:	bs>lhwlk
        INDEX:	P42W10
      OFFSETS:	42-50
       TOKENS:	P42W13-P42W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(bAaso>alhu_lak)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3MS+PREP+PRON_2MS
          VOC:	bi+Aa+so>al+uh+li+ak
        GLOSS:	[present-tense]+I+ask/inquire/request/be asked+them+to/for+you

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P42W11
      OFFSETS:	51-54
       TOKENS:	P42W18-P42W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P42W12
      OFFSETS:	55-58
       TOKENS:	P42W19-P42W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P42W13
      OFFSETS:	59-61
       TOKENS:	P42W20-P42W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بيتظاهروا
     IS_TRANS:	bytZAhrwA
        INDEX:	P42W14
      OFFSETS:	62-71
       TOKENS:	P42W21-P42W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tZAhar_1]
   UNSPLITVOC:	(biyitZAhruwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+tZAhr+uwA
        GLOSS:	[present-tense]+they+demonstrate+[pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P42W15
      OFFSETS:	72-74
       TOKENS:	P42W23-P42W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P42W16
      OFFSETS:	75-82
       TOKENS:	P42W24-P42W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+Tahrir

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P42W17
      OFFSETS:	82-83
       TOKENS:	P42W25-P42W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P42W18
      OFFSETS:	84-90
       TOKENS:	P42W26-P42W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	قامت
     IS_TRANS:	qAmt
        INDEX:	P42W19
      OFFSETS:	91-95
       TOKENS:	P42W27-P42W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qAmit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qAm+it
        GLOSS:	be based (on)/rise+it/they/she

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P42W20
      OFFSETS:	96-98
       TOKENS:	P42W28-P42W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P42W21
      OFFSETS:	99-106
       TOKENS:	P42W29-P42W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+Tahrir

 INPUT STRING:	واسقطت
     IS_TRANS:	wAsqTt
        INDEX:	P42W22
      OFFSETS:	107-113
       TOKENS:	P42W30-P42W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AasoqaT_1]
   UNSPLITVOC:	(wiAasoqaTit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+AasoqaT+it
        GLOSS:	and+shoot down/make fall+it/they/she

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P42W23
      OFFSETS:	114-119
       TOKENS:	P42W32-P42W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P42W24
      OFFSETS:	120-122
       TOKENS:	P42W33-P42W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P42W25
      OFFSETS:	123-130
       TOKENS:	P42W34-P42W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+Tahrir

 INPUT STRING:	جاوبينى
     IS_TRANS:	jAwbynY
        INDEX:	P42W26
      OFFSETS:	131-138
       TOKENS:	P42W35-P42W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jAwab_1]
   UNSPLITVOC:	(jAwibniy)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1S
          VOC:	jAwib+(null)+niy
        GLOSS:	answer+you+me

 INPUT STRING:	اجابه
     IS_TRANS:	AjAbh
        INDEX:	P42W27
      OFFSETS:	139-144
       TOKENS:	P42W37-P42W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AijAbap_1]
   UNSPLITVOC:	(AijAbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AijAb+ap
        GLOSS:	answer/response+[fem.sg.]

 INPUT STRING:	منطقيه
     IS_TRANS:	mnTqyh
        INDEX:	P42W28
      OFFSETS:	145-151
       TOKENS:	P42W38-P42W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoTiqiy_1]
   UNSPLITVOC:	(manoTiqiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	manoTiqiy~+ap
        GLOSS:	logical+[fem.sg.]

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P42W29
      OFFSETS:	152-155
       TOKENS:	P42W39-P42W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	اذنك
     IS_TRANS:	A*nk
        INDEX:	P42W30
      OFFSETS:	156-160
       TOKENS:	P42W40-P42W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<i*on_1]
   UNSPLITVOC:	(<i*onak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	<i*on+ak
        GLOSS:	permission/authorization/bonds+your

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P43W1
      OFFSETS:	0-2
       TOKENS:	P43W1-P43W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	جماعه
     IS_TRANS:	jmAEh
        INDEX:	P43W2
      OFFSETS:	3-8
       TOKENS:	P43W2-P43W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(jamAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jamAE+ap
        GLOSS:	party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P43W3
      OFFSETS:	9-12
       TOKENS:	P43W3-P43W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P43W4
      OFFSETS:	13-15
       TOKENS:	P43W4-P43W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كلامه
     IS_TRANS:	klAmh
        INDEX:	P43W5
      OFFSETS:	16-21
       TOKENS:	P43W5-P43W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	kalAm+uh
        GLOSS:	speech/statement/remark/talk/saying+his/its

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P43W6
      OFFSETS:	22-24
       TOKENS:	P43W7-P43W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عاجبنا
     IS_TRANS:	EAjbnA
        INDEX:	P43W7
      OFFSETS:	25-31
       TOKENS:	P43W8-P43W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAjib_1]
   UNSPLITVOC:	(EAjibnA)
          POS:	ADJ+PRON_1P
          VOC:	EAjib+nA
        GLOSS:	delight/please+us

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P43W8
      OFFSETS:	32-34
       TOKENS:	P43W10-P43W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this/that

 INPUT STRING:	رايه
     IS_TRANS:	rAyh
        INDEX:	P43W9
      OFFSETS:	35-39
       TOKENS:	P43W11-P43W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	ra>oy+uh
        GLOSS:	opinion/view/idea+his/its

 INPUT STRING:	وللا
     IS_TRANS:	wllA
        INDEX:	P43W10
      OFFSETS:	40-44
       TOKENS:	P43W13-P43W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wllA)
          POS:	TYPO
          VOC:	wllA
        GLOSS:	nogloss

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P43W11
      OFFSETS:	45-49
       TOKENS:	P43W14-P43W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	هنحكم
     IS_TRANS:	hnHkm
        INDEX:	P43W12
      OFFSETS:	50-55
       TOKENS:	P43W15-P43W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hakam_1]
   UNSPLITVOC:	(HanuHokum)
          POS:	PROG_PART+IV1P+IV
          VOC:	Ha+nu+Hokum
        GLOSS:	will+we+judge

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P43W13
      OFFSETS:	56-59
       TOKENS:	P43W17-P43W17
