 INPUT STRING:	كنا
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PREP
          VOC:	Hat~aY
        GLOSS:	until/up to

 INPUT STRING:	اذاع
     IS_TRANS:	A*AE
        INDEX:	P12W17
      OFFSETS:	85-89
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a*AE_1]
   UNSPLITVOC:	(>a*AE)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>a*AE+(null)
        GLOSS:	broadcast/propagate/be broadcast/be propagated+he/it

 INPUT STRING:	الينا
     IS_TRANS:	AlynA
        INDEX:	P12W18
      OFFSETS:	90-95
       TOKENS:	P12W18-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<ilaynA)
          POS:	PREP+PRON_1P
          VOC:	<ilaY+nA
        GLOSS:	to+us

 INPUT STRING:	النباء
     IS_TRANS:	AlnbA'
        INDEX:	P12W19
      OFFSETS:	96-102
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nabA'_1]
   UNSPLITVOC:	(Aln~abA')
          POS:	DET+NOUN
          VOC:	Al+nabA'
        GLOSS:	the+news/report

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P12W20
      OFFSETS:	103-106
       TOKENS:	P12W21-P12W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	الشخص
     IS_TRANS:	Al$xS
        INDEX:	P12W21
      OFFSETS:	107-112
       TOKENS:	P12W22-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoS_1]
   UNSPLITVOC:	(Al$~axoS)
          POS:	DET+NOUN
          VOC:	Al+$axoS
        GLOSS:	the+individual/person/individuals/persons

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P12W22
      OFFSETS:	113-117
       TOKENS:	P12W23-P12W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which

 INPUT STRING:	يسمى
     IS_TRANS:	ysmY
        INDEX:	P12W23
      OFFSETS:	118-122
       TOKENS:	P12W24-P12W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sam~aY_1]
   UNSPLITVOC:	(yisam~iy)
          POS:	IV3MS+IV
          VOC:	yi+sam~iy
        GLOSS:	he/it+be called/be named

 INPUT STRING:	بنصرالله
     IS_TRANS:	bnSrAllh
        INDEX:	P12W24
      OFFSETS:	123-131
       TOKENS:	P12W25-P12W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naSrAll~`h_1]
   UNSPLITVOC:	(binaSrAll~`h)
          POS:	PREP+NOUN_PROP
          VOC:	bi+naSrAll~`h
        GLOSS:	with/by+Nasrallah

 INPUT STRING:	الاسلحه
     IS_TRANS:	AlAslHh
        INDEX:	P13W1
      OFFSETS:	0-7
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[silAH_1]
   UNSPLITVOC:	(Al>aslaHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>aslaH+ap
        GLOSS:	the+weapons+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P13W2
      OFFSETS:	8-12
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P13W3
      OFFSETS:	13-15
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it

 INPUT STRING:	الامساك
     IS_TRANS:	AlAmsAk
        INDEX:	P13W4
      OFFSETS:	16-23
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imosAk_1]
   UNSPLITVOC:	(Al<imosAk)
          POS:	DET+NOUN
          VOC:	Al+<imosAk
        GLOSS:	the+seizure/restraint

 INPUT STRING:	بها
     IS_TRANS:	bhA
        INDEX:	P13W5
      OFFSETS:	24-27
       TOKENS:	P13W5-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3MS
          VOC:	bi+hA
        GLOSS:	with/by+it/him

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P13W6
      OFFSETS:	28-30
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	سيناء
     IS_TRANS:	synA'
        INDEX:	P13W7
      OFFSETS:	31-36
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynA'_1]
   UNSPLITVOC:	(siynA')
          POS:	NOUN_PROP
          VOC:	siynA'
        GLOSS:	Sinai

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P13W8
      OFFSETS:	37-41
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	تاتى
     IS_TRANS:	tAtY
        INDEX:	P13W9
      OFFSETS:	42-46
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tAtY)
          POS:	NO_FUNC
          VOC:	tAtY
        GLOSS:	nogloss

 INPUT STRING:	عبر
     IS_TRANS:	Ebr
        INDEX:	P13W10
      OFFSETS:	47-50
       TOKENS:	P13W11-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiborap_1]
   UNSPLITVOC:	(Eibar)
          POS:	NOUN
          VOC:	Eibar
        GLOSS:	across/over/via/by means of/crossing

 INPUT STRING:	انفاق
     IS_TRANS:	AnfAq
        INDEX:	P13W11
      OFFSETS:	51-56
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaq_1]
   UNSPLITVOC:	(>anofAq)
          POS:	NOUN
          VOC:	>anofAq
        GLOSS:	subway/tunnels

 INPUT STRING:	غزة
     IS_TRANS:	gzp
        INDEX:	P13W12
      OFFSETS:	57-60
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaz~ap_1]
   UNSPLITVOC:	(gaz~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	gaz~+ap
        GLOSS:	Gaza+[fem.sg.]

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P14W2
      OFFSETS:	6-8
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P14W3
      OFFSETS:	9-11
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	some one

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P14W4
      OFFSETS:	12-16
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	wanting/needing

 INPUT STRING:	يهرب
     IS_TRANS:	yhrb
        INDEX:	P14W5
      OFFSETS:	17-21
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[harab_1]
   UNSPLITVOC:	(yahorab)
          POS:	IV3MS+IV
          VOC:	ya+horab
        GLOSS:	he/it+escape

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W6
      OFFSETS:	22-24
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P14W7
      OFFSETS:	25-28
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P14W8
      OFFSETS:	29-33
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	الانفاق
     IS_TRANS:	AlAnfAq
        INDEX:	P14W9
      OFFSETS:	34-41
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaq_1]
   UNSPLITVOC:	(Al>anofAq)
          POS:	DET+NOUN
          VOC:	Al+>anofAq
        GLOSS:	the+subway/tunnels

 INPUT STRING:	موجوده
     IS_TRANS:	mwjwdh
        INDEX:	P14W10
      OFFSETS:	42-48
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwdap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mawjuwd+ap
        GLOSS:	present/existing/found+[fem.sg.]

 INPUT STRING:	ادفع
     IS_TRANS:	AdfE
        INDEX:	P14W11
      OFFSETS:	49-53
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AdfE)
          POS:	NO_FUNC
          VOC:	AdfE
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P14W12
      OFFSETS:	54-55
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	سافر
     IS_TRANS:	sAfr
        INDEX:	P14W13
      OFFSETS:	56-60
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAfir_1]
   UNSPLITVOC:	(sAfir)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	sAfir+(null)
        GLOSS:	travel+you

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P15W1
      OFFSETS:	0-1
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	الكثيررررررررررررر
     IS_TRANS:	Alkvyrrrrrrrrrrrrr
        INDEX:	P15W2
      OFFSETS:	2-20
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kavir_1]
   UNSPLITVOC:	(Alkavir)
          POS:	DET+NOUN
          VOC:	Al+kavir
        GLOSS:	the+many/much/numerous

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P15W3
      OFFSETS:	21-22
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	الكثيرررررررررررر
     IS_TRANS:	Alkvyrrrrrrrrrrrr
        INDEX:	P15W4
      OFFSETS:	23-40
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kavir_1]
   UNSPLITVOC:	(Alkavir)
          POS:	DET+NOUN
          VOC:	Al+kavir
        GLOSS:	the+many/much/numerous

 INPUT STRING:	اين
     IS_TRANS:	Ayn
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayona_1]
   UNSPLITVOC:	(>ayona)
          POS:	INTERROG_ADV
          VOC:	>ayona
        GLOSS:	where

 INPUT STRING:	كرامتك
     IS_TRANS:	krAmtk
        INDEX:	P16W2
      OFFSETS:	4-10
       TOKENS:	P16W2-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karAmap_1]
   UNSPLITVOC:	(karAmatak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	karAm+ap+ak
        GLOSS:	dignity/generosity+[fem.sg.]+your

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P16W3
      OFFSETS:	11-13
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	مصرى
     IS_TRANS:	mSrY
        INDEX:	P16W4
      OFFSETS:	14-18
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	NOUN
          VOC:	maSoriy
        GLOSS:	egyptian

 INPUT STRING:	اونت
     IS_TRANS:	Awnt
        INDEX:	P16W5
      OFFSETS:	19-23
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Awnt)
          POS:	TYPO
          VOC:	Awnt
        GLOSS:	nogloss

 INPUT STRING:	جسد
     IS_TRANS:	jsd
        INDEX:	P16W6
      OFFSETS:	24-27
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jasad_1]
   UNSPLITVOC:	(jasad)
          POS:	NOUN
          VOC:	jasad
        GLOSS:	body/bodies

 INPUT STRING:	بلدك
     IS_TRANS:	bldk
        INDEX:	P16W7
      OFFSETS:	28-32
       TOKENS:	P16W8-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(baladak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	balad+ak
        GLOSS:	country/country/countries+your

 INPUT STRING:	يخترق
     IS_TRANS:	yxtrq
        INDEX:	P16W8
      OFFSETS:	33-38
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{ixotaraq_1]
   UNSPLITVOC:	(yuxotaraqo)
          POS:	IV3MS+IV_PASS+IVSUFF_MOOD:J
          VOC:	yu+xotaraq+o
        GLOSS:	he/it+be pierced/be broken/be traversed+[jus.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P16W9
      OFFSETS:	39-40
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P16W10
      OFFSETS:	40-41
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P16W11
      OFFSETS:	41-42
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بستغرب
     IS_TRANS:	bstgrb
        INDEX:	P17W2
      OFFSETS:	4-10
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isotagorab_1]
   UNSPLITVOC:	(bi>asotagorab)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+>a+sotagorab
        GLOSS:	[present-tense]+I+be amazed/be astonished

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P17W3
      OFFSETS:	11-14
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	بلاقى
     IS_TRANS:	blAqY
        INDEX:	P17W4
      OFFSETS:	15-20
       TOKENS:	P17W5-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laqaY_1]
   UNSPLITVOC:	(bi>alAqiy)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+>a+lAqiy
        GLOSS:	[present-tense]+I+find

 INPUT STRING:	ردود
     IS_TRANS:	rdwd
        INDEX:	P17W5
      OFFSETS:	21-25
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(ruduwd)
          POS:	NOUN
          VOC:	ruduwd
        GLOSS:	reply/response/replies/responses

 INPUT STRING:	مدافعه
     IS_TRANS:	mdAfEh
        INDEX:	P17W6
      OFFSETS:	26-32
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudAfiE_1]
   UNSPLITVOC:	(mudAfiEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mudAfiE+ap
        GLOSS:	defending/advocating+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P17W7
      OFFSETS:	33-34
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	بتعطى
     IS_TRANS:	btETY
        INDEX:	P17W8
      OFFSETS:	35-40
       TOKENS:	P17W10-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aETaY_1]
   UNSPLITVOC:	(bitaETiy)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ta+ETiy
        GLOSS:	[present-tense]+it/they/she+give/offer

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P17W9
      OFFSETS:	41-43
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	right, prerogative, truth

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P17W10
      OFFSETS:	44-47
       TOKENS:	P17W13-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	for/to+them

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P17W11
      OFFSETS:	48-50
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نزع
     IS_TRANS:	nzE
        INDEX:	P17W12
      OFFSETS:	51-54
       TOKENS:	P17W16-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nazoE_1]
   UNSPLITVOC:	(nazoE)
          POS:	NOUN
          VOC:	nazoE
        GLOSS:	removal/elimination/deposition

 INPUT STRING:	سياده
     IS_TRANS:	syAdh
        INDEX:	P17W13
      OFFSETS:	55-60
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAdap_1]
   UNSPLITVOC:	(siyAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyAd+ap
        GLOSS:	sovereignty/supremacy+[fem.sg.]

 INPUT STRING:	بلدى
     IS_TRANS:	bldY
        INDEX:	P17W14
      OFFSETS:	61-65
       TOKENS:	P17W18-P17W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(baladiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	balad+iy
        GLOSS:	country/country/countries+my

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P17W15
      OFFSETS:	66-67
       TOKENS:	P17W20-P17W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P17W16
      OFFSETS:	67-68
       TOKENS:	P17W21-P17W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	كيف
     IS_TRANS:	kyf
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kayof_1]
   UNSPLITVOC:	(kayof)
          POS:	INTERROG_ADV
          VOC:	kayof
        GLOSS:	how

 INPUT STRING:	تدافع
     IS_TRANS:	tdAfE
        INDEX:	P18W2
      OFFSETS:	4-9
       TOKENS:	P18W2-P18W2
