 INPUT STRING:	موقع
      OFFSETS:	0-4
       TOKENS:	P30W1-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawt_1]
   UNSPLITVOC:	(Suwtuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Suwt+uh
        GLOSS:	voice/sound/voices/sounds+his/its

 INPUT STRING:	ودفاعه
     IS_TRANS:	wdfAEh
        INDEX:	P30W2
      OFFSETS:	5-11
       TOKENS:	P30W3-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[difAE_1]
   UNSPLITVOC:	(widifAEuh)
          POS:	CONJ+NOUN.VN+POSS_PRON_3MS
          VOC:	wi+difAE+uh
        GLOSS:	and+his+defense

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P30W3
      OFFSETS:	12-14
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	المجرم
     IS_TRANS:	Almjrm
        INDEX:	P30W4
      OFFSETS:	15-21
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujorim_1]
   UNSPLITVOC:	(Almujorim)
          POS:	DET+NOUN
          VOC:	Al+mujorim
        GLOSS:	the+criminal

 INPUT STRING:	بشار
     IS_TRANS:	b$Ar
        INDEX:	P30W5
      OFFSETS:	22-26
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ba$~Ar_1]
   UNSPLITVOC:	(ba$~Ar)
          POS:	NOUN_PROP
          VOC:	ba$~Ar
        GLOSS:	Bashshar

 INPUT STRING:	الأســـد
     IS_TRANS:	Al>s___d
        INDEX:	P30W6
      OFFSETS:	27-35
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al>asad_1]
   UNSPLITVOC:	(Al>asad)
          POS:	NOUN_PROP
          VOC:	Al>asad
        GLOSS:	AL ASAD

 INPUT STRING:	يثير
     IS_TRANS:	yvyr
        INDEX:	P30W7
      OFFSETS:	36-40
       TOKENS:	P30W10-P30W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avAr_1]
   UNSPLITVOC:	(yiviyr)
          POS:	IV3MS+IV
          VOC:	yi+viyr
        GLOSS:	he/it+raise/provoke/agitate

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P30W8
      OFFSETS:	41-45
       TOKENS:	P30W11-P30W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_2]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more, most, majority

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P30W9
      OFFSETS:	46-48
       TOKENS:	P30W12-P30W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	علامـــة
     IS_TRANS:	ElAm___p
        INDEX:	P30W10
      OFFSETS:	49-57
       TOKENS:	P30W13-P30W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalAmap_1]
   UNSPLITVOC:	(EalAmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EalAm+ap
        GLOSS:	mark/sign+[fem.sg.]

 INPUT STRING:	استفهام
     IS_TRANS:	AstfhAm
        INDEX:	P30W11
      OFFSETS:	58-65
       TOKENS:	P30W14-P30W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isotifohAm_1]
   UNSPLITVOC:	(AisotifohAm)
          POS:	NOUN
          VOC:	{isotifohAm
        GLOSS:	inquiry/question

 INPUT STRING:	تكوينه
     IS_TRANS:	tkwynh
        INDEX:	P31W1
      OFFSETS:	0-6
       TOKENS:	P31W1-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[takwiyn_1]
   UNSPLITVOC:	(takwiynuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	takwiyn+uh
        GLOSS:	forming+his

 INPUT STRING:	لجيش
     IS_TRANS:	ljy$
        INDEX:	P31W2
      OFFSETS:	7-11
       TOKENS:	P31W3-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(lijay$)
          POS:	PREP+NOUN
          VOC:	li+jay$
        GLOSS:	for/to+army/troops

 INPUT STRING:	شعبي
     IS_TRANS:	$Eby
        INDEX:	P31W3
      OFFSETS:	12-16
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEobiy_1]
   UNSPLITVOC:	($aEobiy)
          POS:	ADJ
          VOC:	$aEobiy
        GLOSS:	popular/national/people's

 INPUT STRING:	مخالف
     IS_TRANS:	mxAlf
        INDEX:	P31W4
      OFFSETS:	19-24
       TOKENS:	P31W6-P31W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muxAlif_1]
   UNSPLITVOC:	(muxAlif)
          POS:	ADJ
          VOC:	muxAlif
        GLOSS:	divergent/violating

 INPUT STRING:	للقوانين
     IS_TRANS:	llqwAnyn
        INDEX:	P31W5
      OFFSETS:	25-33
       TOKENS:	P31W7-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(lilqawAniyn)
          POS:	PREP+DET+NOUN+NSUFF_MASC_PL
          VOC:	li+Al+qawAn+iyn
        GLOSS:	for/to+the+law/statutes/regulations+[pl.]

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P31W6
      OFFSETS:	36-40
       TOKENS:	P31W9-P31W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+without/beneath/underneath/inferior/poor

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P31W7
      OFFSETS:	41-43
       TOKENS:	P31W11-P31W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يقدمــه
     IS_TRANS:	yqdm__h
        INDEX:	P31W8
      OFFSETS:	44-51
       TOKENS:	P31W12-P31W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yqdm__h)
          POS:	NO_FUNC
          VOC:	yqdm__h
        GLOSS:	nogloss

 INPUT STRING:	أحد
     IS_TRANS:	>Hd
        INDEX:	P31W9
      OFFSETS:	52-55
       TOKENS:	P31W13-P31W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN_NUM
          VOC:	>aHad
        GLOSS:	some one

 INPUT STRING:	للتحقيق
     IS_TRANS:	lltHqyq
        INDEX:	P31W10
      OFFSETS:	56-63
       TOKENS:	P31W14-P31W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoqiyq_1]
   UNSPLITVOC:	(lilt~aHoqiyq)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+taHoqiyq
        GLOSS:	for/to+the+investigation/verification/interrogation

 INPUT STRING:	يثير
     IS_TRANS:	yvyr
        INDEX:	P31W11
      OFFSETS:	64-68
       TOKENS:	P31W16-P31W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avAr_1]
   UNSPLITVOC:	(yiviyr)
          POS:	IV3MS+IV
          VOC:	yi+viyr
        GLOSS:	he/it+raise/provoke/agitate

 INPUT STRING:	التساؤل
     IS_TRANS:	AltsA&l
        INDEX:	P31W12
      OFFSETS:	69-76
       TOKENS:	P31W17-P31W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[t~asA&ul_1]
   UNSPLITVOC:	(Alt~asA&ul)
          POS:	DET+NOUN
          VOC:	Al+t~asA&ul
        GLOSS:	the+questions/doubts

 INPUT STRING:	جمعه
     IS_TRANS:	jmEh
        INDEX:	P32W1
      OFFSETS:	0-4
       TOKENS:	P32W1-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamoE_1]
   UNSPLITVOC:	(jamoEuh)
          POS:	NOUN.VN+POSS_PRON_3MS
          VOC:	jamoE+uh
        GLOSS:	gathering/collection/joining+its/his

 INPUT STRING:	ملايين
     IS_TRANS:	mlAyyn
        INDEX:	P32W2
      OFFSETS:	5-11
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[milyuwn_1]
   UNSPLITVOC:	(malAyiyn)
          POS:	NOUN_NUM+NSUFF_MASC_PL
          VOC:	malAy+iyn
        GLOSS:	million+[pl.]

 INPUT STRING:	الجنهات
     IS_TRANS:	AljnhAt
        INDEX:	P32W3
      OFFSETS:	12-19
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiniyh_1]
   UNSPLITVOC:	(AlojinihAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Alojinih+At
        GLOSS:	pounds+[fem.pl.]

 INPUT STRING:	تبرع
     IS_TRANS:	tbrE
        INDEX:	P32W4
      OFFSETS:	20-24
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabar~uE_1]
   UNSPLITVOC:	(tabar~uE)
          POS:	NOUN
          VOC:	tabar~uE
        GLOSS:	donation/contribution

 INPUT STRING:	للقناه
     IS_TRANS:	llqnAh
        INDEX:	P32W5
      OFFSETS:	25-31
       TOKENS:	P32W6-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(lilqanAp)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+qanA+ap
        GLOSS:	to/for+the+canal/channel+[fem.sg.]

 INPUT STRING:	الفضائية
     IS_TRANS:	AlfDA}yp
        INDEX:	P32W6
      OFFSETS:	32-40
       TOKENS:	P32W8-P32W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AlfaDA}iy~_1]
   UNSPLITVOC:	(AlfaDA}iy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+faDA}iy~+ap
        GLOSS:	the+satellite+[fem.sg.]

 INPUT STRING:	يثير
     IS_TRANS:	yvyr
        INDEX:	P32W7
      OFFSETS:	41-45
       TOKENS:	P32W9-P32W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avAr_1]
   UNSPLITVOC:	(yiviyr)
          POS:	IV3MS+IV
          VOC:	yi+viyr
        GLOSS:	he/it+raise/provoke/agitate

 INPUT STRING:	الشكوك
     IS_TRANS:	Al$kwk
        INDEX:	P32W8
      OFFSETS:	46-52
       TOKENS:	P32W10-P32W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ak~_1]
   UNSPLITVOC:	(Al$~ukuwk)
          POS:	DET+NOUN
          VOC:	Al+$~ukuwk
        GLOSS:	the+doubts

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P32W9
      OFFSETS:	53-54
       TOKENS:	P32W11-P32W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	رفض
     IS_TRANS:	rfD
        INDEX:	P33W1
      OFFSETS:	0-3
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafoD_1]
   UNSPLITVOC:	(rafoD)
          POS:	NOUN
          VOC:	rafoD
        GLOSS:	rejection/refusal

 INPUT STRING:	معارضة
     IS_TRANS:	mEArDp
        INDEX:	P33W2
      OFFSETS:	4-10
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEAroDap_1]
   UNSPLITVOC:	(muEAroDap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muEAroD+ap
        GLOSS:	opposition+[fem.sg.]

 INPUT STRING:	توفيق
     IS_TRANS:	twfyq
        INDEX:	P33W3
      OFFSETS:	11-16
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyq_1]
   UNSPLITVOC:	(tawfiyq)
          POS:	NOUN_PROP
          VOC:	tawfiyq
        GLOSS:	TAWFIQ

 INPUT STRING:	عكاشة
     IS_TRANS:	EkA$p
        INDEX:	P33W4
      OFFSETS:	17-22
       TOKENS:	P33W4-P33W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EukA$ap_1]
   UNSPLITVOC:	(EukA$ap)
          POS:	NOUN_PROP
          VOC:	EukA$ap
        GLOSS:	AWKASHA

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P33W5
      OFFSETS:	23-25
       TOKENS:	P33W5-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites

 INPUT STRING:	حبسه
     IS_TRANS:	Hbsh
        INDEX:	P33W6
      OFFSETS:	26-30
       TOKENS:	P33W6-P33W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habos_1]
   UNSPLITVOC:	(Habosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Habos+uh
        GLOSS:	Imprisonment+its/his

 INPUT STRING:	وتحديد
     IS_TRANS:	wtHdyd
        INDEX:	P33W7
      OFFSETS:	31-37
       TOKENS:	P33W8-P33W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHodiyd_1]
   UNSPLITVOC:	(wataHodiyd)
          POS:	CONJ+NOUN.VN
          VOC:	wa+taHodiyd
        GLOSS:	and+delimitation/specification/definition

 INPUT STRING:	29
     IS_TRANS:	29
        INDEX:	P33W8
      OFFSETS:	38-40
       TOKENS:	P33W10-P33W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(29)
          POS:	NOUN_NUM
          VOC:	29
        GLOSS:	29

 INPUT STRING:	مارس
     IS_TRANS:	mArs
        INDEX:	P33W9
      OFFSETS:	41-45
       TOKENS:	P33W11-P33W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAris_1]
   UNSPLITVOC:	(mAris)
          POS:	NOUN_PROP
          VOC:	mAris
        GLOSS:	March

 INPUT STRING:	جلسة
     IS_TRANS:	jlsp
        INDEX:	P33W10
      OFFSETS:	46-50
       TOKENS:	P33W12-P33W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jalosap_1]
   UNSPLITVOC:	(jalosap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jalos+ap
        GLOSS:	session/meeting/sessions/meetings+[fem.sg.]

 INPUT STRING:	الاستئناف
     IS_TRANS:	AlAst}nAf
        INDEX:	P33W11
      OFFSETS:	51-60
       TOKENS:	P33W13-P33W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isoti}onAf_1]
   UNSPLITVOC:	(AlAisoti}onAf)
          POS:	DET+NOUN
          VOC:	Al+{isoti}onAf
        GLOSS:	the+resumption/appeal

 INPUT STRING:	قررت
     IS_TRANS:	qrrt
        INDEX:	P34W1
      OFFSETS:	0-4
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qar~ar_1]
   UNSPLITVOC:	(qar~arat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qar~ar+at
        GLOSS:	decide/resolve+it/they/she [verb]

 INPUT STRING:	محكمة
     IS_TRANS:	mHkmp
        INDEX:	P34W2
      OFFSETS:	5-10
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHokamap_1]
   UNSPLITVOC:	(maHokamap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maHokam+ap
        GLOSS:	court/tribunal+[fem.sg.]

 INPUT STRING:	جنح
     IS_TRANS:	jnH
        INDEX:	P34W3
      OFFSETS:	11-14
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[junoHap_1]
   UNSPLITVOC:	(junaH)
          POS:	NOUN
          VOC:	junaH
        GLOSS:	misdemeanors

 INPUT STRING:	أول
     IS_TRANS:	>wl
        INDEX:	P34W4
      OFFSETS:	15-18
       TOKENS:	P34W4-P34W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(>aw~al)
          POS:	ADJ_NUM
          VOC:	>aw~al
        GLOSS:	first

 INPUT STRING:	مدينة
     IS_TRANS:	mdynp
        INDEX:	P34W5
      OFFSETS:	19-24
       TOKENS:	P34W5-P34W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[madiynap_2]
   UNSPLITVOC:	(madiynap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	madiyn+ap
        GLOSS:	Medina+[fem.sg.]

 INPUT STRING:	نصر
     IS_TRANS:	nSr
        INDEX:	P34W6
      OFFSETS:	25-28
       TOKENS:	P34W6-P34W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[naSor_2]
   UNSPLITVOC:	(naSor)
          POS:	NOUN_PROP
          VOC:	naSor
        GLOSS:	Nasr

 INPUT STRING:	برئاسة
     IS_TRANS:	br}Asp
        INDEX:	P34W7
      OFFSETS:	29-35
       TOKENS:	P34W7-P34W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ri}Asap_1]
   UNSPLITVOC:	(biri}Asap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+ri}As+ap
        GLOSS:	with/by+presidency/leadership/chairmanship+[fem.sg.]

 INPUT STRING:	المستشار
     IS_TRANS:	Almst$Ar
        INDEX:	P34W8
      OFFSETS:	36-44
       TOKENS:	P34W9-P34W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musota$Ar_1]
   UNSPLITVOC:	(Almusota$Ar)
          POS:	DET+NOUN
          VOC:	Al+musota$Ar
        GLOSS:	the+counselor/adviser

 INPUT STRING:	فتح
     IS_TRANS:	ftH
        INDEX:	P34W9
      OFFSETS:	45-48
       TOKENS:	P34W10-P34W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatoH_3]
   UNSPLITVOC:	(fatoH)
          POS:	NOUN_PROP
          VOC:	fatoH
        GLOSS:	Fath (1st word in "Fath Allah")

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P34W10
      OFFSETS:	49-53
       TOKENS:	P34W11-P34W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah

 INPUT STRING:	عيسى
     IS_TRANS:	EysY
        INDEX:	P34W11
      OFFSETS:	54-58
       TOKENS:	P34W12-P34W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EiysaY_1]
   UNSPLITVOC:	(EiysaY)
          POS:	NOUN_PROP
          VOC:	EiysaY
        GLOSS:	Issa/Eissa

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P34W12
      OFFSETS:	58-59
       TOKENS:	P34W13-P34W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	رفض
     IS_TRANS:	rfD
        INDEX:	P34W13
      OFFSETS:	60-63
       TOKENS:	P34W14-P34W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafoD_1]
   UNSPLITVOC:	(rafoD)
          POS:	NOUN
          VOC:	rafoD
        GLOSS:	rejection/refusal

 INPUT STRING:	طلب
     IS_TRANS:	Tlb
        INDEX:	P34W14
      OFFSETS:	64-67
       TOKENS:	P34W15-P34W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Talab_2]
   UNSPLITVOC:	(Talab)
          POS:	NOUN
          VOC:	Talab
        GLOSS:	request/demand

 INPUT STRING:	المعارضة
     IS_TRANS:	AlmEArDp
        INDEX:	P34W15
      OFFSETS:	68-76
       TOKENS:	P34W16-P34W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muEAraDap_1]
   UNSPLITVOC:	(AlmuEAraDap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+muEAraD+ap
        GLOSS:	the+opposition+[fem.sg.]

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P34W16
      OFFSETS:	77-81
       TOKENS:	P34W17-P34W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	أقامه
     IS_TRANS:	>qAmh
        INDEX:	P34W17
      OFFSETS:	82-87
       TOKENS:	P34W18-P34W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqAm_1]
   UNSPLITVOC:	(>aqAmuh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	>aqAm+(null)+uh
        GLOSS:	install/establish/erect+he/it [verb]+it/him

 INPUT STRING:	توفيق
     IS_TRANS:	twfyq
        INDEX:	P34W18
      OFFSETS:	88-93
       TOKENS:	P34W20-P34W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyq_1]
   UNSPLITVOC:	(tawfiyq)
          POS:	NOUN_PROP
          VOC:	tawfiyq
        GLOSS:	TAWFIQ

 INPUT STRING:	عكاشة
     IS_TRANS:	EkA$p
        INDEX:	P34W19
      OFFSETS:	94-99
       TOKENS:	P34W21-P34W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EukA$ap_1]
   UNSPLITVOC:	(EukA$ap)
          POS:	NOUN_PROP
          VOC:	EukA$ap
        GLOSS:	AWKASHA

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P34W20
      OFFSETS:	99-100
       TOKENS:	P34W22-P34W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	مالك
     IS_TRANS:	mAlk
        INDEX:	P34W21
      OFFSETS:	101-105
       TOKENS:	P34W23-P34W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAlik_1]
   UNSPLITVOC:	(mAlik)
          POS:	ADJ
          VOC:	mAlik
        GLOSS:	possessing/having/holding

 INPUT STRING:	ومدير
