 INPUT STRING:	بصراحه
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also

 INPUT STRING:	احب
     IS_TRANS:	AHb
        INDEX:	P15W15
      OFFSETS:	80-83
       TOKENS:	P15W23-P15W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(AaHib~)
          POS:	IV1S+IV
          VOC:	Aa+Hib~
        GLOSS:	I+love

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P15W16
      OFFSETS:	84-88
       TOKENS:	P15W24-P15W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more

 INPUT STRING:	افكرك
     IS_TRANS:	Afkrk
        INDEX:	P15W17
      OFFSETS:	89-94
       TOKENS:	P15W25-P15W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(Aafak~arik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+fak~ar+ik
        GLOSS:	I+think/consider/ponder+you

 INPUT STRING:	بيه
     IS_TRANS:	byh
        INDEX:	P15W18
      OFFSETS:	95-98
       TOKENS:	P15W27-P15W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with+he/it

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P15W19
      OFFSETS:	99-101
       TOKENS:	P15W29-P15W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P15W20
      OFFSETS:	102-104
       TOKENS:	P15W30-P15W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P15W21
      OFFSETS:	105-111
       TOKENS:	P15W31-P15W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P15W22
      OFFSETS:	112-114
       TOKENS:	P15W32-P15W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	حكمتش
     IS_TRANS:	Hkmt$
        INDEX:	P15W23
      OFFSETS:	115-120
       TOKENS:	P15W33-P15W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hakam_1]
   UNSPLITVOC:	(Hakamit$)
          POS:	PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	Hakam+it+$
        GLOSS:	rule+it/they/she+not

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P15W24
      OFFSETS:	121-125
       TOKENS:	P15W35-P15W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	تتحاسب
     IS_TRANS:	ttHAsb
        INDEX:	P15W25
      OFFSETS:	126-132
       TOKENS:	P15W37-P15W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHAsab_1]
   UNSPLITVOC:	(titoHAsab)
          POS:	IV2MS+IV
          VOC:	ti+toHAsab
        GLOSS:	you+be judged

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P15W26
      OFFSETS:	133-136
       TOKENS:	P15W38-P15W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P15W27
      OFFSETS:	137-139
       TOKENS:	P15W39-P15W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P15W28
      OFFSETS:	140-144
       TOKENS:	P15W40-P15W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	النهاره
     IS_TRANS:	AlnhArh
        INDEX:	P15W29
      OFFSETS:	145-152
       TOKENS:	P15W41-P15W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nahAr_1]
   UNSPLITVOC:	(AlnahAr)
          POS:	DET+NOUN
          VOC:	Al+nahAr
        GLOSS:	the+day

 INPUT STRING:	واعتقد
     IS_TRANS:	wAEtqd
        INDEX:	P15W30
      OFFSETS:	153-159
       TOKENS:	P15W42-P15W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaqad_1]
   UNSPLITVOC:	(wiAaEotaqid)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+Eotaqid
        GLOSS:	and+I+believe

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P15W31
      OFFSETS:	160-164
       TOKENS:	P15W44-P15W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~nA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~+nA
        GLOSS:	all+our

 INPUT STRING:	شوفنا
     IS_TRANS:	$wfnA
        INDEX:	P15W32
      OFFSETS:	165-170
       TOKENS:	P15W46-P15W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uwfnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	$uwf+nA
        GLOSS:	see+we

 INPUT STRING:	خبر
     IS_TRANS:	xbr
        INDEX:	P15W33
      OFFSETS:	171-174
       TOKENS:	P15W47-P15W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(xabar)
          POS:	NOUN
          VOC:	xabar
        GLOSS:	news/report

 INPUT STRING:	علاقة
     IS_TRANS:	ElAqp
        INDEX:	P15W34
      OFFSETS:	175-180
       TOKENS:	P15W48-P15W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalAqap_1]
   UNSPLITVOC:	(EalAqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EalAq+ap
        GLOSS:	connection/relation/link+[fem.sg.]

 INPUT STRING:	ابن
     IS_TRANS:	Abn
        INDEX:	P15W35
      OFFSETS:	181-184
       TOKENS:	P15W49-P15W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(Aibon)
          POS:	NOUN
          VOC:	Aibon
        GLOSS:	son

 INPUT STRING:	طنطاوى
     IS_TRANS:	TnTAwY
        INDEX:	P15W36
      OFFSETS:	185-191
       TOKENS:	P15W50-P15W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TanoTAwiy~_2]
   UNSPLITVOC:	(TanoTAwiy~)
          POS:	NOUN_PROP
          VOC:	TanoTAwiy~
        GLOSS:	Tantawi/Tantaoui

 INPUT STRING:	ببنزنس
     IS_TRANS:	bbnzns
        INDEX:	P15W37
      OFFSETS:	192-198
       TOKENS:	P15W51-P15W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binozinos_1]
   UNSPLITVOC:	(bibinozinos)
          POS:	PREP+NOUN
          VOC:	bi+binozinos
        GLOSS:	with/by+business

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P15W38
      OFFSETS:	199-201
       TOKENS:	P15W53-P15W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P15W39
      OFFSETS:	202-206
       TOKENS:	P15W54-P15W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN_PROP
          VOC:	jamAl
        GLOSS:	Jamal/Gamal

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P15W40
      OFFSETS:	207-212
       TOKENS:	P15W55-P15W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	طبيعي
     IS_TRANS:	TbyEy
        INDEX:	P16W1
      OFFSETS:	0-5
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TabiyEiy_1]
   UNSPLITVOC:	(TabiyEiy)
          POS:	ADJ
          VOC:	TabiyEiy
        GLOSS:	natural/normal

 INPUT STRING:	اوى
     IS_TRANS:	AwY
        INDEX:	P16W2
      OFFSETS:	6-9
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qawiy~_1]
   UNSPLITVOC:	(qawiy~)
          POS:	ADJ
          VOC:	qawiy~
        GLOSS:	strong

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P16W3
      OFFSETS:	10-14
       TOKENS:	P16W3-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	منكسبش
     IS_TRANS:	mnksb$
        INDEX:	P16W4
      OFFSETS:	15-21
       TOKENS:	P16W5-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kasab_1]
   UNSPLITVOC:	(mAniksab$)
          POS:	NEG_PART+IV1P+IV+NEG_PART
          VOC:	mA+ni+ksab+$
        GLOSS:	not+we+win+not

 INPUT STRING:	لاننا
     IS_TRANS:	lAnnA
        INDEX:	P16W5
      OFFSETS:	22-27
       TOKENS:	P16W8-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ain~_1]
   UNSPLITVOC:	(liAin~nA)
          POS:	PREP+SUB_CONJ+PRON_1P
          VOC:	li+Ain~+nA
        GLOSS:	for+that+we

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P16W6
      OFFSETS:	28-30
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ايد
     IS_TRANS:	Ayd
        INDEX:	P16W7
      OFFSETS:	31-34
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(<iyd)
          POS:	NOUN
          VOC:	<iyd
        GLOSS:	hand

 INPUT STRING:	واحده
     IS_TRANS:	wAHdh
        INDEX:	P16W8
      OFFSETS:	35-40
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	فالخساره
     IS_TRANS:	fAlxsArh
        INDEX:	P16W9
      OFFSETS:	41-49
       TOKENS:	P16W14-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xusArap_1]
   UNSPLITVOC:	(faAlxusArap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	fa+Al+xusAr+ap
        GLOSS:	so/and+the+loss+[fem.sg.]

 INPUT STRING:	هتع
     IS_TRANS:	htE
        INDEX:	P16W10
      OFFSETS:	50-53
       TOKENS:	P16W16-P16W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(htE)
          POS:	TYPO
          VOC:	htE
        GLOSS:	nogloss

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P16W11
      OFFSETS:	54-57
       TOKENS:	P16W17-P16W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الكل
     IS_TRANS:	Alkl
        INDEX:	P16W12
      OFFSETS:	58-62
       TOKENS:	P16W18-P16W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(Alkul~)
          POS:	DET+NOUN
          VOC:	Al+kul~
        GLOSS:	the+all, entire, every, whole

