 INPUT STRING:	انتحابات
       TOKENS:	P17W4-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(bimawqif)
          POS:	PREP+NOUN
          VOC:	bi+mawqif
        GLOSS:	with/by+position

 INPUT STRING:	ايجابى
     IS_TRANS:	AyjAbY
        INDEX:	P17W5
      OFFSETS:	29-35
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyjAbiy_1]
   UNSPLITVOC:	(<iyjAbiy)
          POS:	ADJ
          VOC:	<iyjAbiy
        GLOSS:	positive

 INPUT STRING:	والبنات
     IS_TRANS:	wAlbnAt
        INDEX:	P17W6
      OFFSETS:	36-43
       TOKENS:	P17W7-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[banAt_1]
   UNSPLITVOC:	(wiAlbanAt)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+banAt
        GLOSS:	and+the+girls

 INPUT STRING:	وراهم
     IS_TRANS:	wrAhm
        INDEX:	P17W7
      OFFSETS:	44-49
       TOKENS:	P17W9-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA_1]
   UNSPLITVOC:	(warAhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	warA+hum
        GLOSS:	behind+their

 INPUT STRING:	يساندوهم
     IS_TRANS:	ysAndwhm
        INDEX:	P17W8
      OFFSETS:	50-58
       TOKENS:	P17W11-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAnid_1]
   UNSPLITVOC:	(yisAnoduwhum)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3P
          VOC:	yi+sAnod+uwA+hum
        GLOSS:	they+support+they [verb]+them

