 INPUT STRING:	اتفرجوا
      OFFSETS:	41-46
       TOKENS:	P52W13-P52W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	لتستريح
     IS_TRANS:	ltstryH
        INDEX:	P52W13
      OFFSETS:	47-54
       TOKENS:	P52W14-P52W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isotarAH_1]
   UNSPLITVOC:	(litasotariyHa)
          POS:	PREP+IV2MS+IV+IVSUFF_MOOD:S
          VOC:	li+ta+sotariyH+a
        GLOSS:	for+you [masc.sg.] to+rest/relax/calm down/be pleased+[sub.]

 INPUT STRING:	الغد
     IS_TRANS:	Algd
        INDEX:	P52W14
      OFFSETS:	55-59
       TOKENS:	P52W16-P52W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gad_1]
   UNSPLITVOC:	(Algad)
          POS:	DET+NOUN
          VOC:	Al+gad
        GLOSS:	the+tomorrow

 INPUT STRING:	والحياة
     IS_TRANS:	wAlHyAp
        INDEX:	P53W1
      OFFSETS:	0-7
       TOKENS:	P53W1-P53W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(wiAlHayAp)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+HayAp
        GLOSS:	and+the+lifetime

 INPUT STRING:	تضحية
     IS_TRANS:	tDHyp
        INDEX:	P53W2
      OFFSETS:	8-13
       TOKENS:	P53W3-P53W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taDoHiy~ap_1]
   UNSPLITVOC:	(taDoHiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	taDoHiy~+ap
        GLOSS:	sacrifice+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P53W3
      OFFSETS:	14-15
       TOKENS:	P53W4-P53W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	عناء
     IS_TRANS:	EnA'
        INDEX:	P53W4
      OFFSETS:	16-20
       TOKENS:	P53W5-P53W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EanA'_1]
   UNSPLITVOC:	(EanA')
          POS:	NOUN
          VOC:	EanA'
        GLOSS:	hardship/preoccupation

 INPUT STRING:	حتي
     IS_TRANS:	Hty
        INDEX:	P53W5
      OFFSETS:	21-24
       TOKENS:	P53W6-P53W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PREP
          VOC:	Hat~aY
        GLOSS:	until/up to

 INPUT STRING:	تعيش
     IS_TRANS:	tEy$
        INDEX:	P53W6
      OFFSETS:	25-29
       TOKENS:	P53W7-P53W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(tiEiy$)
          POS:	IV2MS+IV
          VOC:	ti+Eiy$
        GLOSS:	you+live/experience/long live!/be lived/be experienced

 INPUT STRING:	حرا
     IS_TRANS:	HrA
        INDEX:	P53W7
      OFFSETS:	30-33
       TOKENS:	P53W8-P53W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hur~_1]
   UNSPLITVOC:	(Hur~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	Hur~+AF
        GLOSS:	free/independent+[acc.indef.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P54W1
      OFFSETS:	0-1
       TOKENS:	P54W1-P54W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P54W2
      OFFSETS:	2-5
       TOKENS:	P54W2-P54W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P54W3
      OFFSETS:	6-11
       TOKENS:	P54W3-P54W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P54W4
      OFFSETS:	12-14
       TOKENS:	P54W4-P54W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	تصبر
     IS_TRANS:	tSbr
        INDEX:	P54W5
      OFFSETS:	15-19
       TOKENS:	P54W5-P54W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sabar_1]
   UNSPLITVOC:	(tuSobur)
          POS:	IV3FS+IV
          VOC:	tu+Sobur
        GLOSS:	it/they/she+be patient/endure

 INPUT STRING:	لتري
     IS_TRANS:	ltry
        INDEX:	P54W6
      OFFSETS:	20-24
       TOKENS:	P54W6-P54W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ltry)
          POS:	NO_FUNC
          VOC:	ltry
        GLOSS:	nogloss

 INPUT STRING:	النتائج
     IS_TRANS:	AlntA}j
        INDEX:	P54W7
      OFFSETS:	25-32
       TOKENS:	P54W7-P54W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[natiyjap_1]
   UNSPLITVOC:	(Aln~atA}ij)
          POS:	DET+NOUN
          VOC:	Al+natA}ij
        GLOSS:	the+results/consequences

 INPUT STRING:	فالثورة
     IS_TRANS:	fAlvwrp
        INDEX:	P54W8
      OFFSETS:	33-40
       TOKENS:	P54W8-P54W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(faAlv~awrap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	fa+Al+vawr+ap
        GLOSS:	so/and+the+revolution/uprising+[fem.sg.]

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P54W9
      OFFSETS:	41-43
       TOKENS:	P54W10-P54W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	تنتهي
     IS_TRANS:	tnthy
        INDEX:	P54W10
      OFFSETS:	44-49
       TOKENS:	P54W11-P54W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotahaY_1]
   UNSPLITVOC:	(tinotihiy)
          POS:	IV3FS+IV
          VOC:	ti+notihiy
        GLOSS:	it/they/she+end/end up/finish

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P55W1
      OFFSETS:	0-4
       TOKENS:	P55W1-P55W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	عاوز
     IS_TRANS:	EAwz
        INDEX:	P55W2
      OFFSETS:	5-9
       TOKENS:	P55W2-P55W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwiz)
          POS:	ADJ
          VOC:	EAwiz
        GLOSS:	wanting/needing

 INPUT STRING:	الورد
     IS_TRANS:	Alwrd
        INDEX:	P55W3
      OFFSETS:	10-15
       TOKENS:	P55W3-P55W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warodap_1]
   UNSPLITVOC:	(Alwarod)
          POS:	DET+NOUN
          VOC:	Al+warod
        GLOSS:	the+flower/flowers/roses/rose

 INPUT STRING:	بيستحمل
     IS_TRANS:	bystHml
        INDEX:	P55W4
      OFFSETS:	16-23
       TOKENS:	P55W4-P55W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotaHomil_1]
   UNSPLITVOC:	(biyisotaHomil)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+sotaHomil
        GLOSS:	[present-tense]+he/it+tolerate/bear

 INPUT STRING:	وخز
     IS_TRANS:	wxz
        INDEX:	P55W5
      OFFSETS:	24-27
       TOKENS:	P55W6-P55W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waxoz_1]
   UNSPLITVOC:	(waxoz)
          POS:	NOUN
          VOC:	waxoz
        GLOSS:	stinging/pricking/twinging

 INPUT STRING:	شوكه
     IS_TRANS:	$wkh
        INDEX:	P55W6
      OFFSETS:	28-32
       TOKENS:	P55W7-P55W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$awkap_1]
   UNSPLITVOC:	($awkap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$awk+ap
        GLOSS:	fork/thorn/bravery+[fem.sg.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P56W1
      OFFSETS:	0-2
       TOKENS:	P56W1-P56W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with/together

 INPUT STRING:	احترامي
     IS_TRANS:	AHtrAmy
        INDEX:	P56W2
      OFFSETS:	3-10
       TOKENS:	P56W2-P56W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iHotirAm_1]
   UNSPLITVOC:	(AiHotirAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	<iHotirAm+iy
        GLOSS:	respect/honoring+my

 INPUT STRING:	لموضوعك
     IS_TRANS:	lmwDwEk
        INDEX:	P56W3
      OFFSETS:	11-18
       TOKENS:	P56W4-P56W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(limawDuwEak)
          POS:	PREP+NOUN+POSS_PRON_2MS
          VOC:	li+mawDuwE+ak
        GLOSS:	for/to+subject/theme/issue+your

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P56W4
      OFFSETS:	19-21
       TOKENS:	P56W7-P56W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	استاذ
     IS_TRANS:	AstA*
        INDEX:	P56W5
      OFFSETS:	22-27
       TOKENS:	P56W8-P56W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usotA*_1]
   UNSPLITVOC:	(>usotA*)
          POS:	NOUN
          VOC:	>usotA*
        GLOSS:	professor

 INPUT STRING:	محمود
     IS_TRANS:	mHmwd
        INDEX:	P56W6
      OFFSETS:	28-33
       TOKENS:	P56W9-P56W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHomuwd_1]
   UNSPLITVOC:	(maHomuwd)
          POS:	NOUN_PROP
          VOC:	maHomuwd
        GLOSS:	Mahmoud

 INPUT STRING:	ليك
     IS_TRANS:	lyk
        INDEX:	P56W7
      OFFSETS:	34-37
       TOKENS:	P56W10-P56W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyk)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	for/to+you

 INPUT STRING:	وجهة
     IS_TRANS:	wjhp
        INDEX:	P56W8
      OFFSETS:	38-42
       TOKENS:	P56W12-P56W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wijohap_1]
   UNSPLITVOC:	(wijohap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wijoh+ap
        GLOSS:	point of view/angle+[fem.sg.]

 INPUT STRING:	نظر
     IS_TRANS:	nZr
        INDEX:	P56W9
      OFFSETS:	43-46
       TOKENS:	P56W13-P56W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(naZar)
          POS:	NOUN
          VOC:	naZar
        GLOSS:	view/look/seeing/eye-sight/glances/looking

 INPUT STRING:	وحقها
     IS_TRANS:	wHqhA
        INDEX:	P56W10
      OFFSETS:	47-52
       TOKENS:	P56W14-P56W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(wiHaq~ahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+Haq~+hA
        GLOSS:	and+right, prerogative, truth+its/their/her

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P56W11
      OFFSETS:	53-54
       TOKENS:	P56W17-P56W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الاحترام
     IS_TRANS:	AlAHtrAm
        INDEX:	P56W12
      OFFSETS:	55-63
       TOKENS:	P56W18-P56W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotirAm_1]
   UNSPLITVOC:	(AlAiHotirAm)
          POS:	DET+NOUN
          VOC:	Al+AiHotirAm
        GLOSS:	the+respect/honoring

 INPUT STRING:	محفوظ
     IS_TRANS:	mHfwZ
        INDEX:	P56W13
      OFFSETS:	64-69
       TOKENS:	P56W19-P56W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHofuwZ_1]
   UNSPLITVOC:	(maHofuwZ)
          POS:	ADJ
          VOC:	maHofuwZ
        GLOSS:	preserved/safeguarded/records/archives/mahfouz/kept/protected

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P56W14
      OFFSETS:	70-75
       TOKENS:	P56W20-P56W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/too

 INPUT STRING:	رأي
     IS_TRANS:	r>y
        INDEX:	P56W15
      OFFSETS:	76-79
       TOKENS:	P56W22-P56W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea

 INPUT STRING:	معارضيك
     IS_TRANS:	mEArDyk
        INDEX:	P56W16
      OFFSETS:	80-87
       TOKENS:	P56W23-P56W23
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mEArDyk)
          POS:	NO_FUNC
          VOC:	mEArDyk
        GLOSS:	nogloss

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P56W17
      OFFSETS:	88-90
       TOKENS:	P56W24-P56W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+him/it

 INPUT STRING:	احترامه
     IS_TRANS:	AHtrAmh
        INDEX:	P56W18
      OFFSETS:	91-98
       TOKENS:	P56W26-P56W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iHotirAm_1]
   UNSPLITVOC:	(<iHotirAmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	<iHotirAm+uh
        GLOSS:	respect/honoring+its/his

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P57W1
      OFFSETS:	0-4
       TOKENS:	P57W1-P57W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	NOUN
          VOC:	tamAm
        GLOSS:	exact/complete

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P57W2
      OFFSETS:	5-8
       TOKENS:	P57W2-P57W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	as such/so/like that

 INPUT STRING:	اتكلم
     IS_TRANS:	Atklm
        INDEX:	P57W3
      OFFSETS:	9-14
       TOKENS:	P57W3-P57W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(Aitokal~im)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Aitokal~im+(null)
        GLOSS:	speak/talk+he/it

 INPUT STRING:	بئا
     IS_TRANS:	b}A
        INDEX:	P57W4
      OFFSETS:	15-18
       TOKENS:	P57W4-P57W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(b}A)
          POS:	TYPO
          VOC:	b}A
        GLOSS:	nogloss

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P57W5
      OFFSETS:	18-19
       TOKENS:	P57W5-P57W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	حضرتك
     IS_TRANS:	HDrtk
        INDEX:	P58W1
      OFFSETS:	0-5
       TOKENS:	P58W1-P58W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaDorap_1]
   UNSPLITVOC:	(HaDoritak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	HaDor+ap+ak
        GLOSS:	presence/eminent/honorable+[fem.sg.]+your

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P58W2
      OFFSETS:	6-11
       TOKENS:	P58W3-P58W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwl)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+quwl
        GLOSS:	[present-tense]+you+said/say/be said/say/(for example)

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P58W3
      OFFSETS:	12-15
       TOKENS:	P58W5-P58W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P58W4
      OFFSETS:	16-22
       TOKENS:	P58W6-P58W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P58W5
      OFFSETS:	23-25
       TOKENS:	P58W7-P58W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	there is+him/it

 INPUT STRING:	غلاء
     IS_TRANS:	glA'
        INDEX:	P58W6
      OFFSETS:	26-30
       TOKENS:	P58W9-P58W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[galA'_1]
   UNSPLITVOC:	(galA')
          POS:	NOUN
          VOC:	galA'
        GLOSS:	high cost/rising cost

 INPUT STRING:	وبلطجه
     IS_TRANS:	wblTjh
        INDEX:	P58W7
      OFFSETS:	31-37
       TOKENS:	P58W10-P58W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajap_1]
   UNSPLITVOC:	(wibaloTajap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+baloTaj+ap
        GLOSS:	and+gangesterism+[fem.sg.]

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P58W8
      OFFSETS:	38-41
       TOKENS:	P58W12-P58W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	لائيين
     IS_TRANS:	lA}yyn
        INDEX:	P58W9
      OFFSETS:	42-48
       TOKENS:	P58W14-P58W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lA}iy_1]
   UNSPLITVOC:	(lA}yiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	lA}y+iyn
        GLOSS:	finding+[masc.pl.]

 INPUT STRING:	الغاز
     IS_TRANS:	AlgAz
        INDEX:	P58W10
      OFFSETS:	49-54
       TOKENS:	P58W15-P58W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAz_1]
   UNSPLITVOC:	(AlgAz)
          POS:	DET+NOUN
          VOC:	Al+gAz
        GLOSS:	the+gas/gasses

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P58W11
      OFFSETS:	56-59
       TOKENS:	P58W16-P58W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/say/(for example)+he/it

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P58W12
      OFFSETS:	60-64
       TOKENS:	P58W17-P58W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify

 INPUT STRING:	كنا
     IS_TRANS:	knA
        INDEX:	P58W13
      OFFSETS:	65-68
       TOKENS:	P58W18-P58W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kun~A)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	kun+~A
        GLOSS:	be+we

 INPUT STRING:	لائيينه
     IS_TRANS:	lA}yynh
        INDEX:	P58W14
      OFFSETS:	69-76
       TOKENS:	P58W19-P58W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lA}iy_1]
   UNSPLITVOC:	(lA}yiynuh)
          POS:	ADJ+NSUFF_MASC_PL+PRON_3MS
          VOC:	lA}y+iyn+uh
        GLOSS:	finding+[masc.pl.]+him

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P59W1
      OFFSETS:	0-5
       TOKENS:	P59W1-P59W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/too

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P59W2
      OFFSETS:	6-8
       TOKENS:	P59W3-P59W4
