 INPUT STRING:	ببساطة
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	إطاعة
     IS_TRANS:	<TAEp
        INDEX:	P14W9
      OFFSETS:	51-56
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iTAEap_1]
   UNSPLITVOC:	(<iTAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<iTAE+ap
        GLOSS:	obedience+[fem.sg.]

 INPUT STRING:	الأوامر
     IS_TRANS:	Al>wAmr
        INDEX:	P14W10
      OFFSETS:	57-64
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(AlAwAmir)
          POS:	DET+NOUN
          VOC:	Al+AwAmir
        GLOSS:	the+order/command/orders/commands

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P14W11
      OFFSETS:	65-69
       TOKENS:	P14W13-P14W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+without/beneath/underneath/inferior/poor

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P14W12
      OFFSETS:	70-72
       TOKENS:	P14W15-P14W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	مناقشة
     IS_TRANS:	mnAq$p
        INDEX:	P14W13
      OFFSETS:	73-79
       TOKENS:	P14W16-P14W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[munAqa$ap_1]
   UNSPLITVOC:	(munAqa$ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	munAqa$+ap
        GLOSS:	argument/debate+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P14W14
      OFFSETS:	79-80
       TOKENS:	P14W17-P14W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P15W2
      OFFSETS:	4-6
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	أوامر
     IS_TRANS:	>wAmr
        INDEX:	P15W3
      OFFSETS:	7-12
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_2]
   UNSPLITVOC:	(>awAmir)
          POS:	NOUN
          VOC:	>awAmir
        GLOSS:	orders/commands

 INPUT STRING:	أوامر
     IS_TRANS:	>wAmr
        INDEX:	P15W4
      OFFSETS:	13-18
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_2]
   UNSPLITVOC:	(>awAmir)
          POS:	NOUN
          VOC:	>awAmir
        GLOSS:	orders/commands

 INPUT STRING:	الظابط
     IS_TRANS:	AlZAbT
        INDEX:	P15W5
      OFFSETS:	19-25
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZAbiT_1]
   UNSPLITVOC:	(AlZ~AbiT)
          POS:	DET+NOUN
          VOC:	Al+ZAbiT
        GLOSS:	the+officer

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P15W6
      OFFSETS:	26-30
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	دربهم
     IS_TRANS:	drbhm
        INDEX:	P15W7
      OFFSETS:	31-36
       TOKENS:	P15W8-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dar~ab_1]
   UNSPLITVOC:	(dar~abhum)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3P
          VOC:	dar~ab+(null)+hum
        GLOSS:	habituate/give training/coach+he/it+them

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P15W8
      OFFSETS:	37-39
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P15W9
      OFFSETS:	40-43
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P15W10
      OFFSETS:	44-46
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	PSEUDO_VERB
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P15W11
      OFFSETS:	47-50
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayor)
          POS:	NOUN
          VOC:	gayor
        GLOSS:	not/other

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P15W12
      OFFSETS:	50-51
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P16W2
      OFFSETS:	5-8
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P16W3
      OFFSETS:	9-12
       TOKENS:	P16W3-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(wilaw)
          POS:	PART+SUB_CONJ
          VOC:	wi+law
        GLOSS:	[part.]+if

 INPUT STRING:	وزير
     IS_TRANS:	wzyr
        INDEX:	P16W4
      OFFSETS:	13-17
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(waziyr)
          POS:	NOUN
          VOC:	waziyr
        GLOSS:	minister

 INPUT STRING:	الداخلية
     IS_TRANS:	AldAxlyp
        INDEX:	P16W5
      OFFSETS:	18-26
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAxiliy~_1]
   UNSPLITVOC:	(AldAxiliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+dAxiliy~+ap
        GLOSS:	the+internal/domestic+[fem.sg.]

 INPUT STRING:	أمرهم
     IS_TRANS:	>mrhm
        INDEX:	P16W6
      OFFSETS:	27-32
       TOKENS:	P16W7-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amar_1]
   UNSPLITVOC:	(>amarhum)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3P
          VOC:	>amar+(null)+hum
        GLOSS:	command/order/prescribe+he/it+them

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P16W7
      OFFSETS:	33-35
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	بيسمعوش
     IS_TRANS:	bysmEw$
        INDEX:	P16W8
      OFFSETS:	36-43
       TOKENS:	P16W10-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(biyisomaEuw$)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+NEG_PART
          VOC:	bi+yi+somaE+uwA+$
        GLOSS:	[present-tense]+they+hear+we+not

 INPUT STRING:	كلامه
     IS_TRANS:	klAmh
        INDEX:	P16W9
      OFFSETS:	44-49
       TOKENS:	P16W13-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	kalAm+uh
        GLOSS:	speech/statement/remark/talk/saying+his/its

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P16W10
      OFFSETS:	49-50
       TOKENS:	P16W15-P16W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	مرة
     IS_TRANS:	mrp
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments+[fem.sg.]

 INPUT STRING:	بابا
     IS_TRANS:	bAbA
        INDEX:	P17W2
      OFFSETS:	4-8
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAbA_1]
   UNSPLITVOC:	(bAbA)
          POS:	NOUN
          VOC:	bAbA
        GLOSS:	father

 INPUT STRING:	حكى
     IS_TRANS:	HkY
        INDEX:	P17W3
      OFFSETS:	9-12
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HakaY_1]
   UNSPLITVOC:	(HakaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HakaY+(null)
        GLOSS:	relate/report/tell/be related/be reported/be told+he/it

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P17W4
      OFFSETS:	13-15
       TOKENS:	P17W4-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~a)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to+I

 INPUT STRING:	حكاية
     IS_TRANS:	HkAyp
        INDEX:	P17W5
      OFFSETS:	16-21
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HikAyap_1]
   UNSPLITVOC:	(HikAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HikAy+ap
        GLOSS:	story/account+[fem.sg.]

 INPUT STRING:	إنه
     IS_TRANS:	<nh
        INDEX:	P17W6
      OFFSETS:	22-25
       TOKENS:	P17W7-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P17W7
      OFFSETS:	26-29
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P17W8
      OFFSETS:	30-32
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الصعيد
     IS_TRANS:	AlSEyd
        INDEX:	P17W9
      OFFSETS:	33-39
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiEiyd_1]
   UNSPLITVOC:	(AlS~iEiyd)
          POS:	DET+NOUN
          VOC:	Al+SiEiyd
        GLOSS:	the+highlands/Upper Egypt

 INPUT STRING:	بيعمل
     IS_TRANS:	byEml
        INDEX:	P17W10
      OFFSETS:	40-45
       TOKENS:	P17W12-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(biyiEomil)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Eomil
        GLOSS:	[present-tense]+he/it+do

 INPUT STRING:	ضبطية
     IS_TRANS:	DbTyp
        INDEX:	P17W11
      OFFSETS:	46-51
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaboTiy_1]
   UNSPLITVOC:	(DaboTiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	DaboTiy~+ap
        GLOSS:	disciplinary+[fem.sg.]

 INPUT STRING:	لغيط
     IS_TRANS:	lgyT
        INDEX:	P17W12
      OFFSETS:	52-56
       TOKENS:	P17W15-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayT_1]
   UNSPLITVOC:	(ligayT)
          POS:	PREP+NOUN
          VOC:	li+gayT
        GLOSS:	for/to+garden/orchard/gardens/orchards

 INPUT STRING:	مخدرات
     IS_TRANS:	mxdrAt
        INDEX:	P17W13
      OFFSETS:	57-63
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxad~ir_1]
   UNSPLITVOC:	(muxad~arAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muxad~ar+At
        GLOSS:	narcotics/drugs+[fem.pl.]

 INPUT STRING:	أصله
     IS_TRANS:	>Slh
        INDEX:	P17W14
      OFFSETS:	65-69
       TOKENS:	P17W18-P17W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSoluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>aSol+uh
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily/funds/capital+his/its

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P17W15
      OFFSETS:	70-73
       TOKENS:	P17W20-P17W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	وكيل
     IS_TRANS:	wkyl
        INDEX:	P17W16
      OFFSETS:	74-78
       TOKENS:	P17W21-P17W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(wakiyl)
          POS:	NOUN
          VOC:	wakiyl
        GLOSS:	representative/agent

 INPUT STRING:	نيابة
     IS_TRANS:	nyAbp
        INDEX:	P17W17
      OFFSETS:	79-84
       TOKENS:	P17W22-P17W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niyAbap_1]
   UNSPLITVOC:	(niyAbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	niyAb+ap
        GLOSS:	proxy/deputyship+[fem.sg.]

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P18W2
      OFFSETS:	5-7
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	خلصوا
     IS_TRANS:	xlSwA
        INDEX:	P18W3
      OFFSETS:	8-13
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(xal~aSuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	xal~aS+uwA
        GLOSS:	finish+they

 INPUT STRING:	شغلهم
     IS_TRANS:	$glhm
        INDEX:	P18W4
      OFFSETS:	14-19
       TOKENS:	P18W5-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	($ugolhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	$ugol+hum
        GLOSS:	occupying/filling (work position)+their

 INPUT STRING:	قعد
     IS_TRANS:	qEd
        INDEX:	P18W5
      OFFSETS:	20-23
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(qaEad)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qaEad+(null)
        GLOSS:	sit down/be seated/remain+he/it

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P18W6
      OFFSETS:	24-26
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	مدير
     IS_TRANS:	mdyr
        INDEX:	P18W7
      OFFSETS:	27-31
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudiyr_1]
   UNSPLITVOC:	(mudiyr)
          POS:	NOUN
          VOC:	mudiyr
        GLOSS:	director/manager/chief/directors/managers

 INPUT STRING:	الأمن
     IS_TRANS:	Al>mn
        INDEX:	P18W8
      OFFSETS:	32-37
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	جنب
     IS_TRANS:	jnb
        INDEX:	P18W9
      OFFSETS:	38-41
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janob_1]
   UNSPLITVOC:	(janob)
          POS:	NOUN
          VOC:	janob
        GLOSS:	near

 INPUT STRING:	النيل
     IS_TRANS:	Alnyl
        INDEX:	P18W10
      OFFSETS:	42-47
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niyl_1]
   UNSPLITVOC:	(Aln~iyl)
          POS:	DET+NOUN_PROP
          VOC:	Al+niyl
        GLOSS:	the+Nile

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P18W11
      OFFSETS:	48-51
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كراسي
     IS_TRANS:	krAsy
        INDEX:	P18W12
      OFFSETS:	52-57
       TOKENS:	P18W14-P18W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kurosiy_1]
   UNSPLITVOC:	(karAsiy)
          POS:	NOUN
          VOC:	karAsiy
        GLOSS:	chairs/seats

 INPUT STRING:	والمجند
     IS_TRANS:	wAlmjnd
        INDEX:	P19W1
      OFFSETS:	0-7
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijan~id_1]
   UNSPLITVOC:	(wiAlmijan~id)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+mijan~id
        GLOSS:	and+the+the person who recruits

 INPUT STRING:	واقف
     IS_TRANS:	wAqf
        INDEX:	P19W2
      OFFSETS:	8-12
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqif_1]
   UNSPLITVOC:	(wAqif)
          POS:	ADJ
          VOC:	wAqif
        GLOSS:	standing

 INPUT STRING:	جنب
     IS_TRANS:	jnb
        INDEX:	P19W3
      OFFSETS:	13-16
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janob_1]
   UNSPLITVOC:	(janob)
          POS:	NOUN
          VOC:	janob
        GLOSS:	near

 INPUT STRING:	مدير
     IS_TRANS:	mdyr
        INDEX:	P19W4
      OFFSETS:	17-21
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudiyr_1]
   UNSPLITVOC:	(mudiyr)
          POS:	NOUN
          VOC:	mudiyr
        GLOSS:	director/manager/chief/directors/managers

 INPUT STRING:	الأمن
     IS_TRANS:	Al>mn
        INDEX:	P19W5
      OFFSETS:	22-27
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	بينده
     IS_TRANS:	byndh
        INDEX:	P19W6
      OFFSETS:	28-33
       TOKENS:	P19W7-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nadah_1]
   UNSPLITVOC:	(biyinodah)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+nodah
        GLOSS:	will+he/it+call

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P19W7
      OFFSETS:	34-36
       TOKENS:	P19W9-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to+he/it

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P19W8
      OFFSETS:	37-39
