 INPUT STRING:	مين
       TOKENS:	P33W6-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P33W5
      OFFSETS:	23-25
       TOKENS:	P33W7-P33W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P33W6
      OFFSETS:	26-30
       TOKENS:	P33W8-P33W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	بتعمل
     IS_TRANS:	btEml
        INDEX:	P33W7
      OFFSETS:	31-36
       TOKENS:	P33W9-P33W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bitiEomil)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+Eomil
        GLOSS:	[present tense]+it/they/she+work/action

 INPUT STRING:	معظم
     IS_TRANS:	mEZm
        INDEX:	P33W8
      OFFSETS:	37-41
       TOKENS:	P33W11-P33W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEoZam_1]
   UNSPLITVOC:	(muEoZam)
          POS:	NOUN_QUANT
          VOC:	muEoZam
        GLOSS:	most, majority

 INPUT STRING:	الحوادث
     IS_TRANS:	AlHwAdv
        INDEX:	P33W9
      OFFSETS:	42-49
       TOKENS:	P33W12-P33W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdiv_1]
   UNSPLITVOC:	(AlHawAdiv)
          POS:	DET+NOUN
          VOC:	Al+HawAdiv
        GLOSS:	the+incidents

 INPUT STRING:	فهذا
     IS_TRANS:	fh*A
        INDEX:	P33W10
      OFFSETS:	50-54
       TOKENS:	P33W13-P33W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(faha*A)
          POS:	CONJ+DEM_PRON_MS
          VOC:	fa+ha*A
        GLOSS:	so/and+this [masc.sg.]

 INPUT STRING:	غلط
     IS_TRANS:	glT
        INDEX:	P33W11
      OFFSETS:	55-58
       TOKENS:	P33W15-P33W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galaT_1]
   UNSPLITVOC:	(galaT)
          POS:	ADJ
          VOC:	galaT
        GLOSS:	wrong

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P33W12
      OFFSETS:	58-59
       TOKENS:	P33W16-P33W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P33W13
      OFFSETS:	59-60
       TOKENS:	P33W17-P33W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P34W1
      OFFSETS:	0-3
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بسمع
     IS_TRANS:	bsmE
        INDEX:	P34W2
      OFFSETS:	4-8
       TOKENS:	P34W2-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[samaE_1]
   UNSPLITVOC:	(bi>asomaE)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+>a+somaE
        GLOSS:	[present tense]+I+hear

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P34W3
      OFFSETS:	9-12
       TOKENS:	P34W4-P34W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it/he

 INPUT STRING:	اكثرها
     IS_TRANS:	AkvrhA
        INDEX:	P34W4
      OFFSETS:	13-19
       TOKENS:	P34W6-P34W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_1]
   UNSPLITVOC:	(>akovarhA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	>akovar+hA
        GLOSS:	more, most, majority+its/their/her

 INPUT STRING:	بيعملوها
     IS_TRANS:	byEmlwhA
        INDEX:	P34W5
      OFFSETS:	20-28
       TOKENS:	P34W8-P34W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(biyiEomiluwhA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	bi+yi+Eomil+uwA+hA
        GLOSS:	[present tense]+they+work/action+we+it/them/her

 INPUT STRING:	الرجال
     IS_TRANS:	AlrjAl
        INDEX:	P34W6
      OFFSETS:	29-35
       TOKENS:	P34W11-P34W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajul_1]
   UNSPLITVOC:	(Alr~ijAl)
          POS:	DET+NOUN
          VOC:	Al+rijAl
        GLOSS:	the+men

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P34W7
      OFFSETS:	35-36
       TOKENS:	P34W12-P34W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P34W8
      OFFSETS:	36-37
       TOKENS:	P34W13-P34W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وانه
     IS_TRANS:	wAnh
        INDEX:	P35W1
      OFFSETS:	0-4
       TOKENS:	P35W1-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(wa>an~uh)
          POS:	CONJ+SUB_CONJ+PRON_3MS
          VOC:	wa+>an~+uh
        GLOSS:	and+that+it/he

 INPUT STRING:	المراة
     IS_TRANS:	AlmrAp
        INDEX:	P35W2
      OFFSETS:	5-11
       TOKENS:	P35W4-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P35W3
      OFFSETS:	12-14
       TOKENS:	P35W5-P35W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تسوق
     IS_TRANS:	tswq
        INDEX:	P35W4
      OFFSETS:	15-19
       TOKENS:	P35W6-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAq_1]
   UNSPLITVOC:	(tisuwq)
          POS:	IV3FS+IV
          VOC:	ti+suwq
        GLOSS:	it/she/they+drive/lead/direct

 INPUT STRING:	بالليل
     IS_TRANS:	bAllyl
        INDEX:	P35W5
      OFFSETS:	20-26
       TOKENS:	P35W7-P35W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layl_1]
   UNSPLITVOC:	(biAll~ayl)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+layl
        GLOSS:	with/by+the+night/nighttime/at night/by night

 INPUT STRING:	لوحدها
     IS_TRANS:	lwHdhA
        INDEX:	P35W6
      OFFSETS:	27-33
       TOKENS:	P35W9-P35W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHod_1]
   UNSPLITVOC:	(liwaHodhA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	li+waHod+hA
        GLOSS:	for/to+alone/only+its/their/her

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P35W7
      OFFSETS:	34-38
       TOKENS:	P35W12-P35W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	of course+[acc.indef.]

 INPUT STRING:	معكم
     IS_TRANS:	mEkm
        INDEX:	P35W8
      OFFSETS:	39-43
       TOKENS:	P35W13-P35W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEakum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	maEa+kum
        GLOSS:	something with+your

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P35W9
      OFFSETS:	44-46
       TOKENS:	P35W15-P35W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	truth/right

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P35W10
      OFFSETS:	46-47
       TOKENS:	P35W16-P35W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P35W11
      OFFSETS:	47-48
       TOKENS:	P35W17-P35W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P36W1
      OFFSETS:	0-2
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P36W2
      OFFSETS:	3-5
       TOKENS:	P36W2-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P36W3
      OFFSETS:	6-8
       TOKENS:	P36W3-P36W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P36W4
      OFFSETS:	9-13
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possibilities

 INPUT STRING:	تسوق
     IS_TRANS:	tswq
        INDEX:	P36W5
      OFFSETS:	14-18
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAq_1]
   UNSPLITVOC:	(tisuwq)
          POS:	IV3FS+IV
          VOC:	ti+suwq
        GLOSS:	it/they/she+drive/lead/direct

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P36W6
      OFFSETS:	19-21
       TOKENS:	P36W6-P36W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	اخواتها
     IS_TRANS:	AxwAthA
        INDEX:	P36W7
      OFFSETS:	22-29
       TOKENS:	P36W7-P36W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uxt_1]
   UNSPLITVOC:	(>axowAthA)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3FS
          VOC:	>axow+At+hA
        GLOSS:	sisters+[fem.pl.]+its/their/her

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P36W8
      OFFSETS:	30-32
       TOKENS:	P36W9-P36W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	والدها
     IS_TRANS:	wAldhA
        INDEX:	P36W9
      OFFSETS:	33-39
       TOKENS:	P36W10-P36W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAlid_1]
   UNSPLITVOC:	(wAlidhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	wAlid+hA
        GLOSS:	father+its/their/her

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P36W10
      OFFSETS:	40-42
       TOKENS:	P36W12-P36W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	اقاربها
     IS_TRANS:	AqArbhA
        INDEX:	P36W11
      OFFSETS:	43-50
       TOKENS:	P36W13-P36W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqorab_1]
   UNSPLITVOC:	(>aqAribhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	>aqArib+hA
        GLOSS:	relatives/extended family+its/their/her

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P36W12
      OFFSETS:	51-53
       TOKENS:	P36W15-P36W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P36W13
      OFFSETS:	54-57
       TOKENS:	P36W16-P36W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	زوجها
     IS_TRANS:	zwjhA
        INDEX:	P36W14
      OFFSETS:	58-63
       TOKENS:	P36W17-P36W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zawoj_1]
   UNSPLITVOC:	(zawojhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	zawoj+hA
        GLOSS:	spouse/husband+its/their/her

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W15
      OFFSETS:	63-64
       TOKENS:	P36W19-P36W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W16
      OFFSETS:	64-65
       TOKENS:	P36W20-P36W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P37W1
      OFFSETS:	0-3
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P37W2
      OFFSETS:	4-8
       TOKENS:	P37W2-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+it/they/she

 INPUT STRING:	ضعيفة
     IS_TRANS:	DEyfp
        INDEX:	P37W3
      OFFSETS:	9-14
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaEiyf_1]
   UNSPLITVOC:	(DaEiyfap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	DaEiyf+ap
        GLOSS:	weak+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P37W4
      OFFSETS:	15-18
       TOKENS:	P37W5-P37W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	هيك
     IS_TRANS:	hyk
        INDEX:	P37W5
      OFFSETS:	19-22
       TOKENS:	P37W6-P37W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hiyk_1]
   UNSPLITVOC:	(hiyk)
          POS:	DEM_PRON_MS
          VOC:	hiyk
        GLOSS:	this [masc.sg.]

 INPUT STRING:	شي
     IS_TRANS:	$y
        INDEX:	P37W6
      OFFSETS:	23-25
       TOKENS:	P37W7-P37W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iy_1]
   UNSPLITVOC:	($iy)
          POS:	NOUN
          VOC:	$iy
        GLOSS:	something/thing

 INPUT STRING:	فاسمحوا
     IS_TRANS:	fAsmHwA
        INDEX:	P37W7
      OFFSETS:	26-33
       TOKENS:	P37W8-P37W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samaH_1]
   UNSPLITVOC:	(faAisomaHuwA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2P
          VOC:	fa+AisomaH+uwA
        GLOSS:	so/and+allow/permit/authorize/be allowed/be permitted/be authorized+they

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P37W8
      OFFSETS:	34-36
       TOKENS:	P37W10-P37W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~a)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/for+me

 INPUT STRING:	اقول
     IS_TRANS:	Aqwl
        INDEX:	P37W9
      OFFSETS:	37-41
       TOKENS:	P37W12-P37W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl)
          POS:	IV1S+IV
          VOC:	Aa+quwl
        GLOSS:	I+said/say/be said/say/(for example)

 INPUT STRING:	لكم
     IS_TRANS:	lkm
        INDEX:	P37W10
      OFFSETS:	42-45
       TOKENS:	P37W13-P37W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lakum)
          POS:	PREP+PRON_2P
          VOC:	la+kum
        GLOSS:	to/for+you [masc.pl.]

 INPUT STRING:	غلط
     IS_TRANS:	glT
        INDEX:	P37W11
      OFFSETS:	46-49
       TOKENS:	P37W15-P37W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galaT_1]
   UNSPLITVOC:	(galaT)
          POS:	ADJ
          VOC:	galaT
        GLOSS:	wrong

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P38W1
      OFFSETS:	0-3
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فكرة
     IS_TRANS:	fkrp
        INDEX:	P38W2
      OFFSETS:	4-8
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P38W3
      OFFSETS:	9-12
       TOKENS:	P38W3-P38W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	موافق
     IS_TRANS:	mwAfq
        INDEX:	P38W4
      OFFSETS:	13-18
       TOKENS:	P38W4-P38W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwAfiq_1]
   UNSPLITVOC:	(muwAfiq)
          POS:	ADJ
          VOC:	muwAfiq
        GLOSS:	agreeing/consenting/corresponding to

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P38W5
      OFFSETS:	19-22
       TOKENS:	P38W5-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	رأي
     IS_TRANS:	r>y
        INDEX:	P38W6
      OFFSETS:	23-26
       TOKENS:	P38W6-P38W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea

 INPUT STRING:	حنين
     IS_TRANS:	Hnyn
        INDEX:	P38W7
      OFFSETS:	27-31
       TOKENS:	P38W7-P38W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hinayn_1]
   UNSPLITVOC:	(Hinayn)
          POS:	NOUN_PROP
          VOC:	Hinayn
        GLOSS:	hanin

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P38W8
      OFFSETS:	32-35
       TOKENS:	P38W8-P38W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	المرأة
     IS_TRANS:	Almr>p
        INDEX:	P39W1
      OFFSETS:	0-6
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P39W2
      OFFSETS:	7-11
       TOKENS:	P39W2-P39W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	NOUN
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	تسوق
     IS_TRANS:	tswq
        INDEX:	P39W3
