 INPUT STRING:	بالبلدى

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P93W10
      OFFSETS:	46-51
       TOKENS:	P93W11-P93W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case

 INPUT STRING:	علاقات
     IS_TRANS:	ElAqAt
        INDEX:	P93W11
      OFFSETS:	52-58
       TOKENS:	P93W13-P93W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EilAqap_1]
   UNSPLITVOC:	(EilAqAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	EilAq+At
        GLOSS:	ties/relations/contacts/links+[fem.pl.]

 INPUT STRING:	حب
     IS_TRANS:	Hb
        INDEX:	P93W12
      OFFSETS:	59-61
       TOKENS:	P93W14-P93W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hub~_1]
   UNSPLITVOC:	(Hub~)
          POS:	NOUN
          VOC:	Hub~
        GLOSS:	love/affection

 INPUT STRING:	وكلام
     IS_TRANS:	wklAm
        INDEX:	P93W13
      OFFSETS:	62-67
       TOKENS:	P93W15-P93W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(wikalAm)
          POS:	CONJ+NOUN
          VOC:	wi+kalAm
        GLOSS:	and+speech/statement/remark/talk/saying

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P93W14
      OFFSETS:	68-70
       TOKENS:	P93W17-P93W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P93W15
      OFFSETS:	71-73
       TOKENS:	P93W18-P93W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this [masc.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P93W16
      OFFSETS:	73-74
       TOKENS:	P93W19-P93W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P93W17
      OFFSETS:	74-75
       TOKENS:	P93W20-P93W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P94W1
      OFFSETS:	0-4
       TOKENS:	P94W1-P94W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/remain

 INPUT STRING:	أنت
     IS_TRANS:	>nt
        INDEX:	P94W2
      OFFSETS:	5-8
       TOKENS:	P94W2-P94W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P94W3
      OFFSETS:	9-12
       TOKENS:	P94W3-P94W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like that

 INPUT STRING:	بتشكك
     IS_TRANS:	bt$kk
        INDEX:	P94W4
      OFFSETS:	13-18
       TOKENS:	P94W4-P94W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ak~ik_1]
   UNSPLITVOC:	(biti$ak~ik)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+$ak~ik
        GLOSS:	[present-tense]+you [masc.sg.]+make doubt/give suspicions

 INPUT STRING:	وبتعيب
     IS_TRANS:	wbtEyb
        INDEX:	P94W5
      OFFSETS:	19-25
       TOKENS:	P94W6-P94W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAb_2]
   UNSPLITVOC:	(wibitiEiyb)
          POS:	CONJ+PROG_PART+IV2MS+IV
          VOC:	wi+bi+ti+Eiyb
        GLOSS:	and+[present-tense]+you [masc.sg.]+fault

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P94W6
      OFFSETS:	26-28
       TOKENS:	P94W9-P94W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أبوك
     IS_TRANS:	>bwk
        INDEX:	P94W7
      OFFSETS:	29-33
       TOKENS:	P94W10-P94W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ab~_1]
   UNSPLITVOC:	(>abuwk)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	>abuw+ak
        GLOSS:	father+your

 INPUT STRING:	وامك
     IS_TRANS:	wAmk
        INDEX:	P94W8
      OFFSETS:	34-38
       TOKENS:	P94W12-P94W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(wi>um~ak)
          POS:	CONJ+NOUN+POSS_PRON_2MS
          VOC:	wi+>um~+ak
        GLOSS:	and+mother/maternal/mothers+your

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P94W9
      OFFSETS:	38-39
       TOKENS:	P94W15-P94W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P94W10
      OFFSETS:	39-40
       TOKENS:	P94W16-P94W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	لإن
     IS_TRANS:	l<n
        INDEX:	P95W1
      OFFSETS:	0-3
       TOKENS:	P95W1-P95W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for/to+that

 INPUT STRING:	أبوك
     IS_TRANS:	>bwk
        INDEX:	P95W2
      OFFSETS:	4-8
       TOKENS:	P95W3-P95W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ab~_1]
   UNSPLITVOC:	(>abuwk)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	>abuw+ak
        GLOSS:	father+your

 INPUT STRING:	وأمك
     IS_TRANS:	w>mk
        INDEX:	P95W3
      OFFSETS:	9-13
       TOKENS:	P95W5-P95W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(wi>um~ak)
          POS:	CONJ+NOUN+POSS_PRON_2MS
          VOC:	wi+>um~+ak
        GLOSS:	and+mother/maternal/mothers+your

 INPUT STRING:	معرفوش
     IS_TRANS:	mErfw$
        INDEX:	P95W4
      OFFSETS:	14-20
       TOKENS:	P95W8-P95W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(mA_Eirofuw$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3P+NEG_PART
          VOC:	mA+Eirof+uwA+$
        GLOSS:	not+know+they+not

 INPUT STRING:	يربوا
     IS_TRANS:	yrbwA
        INDEX:	P95W5
      OFFSETS:	21-26
       TOKENS:	P95W11-P95W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~ay_1]
   UNSPLITVOC:	(yirab~uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+rab~+uwA
        GLOSS:	they+raise/grow+[pl.]

 INPUT STRING:	أختك
     IS_TRANS:	>xtk
        INDEX:	P95W6
      OFFSETS:	27-31
       TOKENS:	P95W12-P95W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(>uxotak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	>uxot+ak
        GLOSS:	sister/counterpart+your

 INPUT STRING:	النصرانية
     IS_TRANS:	AlnSrAnyp
        INDEX:	P95W7
      OFFSETS:	32-41
       TOKENS:	P95W14-P95W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSorAniy_1]
   UNSPLITVOC:	(Aln~aSorAniy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+naSorAniy~+ap
        GLOSS:	the+Christian+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P95W8
      OFFSETS:	42-46
       TOKENS:	P95W15-P95W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	بتدخل
     IS_TRANS:	btdxl
        INDEX:	P95W9
      OFFSETS:	47-52
       TOKENS:	P95W16-P95W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(bitidoxul)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+doxul
        GLOSS:	[present-tense]+it/they/she+enter

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P95W10
      OFFSETS:	53-55
       TOKENS:	P95W18-P95W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الإسلام
     IS_TRANS:	Al<slAm
        INDEX:	P95W11
      OFFSETS:	56-63
       TOKENS:	P95W19-P95W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAm_1]
   UNSPLITVOC:	(Al<isolAm)
          POS:	DET+NOUN
          VOC:	Al+<isolAm
        GLOSS:	the+Islam

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P95W12
      OFFSETS:	63-64
       TOKENS:	P95W20-P95W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P95W13
      OFFSETS:	64-65
       TOKENS:	P95W21-P95W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P96W1
      OFFSETS:	0-3
       TOKENS:	P96W1-P96W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to, as for, as far as , but, however, yet, on the other hand

 INPUT STRING:	أبهات
     IS_TRANS:	>bhAt
        INDEX:	P96W2
      OFFSETS:	4-9
       TOKENS:	P96W2-P96W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>b~_1]
   UNSPLITVOC:	(>b~ahAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	>b~ah+At
        GLOSS:	fathers+[fem.pl.]

 INPUT STRING:	وأمهات
     IS_TRANS:	w>mhAt
        INDEX:	P96W3
      OFFSETS:	10-16
       TOKENS:	P96W3-P96W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(wi>um~ahAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+>um~ah+At
        GLOSS:	and+mothers+[fem.pl.]

 INPUT STRING:	آخر
     IS_TRANS:	|xr
        INDEX:	P96W4
      OFFSETS:	17-20
       TOKENS:	P96W5-P96W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xir_1]
   UNSPLITVOC:	(|xir)
          POS:	ADJ_COMP
          VOC:	|xir
        GLOSS:	last/end

 INPUT STRING:	زمن
     IS_TRANS:	zmn
        INDEX:	P96W5
      OFFSETS:	21-24
       TOKENS:	P96W6-P96W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaman_1]
   UNSPLITVOC:	(zaman)
          POS:	NOUN
          VOC:	zaman
        GLOSS:	time/period/duration

 INPUT STRING:	صحيح
     IS_TRANS:	SHyH
        INDEX:	P96W6
      OFFSETS:	25-29
       TOKENS:	P96W7-P96W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyH_1]
   UNSPLITVOC:	(SaHiyH)
          POS:	ADJ
          VOC:	SaHiyH
        GLOSS:	really/truly

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P96W7
      OFFSETS:	29-30
       TOKENS:	P96W8-P96W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P96W8
      OFFSETS:	30-31
       TOKENS:	P96W9-P96W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	بقوا
     IS_TRANS:	bqwA
        INDEX:	P97W1
      OFFSETS:	0-4
       TOKENS:	P97W1-P97W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baquwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	baq+uwA
        GLOSS:	become/remain+they

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P97W2
      OFFSETS:	5-7
       TOKENS:	P97W2-P97W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P97W3
      OFFSETS:	8-14
       TOKENS:	P97W3-P97W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+[masc.pl.]

 INPUT STRING:	تربوا
     IS_TRANS:	trbwA
        INDEX:	P97W4
      OFFSETS:	15-20
       TOKENS:	P97W4-P97W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~ay_1]
   UNSPLITVOC:	(tirab~uwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+rab~+uwA
        GLOSS:	you [pl.]+raise/grow+[pl.]

 INPUT STRING:	بناتكم
     IS_TRANS:	bnAtkm
        INDEX:	P97W5
      OFFSETS:	21-27
       TOKENS:	P97W5-P97W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(banAtkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	banAt+kum
        GLOSS:	daughters/girls+your [pl.]

 INPUT STRING:	لدرجة
     IS_TRANS:	ldrjp
        INDEX:	P97W6
      OFFSETS:	28-33
       TOKENS:	P97W7-P97W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[darajap_1]
   UNSPLITVOC:	(lidarajap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+daraj+ap
        GLOSS:	for/to+egree/class/rank/grade/level+[fem.sg.]

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P97W7
      OFFSETS:	34-38
       TOKENS:	P97W9-P97W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	قربوا
     IS_TRANS:	qrbwA
        INDEX:	P97W8
      OFFSETS:	39-44
       TOKENS:	P97W11-P97W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qar~ab_1]
   UNSPLITVOC:	(qar~abuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qar~ab+uwA
        GLOSS:	bring close/approximate+they [verb]

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P97W9
      OFFSETS:	45-49
       TOKENS:	P97W12-P97W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uhum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all, entire, every, whole+their

 INPUT STRING:	يدخلن
     IS_TRANS:	ydxln
        INDEX:	P97W10
      OFFSETS:	50-55
       TOKENS:	P97W14-P97W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(yidoxulna)
          POS:	IV3FP+IV+IVSUFF_SUBJ:FP
          VOC:	yi+doxul+na
        GLOSS:	they (women)+enter+[fem.pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P97W11
      OFFSETS:	56-58
       TOKENS:	P97W15-P97W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الإسلام
     IS_TRANS:	Al<slAm
        INDEX:	P97W12
      OFFSETS:	59-66
       TOKENS:	P97W16-P97W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAm_1]
   UNSPLITVOC:	(Al<isolAm)
          POS:	DET+NOUN
          VOC:	Al+<isolAm
        GLOSS:	the+Islam

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P97W13
      OFFSETS:	67-68
       TOKENS:	P97W17-P97W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P97W14
      OFFSETS:	68-69
       TOKENS:	P97W18-P97W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P98W1
      OFFSETS:	0-2
       TOKENS:	P98W1-P98W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	عيب
     IS_TRANS:	Eyb
        INDEX:	P98W2
      OFFSETS:	3-6
       TOKENS:	P98W2-P98W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayb_1]
   UNSPLITVOC:	(Eayb)
          POS:	NOUN
          VOC:	Eayb
        GLOSS:	shame/fault

 INPUT STRING:	الشوم
     IS_TRANS:	Al$wm
        INDEX:	P98W3
      OFFSETS:	7-12
       TOKENS:	P98W3-P98W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uwmap_1]
   UNSPLITVOC:	(Al$~uwm)
          POS:	DET+NOUN
          VOC:	Al+$uwm
        GLOSS:	the+calamity/evil omen

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P98W4
      OFFSETS:	13-14
       TOKENS:	P98W4-P98W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P98W5
      OFFSETS:	14-15
       TOKENS:	P98W5-P98W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P98W6
      OFFSETS:	15-16
       TOKENS:	P98W6-P98W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P99W1
      OFFSETS:	0-3
       TOKENS:	P99W1-P99W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P99W2
      OFFSETS:	4-8
       TOKENS:	P99W2-P99W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$_1]
   UNSPLITVOC:	(maEoli$)
          POS:	INTERJ
          VOC:	maEoli$
        GLOSS:	never mind

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P99W3
      OFFSETS:	9-12
       TOKENS:	P99W3-P99W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P99W4
      OFFSETS:	13-16
       TOKENS:	P99W4-P99W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_PRON
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	البنت
     IS_TRANS:	Albnt
        INDEX:	P99W5
      OFFSETS:	17-22
       TOKENS:	P99W5-P99W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(Albinot)
          POS:	DET+NOUN
          VOC:	Al+binot
        GLOSS:	the+daughter/girl

 INPUT STRING:	بتكون
     IS_TRANS:	btkwn
        INDEX:	P99W6
      OFFSETS:	23-28
       TOKENS:	P99W6-P99W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(bitikuwn)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+kuwn
        GLOSS:	[present-tense]+it/they/she+be

 INPUT STRING:	لابسه
     IS_TRANS:	lAbsh
        INDEX:	P99W7
      OFFSETS:	29-34
       TOKENS:	P99W8-P99W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
