 INPUT STRING:	الموضوع
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	تمنتاشر
     IS_TRANS:	tmntA$r
        INDEX:	P31W8
      OFFSETS:	32-39
       TOKENS:	P31W9-P31W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vamantA$ar_1]
   UNSPLITVOC:	(vamantA$ar)
          POS:	NOUN_NUM
          VOC:	vamantA$ar
        GLOSS:	eighteen

 INPUT STRING:	يناير
     IS_TRANS:	ynAyr
        INDEX:	P31W9
      OFFSETS:	40-45
       TOKENS:	P31W10-P31W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yanAyir_1]
   UNSPLITVOC:	(yanAyir)
          POS:	NOUN
          VOC:	yanAyir
        GLOSS:	January

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P31W10
      OFFSETS:	46-49
       TOKENS:	P31W11-P31W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P31W11
      OFFSETS:	50-52
       TOKENS:	P31W12-P31W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	جالي
     IS_TRANS:	jAly
        INDEX:	P31W12
      OFFSETS:	53-57
       TOKENS:	P31W13-P31W13
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(jAly)
          POS:	NO_FUNC
          VOC:	jAly
        GLOSS:	nogloss

 INPUT STRING:	الشلل
     IS_TRANS:	Al$ll
        INDEX:	P31W13
      OFFSETS:	58-63
       TOKENS:	P31W14-P31W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$alal_1]
   UNSPLITVOC:	(Al$~alal)
          POS:	DET+NOUN
          VOC:	Al+$alal
        GLOSS:	the+paralysis/impotence/inertia

 INPUT STRING:	الحمدلله
     IS_TRANS:	AlHmdllh
        INDEX:	P32W1
      OFFSETS:	0-8
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlHmdllh)
          POS:	NO_FUNC
          VOC:	AlHmdllh
        GLOSS:	nogloss

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P32W2
      OFFSETS:	9-13
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	خلاني
     IS_TRANS:	xlAny
        INDEX:	P32W3
      OFFSETS:	14-19
       TOKENS:	P32W3-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~Aniy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1S
          VOC:	xal~A+(null)+niy
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+he/it+me

 INPUT STRING:	اقدر
     IS_TRANS:	Aqdr
        INDEX:	P32W4
      OFFSETS:	20-24
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadar_1]
   UNSPLITVOC:	(Aaqodar)
          POS:	IV1S+IV
          VOC:	Aa+qodar
        GLOSS:	I+be able

 INPUT STRING:	استعمل
     IS_TRANS:	AstEml
        INDEX:	P32W5
      OFFSETS:	25-31
       TOKENS:	P32W6-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotaEomil_1]
   UNSPLITVOC:	(AasotaEomil)
          POS:	IV1S+IV
          VOC:	Aa+sotaEomil
        GLOSS:	I+use

 INPUT STRING:	ايدي
     IS_TRANS:	Aydy
        INDEX:	P32W6
      OFFSETS:	32-36
       TOKENS:	P32W7-P32W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(<iydiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	<iyd+iy
        GLOSS:	hand+my

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P32W7
      OFFSETS:	37-41
       TOKENS:	P32W9-P32W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/again

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P32W8
      OFFSETS:	42-45
       TOKENS:	P32W10-P32W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wilaw)
          POS:	CONJ+PART
          VOC:	wi+law
        GLOSS:	and+even

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P32W9
      OFFSETS:	46-50
       TOKENS:	P32W12-P32W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	تسع
     IS_TRANS:	tsE
        INDEX:	P32W10
      OFFSETS:	51-54
       TOKENS:	P32W14-P32W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tisaE_1]
   UNSPLITVOC:	(tisaE)
          POS:	NOUN_NUM
          VOC:	tisaE
        GLOSS:	nine

 INPUT STRING:	صوابع
     IS_TRANS:	SwAbE
        INDEX:	P32W11
      OFFSETS:	55-60
       TOKENS:	P32W15-P32W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<iSbiE_1]
   UNSPLITVOC:	(SawAbiE)
          POS:	NOUN
          VOC:	SawAbiE
        GLOSS:	fingers

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P32W12
      OFFSETS:	61-63
       TOKENS:	P32W16-P32W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	الحمدلله
     IS_TRANS:	AlHmdllh
        INDEX:	P32W13
      OFFSETS:	64-72
       TOKENS:	P32W17-P32W17
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlHmdllh)
          POS:	NO_FUNC
          VOC:	AlHmdllh
        GLOSS:	nogloss

 INPUT STRING:	الحمدلله
     IS_TRANS:	AlHmdllh
        INDEX:	P32W14
      OFFSETS:	73-81
       TOKENS:	P32W18-P32W18
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlHmdllh)
          POS:	NO_FUNC
          VOC:	AlHmdllh
        GLOSS:	nogloss

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P32W15
      OFFSETS:	82-86
       TOKENS:	P32W19-P32W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	ايد
     IS_TRANS:	Ayd
        INDEX:	P32W16
      OFFSETS:	87-90
       TOKENS:	P32W20-P32W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(<iyd)
          POS:	NOUN
          VOC:	<iyd
        GLOSS:	hand

 INPUT STRING:	كاملة
     IS_TRANS:	kAmlp
        INDEX:	P32W17
      OFFSETS:	91-96
       TOKENS:	P32W21-P32W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmil_1]
   UNSPLITVOC:	(kAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kAmol+ap
        GLOSS:	complete/full/integral+[fem.sg.]

 INPUT STRING:	حاسة
     IS_TRANS:	HAsp
        INDEX:	P33W1
      OFFSETS:	0-4
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAsis_1]
   UNSPLITVOC:	(HAs~ap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	HAs~+ap
        GLOSS:	feeling+[fem.sg.]

 INPUT STRING:	اني
     IS_TRANS:	Any
        INDEX:	P33W2
      OFFSETS:	5-8
       TOKENS:	P33W2-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ain~_1]
   UNSPLITVOC:	(Ain~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	Ain~+iy
        GLOSS:	that+I

 INPUT STRING:	بوظت
     IS_TRANS:	bwZt
        INDEX:	P33W3
      OFFSETS:	9-13
       TOKENS:	P33W4-P33W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baw~aZ_1]
   UNSPLITVOC:	(baw~aZit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	baw~aZ+it
        GLOSS:	spoil/corrupt+it/they/she

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P33W4
      OFFSETS:	14-21
       TOKENS:	P33W5-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P33W5
      OFFSETS:	21-22
       TOKENS:	P33W6-P33W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	بقالى
     IS_TRANS:	bqAlY
        INDEX:	P34W1
      OFFSETS:	0-5
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(bqAlY)
          POS:	NO_FUNC
          VOC:	bqAlY
        GLOSS:	nogloss

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P34W2
      OFFSETS:	6-10
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	much/many

 INPUT STRING:	مادخلتش
     IS_TRANS:	mAdxlt$
        INDEX:	P34W3
      OFFSETS:	11-18
       TOKENS:	P34W3-P34W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(mA_daxalti$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	mA+daxal+t+$
        GLOSS:	not+enter/be entered+I+not

 INPUT STRING:	المصطبة
     IS_TRANS:	AlmSTbp
        INDEX:	P34W4
      OFFSETS:	19-26
       TOKENS:	P34W6-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoTabap_1]
   UNSPLITVOC:	(AlmaSoTabap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maSoTab+ap
        GLOSS:	the+mastaba/stone bench+[fem.sg.]

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P35W1
      OFFSETS:	0-7
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	شدنى
     IS_TRANS:	$dnY
        INDEX:	P35W2
      OFFSETS:	8-12
       TOKENS:	P35W2-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ad~_1]
   UNSPLITVOC:	($ad~iniy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1S
          VOC:	$ad~i+(null)+niy
        GLOSS:	attract/hold+he/it+me

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P35W3
      OFFSETS:	13-15
       TOKENS:	P35W4-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/every/entire

 INPUT STRING:	مصرى
     IS_TRANS:	mSrY
        INDEX:	P35W4
      OFFSETS:	16-20
       TOKENS:	P35W5-P35W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	ADJ
          VOC:	maSoriy
        GLOSS:	Egyptian

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P35W5
      OFFSETS:	21-23
       TOKENS:	P35W6-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	شاهد
     IS_TRANS:	$Ahd
        INDEX:	P35W6
      OFFSETS:	24-28
       TOKENS:	P35W7-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ahid_1]
   UNSPLITVOC:	($Ahid)
          POS:	NOUN
          VOC:	$Ahid
        GLOSS:	witness/spectator/witnesses/spectators

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P35W7
      OFFSETS:	29-32
       TOKENS:	P35W8-P35W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P35W8
      OFFSETS:	33-39
       TOKENS:	P35W9-P35W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P35W9
      OFFSETS:	40-42
       TOKENS:	P35W10-P35W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	زاوية
     IS_TRANS:	zAwyp
        INDEX:	P35W10
      OFFSETS:	43-48
       TOKENS:	P35W11-P35W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zAwoyap_1]
   UNSPLITVOC:	(zAwoyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	zAwoy+ap
        GLOSS:	corner+[fem.sg.]

 INPUT STRING:	تخصه
     IS_TRANS:	txSh
        INDEX:	P35W11
      OFFSETS:	49-53
       TOKENS:	P35W12-P35W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaS~_1]
   UNSPLITVOC:	(tixuS~uh)
          POS:	IV3FS+IV+IVSUFF_DO:3MS
          VOC:	ti+xuS~+uh
        GLOSS:	it/they/she+concern/stipulate/confer+it/him

 INPUT STRING:	مازلت
     IS_TRANS:	mAzlt
        INDEX:	P36W1
      OFFSETS:	0-5
       TOKENS:	P36W1-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*Al_1]
   UNSPLITVOC:	(mA_zilt)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S
          VOC:	mA+zil+t
        GLOSS:	not+cease/stop being/stop doing+I

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P36W2
      OFFSETS:	6-8
       TOKENS:	P36W3-P36W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مرحلة
     IS_TRANS:	mrHlp
        INDEX:	P36W3
      OFFSETS:	9-14
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maroHalap_1]
   UNSPLITVOC:	(maroHalap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maroHal+ap
        GLOSS:	phase/stage/round+[fem.sg.]

 INPUT STRING:	الصدمة
     IS_TRANS:	AlSdmp
        INDEX:	P36W4
      OFFSETS:	15-21
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sadomap_1]
   UNSPLITVOC:	(AlS~adomap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Sadom+ap
        GLOSS:	the+shock/blow/shocks/blows+[fem.sg.]

 INPUT STRING:	بالرغم
     IS_TRANS:	bAlrgm
        INDEX:	P36W5
      OFFSETS:	22-28
       TOKENS:	P36W6-P36W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(biAlr~agom)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ragom
        GLOSS:	with/by+the+in spite of/despite

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P36W6
      OFFSETS:	29-31
       TOKENS:	P36W8-P36W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مشاركتى
     IS_TRANS:	m$ArktY
        INDEX:	P36W7
      OFFSETS:	32-39
       TOKENS:	P36W9-P36W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu$Arakap_1]
   UNSPLITVOC:	(mu$Arakapiy)
          POS:	NOUN.VN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	mu$Arak+ap+iy
        GLOSS:	participation+[fem.sg.]+my

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P36W8
      OFFSETS:	40-42
       TOKENS:	P36W11-P36W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الفعاليات
     IS_TRANS:	AlfEAlyAt
        INDEX:	P36W9
      OFFSETS:	43-52
       TOKENS:	P36W12-P36W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faEAliy~ap_1]
   UNSPLITVOC:	(AlfaEAliy~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+faEAliy~+At
        GLOSS:	the+events/activities+[fem.pl.]

 INPUT STRING:	ولكنها
     IS_TRANS:	wlknhA
        INDEX:	P36W10
      OFFSETS:	53-59
       TOKENS:	P36W13-P36W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wilakin~ahA)
          POS:	CONJ+CONJ+PRON_3FS
          VOC:	wi+lakin~+ahA
        GLOSS:	and+but/however+it/they/she

 INPUT STRING:	حالة
     IS_TRANS:	HAlp
        INDEX:	P36W11
      OFFSETS:	60-64
       TOKENS:	P36W16-P36W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAlap_1]
   UNSPLITVOC:	(HAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAl+ap
        GLOSS:	condition/case/situation/cases/situations/instances+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P36W12
      OFFSETS:	65-67
       TOKENS:	P36W17-P36W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	فقدان
     IS_TRANS:	fqdAn
        INDEX:	P36W13
      OFFSETS:	68-73
       TOKENS:	P36W18-P36W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqadAn_1]
   UNSPLITVOC:	(faqadAn)
          POS:	NOUN
          VOC:	faqadAn
        GLOSS:	loss/breavement

 INPUT STRING:	النطق
     IS_TRANS:	AlnTq
        INDEX:	P36W14
      OFFSETS:	74-79
       TOKENS:	P36W19-P36W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuToq_1]
   UNSPLITVOC:	(Aln~uToq)
          POS:	DET+NOUN
          VOC:	Al+nuToq
        GLOSS:	the+pronunciation/utterance/decree

 INPUT STRING:	اعجبنى
     IS_TRANS:	AEjbnY
        INDEX:	P37W1
      OFFSETS:	0-6
       TOKENS:	P37W1-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEojab_1]
   UNSPLITVOC:	(>aEojabniy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1S
          VOC:	>aEojab+(null)+niy
        GLOSS:	delight/please/be delighted/be pleased/admire+he/it+me

 INPUT STRING:	احساس
     IS_TRANS:	AHsAs
        INDEX:	P37W2
      OFFSETS:	7-12
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHosAs_1]
   UNSPLITVOC:	(AiHosAs)
          POS:	NOUN
          VOC:	AiHosAs
        GLOSS:	feeling/sensitivitiy

 INPUT STRING:	المغترب
     IS_TRANS:	Almgtrb
        INDEX:	P37W3
      OFFSETS:	13-20
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[migotirib_1]
   UNSPLITVOC:	(Almigotirib)
          POS:	DET+ADJ
          VOC:	Al+migotirib
        GLOSS:	the+expatriate/foreigner

 INPUT STRING:	بان
     IS_TRANS:	bAn
        INDEX:	P37W4
      OFFSETS:	21-24
       TOKENS:	P37W5-P37W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(bi<in~)
          POS:	PREP+SUB_CONJ
          VOC:	bi+<in~
        GLOSS:	with/by+that

 INPUT STRING:	النظام
     IS_TRANS:	AlnZAm
        INDEX:	P37W5
      OFFSETS:	25-31
       TOKENS:	P37W7-P37W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(Aln~iZAm)
          POS:	DET+NOUN
          VOC:	Al+niZAm
        GLOSS:	the+regime/government

 INPUT STRING:	السابق
     IS_TRANS:	AlsAbq
        INDEX:	P37W6
      OFFSETS:	32-38
       TOKENS:	P37W8-P37W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(Als~Abiq)
          POS:	DET+ADJ
          VOC:	Al+sAbiq
        GLOSS:	the+former/previous/preceding

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P37W7
      OFFSETS:	39-41
       TOKENS:	P37W9-P37W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
