 INPUT STRING:	بسم
       TOKENS:	P15W12-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiyiquwlik)
          POS:	CONJ+IV3MS+IV+PREP+PRON_2FS
          VOC:	wi+yi+quwl+li+ik
        GLOSS:	and+he/it+said+for/to+you

 INPUT STRING:	مفيييييش
     IS_TRANS:	mfyyyyy$
        INDEX:	P15W11
      OFFSETS:	72-80
       TOKENS:	P15W16-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(mafiyuh$)
          POS:	NEG_PART+PREP+PRON_3MS+NEG_PART
          VOC:	ma+fiy+uh+$
        GLOSS:	not+in+it/him+not

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P15W12
      OFFSETS:	81-84
       TOKENS:	P15W20-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	رصاصة
     IS_TRANS:	rSASp
        INDEX:	P15W13
      OFFSETS:	85-90
       TOKENS:	P15W22-P15W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruSASap_1]
   UNSPLITVOC:	(ruSASap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ruSAS+ap
        GLOSS:	bullets+[fem.sg.]

 INPUT STRING:	اضربت
     IS_TRANS:	ADrbt
        INDEX:	P15W14
      OFFSETS:	91-96
       TOKENS:	P15W23-P15W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aDarab_1]
   UNSPLITVOC:	(>aDarabit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	>aDarab+it
        GLOSS:	be struck/be hit+it/they/she

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al~ah_1]
   UNSPLITVOC:	(Al~ah)
          POS:	INTERJ
          VOC:	Al~ah
        GLOSS:	yes

 INPUT STRING:	امال
     IS_TRANS:	AmAl
        INDEX:	P16W2
      OFFSETS:	5-9
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~Al_1]
   UNSPLITVOC:	(>um~Al)
          POS:	ADV
          VOC:	>um~Al
        GLOSS:	hence/then

 INPUT STRING:	ايييييية
     IS_TRANS:	Ayyyyyyp
        INDEX:	P16W3
      OFFSETS:	10-18
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	الشهدااااااء
     IS_TRANS:	Al$hdAAAAAA'
        INDEX:	P16W4
      OFFSETS:	19-31
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ahiyd_1]
   UNSPLITVOC:	(Al$uhadA')
          POS:	DET+NOUN
          VOC:	Al+$uhadA'
        GLOSS:	the+martyrs

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P16W5
      OFFSETS:	32-34
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P16W6
      OFFSETS:	35-38
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these

 INPUT STRING:	سحل
     IS_TRANS:	sHl
        INDEX:	P16W7
      OFFSETS:	39-42
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saHol_1]
   UNSPLITVOC:	(saHol)
          POS:	NOUN
          VOC:	saHol
        GLOSS:	scraping

 INPUT STRING:	وضرب
     IS_TRANS:	wDrb
        INDEX:	P16W8
      OFFSETS:	43-47
       TOKENS:	P16W8-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darob_1]
   UNSPLITVOC:	(wiDarob)
          POS:	CONJ+NOUN
          VOC:	wi+Darob
        GLOSS:	and+beating/hitting/striking

 INPUT STRING:	واعتقااااااال
     IS_TRANS:	wAEtqAAAAAAAl
        INDEX:	P16W9
      OFFSETS:	48-61
       TOKENS:	P16W10-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iEtaqAl_1]
   UNSPLITVOC:	(waAiEtaqAl)
          POS:	CONJ+NOUN
          VOC:	wa+<iEtaqAl
        GLOSS:	and+arrest/dete

 INPUT STRING:	ودهس
     IS_TRANS:	wdhs
        INDEX:	P16W10
      OFFSETS:	62-66
       TOKENS:	P16W12-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dahos_1]
   UNSPLITVOC:	(widahos)
          POS:	CONJ+NOUN
          VOC:	wi+dahos
        GLOSS:	and+trampling

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P16W11
      OFFSETS:	67-69
       TOKENS:	P16W14-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bil)
          POS:	PREP+DET
          VOC:	bi+Al
        GLOSS:	with/by+the

 INPUT STRING:	مضرعاااات
     IS_TRANS:	mDrEAAAAt
        INDEX:	P16W12
      OFFSETS:	70-79
       TOKENS:	P16W16-P16W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muDar~aE_1]
   UNSPLITVOC:	(muDar~aEAt)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	muDar~aE+At
        GLOSS:	Armor+[masc.pl.]

 INPUT STRING:	وقنابل
     IS_TRANS:	wqnAbl
        INDEX:	P16W13
      OFFSETS:	80-86
       TOKENS:	P16W17-P16W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qunobulap_1]
   UNSPLITVOC:	(wiqanAbil)
          POS:	CONJ+NOUN
          VOC:	wi+qanAbil
        GLOSS:	and+bombs/shells/grenades

 INPUT STRING:	مسيلة
     IS_TRANS:	msylp
        INDEX:	P16W14
      OFFSETS:	87-92
       TOKENS:	P16W19-P16W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musay~il_1]
   UNSPLITVOC:	(musay~ilap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	musay~il+ap
        GLOSS:	making flow (tear gas)+[fem.sg.]

 INPUT STRING:	للاعصاااب
     IS_TRANS:	llAESAAAb
        INDEX:	P16W15
      OFFSETS:	93-102
       TOKENS:	P16W20-P16W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EaSab_1]
   UNSPLITVOC:	(liAl>aESAb)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>aESAb
        GLOSS:	for/to+the+nerves

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P16W16
      OFFSETS:	103-106
       TOKENS:	P16W22-P16W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P16W17
      OFFSETS:	107-109
       TOKENS:	P16W24-P16W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	متصور
     IS_TRANS:	mtSwr
        INDEX:	P16W18
      OFFSETS:	110-115
       TOKENS:	P16W25-P16W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitoSaw~ar_1]
   UNSPLITVOC:	(mitoSaw~ar)
          POS:	ADJ
          VOC:	mitoSaw~ar
        GLOSS:	have a photo

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P16W19
      OFFSETS:	116-119
       TOKENS:	P16W26-P16W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اليوتيوب
     IS_TRANS:	Alywtywb
        INDEX:	P16W20
      OFFSETS:	120-128
       TOKENS:	P16W27-P16W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alywtywb)
          POS:	FOREIGN
          VOC:	Alywtywb
        GLOSS:	nogloss

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P16W21
      OFFSETS:	129-133
       TOKENS:	P16W28-P16W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	laughing

 INPUT STRING:	ويقولك
     IS_TRANS:	wyqwlk
        INDEX:	P16W22
      OFFSETS:	134-140
       TOKENS:	P16W29-P16W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiyiquwlliik)
          POS:	CONJ+IV3MS+IV+PREP+PRON_2FS
          VOC:	wi+yi+quwl+li+ik
        GLOSS:	and+he/it+said+for/to+you

 INPUT STRING:	فتوشوب
     IS_TRANS:	ftw$wb
        INDEX:	P16W23
      OFFSETS:	141-147
       TOKENS:	P16W33-P16W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(ftw$wb)
          POS:	FOREIGN
          VOC:	ftw$wb
        GLOSS:	nogloss

 INPUT STRING:	للدرجااادى
     IS_TRANS:	lldrjAAAdY
        INDEX:	P17W1
      OFFSETS:	0-10
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lldrjAAAdY)
          POS:	NO_FUNC
          VOC:	lldrjAAAdY
        GLOSS:	nogloss

 INPUT STRING:	عقولنا
     IS_TRANS:	EqwlnA
        INDEX:	P17W2
      OFFSETS:	11-17
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqol_1]
   UNSPLITVOC:	(EuquwlnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Euquwl+nA
        GLOSS:	senses/intellects/mind+our

 INPUT STRING:	بيستخفووو
     IS_TRANS:	bystxfwww
        INDEX:	P17W3
      OFFSETS:	18-27
       TOKENS:	P17W4-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<istaxaf~_1]
   UNSPLITVOC:	(biyistaxaf~uwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+staxaf~+uwA
        GLOSS:	[present-tense]+they+lighten/disdain+[masc.pl.]

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P17W4
      OFFSETS:	28-32
       TOKENS:	P17W6-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+her/it

 INPUT STRING:	للدرجاااادى
     IS_TRANS:	lldrjAAAAdY
        INDEX:	P18W1
      OFFSETS:	0-11
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lldrjAAAAdY)
          POS:	NO_FUNC
          VOC:	lldrjAAAAdY
        GLOSS:	nogloss

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P18W2
      OFFSETS:	12-16
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	laughing

 INPUT STRING:	اولا
     IS_TRANS:	AwlA
        INDEX:	P18W3
      OFFSETS:	17-21
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(>aw~alAF)
          POS:	ADJ_NUM+CASE_INDEF_ACC
          VOC:	>aw~al+AF
        GLOSS:	first of all/primarily/in the first place+[acc.indef.]

 INPUT STRING:	الفتوشوب
     IS_TRANS:	Alftw$wb
        INDEX:	P18W4
      OFFSETS:	22-30
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alftw$wb)
          POS:	FOREIGN
          VOC:	Alftw$wb
        GLOSS:	nogloss

 INPUT STRING:	صور
     IS_TRANS:	Swr
        INDEX:	P18W5
      OFFSETS:	31-34
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwar)
          POS:	NOUN
          VOC:	Suwar
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P18W6
      OFFSETS:	35-37
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P18W7
      OFFSETS:	38-40
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فيديوو
     IS_TRANS:	fydyww
        INDEX:	P18W8
      OFFSETS:	41-47
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiydoyuw_1]
   UNSPLITVOC:	(fiydoyuw)
          POS:	NOUN
          VOC:	fiydoyuw
        GLOSS:	video

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P18W9
      OFFSETS:	48-51
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P18W10
      OFFSETS:	52-54
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	حكييييييت
     IS_TRANS:	Hkyyyyyyt
        INDEX:	P18W11
      OFFSETS:	55-64
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HakaY_1]
   UNSPLITVOC:	(Hakiyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Hakiy+t
        GLOSS:	narrate+I

 INPUT STRING:	هحكى
     IS_TRANS:	hHkY
        INDEX:	P18W12
      OFFSETS:	65-69
       TOKENS:	P18W12-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HakaY_1]
   UNSPLITVOC:	(HaAaHokiy)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+Hokiy
        GLOSS:	will+I+relate/report/tell/be related/be reported/be told

 INPUT STRING:	للصبح
     IS_TRANS:	llSbH
        INDEX:	P18W13
      OFFSETS:	70-75
       TOKENS:	P18W14-P18W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(lilS~uboH)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+SuboH
        GLOSS:	for/to+the+morning/daybreak/mornings/daybreak

 INPUT STRING:	اخليكم
     IS_TRANS:	Axlykm
        INDEX:	P18W14
      OFFSETS:	76-82
       TOKENS:	P18W16-P18W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(Aaxal~iykum)
          POS:	IV1S+IV+IVSUFF_DO:2P
          VOC:	Aa+xal~iy+kum
        GLOSS:	I+release/evacuate/allow/be released/be evacuated/be allowed+you

 INPUT STRING:	تشوفو
     IS_TRANS:	t$wfw
        INDEX:	P18W15
      OFFSETS:	83-88
       TOKENS:	P18W18-P18W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(ti$uwfuh)
          POS:	IV2MS+IV+IVSUFF_DO:3MS
          VOC:	ti+$uwf+uh
        GLOSS:	you+look/see+them

 INPUT STRING:	جزء
     IS_TRANS:	jz'
        INDEX:	P18W16
      OFFSETS:	89-92
       TOKENS:	P18W20-P18W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juz'_1]
   UNSPLITVOC:	(juz')
          POS:	NOUN
          VOC:	juz'
        GLOSS:	section/piece/portion/part/fraction/sections/pieces/portions/parts/fractions

 INPUT STRING:	بسيط
     IS_TRANS:	bsyT
        INDEX:	P18W17
      OFFSETS:	93-97
       TOKENS:	P18W21-P18W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basiyT_1]
   UNSPLITVOC:	(basiyT)
          POS:	ADJ
          VOC:	basiyT
        GLOSS:	simple/plain/okay/no problem

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P18W18
      OFFSETS:	98-100
       TOKENS:	P18W22-P18W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الحقيقة
     IS_TRANS:	AlHqyqp
        INDEX:	P18W19
      OFFSETS:	101-108
       TOKENS:	P18W23-P18W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqap_1]
   UNSPLITVOC:	(AlHaqiyqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Haqiyq+ap
        GLOSS:	the+truth/reality/truth/facts+[fem.sg.]

 INPUT STRING:	ادخلو
     IS_TRANS:	Adxlw
        INDEX:	P19W1
      OFFSETS:	0-5
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(AidoxuluwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	Aidoxul+uwA
        GLOSS:	enter/be entered+they

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P19W2
      OFFSETS:	6-9
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	موقع
     IS_TRANS:	mwqE
        INDEX:	P19W3
      OFFSETS:	10-14
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqiE_1]
   UNSPLITVOC:	(mawqiE)
          POS:	NOUN
          VOC:	mawqiE
        GLOSS:	position/location/site

 INPUT STRING:	اليوتيوب
     IS_TRANS:	Alywtywb
        INDEX:	P19W4
      OFFSETS:	15-23
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alywtywb)
          POS:	FOREIGN
          VOC:	Alywtywb
        GLOSS:	nogloss

 INPUT STRING:	اكتبوو
     IS_TRANS:	Aktbww
        INDEX:	P19W5
      OFFSETS:	24-30
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(AikotabuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	Aikotab+uwA
        GLOSS:	write+you

 INPUT STRING:	عرف
     IS_TRANS:	Erf
        INDEX:	P19W6
      OFFSETS:	31-34
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ear~af_1]
   UNSPLITVOC:	(Ear~af)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Ear~af+(null)
        GLOSS:	acquaint/be known/be identified+you

 INPUT STRING:	اهلك
     IS_TRANS:	Ahlk
        INDEX:	P19W7
      OFFSETS:	35-39
       TOKENS:	P19W7-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>aholak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	>ahol+ak
        GLOSS:	family/people/people/families/folk/families/indigenous people+your

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P19W8
      OFFSETS:	40-44
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	NOUN
          VOC:	tAniy
        GLOSS:	again

 INPUT STRING:	اكتبوووووووو
     IS_TRANS:	Aktbwwwwwwww
        INDEX:	P19W9
      OFFSETS:	45-57
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(AiktabuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	Aiktab+uwA
        GLOSS:	write+you

 INPUT STRING:	حملة
     IS_TRANS:	Hmlp
        INDEX:	P19W10
      OFFSETS:	58-62
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamolap_1]
   UNSPLITVOC:	(Hamolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hamol+ap
        GLOSS:	campaign/expedition/attack/campaigns/expeditions/attacks+[fem.sg.]

 INPUT STRING:	عرف
     IS_TRANS:	Erf
        INDEX:	P19W11
      OFFSETS:	63-66
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ear~af_1]
   UNSPLITVOC:	(Ear~af)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Ear~af+(null)
        GLOSS:	acquaint/be known/be identified+you

 INPUT STRING:	اهلك
     IS_TRANS:	Ahlk
        INDEX:	P19W12
      OFFSETS:	67-71
       TOKENS:	P19W13-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>aholak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	>ahol+ak
        GLOSS:	qualified+your

 INPUT STRING:	واتفرجووووو
     IS_TRANS:	wAtfrjwwwww
        INDEX:	P19W13
      OFFSETS:	72-83
       TOKENS:	P19W15-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitfar~aj_1]
