 INPUT STRING:	صبـــاحـكم
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iyna)
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who/whom [pl.]

 INPUT STRING:	أشاعوا
     IS_TRANS:	>$AEwA
        INDEX:	P24W6
      OFFSETS:	33-39
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a$AE_1]
   UNSPLITVOC:	(>a$AEuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	>a$AE+uwA
        GLOSS:	divulge/publicize+they [verb]

 INPUT STRING:	بيننا
     IS_TRANS:	bynnA
        INDEX:	P24W7
      OFFSETS:	40-45
       TOKENS:	P24W9-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bayona_1]
   UNSPLITVOC:	(bayonnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	bayon+nA
        GLOSS:	between/among+our

 INPUT STRING:	دوما
     IS_TRANS:	dwmA
        INDEX:	P24W8
      OFFSETS:	46-50
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawom_1]
   UNSPLITVOC:	(dawom)
          POS:	NOUN
          VOC:	dawom
        GLOSS:	continuance/permanence

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P24W9
      OFFSETS:	51-53
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	الفوضى
     IS_TRANS:	AlfwDY
        INDEX:	P24W10
      OFFSETS:	54-60
       TOKENS:	P24W13-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawDaY_1]
   UNSPLITVOC:	(AlfawDaY)
          POS:	DET+NOUN
          VOC:	Al+fawDaY
        GLOSS:	the+chaos/anarchy

 INPUT STRING:	والجوع
     IS_TRANS:	wAljwE
        INDEX:	P24W11
      OFFSETS:	61-67
       TOKENS:	P24W14-P24W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juwE_1]
   UNSPLITVOC:	(wiAljuwE)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+juwE
        GLOSS:	and+the+hunger/starvation/of hunger/of starvation

 INPUT STRING:	بديل
     IS_TRANS:	bdyl
        INDEX:	P24W12
      OFFSETS:	68-72
       TOKENS:	P24W16-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badiyl_1]
   UNSPLITVOC:	(badiyl)
          POS:	ADJ
          VOC:	badiyl
        GLOSS:	alternate/substitute/different

 INPUT STRING:	الحرية
     IS_TRANS:	AlHryp
        INDEX:	P24W13
      OFFSETS:	73-79
       TOKENS:	P24W17-P24W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~iy~ap_1]
   UNSPLITVOC:	(AlHur~iy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hur~iy~+ap
        GLOSS:	the+freedom+[fem.sg.]

 INPUT STRING:	والرحيل
     IS_TRANS:	wAlrHyl
        INDEX:	P24W14
      OFFSETS:	80-87
       TOKENS:	P24W18-P24W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHiyl_1]
   UNSPLITVOC:	(wiAlraHiyl)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+raHiyl
        GLOSS:	and+the+departure/demise

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W15
      OFFSETS:	87-88
       TOKENS:	P24W20-P24W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P25W1
      OFFSETS:	2-6
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[l`kino_1]
   UNSPLITVOC:	(wal`kino)
          POS:	CONJ+CONJ
          VOC:	wa+l`kino
        GLOSS:	and+But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	ماذا
     IS_TRANS:	mA*A
        INDEX:	P25W2
      OFFSETS:	7-11
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA*A_1]
   UNSPLITVOC:	(mA*A)
          POS:	INTERROG_PRON
          VOC:	mA*A
        GLOSS:	what

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P25W3
      OFFSETS:	12-15
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	أيضاً
     IS_TRANS:	>yDAF
        INDEX:	P25W4
      OFFSETS:	16-21
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayDAF_1]
   UNSPLITVOC:	(>ayDAF)
          POS:	NOUN
          VOC:	>ayDAF
        GLOSS:	also

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P25W5
      OFFSETS:	21-22
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P26W1
      OFFSETS:	1-3
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	لى
     IS_TRANS:	lY
        INDEX:	P26W2
      OFFSETS:	4-6
       TOKENS:	P26W2-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~a)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to+I

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P26W3
      OFFSETS:	7-9
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	أرجو
     IS_TRANS:	>rjw
        INDEX:	P26W4
      OFFSETS:	10-14
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajA_1]
   UNSPLITVOC:	(Aarojuw)
          POS:	IV1S+IV
          VOC:	Aa+rojuw
        GLOSS:	I+hope

 INPUT STRING:	وأتمنى
     IS_TRANS:	w>tmnY
        INDEX:	P26W5
      OFFSETS:	15-21
       TOKENS:	P26W6-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoman~aY_1]
   UNSPLITVOC:	(wiAatoman~aY)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+toman~aY
        GLOSS:	and+I+wish

 INPUT STRING:	وأذكر
     IS_TRANS:	w>*kr
        INDEX:	P26W6
      OFFSETS:	22-27
       TOKENS:	P26W8-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*akar_1]
   UNSPLITVOC:	(wiAa*okur)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+*okur
        GLOSS:	and+I+mention

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P26W7
      OFFSETS:	27-28
       TOKENS:	P26W10-P26W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	اسمحوا
     IS_TRANS:	AsmHwA
        INDEX:	P27W1
      OFFSETS:	1-7
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samaH_1]
   UNSPLITVOC:	(AisomaHuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	AisomaH+uwA
        GLOSS:	allow/permit/authorize/be allowed/be permitted/be authorized+you

 INPUT STRING:	لى
     IS_TRANS:	lY
        INDEX:	P27W2
      OFFSETS:	8-10
       TOKENS:	P27W2-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~a)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to+I

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P27W3
      OFFSETS:	11-13
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	أرجو
     IS_TRANS:	>rjw
        INDEX:	P27W4
      OFFSETS:	14-18
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajA_1]
   UNSPLITVOC:	(Aarojuw)
          POS:	IV1S+IV
          VOC:	Aa+rojuw
        GLOSS:	I+hope

 INPUT STRING:	منكم
     IS_TRANS:	mnkm
        INDEX:	P27W5
      OFFSETS:	19-23
       TOKENS:	P27W6-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minkum)
          POS:	PREP+PRON_2P
          VOC:	min+kum
        GLOSS:	from+you

 INPUT STRING:	التراحم
     IS_TRANS:	AltrAHm
        INDEX:	P27W6
      OFFSETS:	24-31
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[trAHum_1]
   UNSPLITVOC:	(AltrAHum)
          POS:	DET+NOUN
          VOC:	Al+trAHum
        GLOSS:	the+helping each other

 INPUT STRING:	والتواصل
     IS_TRANS:	wAltwASl
        INDEX:	P27W7
      OFFSETS:	32-40
       TOKENS:	P27W9-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawASul_1]
   UNSPLITVOC:	(wiAltawASul)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+tawASul
        GLOSS:	and+the+connecting

 INPUT STRING:	والاستماع
     IS_TRANS:	wAlAstmAE
        INDEX:	P27W8
      OFFSETS:	41-50
       TOKENS:	P27W11-P27W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotimAE_1]
   UNSPLITVOC:	(wiAlAisotimAE)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+AisotimAE
        GLOSS:	and+the+listening

 INPUT STRING:	لبعضنا
     IS_TRANS:	lbEDnA
        INDEX:	P27W9
      OFFSETS:	51-57
       TOKENS:	P27W13-P27W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(libaEoDnA)
          POS:	PREP+NOUN+POSS_PRON_1P
          VOC:	li+baEoD+nA
        GLOSS:	for/to+some, a few, little, part+our

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W10
      OFFSETS:	57-58
       TOKENS:	P27W16-P27W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P28W1
      OFFSETS:	2-4
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تدعوا
     IS_TRANS:	tdEwA
        INDEX:	P28W2
      OFFSETS:	5-10
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(tidoEuwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+doE+uwA
        GLOSS:	you+let+you

 INPUT STRING:	للفتنة
     IS_TRANS:	llftnp
        INDEX:	P28W3
      OFFSETS:	11-17
       TOKENS:	P28W3-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fitonap_1]
   UNSPLITVOC:	(lilfitonap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+fiton+ap
        GLOSS:	for/to+the+sedition/dissension/discord+[fem.sg.]

 INPUT STRING:	مساحة
     IS_TRANS:	msAHp
        INDEX:	P28W4
      OFFSETS:	18-23
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misAHap_1]
   UNSPLITVOC:	(misAHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	misAH+ap
        GLOSS:	surface/space/land/terrain+[fem.sg.]

 INPUT STRING:	بينكم
     IS_TRANS:	bynkm
        INDEX:	P28W5
      OFFSETS:	24-29
       TOKENS:	P28W6-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayon_1]
   UNSPLITVOC:	(biynkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	biyn+kum
        GLOSS:	between+your

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P28W6
      OFFSETS:	29-30
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P29W1
      OFFSETS:	1-3
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تنصبوا
     IS_TRANS:	tnSbwA
        INDEX:	P29W2
      OFFSETS:	4-10
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naS~ab_1]
   UNSPLITVOC:	(tunaS~ibuwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	tu+naS~ib+uwA
        GLOSS:	you+put+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P29W3
      OFFSETS:	11-13
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	أنفسكم
     IS_TRANS:	>nfskm
        INDEX:	P29W4
      OFFSETS:	14-20
       TOKENS:	P29W4-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nafs_1]
   UNSPLITVOC:	(>anfuskum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	>anfus+kum
        GLOSS:	yourselves+your

 INPUT STRING:	قضاة
     IS_TRANS:	qDAp
        INDEX:	P29W5
      OFFSETS:	21-25
       TOKENS:	P29W6-P29W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qADiy_1]
   UNSPLITVOC:	(quDAp)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	quDA+ap
        GLOSS:	judges/magistrates+[fem.sg.]

 INPUT STRING:	لمحاسبة
     IS_TRANS:	lmHAsbp
        INDEX:	P29W6
      OFFSETS:	26-33
       TOKENS:	P29W7-P29W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAsobap_1]
   UNSPLITVOC:	(limuHAsobap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+muHAsob+ap
        GLOSS:	for/to+judging+[fem.sg.]

 INPUT STRING:	معتقدات
     IS_TRANS:	mEtqdAt
        INDEX:	P29W7
      OFFSETS:	34-41
       TOKENS:	P29W9-P29W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEotaqad_1]
   UNSPLITVOC:	(muEotaqadAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muEotaqad+At
        GLOSS:	dogmas/creeds/convictions+[fem.pl.]

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P29W8
      OFFSETS:	42-44
       TOKENS:	P29W10-P29W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	مبادئ
     IS_TRANS:	mbAd}
        INDEX:	P29W9
      OFFSETS:	45-50
       TOKENS:	P29W11-P29W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboda>_1]
   UNSPLITVOC:	(mabAdi})
          POS:	NOUN
          VOC:	mabAdi}
        GLOSS:	principles/bases

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P29W10
      OFFSETS:	50-51
       TOKENS:	P29W12-P29W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	تذكروا
     IS_TRANS:	t*krwA
        INDEX:	P30W1
      OFFSETS:	1-7
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta*ak~ar_1]
   UNSPLITVOC:	(ta*ak~aruwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	ta*ak~ar+uwA
        GLOSS:	remember+you [verb]

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P30W2
      OFFSETS:	8-11
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	أنكم
     IS_TRANS:	>nkm
        INDEX:	P30W3
      OFFSETS:	12-16
       TOKENS:	P30W3-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ukum)
          POS:	SUB_CONJ+PRON_2P
          VOC:	<in~+kum
        GLOSS:	that+you [pl.]

 INPUT STRING:	جميعا
     IS_TRANS:	jmyEA
        INDEX:	P30W4
      OFFSETS:	17-22
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jamiyE+AF
        GLOSS:	all, entire, every, whole+[acc.indef.]

 INPUT STRING:	مصريون
     IS_TRANS:	mSrywn
        INDEX:	P30W5
      OFFSETS:	23-29
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miSoriy~_1]
   UNSPLITVOC:	(miSoriy~uwn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	miSoriy~+uwn
        GLOSS:	Egyptian+[masc.pl.]

 INPUT STRING:	يجمعكم
     IS_TRANS:	yjmEkm
        INDEX:	P30W6
      OFFSETS:	30-36
       TOKENS:	P30W7-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jam~aE_1]
   UNSPLITVOC:	(yijam~aEkum)
          POS:	IV3MS+IV+IVSUFF_DO:2P
          VOC:	yi+jam~aE+kum
        GLOSS:	he/it+accumulate/assemble/be accumulated/be assembled+you

 INPUT STRING:	النيل
     IS_TRANS:	Alnyl
        INDEX:	P30W7
      OFFSETS:	37-42
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niyl_1]
   UNSPLITVOC:	(Aln~iyl)
          POS:	DET+NOUN_PROP
          VOC:	Al+niyl
        GLOSS:	the+nile

 INPUT STRING:	وطميه
     IS_TRANS:	wTmyh
        INDEX:	P30W8
      OFFSETS:	43-48
       TOKENS:	P30W10-P30W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tamy_1]
   UNSPLITVOC:	(wiTamyuh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+Tamy+uh
        GLOSS:	and+mud+his

 INPUT STRING:	وتاريخ
     IS_TRANS:	wtAryx
        INDEX:	P30W9
      OFFSETS:	49-55
       TOKENS:	P30W13-P30W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyx_1]
   UNSPLITVOC:	(witAriyx)
          POS:	CONJ+NOUN
          VOC:	wi+tAriyx
        GLOSS:	and+date/history

 INPUT STRING:	يمجد
     IS_TRANS:	ymjd
        INDEX:	P30W10
      OFFSETS:	56-60
       TOKENS:	P30W15-P30W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maj~id_1]
   UNSPLITVOC:	(yimaj~id)
          POS:	IV3MS+IV
          VOC:	yi+maj~id
        GLOSS:	he/it+glorify

 INPUT STRING:	الأجداد
     IS_TRANS:	Al>jdAd
        INDEX:	P30W11
      OFFSETS:	61-68
       TOKENS:	P30W16-P30W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(Al>ajodAd)
          POS:	DET+NOUN
          VOC:	Al+>ajodAd
        GLOSS:	the+ancestors/grandparents

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P30W12
      OFFSETS:	68-69
       TOKENS:	P30W17-P30W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P31W1
      OFFSETS:	1-3
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	لى
     IS_TRANS:	lY
        INDEX:	P31W2
      OFFSETS:	4-6
       TOKENS:	P31W2-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~a)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to+I

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P31W3
      OFFSETS:	7-9
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	أتمنى
     IS_TRANS:	>tmnY
        INDEX:	P31W4
      OFFSETS:	10-15
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoman~aY_1]
   UNSPLITVOC:	(Aatoman~aY)
          POS:	IV1S+IV
          VOC:	Aa+toman~aY
