 INPUT STRING:	النائب
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	عملها
     IS_TRANS:	EmlhA
        INDEX:	P14W3
      OFFSETS:	13-18
       TOKENS:	P14W4-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(EamalhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	Eamal+(null)+hA
        GLOSS:	do/make+he/it+it/them/her

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P14W4
      OFFSETS:	19-25
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(Al$~abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+young man/young men

 INPUT STRING:	وضحوا
     IS_TRANS:	wDHwA
        INDEX:	P14W5
      OFFSETS:	26-31
       TOKENS:	P14W7-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaH~aY_1]
   UNSPLITVOC:	(wiDaH~uwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+DaH~+uwA
        GLOSS:	and+sacrifice/immolate/be sacrificed/be immolated+they

 INPUT STRING:	بارواحهم
     IS_TRANS:	bArwAHhm
        INDEX:	P14W6
      OFFSETS:	32-40
       TOKENS:	P14W9-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ruwH_1]
   UNSPLITVOC:	(biArwAHhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	bi+ArwAH+hum
        GLOSS:	with/by+souls+their

 INPUT STRING:	وعيونهم
     IS_TRANS:	wEywnhm
        INDEX:	P14W7
      OFFSETS:	41-48
       TOKENS:	P14W12-P14W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(wiEyuwnhum)
          POS:	SUB_CONJ+NOUN+POSS_PRON_3P
          VOC:	wi+Eyuwn+hum
        GLOSS:	while+eyes+their

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P14W8
      OFFSETS:	49-51
       TOKENS:	P14W15-P14W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	سبيل
     IS_TRANS:	sbyl
        INDEX:	P14W9
      OFFSETS:	52-56
       TOKENS:	P14W16-P14W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabiyl_1]
   UNSPLITVOC:	(sabiyl)
          POS:	NOUN
          VOC:	sabiyl
        GLOSS:	way/road

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P14W10
      OFFSETS:	57-59
       TOKENS:	P14W17-P14W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الأخوان
     IS_TRANS:	Al>xwAn
        INDEX:	P14W11
      OFFSETS:	60-67
       TOKENS:	P14W18-P14W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(Al<ixowAn)
          POS:	DET+NOUN
          VOC:	Al+<ixowAn
        GLOSS:	the+brothers

 INPUT STRING:	والسلفيين
     IS_TRANS:	wAlslfyyn
        INDEX:	P14W12
      OFFSETS:	68-77
       TOKENS:	P14W19-P14W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(waAlsalafiy~iyn)
          POS:	CONJ+DET+NOUN+NSUFF_MASC_PL
          VOC:	wa+Al+salafiy~+iyn
        GLOSS:	and+the+Salafi/Salafist+two

 INPUT STRING:	قاعدين
     IS_TRANS:	qAEdyn
        INDEX:	P14W13
      OFFSETS:	78-84
       TOKENS:	P14W21-P14W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(qAEodiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	qAEod+iyn
        GLOSS:	sitting/seated/lazy/inactive/evaders (draft dodgers)+two

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P14W14
      OFFSETS:	85-87
       TOKENS:	P14W22-P14W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P14W15
      OFFSETS:	88-92
       TOKENS:	P14W23-P14W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P14W16
      OFFSETS:	93-98
       TOKENS:	P14W24-P14W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P14W17
      OFFSETS:	99-102
       TOKENS:	P14W25-P14W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P14W18
      OFFSETS:	103-105
       TOKENS:	P14W26-P14W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P14W19
      OFFSETS:	106-111
       TOKENS:	P14W27-P14W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be+they

 INPUT STRING:	مليين
     IS_TRANS:	mlyyn
        INDEX:	P14W20
      OFFSETS:	112-117
       TOKENS:	P14W28-P14W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAliy_1]
   UNSPLITVOC:	(maloyiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	maloy+iyn
        GLOSS:	filling+two

 INPUT STRING:	السجون
     IS_TRANS:	Alsjwn
        INDEX:	P14W21
      OFFSETS:	118-124
       TOKENS:	P14W29-P14W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sijon_1]
   UNSPLITVOC:	(Als~ujuwn)
          POS:	DET+NOUN
          VOC:	Al+sujuwn
        GLOSS:	the+prisons

 INPUT STRING:	والمعتقلات
     IS_TRANS:	wAlmEtqlAt
        INDEX:	P14W22
      OFFSETS:	125-135
       TOKENS:	P14W30-P14W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEotaqal_1]
   UNSPLITVOC:	(wiAlmuEotaqalAt)
          POS:	PART+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+Al+muEotaqal+At
        GLOSS:	[part.]+the+prison camp+[fem.pl.]

 INPUT STRING:	وبيتهجموا
     IS_TRANS:	wbythjmwA
        INDEX:	P14W23
      OFFSETS:	136-145
       TOKENS:	P14W32-P14W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hAjim_1]
   UNSPLITVOC:	(wibiyithajmuwA)
          POS:	CONJ+PROG_PART+IV3P+IV_PASS+IVSUFF_SUBJ:P
          VOC:	wi+bi+yi+thajm+uwA
        GLOSS:	and+[present-tense]+they+be attacked+we

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W24
      OFFSETS:	146-148
       TOKENS:	P14W35-P14W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الأعلام
     IS_TRANS:	Al>ElAm
        INDEX:	P14W25
      OFFSETS:	149-156
       TOKENS:	P14W36-P14W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAm_1]
   UNSPLITVOC:	(Al<iEolAm)
          POS:	DET+NOUN
          VOC:	Al+<iEolAm
        GLOSS:	the+information/media

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Eanod+ak
        GLOSS:	with/at+your

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P15W2
      OFFSETS:	5-7
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	right, prerogative, truth

 INPUT STRING:	يابنتي
     IS_TRANS:	yAbnty
        INDEX:	P15W3
      OFFSETS:	8-14
       TOKENS:	P15W4-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(yAbinotiy)
          POS:	VOC_PART+NOUN+POSS_PRON_1S
          VOC:	yaA+binot+iy
        GLOSS:	oh+daughter/girl/daughters/girls+my

 INPUT STRING:	شكلنا
     IS_TRANS:	$klnA
        INDEX:	P16W1
      OFFSETS:	0-5
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	($akolinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	$akol+nA
        GLOSS:	manner/form/configuration/manners / types/forms/configurations+our

 INPUT STRING:	رايحين
     IS_TRANS:	rAyHyn
        INDEX:	P16W2
      OFFSETS:	6-12
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAyiH_1]
   UNSPLITVOC:	(rAyoHiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	rAyoH+iyn
        GLOSS:	going+two

 INPUT STRING:	لطريق
     IS_TRANS:	lTryq
        INDEX:	P16W3
      OFFSETS:	13-18
       TOKENS:	P16W4-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(liTariyq)
          POS:	PREP+NOUN
          VOC:	li+Tariyq
        GLOSS:	for/to+road/way/roads/ways/means/methods

 INPUT STRING:	مسدود
     IS_TRANS:	msdwd
        INDEX:	P16W4
      OFFSETS:	19-24
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masoduwd_1]
   UNSPLITVOC:	(masoduwd)
          POS:	ADJ
          VOC:	masoduwd
        GLOSS:	blocked/closed

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P16W5
      OFFSETS:	25-27
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P16W6
      OFFSETS:	28-32
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P16W7
      OFFSETS:	33-38
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	وفعلا
     IS_TRANS:	wfElA
        INDEX:	P17W1
      OFFSETS:	0-5
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(wifiEolAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+fiEol+AF
        GLOSS:	and+doing/act/action+[acc.indef.]

 INPUT STRING:	هيتحقق
     IS_TRANS:	hytHqq
        INDEX:	P17W2
      OFFSETS:	6-12
       TOKENS:	P17W3-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitHaq~aq_1]
   UNSPLITVOC:	(HayitHaq~aq)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+tHaq~aq
        GLOSS:	will+he/it+be achieved

 INPUT STRING:	وهيتكون
     IS_TRANS:	whytkwn
        INDEX:	P17W3
      OFFSETS:	13-20
       TOKENS:	P17W5-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokaw~in_1]
   UNSPLITVOC:	(wiHayitokaw~in)
          POS:	CONJ+FUT_PART+IV3MS+IV_PASS
          VOC:	wi+Ha+yi+tokaw~in
        GLOSS:	and+will+he/it+be formed

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P17W4
      OFFSETS:	21-25
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second

 INPUT STRING:	الحزب
     IS_TRANS:	AlHzb
        INDEX:	P17W5
      OFFSETS:	26-31
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(AlHizob)
          POS:	DET+NOUN
          VOC:	Al+Hizob
        GLOSS:	the+party

 INPUT STRING:	الوطني
     IS_TRANS:	AlwTny
        INDEX:	P17W6
      OFFSETS:	32-38
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTaniy_1]
   UNSPLITVOC:	(AlwaTaniy)
          POS:	DET+ADJ
          VOC:	Al+waTaniy
        GLOSS:	the+national

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P18W1
      OFFSETS:	0-2
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P18W2
      OFFSETS:	3-7
       TOKENS:	P18W2-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Eanod+ak
        GLOSS:	with/at+your

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P18W3
      OFFSETS:	8-10
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	right, prerogative, truth

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P18W4
      OFFSETS:	11-13
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P18W5
      OFFSETS:	14-16
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	وجهات
     IS_TRANS:	wjhAt
        INDEX:	P18W6
      OFFSETS:	17-22
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajohap_1]
   UNSPLITVOC:	(wajohAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	wajoh+At
        GLOSS:	points of view/angles+[fem.pl.]

 INPUT STRING:	نظر
     IS_TRANS:	nZr
        INDEX:	P18W7
      OFFSETS:	23-26
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(naZar)
          POS:	NOUN
          VOC:	naZar
        GLOSS:	view/look/seeing/eye-sight/glances/looking

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P18W8
      OFFSETS:	27-29
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P18W9
      OFFSETS:	30-34
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P18W10
      OFFSETS:	35-38
       TOKENS:	P18W11-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to+him/it

 INPUT STRING:	راى
     IS_TRANS:	rAY
        INDEX:	P18W11
      OFFSETS:	39-42
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P18W12
      OFFSETS:	43-47
       TOKENS:	P18W14-P18W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	نكون
     IS_TRANS:	nkwn
        INDEX:	P18W13
      OFFSETS:	48-52
       TOKENS:	P18W15-P18W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(nikuwn)
          POS:	IV1P+IV
          VOC:	ni+kuwn
        GLOSS:	we+be

 INPUT STRING:	موافقين
     IS_TRANS:	mwAfqyn
        INDEX:	P18W14
      OFFSETS:	53-60
       TOKENS:	P18W16-P18W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwAfiq_1]
   UNSPLITVOC:	(muwAfoqiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	muwAfoq+iyn
        GLOSS:	agreeing/consenting/corresponding to+two

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P18W15
      OFFSETS:	61-66
       TOKENS:	P18W17-P18W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+her/it

 INPUT STRING:	وممكن
     IS_TRANS:	wmmkn
        INDEX:	P18W16
      OFFSETS:	67-72
       TOKENS:	P18W19-P18W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(wimumokin)
          POS:	CONJ+ADJ
          VOC:	wi+mumokin
        GLOSS:	and+possible

 INPUT STRING:	نكون
     IS_TRANS:	nkwn
        INDEX:	P18W17
      OFFSETS:	73-77
       TOKENS:	P18W21-P18W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(nikuwn)
          POS:	IV1P+IV
          VOC:	ni+kuwn
        GLOSS:	we+be

 INPUT STRING:	مختلفين
     IS_TRANS:	mxtlfyn
        INDEX:	P18W18
      OFFSETS:	78-85
       TOKENS:	P18W22-P18W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxotalif_1]
   UNSPLITVOC:	(muxotalifiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	muxotalif+iyn
        GLOSS:	different/various+[masc.pl.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يسلم
     IS_TRANS:	yslm
        INDEX:	P19W2
      OFFSETS:	5-9
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sal~im_1]
   UNSPLITVOC:	(yisal~im)
          POS:	IV3MS+IV
          VOC:	yi+sal~im
        GLOSS:	he/it+be peaceful

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P19W3
      OFFSETS:	10-12
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	ويستمر
     IS_TRANS:	wystmr
        INDEX:	P19W4
      OFFSETS:	13-19
       TOKENS:	P19W5-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotamar~_1]
   UNSPLITVOC:	(wiyisotamir~)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+sotamir~
        GLOSS:	and+he/it+continue

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P19W5
      OFFSETS:	20-26
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P19W6
      OFFSETS:	27-29
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	شايفه
     IS_TRANS:	$Ayfh
        INDEX:	P19W7
      OFFSETS:	30-35
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
