 INPUT STRING:	ا
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ixwAn_2]
   UNSPLITVOC:	(Al<ixwAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+<ixwAn
        GLOSS:	the+Ikhwan

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P5W13
      OFFSETS:	61-63
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lan_1]
   UNSPLITVOC:	(lan)
          POS:	NEG_PART
          VOC:	lan
        GLOSS:	not, never, nevermore

 INPUT STRING:	يدعموا
     IS_TRANS:	ydEmwA
        INDEX:	P5W14
      OFFSETS:	64-70
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEam_1]
   UNSPLITVOC:	(yidoEamuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+doEam+uwA
        GLOSS:	they+support/strengthen+[pl.]

 INPUT STRING:	علمانيا
     IS_TRANS:	ElmAnyA
        INDEX:	P5W15
      OFFSETS:	71-78
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalomAniy_1]
   UNSPLITVOC:	(EalomAniy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	EalomAniy~+AF
        GLOSS:	secular+[acc.indef.]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P5W16
      OFFSETS:	78-79
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P5W17
      OFFSETS:	80-82
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P5W18
      OFFSETS:	83-85
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	مرشح
     IS_TRANS:	mr$H
        INDEX:	P5W19
      OFFSETS:	86-90
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(mura$~aH)
          POS:	NOUN
          VOC:	mura$~aH
        GLOSS:	candidate/nominee

 INPUT STRING:	يعادي
     IS_TRANS:	yEAdy
        INDEX:	P5W20
      OFFSETS:	91-96
       TOKENS:	P5W23-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAday_1]
   UNSPLITVOC:	(yiEAdiy)
          POS:	IV3MS+IV
          VOC:	yi+EAdiy
        GLOSS:	he/it+be hostile towards

 INPUT STRING:	الإسلام
     IS_TRANS:	Al<slAm
        INDEX:	P5W21
      OFFSETS:	97-104
       TOKENS:	P5W24-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAm_1]
   UNSPLITVOC:	(Al<isolAm)
          POS:	DET+NOUN
          VOC:	Al+<isolAm
        GLOSS:	the+Islam

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W22
      OFFSETS:	104-105
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وقال
     IS_TRANS:	wqAl
        INDEX:	P5W23
      OFFSETS:	106-110
       TOKENS:	P5W26-P5W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAl)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qAl+(null)
        GLOSS:	and+said/say/be said/say/(for example)+he/it

 INPUT STRING:	الدكتور
     IS_TRANS:	Aldktwr
        INDEX:	P5W24
      OFFSETS:	111-118
       TOKENS:	P5W28-P5W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(Ald~ukotawr)
          POS:	DET+NOUN
          VOC:	Al+dukotawr
        GLOSS:	the+doctor/Doctor/Dr.

 INPUT STRING:	عبدالرحمن
     IS_TRANS:	EbdAlrHmn
        INDEX:	P5W25
      OFFSETS:	119-128
       TOKENS:	P5W29-P5W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EabodAlraHoman_1]
   UNSPLITVOC:	(EabodAlraHoman)
          POS:	NOUN_PROP
          VOC:	EabodAlraHoman
        GLOSS:	Abdel Rahman

 INPUT STRING:	البر
     IS_TRANS:	Albr
        INDEX:	P5W26
      OFFSETS:	129-133
       TOKENS:	P5W30-P5W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bar~_2]
   UNSPLITVOC:	(Albar~)
          POS:	DET+NOUN_PROP
          VOC:	Al+bar~
        GLOSS:	the+Bar

 INPUT STRING:	عضو
     IS_TRANS:	EDw
        INDEX:	P5W27
      OFFSETS:	134-137
       TOKENS:	P5W31-P5W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(EuDow)
          POS:	NOUN
          VOC:	EuDow
        GLOSS:	member/members

 INPUT STRING:	مكتب
     IS_TRANS:	mktb
        INDEX:	P5W28
      OFFSETS:	138-142
       TOKENS:	P5W32-P5W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makotab_1]
   UNSPLITVOC:	(makotab)
          POS:	NOUN
          VOC:	makotab
        GLOSS:	bureau/office/department

 INPUT STRING:	الارشاد
     IS_TRANS:	AlAr$Ad
        INDEX:	P5W29
      OFFSETS:	143-150
       TOKENS:	P5W33-P5W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Airo$Ad_1]
   UNSPLITVOC:	(AlAiro$Ad)
          POS:	DET+NOUN
          VOC:	Al+Airo$Ad
        GLOSS:	the+guidance/advice/counseling/instruction

 INPUT STRING:	وعميد
     IS_TRANS:	wEmyd
        INDEX:	P5W30
      OFFSETS:	151-156
       TOKENS:	P5W34-P5W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamiyd_1]
   UNSPLITVOC:	(wiEamiyd)
          POS:	CONJ+NOUN
          VOC:	wi+Eamiyd
        GLOSS:	and+dean/chief

 INPUT STRING:	كلية
     IS_TRANS:	klyp
        INDEX:	P5W31
      OFFSETS:	157-161
       TOKENS:	P5W36-P5W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~iy~ap_1]
   UNSPLITVOC:	(kul~iy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kul~iy~+ap
        GLOSS:	faculty/college/institute+[fem.sg.]

 INPUT STRING:	أصول
     IS_TRANS:	>Swl
        INDEX:	P5W32
      OFFSETS:	162-166
       TOKENS:	P5W37-P5W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(AuSuwl)
          POS:	NOUN
          VOC:	AuSuwl
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily/funds/capital

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P5W33
      OFFSETS:	167-172
       TOKENS:	P5W38-P5W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Ald~iyn)
          POS:	DET+NOUN
          VOC:	Al+diyn
        GLOSS:	the+religion

 INPUT STRING:	والدعوة
     IS_TRANS:	wAldEwp
        INDEX:	P5W34
      OFFSETS:	173-180
       TOKENS:	P5W39-P5W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(wiAldaEowap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+daEow+ap
        GLOSS:	and+the+missionary work/Da'wah/propaganda+[fem.sg.]

 INPUT STRING:	بجامعة
     IS_TRANS:	bjAmEp
        INDEX:	P5W35
      OFFSETS:	181-187
       TOKENS:	P5W41-P5W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmoEap_1]
   UNSPLITVOC:	(bijAmoEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+jAmoE+ap
        GLOSS:	with/by+university+[fem.sg.]

 INPUT STRING:	الأزهر
     IS_TRANS:	Al>zhr
        INDEX:	P5W36
      OFFSETS:	188-194
       TOKENS:	P5W43-P5W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>azohar_1]
   UNSPLITVOC:	(Al>azohar)
          POS:	DET+NOUN_PROP
          VOC:	Al+>azohar
        GLOSS:	the+Azhar

 INPUT STRING:	بمدينة
     IS_TRANS:	bmdynp
        INDEX:	P5W37
      OFFSETS:	195-201
       TOKENS:	P5W44-P5W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madiynap_1]
   UNSPLITVOC:	(bimadiynap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+madiyn+ap
        GLOSS:	with/by+city+[fem.sg.]

 INPUT STRING:	المنصورة
     IS_TRANS:	AlmnSwrp
        INDEX:	P5W38
      OFFSETS:	202-210
       TOKENS:	P5W46-P5W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoSuwrap_1]
   UNSPLITVOC:	(AlmanoSuwrap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+manoSuwr+ap
        GLOSS:	the+Mansoura+[fem.sg.]

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P5W39
      OFFSETS:	211-213
       TOKENS:	P5W47-P5W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الإخوان
     IS_TRANS:	Al<xwAn
        INDEX:	P5W40
      OFFSETS:	214-221
       TOKENS:	P5W48-P5W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ixwAn_2]
   UNSPLITVOC:	(Al<ixwAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+<ixwAn
        GLOSS:	the+Ikhwan

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P5W41
      OFFSETS:	222-224
       TOKENS:	P5W49-P5W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	يستقروا
     IS_TRANS:	ystqrwA
        INDEX:	P5W42
      OFFSETS:	225-232
       TOKENS:	P5W50-P5W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aistaqar~_1]
   UNSPLITVOC:	(yastaqir~uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	ya+staqir~+uwA
        GLOSS:	they+settle down/be stabilized+[pl.]

 INPUT STRING:	حتي
     IS_TRANS:	Hty
        INDEX:	P5W43
      OFFSETS:	233-236
       TOKENS:	P5W51-P5W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PREP
          VOC:	Hat~aY
        GLOSS:	until/up to

 INPUT STRING:	الآن
     IS_TRANS:	Al|n
        INDEX:	P5W44
      OFFSETS:	237-241
       TOKENS:	P5W52-P5W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|n_1]
   UNSPLITVOC:	(Al|n)
          POS:	DET+NOUN
          VOC:	Al+|n
        GLOSS:	the+time/moment

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P5W45
      OFFSETS:	242-245
       TOKENS:	P5W53-P5W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	دعم
     IS_TRANS:	dEm
        INDEX:	P5W46
      OFFSETS:	246-249
       TOKENS:	P5W54-P5W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEom_1]
   UNSPLITVOC:	(daEom)
          POS:	NOUN
          VOC:	daEom
        GLOSS:	support/assistance/endorsement

 INPUT STRING:	مرشح
     IS_TRANS:	mr$H
        INDEX:	P5W47
      OFFSETS:	250-254
       TOKENS:	P5W55-P5W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(mura$~aH)
          POS:	NOUN
          VOC:	mura$~aH
        GLOSS:	candidate/nominee

 INPUT STRING:	بعينه
     IS_TRANS:	bEynh
        INDEX:	P5W48
      OFFSETS:	255-260
       TOKENS:	P5W56-P5W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(biEaynuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+Eayn+uh
        GLOSS:	with/by+eye/eyes/water spring/water source/water springs/water sources/notables/VIP's/Aain+his/its

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P5W49
      OFFSETS:	260-261
       TOKENS:	P5W59-P5W59
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ولم
     IS_TRANS:	wlm
        INDEX:	P5W50
      OFFSETS:	262-265
       TOKENS:	P5W60-P5W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(walamo)
          POS:	CONJ+NEG_PART
          VOC:	wa+lamo
        GLOSS:	and+did not

 INPUT STRING:	يجروا
     IS_TRANS:	yjrwA
        INDEX:	P5W51
      OFFSETS:	266-271
       TOKENS:	P5W62-P5W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ajoraY_1]
   UNSPLITVOC:	(yujoruwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+jor+uwA
        GLOSS:	they (people)+conduct/carry out/perform+[pl.]

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P5W52
      OFFSETS:	272-274
       TOKENS:	P5W63-P5W63
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	اتصالات
     IS_TRANS:	AtSAlAt
        INDEX:	P5W53
      OFFSETS:	275-282
       TOKENS:	P5W64-P5W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~iSAl_1]
   UNSPLITVOC:	(Ait~iSAlAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Ait~iSAl+At
        GLOSS:	contact/communication+[fem.pl.]

 INPUT STRING:	بالعربي
     IS_TRANS:	bAlErby
        INDEX:	P5W54
      OFFSETS:	283-290
       TOKENS:	P5W65-P5W66
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earabiy_2]
   UNSPLITVOC:	(biAlEarabiy)
          POS:	PREP+DET+NOUN_PROP
          VOC:	bi+Al+Earabiy
        GLOSS:	with/by+the+Arabi

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P5W55
      OFFSETS:	290-291
       TOKENS:	P5W67-P5W67
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ولم
     IS_TRANS:	wlm
        INDEX:	P5W56
      OFFSETS:	292-295
       TOKENS:	P5W68-P5W69
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(walamo)
          POS:	CONJ+NEG_PART
          VOC:	wa+lamo
        GLOSS:	and+did not

 INPUT STRING:	يطرحوا
     IS_TRANS:	yTrHwA
        INDEX:	P5W57
      OFFSETS:	296-302
       TOKENS:	P5W70-P5W70
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaraH_1]
   UNSPLITVOC:	(yiToraHuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+ToraH+uwA
        GLOSS:	they+submit/suggest/propose+[pl.]

 INPUT STRING:	اسمه
     IS_TRANS:	Asmh
        INDEX:	P5W58
      OFFSETS:	303-307
       TOKENS:	P5W71-P5W72
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisomuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Aisom+uh
        GLOSS:	name+his/its

 INPUT STRING:	للنقاش
     IS_TRANS:	llnqA$
        INDEX:	P5W59
      OFFSETS:	308-314
       TOKENS:	P5W73-P5W74
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niqA$_1]
   UNSPLITVOC:	(liln~iqA$)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+niqA$
        GLOSS:	for/to+the+debate/argument/controversy

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P5W60
      OFFSETS:	314-315
       TOKENS:	P5W75-P5W75
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	مؤكدا
     IS_TRANS:	m&kdA
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&ak~id_1]
   UNSPLITVOC:	(mu&ak~idAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	mu&ak~id+AF
        GLOSS:	assuring/confirming/affirming/guaranteeing+[acc.indef.]

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P6W2
      OFFSETS:	6-8
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الجماعة
     IS_TRANS:	AljmAEp
        INDEX:	P6W3
      OFFSETS:	9-16
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(AljamAEap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+jamAE+ap
        GLOSS:	the+Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P6W4
      OFFSETS:	17-19
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lan_1]
   UNSPLITVOC:	(lan)
          POS:	NEG_PART
          VOC:	lan
        GLOSS:	not, never, nevermore

 INPUT STRING:	تعلن
     IS_TRANS:	tEln
        INDEX:	P6W5
      OFFSETS:	20-24
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolan_1]
   UNSPLITVOC:	(tiEolin)
          POS:	IV3FS+IV
          VOC:	ti+Eolin
        GLOSS:	it/they/she+announce/declare/be announced/be declared

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P6W6
      OFFSETS:	25-27
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	المرشح
     IS_TRANS:	Almr$H
        INDEX:	P6W7
      OFFSETS:	28-34
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(Almura$~aH)
          POS:	DET+NOUN
          VOC:	Al+mura$~aH
        GLOSS:	the+candidate/nominee

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P6W8
      OFFSETS:	35-39
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	who/which/whom

 INPUT STRING:	ستدعمه
     IS_TRANS:	stdEmh
        INDEX:	P6W9
      OFFSETS:	40-46
       TOKENS:	P6W9-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEam_1]
   UNSPLITVOC:	(satidEamuh)
          POS:	FUT_PART+IV3FS+IV+IVSUFF_DO:3MS
          VOC:	sa+ti+dEam+uh
        GLOSS:	will+it/they/she+support/strengthen+it/him

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P6W10
      OFFSETS:	47-50
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P6W11
      OFFSETS:	51-54
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	غلق
     IS_TRANS:	glq
        INDEX:	P6W12
      OFFSETS:	55-58
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galaq_1]
   UNSPLITVOC:	(galaq)
          POS:	NOUN
          VOC:	galaq
        GLOSS:	closing/locking

 INPUT STRING:	باب
     IS_TRANS:	bAb
        INDEX:	P6W13
      OFFSETS:	59-62
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAb_1]
   UNSPLITVOC:	(bAb)
          POS:	NOUN
          VOC:	bAb
        GLOSS:	door/gate/doors/gates

 INPUT STRING:	الطعون
     IS_TRANS:	AlTEwn
        INDEX:	P6W14
      OFFSETS:	63-69
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaEon_2]
   UNSPLITVOC:	(AlT~uEuwn)
          POS:	DET+NOUN
          VOC:	Al+TuEuwn
        GLOSS:	the+challenge

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W15
      OFFSETS:	70-72
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الانتخابات
