 INPUT STRING:	حكم
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	nafos+ik
        GLOSS:	same/self+your [fem.sg.]

 INPUT STRING:	يابنتي
     IS_TRANS:	yAbnty
        INDEX:	P21W4
      OFFSETS:	17-23
       TOKENS:	P21W5-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(yA_binotiy)
          POS:	VOC_PART+NOUN+POSS_PRON_1S
          VOC:	yA+binot+iy
        GLOSS:	oh+daughter/girl+my

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P21W5
      OFFSETS:	24-30
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	كبيره
     IS_TRANS:	kbyrh
        INDEX:	P21W6
      OFFSETS:	31-36
       TOKENS:	P21W9-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyruh)
          POS:	ADJ+POSS_PRON_3MS
          VOC:	kibiyr+uh
        GLOSS:	large/great/important/major/senior+his/its

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P21W7
      OFFSETS:	37-38
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	السلطات
     IS_TRANS:	AlslTAt
        INDEX:	P21W8
      OFFSETS:	39-46
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(Als~uloTAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+suloT+At
        GLOSS:	the+authorities+[fem.pl.]

 INPUT STRING:	الطلبات
     IS_TRANS:	AlTlbAt
        INDEX:	P21W9
      OFFSETS:	47-54
       TOKENS:	P21W13-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Talab_1]
   UNSPLITVOC:	(AlT~alabAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+Talab+At
        GLOSS:	the+requests/demands+[fem.pl.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P21W10
      OFFSETS:	55-59
       TOKENS:	P21W14-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	بتحكي
     IS_TRANS:	btHky
        INDEX:	P21W11
      OFFSETS:	60-65
       TOKENS:	P21W15-P21W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HakaY_1]
   UNSPLITVOC:	(bitiHokiy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+Hok+iy
        GLOSS:	[present-tense]+you [fem.sg.]+relate/report/tell+you [fem.sg.] [verb]

 INPUT STRING:	عنها
     IS_TRANS:	EnhA
        INDEX:	P21W12
      OFFSETS:	66-70
       TOKENS:	P21W17-P21W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(EanhA)
          POS:	PREP+PRON_3FS
          VOC:	Ean+hA
        GLOSS:	(away) from, off, about, on, over+it/them/her

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P21W13
      OFFSETS:	71-73
       TOKENS:	P21W19-P21W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P22W1
      OFFSETS:	0-2
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	ازاي
     IS_TRANS:	AzAy
        INDEX:	P22W2
      OFFSETS:	3-7
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	INTERROG_ADV
          VOC:	Aiz~Ay
        GLOSS:	how

 INPUT STRING:	عوزين
     IS_TRANS:	Ewzyn
        INDEX:	P22W3
      OFFSETS:	8-13
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwoziyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	EAwoz+iyn
        GLOSS:	needing/wanting+[masc.pl.]

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P22W4
      OFFSETS:	14-17
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between/among

 INPUT STRING:	ليلة
     IS_TRANS:	lylp
        INDEX:	P22W5
      OFFSETS:	18-22
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laylap_1]
   UNSPLITVOC:	(laylap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	layl+ap
        GLOSS:	night/evening/soire+[fem.sg.]

 INPUT STRING:	وضحاها
     IS_TRANS:	wDHAhA
        INDEX:	P22W6
      OFFSETS:	23-29
       TOKENS:	P22W6-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DuHay_1]
   UNSPLITVOC:	(wiDuHAhA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+DuHaY+hA
        GLOSS:	and+forenoon+its/their/her

 INPUT STRING:	تغيير
     IS_TRANS:	tgyyr
        INDEX:	P22W7
      OFFSETS:	30-35
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(tagoyiyr)
          POS:	NOUN
          VOC:	tagoyiyr
        GLOSS:	change/modification/replacement

 INPUT STRING:	جذري
     IS_TRANS:	j*ry
        INDEX:	P22W8
      OFFSETS:	36-40
       TOKENS:	P22W10-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ji*oriy_1]
   UNSPLITVOC:	(ji*oriy)
          POS:	ADJ
          VOC:	ji*oriy
        GLOSS:	radical/root

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P22W9
      OFFSETS:	40-41
       TOKENS:	P22W11-P22W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P22W10
      OFFSETS:	41-42
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P22W11
      OFFSETS:	42-43
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P23W1
      OFFSETS:	0-3
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
        GLOSS:	say+I [verb]

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P23W2
      OFFSETS:	4-6
       TOKENS:	P23W2-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/for+you [fem.sg.]

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P23W3
      OFFSETS:	7-9
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P23W4
      OFFSETS:	10-12
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	كلامى
     IS_TRANS:	klAmY
        INDEX:	P23W5
      OFFSETS:	13-18
       TOKENS:	P23W6-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	kalAm+iy
        GLOSS:	speech/statement/remark/talk/saying+my

 INPUT STRING:	لوحدى
     IS_TRANS:	lwHdY
        INDEX:	P23W6
      OFFSETS:	19-24
       TOKENS:	P23W8-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHod_1]
   UNSPLITVOC:	(liwaHodiy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	li+waHod+iy
        GLOSS:	for/to+alone/only+my

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P23W7
      OFFSETS:	25-28
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P23W8
      OFFSETS:	29-33
       TOKENS:	P23W12-P23W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	more

 INPUT STRING:	شايفين
     IS_TRANS:	$Ayfyn
        INDEX:	P23W9
      OFFSETS:	34-40
       TOKENS:	P23W13-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	$Ayof+iyn
        GLOSS:	seeing/looking+[masc.pl]

 INPUT STRING:	أنكم
     IS_TRANS:	>nkm
        INDEX:	P23W10
      OFFSETS:	41-45
       TOKENS:	P23W14-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ukum)
          POS:	SUB_CONJ+PRON_2P
          VOC:	<in~+kum
        GLOSS:	that+you [pl.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P23W11
      OFFSETS:	46-48
       TOKENS:	P23W16-P23W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	متشجعين
     IS_TRANS:	mt$jEyn
        INDEX:	P23W12
      OFFSETS:	49-56
       TOKENS:	P23W17-P23W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mito$ajaE_1]
   UNSPLITVOC:	(mito$ajaEiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	mito$ajaE+iyn
        GLOSS:	encouraged+[masc.pl.]

 INPUT STRING:	أنكم
     IS_TRANS:	>nkm
        INDEX:	P23W13
      OFFSETS:	57-61
       TOKENS:	P23W18-P23W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ukum)
          POS:	SUB_CONJ+PRON_2P
          VOC:	<in~+kum
        GLOSS:	that+you [pl.]

 INPUT STRING:	تساندوه
     IS_TRANS:	tsAndwh
        INDEX:	P23W14
      OFFSETS:	62-69
       TOKENS:	P23W20-P23W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAnid_1]
   UNSPLITVOC:	(tisAnoduwh)
          POS:	IV2P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3MS
          VOC:	ti+sAnod+uwA+uh
        GLOSS:	you [pl.]+support/assist/give aid+[pl.]+it/him

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P23W15
      OFFSETS:	70-74
       TOKENS:	P23W22-P23W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case

 INPUT STRING:	بينتقدكم
     IS_TRANS:	byntqdkm
        INDEX:	P23W16
      OFFSETS:	75-83
       TOKENS:	P23W24-P23W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotaqad_1]
   UNSPLITVOC:	(biyinotiqidkum)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:2P
          VOC:	bi+yi+notiqid+kum
        GLOSS:	[present-tense]+he/it+criticize+you [pl.]

 INPUT STRING:	وهل
     IS_TRANS:	whl
        INDEX:	P24W1
      OFFSETS:	0-3
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(wihal)
          POS:	CONJ+INTERROG_PART
          VOC:	wi+hal
        GLOSS:	and+do?/is?

 INPUT STRING:	الاخوان
     IS_TRANS:	AlAxwAn
        INDEX:	P24W2
      OFFSETS:	4-11
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixowAn_1]
   UNSPLITVOC:	(AlAixowAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+<ixowAn
        GLOSS:	the+Ikhwan

 INPUT STRING:	بالسفالة
     IS_TRANS:	bAlsfAlp
        INDEX:	P24W3
      OFFSETS:	12-20
       TOKENS:	P24W4-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safAlap_1]
   UNSPLITVOC:	(biAls~afAlap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+safAl+ap
        GLOSS:	with/by+the+lowness/baseness+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P24W4
      OFFSETS:	21-23
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P24W5
      OFFSETS:	23-24
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P24W6
      OFFSETS:	24-25
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P24W7
      OFFSETS:	25-26
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P24W8
      OFFSETS:	27-31
       TOKENS:	P24W10-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P24W9
      OFFSETS:	32-37
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh/chieftain

 INPUT STRING:	بينتقد
     IS_TRANS:	byntqd
        INDEX:	P24W10
      OFFSETS:	38-44
       TOKENS:	P24W13-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotaqad_1]
   UNSPLITVOC:	(biyinotiqid)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+notiqid
        GLOSS:	[present-tense]+he/it+criticize

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P24W11
      OFFSETS:	45-47
       TOKENS:	P24W15-P24W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P24W12
      OFFSETS:	48-50
       TOKENS:	P24W16-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P24W13
      OFFSETS:	51-54
       TOKENS:	P24W17-P24W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuw~a)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	this+he/it

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P24W14
      OFFSETS:	55-58
       TOKENS:	P24W19-P24W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	عمره
     IS_TRANS:	Emrh
        INDEX:	P24W15
      OFFSETS:	59-63
       TOKENS:	P24W20-P24W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumoruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Eumor+uh
        GLOSS:	age+his/its

 INPUT STRING:	بينتقد
     IS_TRANS:	byntqd
        INDEX:	P24W16
      OFFSETS:	64-70
       TOKENS:	P24W22-P24W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotaqad_1]
   UNSPLITVOC:	(biyinotiqid)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+notiqid
        GLOSS:	[present-tense]+he/it+criticize

 INPUT STRING:	ومفيش
     IS_TRANS:	wmfy$
        INDEX:	P24W17
      OFFSETS:	71-76
       TOKENS:	P24W24-P24W24
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wmfy$)
          POS:	NO_FUNC
          VOC:	wmfy$
        GLOSS:	nogloss

 INPUT STRING:	مرة
     IS_TRANS:	mrp
        INDEX:	P24W18
      OFFSETS:	77-80
       TOKENS:	P24W25-P24W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment+[fem.sg.]

 INPUT STRING:	الاخوان
     IS_TRANS:	AlAxwAn
        INDEX:	P24W19
      OFFSETS:	81-88
       TOKENS:	P24W26-P24W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixowAn_1]
   UNSPLITVOC:	(AlAixowAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+<ixowAn
        GLOSS:	the+Ikhwan

 INPUT STRING:	تمصلصوا
     IS_TRANS:	tmSlSwA
        INDEX:	P24W20
      OFFSETS:	89-96
       TOKENS:	P24W27-P24W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tmSlSwA)
          POS:	TYPO
          VOC:	tmSlSwA
        GLOSS:	nogloss

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P24W21
      OFFSETS:	97-100
       TOKENS:	P24W28-P24W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+him/it

 INPUT STRING:	وعلى
     IS_TRANS:	wElY
        INDEX:	P25W1
      OFFSETS:	0-4
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(wiEalaY)
          POS:	CONJ+PREP
          VOC:	wi+EalaY
        GLOSS:	and+on/above

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P25W2
      OFFSETS:	5-8
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like that

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P25W3
      OFFSETS:	9-12
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P25W4
      OFFSETS:	13-16
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	بيجمع
     IS_TRANS:	byjmE
        INDEX:	P25W5
      OFFSETS:	17-22
       TOKENS:	P25W6-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jam~aE_1]
   UNSPLITVOC:	(biyijam~aE)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+jam~aE
        GLOSS:	[present-tense]+he/it+accumulate/assemble

 INPUT STRING:	توقيعات
     IS_TRANS:	twqyEAt
        INDEX:	P25W6
      OFFSETS:	23-30
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tawoqiyE_1]
   UNSPLITVOC:	(tawoqiyEAt)
          POS:	NOUN+NSUFF_FEM_PL
