 INPUT STRING:	المستشار
        GLOSS:	clarity/plainness

 INPUT STRING:	الشمس
     IS_TRANS:	Al$ms
        INDEX:	P15W8
      OFFSETS:	40-45
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$amos_1]
   UNSPLITVOC:	(Al$~amos)
          POS:	DET+NOUN
          VOC:	Al+$amos
        GLOSS:	the+Sun

 INPUT STRING:	يالا
     IS_TRANS:	yAlA
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yAl~A_1]
   UNSPLITVOC:	(yAl~A)
          POS:	INTERJ
          VOC:	yAl~A
        GLOSS:	come on

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P16W2
      OFFSETS:	5-9
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بيحب
     IS_TRANS:	byHb
        INDEX:	P16W3
      OFFSETS:	10-14
       TOKENS:	P16W3-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(biyiHib~)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Hib~
        GLOSS:	[progressive]+he/it+love/like

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P16W4
      OFFSETS:	15-21
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P16W5
      OFFSETS:	22-29
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	يتفرج
     IS_TRANS:	ytfrj
        INDEX:	P16W6
      OFFSETS:	30-35
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofar~aj_1]
   UNSPLITVOC:	(yitofar~aj)
          POS:	IV3MS+IV
          VOC:	yi+tofar~aj
        GLOSS:	he/it+observe

 INPUT STRING:	حسبنا
     IS_TRANS:	HsbnA
        INDEX:	P17W1
      OFFSETS:	0-5
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasob_1]
   UNSPLITVOC:	(HasobunA)
          POS:	NOUN.VN+POSS_PRON_1P
          VOC:	Hasob+nA
        GLOSS:	reckoning/calculation+our

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P17W2
      OFFSETS:	6-10
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P17W3
      OFFSETS:	11-15
       TOKENS:	P17W4-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niEom_1]
   UNSPLITVOC:	(winiEom)
          POS:	CONJ+NOUN.VN
          VOC:	wi+niEom
        GLOSS:	and+wonderful

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P17W4
      OFFSETS:	16-22
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+representative/agent

 INPUT STRING:	والمصريين
     IS_TRANS:	wAlmSryyn
        INDEX:	P18W1
      OFFSETS:	0-9
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(wiAlmaSoriy~iyn)
          POS:	CONJ+DET+ADJ+NSUFF_MASC_PL
          VOC:	wi+Al+maSoriy~+iyn
        GLOSS:	and+the+Egyptian+[masc.pl.]

 INPUT STRING:	المتهمين
     IS_TRANS:	Almthmyn
        INDEX:	P18W2
      OFFSETS:	10-18
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mut~aham_1]
   UNSPLITVOC:	(Almut~ahamiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+mut~aham+iyn
        GLOSS:	the+accused/indicted/suspected+[masc.pl.]

 INPUT STRING:	هيتحاكموا
     IS_TRANS:	hytHAkmwA
        INDEX:	P18W3
      OFFSETS:	19-28
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(hytHAkmwA)
          POS:	NO_FUNC
          VOC:	hytHAkmwA
        GLOSS:	nogloss

 INPUT STRING:	بقي
     IS_TRANS:	bqy
        INDEX:	P18W4
      OFFSETS:	29-32
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P18W5
      OFFSETS:	33-36
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P18W6
      OFFSETS:	37-40
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	ADV
          VOC:	kidah
        GLOSS:	this way, this, thus

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P18W7
      OFFSETS:	40-41
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P18W8
      OFFSETS:	41-42
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W1
      OFFSETS:	0-2
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P19W2
      OFFSETS:	3-6
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dialect]
   UNSPLITVOC:	(kAm)
          POS:	DIALECT
          VOC:	kAm
        GLOSS:	nogloss

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P19W3
      OFFSETS:	7-10
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	إحتفل
     IS_TRANS:	<Htfl
        INDEX:	P19W4
      OFFSETS:	11-16
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotafal_1]
   UNSPLITVOC:	(AiHotafal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AiHotafal+(null)
        GLOSS:	celebrate+he/it [verb]

 INPUT STRING:	المحاميين
     IS_TRANS:	AlmHAmyyn
        INDEX:	P19W5
      OFFSETS:	17-26
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAmiy_1]
   UNSPLITVOC:	(AlmuHAmiy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+muHAmiy~+iyn
        GLOSS:	the+lawyer/defense counsel+[masc.pl.]

 INPUT STRING:	الكويتيين
     IS_TRANS:	Alkwytyyn
        INDEX:	P19W6
      OFFSETS:	27-36
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuwiytiy_1]
   UNSPLITVOC:	(Alkuwiytiy~iyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+kuwiytiy~+iyn
        GLOSS:	the+Kuwaiti+[masc.pl.acc.]

 INPUT STRING:	والمصريين
     IS_TRANS:	wAlmSryyn
        INDEX:	P19W7
      OFFSETS:	37-46
       TOKENS:	P19W7-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(wiAlmaSoriy~iyn)
          POS:	CONJ+DET+ADJ+NSUFF_MASC_PL
          VOC:	wi+Al+maSoriy~+iyn
        GLOSS:	and+the+Egyptian+[masc.pl.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P19W8
      OFFSETS:	47-51
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بيدافعوا
     IS_TRANS:	bydAfEwA
        INDEX:	P19W9
      OFFSETS:	52-60
       TOKENS:	P19W10-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfaE_1]
   UNSPLITVOC:	(biyidAfoEuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+dAfoE+uwA
        GLOSS:	[progressive]+they (people)+defend+[pl.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P19W10
      OFFSETS:	61-63
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P19W11
      OFFSETS:	64-69
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	بالبراءة
     IS_TRANS:	bAlbrA'p
        INDEX:	P19W12
      OFFSETS:	70-78
       TOKENS:	P19W14-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barA'ap_1]
   UNSPLITVOC:	(biAlbarA'ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+barA'+ap
        GLOSS:	with/by+the+innocence/acquittal+[fem.sg.]

 INPUT STRING:	مقدما
     IS_TRANS:	mqdmA
        INDEX:	P19W13
      OFFSETS:	79-84
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqad~am_1]
   UNSPLITVOC:	(muqad~amAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	muqad~am+AF
        GLOSS:	offered/submitted/in advance+[acc.indef.]

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P20W1
      OFFSETS:	2-4
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	one (of)/someone/anyone/no-one

 INPUT STRING:	فاهم
     IS_TRANS:	fAhm
        INDEX:	P20W2
      OFFSETS:	5-9
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhim)
          POS:	ADJ
          VOC:	fAhim
        GLOSS:	understanding

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P20W3
      OFFSETS:	10-14
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	ودلوقتى
     IS_TRANS:	wdlwqtY
        INDEX:	P21W1
      OFFSETS:	0-7
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(widilowaqotiy)
          POS:	CONJ+ADV
          VOC:	wi+dilowaqotiy
        GLOSS:	and+now

 INPUT STRING:	الخبر
     IS_TRANS:	Alxbr
        INDEX:	P21W2
      OFFSETS:	8-13
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Alxabar)
          POS:	DET+NOUN
          VOC:	Al+xabar
        GLOSS:	the+news/report

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P21W3
      OFFSETS:	14-16
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this [masc.sg.]

 INPUT STRING:	ولسه
     IS_TRANS:	wlsh
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(wilis~ah)
          POS:	CONJ+ADV
          VOC:	wi+lis~ah
        GLOSS:	and+still

 INPUT STRING:	ياما
     IS_TRANS:	yAmA
        INDEX:	P22W2
      OFFSETS:	5-9
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yAmA)
          POS:	NO_FUNC
          VOC:	yAmA
        GLOSS:	nogloss

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P22W3
      OFFSETS:	10-12
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الجراب
     IS_TRANS:	AljrAb
        INDEX:	P22W4
      OFFSETS:	13-19
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jirAb_1]
   UNSPLITVOC:	(AljirAb)
          POS:	DET+NOUN
          VOC:	Al+jirAb
        GLOSS:	the+sack/case/sacks/cases

 INPUT STRING:	ياحاوى
     IS_TRANS:	yAHAwY
        INDEX:	P22W5
      OFFSETS:	20-26
       TOKENS:	P22W6-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwiy_1]
   UNSPLITVOC:	(yA_HAwiy)
          POS:	VOC_PART+NOUN
          VOC:	yA+HAwiy
        GLOSS:	O, oh+magician/juggler

 INPUT STRING:	سلام
     IS_TRANS:	slAm
        INDEX:	P23W1
      OFFSETS:	0-4
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(salAm)
          POS:	NOUN
          VOC:	salAm
        GLOSS:	greeting/salute/salutation

 INPUT STRING:	يامصر
     IS_TRANS:	yAmSr
        INDEX:	P23W2
      OFFSETS:	5-10
       TOKENS:	P23W2-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSr_1]
   UNSPLITVOC:	(yAmaSor)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yaA+maSor
        GLOSS:	oh+Egypt

 INPUT STRING:	وسلامتك
     IS_TRANS:	wslAmtk
        INDEX:	P23W3
      OFFSETS:	11-18
       TOKENS:	P23W4-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAmap_1]
   UNSPLITVOC:	(wisalAmtik)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	wi+salAm+ap+ik
        GLOSS:	and+security/safety/integrity+[fem.sg.]+your

 INPUT STRING:	يادماغى
     IS_TRANS:	yAdmAgY
        INDEX:	P23W4
      OFFSETS:	19-26
       TOKENS:	P23W7-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dimAg_1]
   UNSPLITVOC:	(yAdimAgiy)
          POS:	VOC_PART+NOUN+POSS_PRON_1S
          VOC:	yaA+dimAg+iy
        GLOSS:	oh+brain/brains+my

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P24W1
      OFFSETS:	0-2
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P24W2
      OFFSETS:	3-7
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	مكانهم
     IS_TRANS:	mkAnhm
        INDEX:	P24W3
      OFFSETS:	8-14
       TOKENS:	P24W3-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAnhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	makAn+hum
        GLOSS:	place/location/position+their

 INPUT STRING:	ياسياده
     IS_TRANS:	yAsyAdh
        INDEX:	P24W4
      OFFSETS:	15-22
       TOKENS:	P24W5-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siyAdap_1]
   UNSPLITVOC:	(yAsiyAdap)
          POS:	VOC_PART+NOUN+NSUFF_FEM_SG
          VOC:	yaA+siyAd+ap
        GLOSS:	oh+sovereignty/supremacy+[fem.sg.]

 INPUT STRING:	المشير
     IS_TRANS:	Alm$yr
        INDEX:	P24W5
      OFFSETS:	23-29
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$iyr_1]
   UNSPLITVOC:	(Almu$iyr)
          POS:	DET+NOUN
          VOC:	Al+mu$iyr
        GLOSS:	the+field marshal/general

 INPUT STRING:	كانو
     IS_TRANS:	kAnw
        INDEX:	P24W6
      OFFSETS:	30-34
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be+they

 INPUT STRING:	سحالونا
     IS_TRANS:	sHAlwnA
        INDEX:	P24W7
      OFFSETS:	35-42
       TOKENS:	P24W9-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saHAl_1]
   UNSPLITVOC:	(saHAluwnA)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:1P
          VOC:	saHAl+uwA+nA
        GLOSS:	insult/ridicule+they [verb]+us

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P24W8
      OFFSETS:	43-45
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	سمحولنا
     IS_TRANS:	smHwlnA
        INDEX:	P24W9
      OFFSETS:	46-53
       TOKENS:	P24W12-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samaH_1]
   UNSPLITVOC:	(samaHuwA_linA)
          POS:	PV+PVSUFF_SUBJ:3P+PREP+PRON_1P
          VOC:	samaH+uwA+li+nA
        GLOSS:	allow/permit/authorize+they [verb]+for/to+us

 INPUT STRING:	بالسفر
     IS_TRANS:	bAlsfr
        INDEX:	P24W10
      OFFSETS:	54-60
       TOKENS:	P24W15-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safar_1]
   UNSPLITVOC:	(biAls~afar)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+safar
        GLOSS:	with/by+the+travel/trip/journeys

 INPUT STRING:	لكي
     IS_TRANS:	lky
        INDEX:	P25W1
      OFFSETS:	0-3
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lakiy)
          POS:	PREP+PRON_3FS
          VOC:	la+kiy
        GLOSS:	for/to+you [fem.sg.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P25W2
      OFFSETS:	4-8
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يامصر
     IS_TRANS:	yAmSr
        INDEX:	P25W3
      OFFSETS:	9-14
       TOKENS:	P25W4-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSr_1]
   UNSPLITVOC:	(yAmaSor)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yaA+maSor
        GLOSS:	oh+Egypt

 INPUT STRING:	ماهو
     IS_TRANS:	mAhw
        INDEX:	P26W1
      OFFSETS:	0-4
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dialect]
   UNSPLITVOC:	(mAhw)
          POS:	DIALECT
          VOC:	mAhw
        GLOSS:	nogloss

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P26W2
      OFFSETS:	5-8
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	صفقة
     IS_TRANS:	Sfqp
        INDEX:	P26W3
      OFFSETS:	9-13
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Safoqap_1]
   UNSPLITVOC:	(Safoqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Safoq+ap
        GLOSS:	deal/transaction/deals/transactions+[fem.sg.]

 INPUT STRING:	الجاسوس
     IS_TRANS:	AljAsws
        INDEX:	P26W4
      OFFSETS:	14-21
       TOKENS:	P26W4-P26W4
