 INPUT STRING:	زواج
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eunuwsap_1]
   UNSPLITVOC:	(AlEunuwsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Eunuws+ap
        GLOSS:	the+celibacy+[fem.sg.]

 INPUT STRING:	وغيرها
     IS_TRANS:	wgyrhA
        INDEX:	P5W18
      OFFSETS:	112-118
       TOKENS:	P5W25-P5W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(wigayorhA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+gayor+hA
        GLOSS:	and+not/other+its/their/her

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W19
      OFFSETS:	119-121
       TOKENS:	P5W28-P5W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المشاكل
     IS_TRANS:	Alm$Akl
        INDEX:	P5W20
      OFFSETS:	122-129
       TOKENS:	P5W29-P5W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Alma$Akil)
          POS:	DET+NOUN
          VOC:	Al+ma$Akil
        GLOSS:	the+problem/issue

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P5W21
      OFFSETS:	130-134
       TOKENS:	P5W30-P5W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	that

 INPUT STRING:	تؤثر
     IS_TRANS:	t&vr
        INDEX:	P5W22
      OFFSETS:	135-139
       TOKENS:	P5W31-P5W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>av~ar_1]
   UNSPLITVOC:	(ti&av~ir)
          POS:	IV3FS+IV
          VOC:	ti+&av~ir
        GLOSS:	it/they/she+influence

 INPUT STRING:	سلبا
     IS_TRANS:	slbA
        INDEX:	P5W23
      OFFSETS:	140-144
       TOKENS:	P5W32-P5W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[salob_1]
   UNSPLITVOC:	(salobAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	salob+AF
        GLOSS:	negatively+[acc.indef.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W24
      OFFSETS:	145-148
       TOKENS:	P5W33-P5W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المجتمع
     IS_TRANS:	AlmjtmE
        INDEX:	P5W25
      OFFSETS:	149-156
       TOKENS:	P5W34-P5W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(AlmijotimiE)
          POS:	DET+NOUN
          VOC:	Al+mijotimiE
        GLOSS:	the+society

 INPUT STRING:	وللاسف
     IS_TRANS:	wllAsf
        INDEX:	P6W1
      OFFSETS:	1-7
       TOKENS:	P6W1-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(wilil>asaf)
          POS:	CONJ+PREP+DET+NOUN
          VOC:	wi+li+Al+>asaf
        GLOSS:	and+for/to+the+regret/sorry

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P6W2
      OFFSETS:	8-12
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	مكاتب
     IS_TRANS:	mkAtb
        INDEX:	P6W3
      OFFSETS:	13-18
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mikAtib_1]
   UNSPLITVOC:	(mikAtib)
          POS:	NOUN
          VOC:	mikAtib
        GLOSS:	agency/agencies

 INPUT STRING:	سمسره
     IS_TRANS:	smsrh
        INDEX:	P6W4
      OFFSETS:	19-24
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samosarap_1]
   UNSPLITVOC:	(samosarap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	samosar+ap
        GLOSS:	brokerage+[fem.sg.]

 INPUT STRING:	لهذا
     IS_TRANS:	lh*A
        INDEX:	P6W5
      OFFSETS:	25-29
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(lah`*A)
          POS:	PREP+DEM_PRON_MS
          VOC:	la+h`*A
        GLOSS:	for/to+this [masc.sg.]

 INPUT STRING:	الزواج
     IS_TRANS:	AlzwAj
        INDEX:	P6W6
      OFFSETS:	30-36
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawAj_1]
   UNSPLITVOC:	(Alz~awAj)
          POS:	DET+NOUN
          VOC:	Al+zawAj
        GLOSS:	the+marriage/wedding

 INPUT STRING:	يديرها
     IS_TRANS:	ydyrhA
        INDEX:	P6W7
      OFFSETS:	37-43
       TOKENS:	P6W10-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adAr_1]
   UNSPLITVOC:	(yidiyrhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+diyr+hA
        GLOSS:	he/it+manage+it/them/her

 INPUT STRING:	مصريين
     IS_TRANS:	mSryyn
        INDEX:	P6W8
      OFFSETS:	44-50
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriyiyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	maSoriy+iyn
        GLOSS:	Egyptian+two

 INPUT STRING:	واجانب
     IS_TRANS:	wAjAnb
        INDEX:	P6W9
      OFFSETS:	51-57
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ajonabiy~_2]
   UNSPLITVOC:	(wa>ajAnib)
          POS:	CONJ+NOUN
          VOC:	wa+>ajAnib
        GLOSS:	and+foreigners

 INPUT STRING:	للاسف
     IS_TRANS:	llAsf
        INDEX:	P7W1
      OFFSETS:	1-6
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lil>asaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>asaf
        GLOSS:	for/to+the+regret/sorry

 INPUT STRING:	بلد
     IS_TRANS:	bld
        INDEX:	P7W2
      OFFSETS:	7-10
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(balad)
          POS:	NOUN
          VOC:	balad
        GLOSS:	country/country/countries

 INPUT STRING:	فاشلة
     IS_TRANS:	fA$lp
        INDEX:	P7W3
      OFFSETS:	11-16
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fA$il_1]
   UNSPLITVOC:	(fA$ilap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fA$il+ap
        GLOSS:	failing/unsuccessful+[fem.sg.]

 INPUT STRING:	وحانفضل
     IS_TRANS:	wHAnfDl
        INDEX:	P7W4
      OFFSETS:	17-24
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wHAnfDl)
          POS:	NO_FUNC
          VOC:	wHAnfDl
        GLOSS:	nogloss

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P7W5
      OFFSETS:	25-28
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	عمرنا
     IS_TRANS:	EmrnA
        INDEX:	P7W6
      OFFSETS:	29-34
       TOKENS:	P7W7-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(EumorinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Eumor+nA
        GLOSS:	age/life/ages/age groups+our

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P7W7
      OFFSETS:	35-38
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	ADJ
          VOC:	kidah
        GLOSS:	Gloss:TBA

 INPUT STRING:	وادي
     IS_TRANS:	wAdy
        INDEX:	P7W8
      OFFSETS:	39-43
       TOKENS:	P7W10-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|adiy_1]
   UNSPLITVOC:	(wa|adiy)
          POS:	CONJ+DEM_PRON
          VOC:	wa+|adiy
        GLOSS:	and+this

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P7W9
      OFFSETS:	44-50
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$abAb_1]
   UNSPLITVOC:	(Al$~abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+Jeunesse

 INPUT STRING:	ضاعوا
     IS_TRANS:	DAEwA
        INDEX:	P7W10
      OFFSETS:	51-56
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAE_1]
   UNSPLITVOC:	(DAEuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	DAE+uwA
        GLOSS:	be lost+they

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P7W11
      OFFSETS:	57-62
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P7W12
      OFFSETS:	63-67
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine

 INPUT STRING:	فارس
     IS_TRANS:	fArs
        INDEX:	P7W13
      OFFSETS:	68-72
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAris_1]
   UNSPLITVOC:	(fAris)
          POS:	NOUN_PROP
          VOC:	fAris
        GLOSS:	Faris

 INPUT STRING:	وتقبل
     IS_TRANS:	wtqbl
        INDEX:	P7W14
      OFFSETS:	73-78
       TOKENS:	P7W17-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taqab~ql_1]
   UNSPLITVOC:	(witqbl)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+tqbl+(null)
        GLOSS:	and+accept+you

 INPUT STRING:	مروري
     IS_TRANS:	mrwry
        INDEX:	P7W15
      OFFSETS:	79-84
       TOKENS:	P7W19-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muruwr_1]
   UNSPLITVOC:	(muruwriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	muruwr+iy
        GLOSS:	going (through)/passing (by)+my

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P8W1
      OFFSETS:	1-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	يابخت
     IS_TRANS:	yAbxt
        INDEX:	P8W2
      OFFSETS:	3-8
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baxot_1]
   UNSPLITVOC:	(yAbaxot)
          POS:	VOC_PART+NOUN
          VOC:	yaA+baxot
        GLOSS:	oh+luck/fortune

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W3
      OFFSETS:	9-11
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	وفق
     IS_TRANS:	wfq
        INDEX:	P8W4
      OFFSETS:	12-15
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waf~aq_1]
   UNSPLITVOC:	(waf~aq)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	waf~aq+(null)
        GLOSS:	grant success/be granted success/be successful+he/it

 INPUT STRING:	راسين
     IS_TRANS:	rAsyn
        INDEX:	P8W5
      OFFSETS:	16-21
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAs_1]
   UNSPLITVOC:	(rAsiyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	rAs+iyn
        GLOSS:	head+two

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P8W6
      OFFSETS:	22-24
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الحلال
     IS_TRANS:	AlHlAl
        INDEX:	P8W7
      OFFSETS:	25-31
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HalAl_1]
   UNSPLITVOC:	(AlHalAl)
          POS:	DET+NOUN
          VOC:	Al+HalAl
        GLOSS:	the+permissible/legitimate

 INPUT STRING:	اهلا
     IS_TRANS:	AhlA
        INDEX:	P9W1
      OFFSETS:	1-5
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_2]
   UNSPLITVOC:	(>aholAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>ahol+AF
        GLOSS:	welcome!+[acc.indef.]

 INPUT STRING:	فارس
     IS_TRANS:	fArs
        INDEX:	P9W2
      OFFSETS:	6-10
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAris_1]
   UNSPLITVOC:	(fAris)
          POS:	NOUN_PROP
          VOC:	fAris
        GLOSS:	Faris

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P9W3
      OFFSETS:	11-14
       TOKENS:	P9W3-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(bijid~)
          POS:	PREP+NOUN
          VOC:	bi+jid~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	نعيش
     IS_TRANS:	nEy$
        INDEX:	P9W4
      OFFSETS:	15-19
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(niEiy$)
          POS:	IV1P+IV
          VOC:	ni+Eiy$
        GLOSS:	we+live/experience/long live!/be lived/be experienced

 INPUT STRING:	ونشوف
     IS_TRANS:	wn$wf
        INDEX:	P9W5
      OFFSETS:	20-25
       TOKENS:	P9W6-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(wini$uwf)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+$uwf
        GLOSS:	and+we+look

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P9W6
      OFFSETS:	26-30
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	عندنا
     IS_TRANS:	EndnA
        INDEX:	P9W7
      OFFSETS:	31-36
       TOKENS:	P9W9-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(EinodinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Einod+nA
        GLOSS:	with / at+our

 INPUT STRING:	زواج
     IS_TRANS:	zwAj
        INDEX:	P9W8
      OFFSETS:	37-41
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawAj_1]
   UNSPLITVOC:	(zawAj)
          POS:	NOUN
          VOC:	zawAj
        GLOSS:	marriage/wedding

 INPUT STRING:	المسيار
     IS_TRANS:	AlmsyAr
        INDEX:	P9W9
      OFFSETS:	42-49
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[misyAr_1]
   UNSPLITVOC:	(AlmsyAr)
          POS:	DET+NOUN
          VOC:	Al+msyAr
        GLOSS:	the+going

 INPUT STRING:	وانواع
     IS_TRANS:	wAnwAE
        INDEX:	P9W10
      OFFSETS:	50-56
       TOKENS:	P9W13-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawE_1]
   UNSPLITVOC:	(wiAnowAE)
          POS:	CONJ+NOUN
          VOC:	wi+AnowAE
        GLOSS:	and+type/kind/form

 INPUT STRING:	اخرى
     IS_TRANS:	AxrY
        INDEX:	P9W11
      OFFSETS:	57-61
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>uxoraY_1]
   UNSPLITVOC:	(>uxoraY)
          POS:	ADJ
          VOC:	>uxoraY
        GLOSS:	other/another/additional

 INPUT STRING:	غريبة
     IS_TRANS:	grybp
        INDEX:	P9W12
      OFFSETS:	62-67
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gariyb_1]
   UNSPLITVOC:	(gariybap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	gariyb+ap
        GLOSS:	strange+[fem.sg.]

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P9W13
      OFFSETS:	68-71
       TOKENS:	P9W17-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wafiy)
          POS:	CONJ+PREP
          VOC:	wa+fiy
        GLOSS:	and+in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P9W14
      OFFSETS:	72-75
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	انواع
     IS_TRANS:	AnwAE
        INDEX:	P9W15
      OFFSETS:	76-81
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawE_1]
   UNSPLITVOC:	(AnowAE)
          POS:	NOUN
          VOC:	AnowAE
        GLOSS:	type/kind/form

 INPUT STRING:	زواج
     IS_TRANS:	zwAj
        INDEX:	P9W16
      OFFSETS:	82-86
       TOKENS:	P9W21-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawAj_1]
   UNSPLITVOC:	(zawAj)
          POS:	NOUN
          VOC:	zawAj
        GLOSS:	marriage/wedding

 INPUT STRING:	مختلفة
     IS_TRANS:	mxtlfp
        INDEX:	P9W17
      OFFSETS:	87-93
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxotalif_1]
   UNSPLITVOC:	(muxotalifap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muxotalif+ap
        GLOSS:	different/various+[fem.sg.]

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P9W18
      OFFSETS:	94-98
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	تكسف
     IS_TRANS:	tksf
        INDEX:	P9W19
      OFFSETS:	99-103
       TOKENS:	P9W24-P9W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kasaf_1]
   UNSPLITVOC:	(tikosif)
          POS:	IV3FS+IV
          VOC:	ti+kosif
        GLOSS:	it/they/she+reprimand/scold

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P10W1
      OFFSETS:	1-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P10W2
      OFFSETS:	5-7
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	البلاء
     IS_TRANS:	AlblA'
        INDEX:	P10W3
      OFFSETS:	8-14
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balA'_1]
   UNSPLITVOC:	(AlbalA')
          POS:	DET+NOUN
          VOC:	Al+balA'
        GLOSS:	the+tribulation/affliction

 INPUT STRING:	الكذب
     IS_TRANS:	Alk*b
        INDEX:	P10W4
      OFFSETS:	15-20
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ki*b_1]
   UNSPLITVOC:	(Alk*b)
          POS:	NOUN
          VOC:	Alk*b
        GLOSS:	lie

 INPUT STRING:	والخداع
     IS_TRANS:	wAlxdAE
        INDEX:	P10W5
      OFFSETS:	21-28
       TOKENS:	P10W5-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xidAE_1]
   UNSPLITVOC:	(wiAlxidAE)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+xidAE
        GLOSS:	and+the+impostor/crook

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P10W6
      OFFSETS:	29-31
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	تحصل
     IS_TRANS:	tHSl
        INDEX:	P10W7
