 INPUT STRING:	ههههههههههههههههههههه
      OFFSETS:	0-19
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	express happiness

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuw~a)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	this+he

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P15W2
      OFFSETS:	4-7
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	خايفه
     IS_TRANS:	xAyfh
        INDEX:	P15W3
      OFFSETS:	8-13
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAyif_1]
   UNSPLITVOC:	(xAyofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xAyof+ap
        GLOSS:	afraid+[fem.sg.]

 INPUT STRING:	للشعب
     IS_TRANS:	ll$Eb
        INDEX:	P15W4
      OFFSETS:	14-19
       TOKENS:	P15W5-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(laAl$aEob)
          POS:	PART+DET+NOUN
          VOC:	la+Al+$aEob
        GLOSS:	[part]+the+people/nation/peoples/nations

 INPUT STRING:	يبقلل
     IS_TRANS:	ybqll
        INDEX:	P15W5
      OFFSETS:	20-25
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqolil_1]
   UNSPLITVOC:	(yibaqolil)
          POS:	IV3MS+IV
          VOC:	yi+baqolil
        GLOSS:	he/it+make bubbles

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P16W1
      OFFSETS:	0-5
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P16W2
      OFFSETS:	6-10
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	actually/in effect+[acc.indef.]

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P16W3
      OFFSETS:	11-16
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	دماغه
     IS_TRANS:	dmAgh
        INDEX:	P16W4
      OFFSETS:	17-22
       TOKENS:	P16W5-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimAg_1]
   UNSPLITVOC:	(dimAguh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	dimAg+uh
        GLOSS:	brain/brains+his/its

 INPUT STRING:	ضاعت
     IS_TRANS:	DAEt
        INDEX:	P16W5
      OFFSETS:	23-27
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAE_1]
   UNSPLITVOC:	(DAEit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	DAE+it
        GLOSS:	lost+it/they/she

 INPUT STRING:	وكلنا
     IS_TRANS:	wklnA
        INDEX:	P16W6
      OFFSETS:	28-33
       TOKENS:	P16W8-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wakul~inA)
          POS:	CONJ+NOUN_QUANT+POSS_PRON_1P
          VOC:	wa+kul~+nA
        GLOSS:	and+all, entire, every, whole+our

 INPUT STRING:	بنخرف
     IS_TRANS:	bnxrf
        INDEX:	P16W7
      OFFSETS:	34-39
       TOKENS:	P16W11-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xar~af_1]
   UNSPLITVOC:	(binoxar~af)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+xar~af
        GLOSS:	[present-tense]+we+senile/drivel

 INPUT STRING:	تخاريف
     IS_TRANS:	txAryf
        INDEX:	P16W8
      OFFSETS:	40-46
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taxoriyf_1]
   UNSPLITVOC:	(taxAriyf)
          POS:	NOUN
          VOC:	taxAriyf
        GLOSS:	senile/drivel

 INPUT STRING:	مخرفه
     IS_TRANS:	mxrfh
        INDEX:	P16W9
      OFFSETS:	47-52
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mixar~af_1]
   UNSPLITVOC:	(mixar~afap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mixar~af+ap
        GLOSS:	senile/charlatan+[fem.sg.]

 INPUT STRING:	ههههههههههههههه
     IS_TRANS:	hhhhhhhhhhhhhhh
        INDEX:	P16W10
      OFFSETS:	53-68
       TOKENS:	P16W15-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	express happiness

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P17W2
      OFFSETS:	5-10
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	مايبقللش
     IS_TRANS:	mAybqll$
        INDEX:	P17W3
      OFFSETS:	11-19
       TOKENS:	P17W4-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqolil_1]
   UNSPLITVOC:	(mAyibaqolil$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+yi+baqolil+$
        GLOSS:	not+he/it+make bubbles+not

 INPUT STRING:	لاحسن
     IS_TRANS:	lAHsn
        INDEX:	P17W4
      OFFSETS:	20-25
       TOKENS:	P17W7-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(li>aHosan)
          POS:	PREP+ADJ_COMP
          VOC:	li+>aHosan
        GLOSS:	for/to+better

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P17W5
      OFFSETS:	26-30
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	ابتدينا
     IS_TRANS:	AbtdynA
        INDEX:	P17W6
      OFFSETS:	31-38
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibotadA_1]
   UNSPLITVOC:	(AibotadaynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	Aibotad+aynA
        GLOSS:	start/begin+we

 INPUT STRING:	نغرق
     IS_TRANS:	ngrq
        INDEX:	P17W7
      OFFSETS:	39-43
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[giriq_1]
   UNSPLITVOC:	(nigoraq)
          POS:	IV1P+IV
          VOC:	ni+goraq
        GLOSS:	we+sink

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P17W8
      OFFSETS:	44-47
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	غرقنا
     IS_TRANS:	grqnA
        INDEX:	P17W9
      OFFSETS:	48-53
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giriq_1]
   UNSPLITVOC:	(giriqnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	giriq+nA
        GLOSS:	sink+we

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P17W10
      OFFSETS:	54-59
       TOKENS:	P17W14-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P17W11
      OFFSETS:	60-62
       TOKENS:	P17W16-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفه
     IS_TRANS:	EArfh
        INDEX:	P17W12
      OFFSETS:	63-68
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	تسلمي
     IS_TRANS:	tslmy
        INDEX:	P18W1
      OFFSETS:	0-5
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sal~im_1]
   UNSPLITVOC:	(tisal~imiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+sal~im+iy
        GLOSS:	you [fem.sg.]+be safe/be faultless+[fem.sg.]

 INPUT STRING:	ياعزه
     IS_TRANS:	yAEzh
        INDEX:	P18W2
      OFFSETS:	6-11
       TOKENS:	P18W2-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaz~ap_1]
   UNSPLITVOC:	(yAEaz~ap)
          POS:	VOC_PART+NOUN_PROP+NSUFF_FEM_SG
          VOC:	yA+Eaz~+ap
        GLOSS:	oh+Azza+[fem.sg.]

