 INPUT STRING:	زواج
          POS:	IV3MS+IV
          VOC:	y+Axud
        GLOSS:	he/it+take/begin

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P13W9
      OFFSETS:	46-48
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نشرات
     IS_TRANS:	n$rAt
        INDEX:	P13W10
      OFFSETS:	49-54
       TOKENS:	P13W11-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$orap_1]
   UNSPLITVOC:	(na$arAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	na$ar+At
        GLOSS:	reports/announcements/proclamations+[fem.pl.]

 INPUT STRING:	الأخبار
     IS_TRANS:	Al>xbAr
        INDEX:	P13W11
      OFFSETS:	55-62
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Al>axobAr)
          POS:	DET+NOUN
          VOC:	Al+>axobAr
        GLOSS:	the+news/reports

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W12
      OFFSETS:	62-63
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W13
      OFFSETS:	63-64
       TOKENS:	P13W14-P13W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	بياخد
     IS_TRANS:	byAxd
        INDEX:	P13W14
      OFFSETS:	65-70
       TOKENS:	P13W15-P13W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(biyAxud)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+y+Axud
        GLOSS:	[present-tense]+he/it+take/begin

 INPUT STRING:	شيمون
     IS_TRANS:	$ymwn
        INDEX:	P13W15
      OFFSETS:	72-77
       TOKENS:	P13W17-P13W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iymuwn_1]
   UNSPLITVOC:	($iymuwn)
          POS:	NOUN_PROP
          VOC:	$iymuwn
        GLOSS:	Shimon

 INPUT STRING:	بيريز
     IS_TRANS:	byryz
        INDEX:	P13W16
      OFFSETS:	78-83
       TOKENS:	P13W18-P13W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biyriyz_1]
   UNSPLITVOC:	(biyriyz)
          POS:	NOUN_PROP
          VOC:	biyriyz
        GLOSS:	Peres

 INPUT STRING:	بالحضن
     IS_TRANS:	bAlHDn
        INDEX:	P13W17
      OFFSETS:	85-91
       TOKENS:	P13W19-P13W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HuDon_1]
   UNSPLITVOC:	(biAlHuDon)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+HuDon
        GLOSS:	with/by+the+bosom/arms

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P13W18
      OFFSETS:	91-92
       TOKENS:	P13W21-P13W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	ويشوف
     IS_TRANS:	wy$wf
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(wiyi$uwf)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+$uwf
        GLOSS:	and+he/it+look

 INPUT STRING:	صورة
     IS_TRANS:	Swrp
        INDEX:	P14W2
      OFFSETS:	6-10
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	picture/image/illustration/photo+[fem.sg.]

 INPUT STRING:	لإسحاق
     IS_TRANS:	l<sHAq
        INDEX:	P14W3
      OFFSETS:	12-18
       TOKENS:	P14W4-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isoHAq_1]
   UNSPLITVOC:	(li<isoHAq)
          POS:	PREP+NOUN_PROP
          VOC:	li+<isoHAq
        GLOSS:	for/to+Isaac/Yizhak

 INPUT STRING:	رابين
     IS_TRANS:	rAbyn
        INDEX:	P14W4
      OFFSETS:	19-24
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAbiyn_1]
   UNSPLITVOC:	(rAbiyn)
          POS:	NOUN_PROP
          VOC:	rAbiyn
        GLOSS:	Rabin

 INPUT STRING:	فيقف
     IS_TRANS:	fyqf
        INDEX:	P14W5
      OFFSETS:	26-30
       TOKENS:	P14W7-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqaf_1]
   UNSPLITVOC:	(fayuqaf)
          POS:	CONJ+IV3MS+IV
          VOC:	fa+yu+qaf
        GLOSS:	so/and+he/it+stop/cease/stand

 INPUT STRING:	قدامها
     IS_TRANS:	qdAmhA
        INDEX:	P14W6
      OFFSETS:	31-37
       TOKENS:	P14W9-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qud~Am_1]
   UNSPLITVOC:	(qud~AmhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	qud~Am+hA
        GLOSS:	front/in front of+its/their/her

 INPUT STRING:	مشدود
     IS_TRANS:	m$dwd
        INDEX:	P14W7
      OFFSETS:	38-43
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$oduwd_1]
   UNSPLITVOC:	(ma$oduwd)
          POS:	ADJ
          VOC:	ma$oduwd
        GLOSS:	tight/tense

 INPUT STRING:	ويضرب
     IS_TRANS:	wyDrb
        INDEX:	P14W8
      OFFSETS:	44-49
       TOKENS:	P14W12-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(wiyiDorab)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+Dorab
        GLOSS:	and+he/it+strike/hit

 INPUT STRING:	تعظيم
     IS_TRANS:	tEZym
        INDEX:	P14W9
      OFFSETS:	50-55
       TOKENS:	P14W14-P14W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoZiym_1]
   UNSPLITVOC:	(taEoZiym)
          POS:	NOUN
          VOC:	taEoZiym
        GLOSS:	salute (military)

 INPUT STRING:	سلام
     IS_TRANS:	slAm
        INDEX:	P14W10
      OFFSETS:	56-60
       TOKENS:	P14W15-P14W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(salAm)
          POS:	NOUN
          VOC:	salAm
        GLOSS:	greeting/salute/salutation

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P14W11
      OFFSETS:	60-61
       TOKENS:	P14W16-P14W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P15W1
      OFFSETS:	0-1
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W2
      OFFSETS:	1-2
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W3
      OFFSETS:	2-3
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وبقى
     IS_TRANS:	wbqY
        INDEX:	P15W4
      OFFSETS:	4-8
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(wibaqaY)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+baqaY+(null)
        GLOSS:	and+become+he/it [verb]

 INPUT STRING:	شيء
     IS_TRANS:	$y'
        INDEX:	P15W5
      OFFSETS:	9-12
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iy'_1]
   UNSPLITVOC:	($iy')
          POS:	NOUN
          VOC:	$iy'
        GLOSS:	thing

 INPUT STRING:	عادي
     IS_TRANS:	EAdy
        INDEX:	P15W6
      OFFSETS:	13-17
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy)
          POS:	ADJ
          VOC:	EAdiy
        GLOSS:	ordinary/regular/normal

 INPUT STRING:	إنك
     IS_TRANS:	<nk
        INDEX:	P15W7
      OFFSETS:	18-21
       TOKENS:	P15W8-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ak)
          POS:	SUB_CONJ+PRON_2MS
          VOC:	<in~+ak
        GLOSS:	that+you [masc.sg.]

 INPUT STRING:	تستضيف
     IS_TRANS:	tstDyf
        INDEX:	P15W8
      OFFSETS:	22-28
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AistaDAf_1]
   UNSPLITVOC:	(tistaDiyf)
          POS:	IV2MS+IV
          VOC:	ti+staDiyf
        GLOSS:	you [masc.sg.]+host/invite

 INPUT STRING:	إسرائيليين
     IS_TRANS:	<srA}ylyyn
        INDEX:	P15W9
      OFFSETS:	29-39
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(<srA}ylyyn)
          POS:	NO_FUNC
          VOC:	<srA}ylyyn
        GLOSS:	nogloss

 INPUT STRING:	وكذا
     IS_TRANS:	wk*A
        INDEX:	P15W10
      OFFSETS:	40-44
       TOKENS:	P15W12-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ka*A_2]
   UNSPLITVOC:	(wika*A)
          POS:	CONJ+PREP+DEM_PRON_MS
          VOC:	wi+ka+*A
        GLOSS:	and+like/as+that

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P15W11
      OFFSETS:	44-45
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وعادي
     IS_TRANS:	wEAdy
        INDEX:	P15W12
      OFFSETS:	47-52
       TOKENS:	P15W16-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(wiEAdiy)
          POS:	CONJ+ADJ
          VOC:	wi+EAdiy
        GLOSS:	and+ordinary/regular/normal

 INPUT STRING:	إنه
     IS_TRANS:	<nh
        INDEX:	P15W13
      OFFSETS:	53-56
       TOKENS:	P15W18-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	ينزل
     IS_TRANS:	ynzl
        INDEX:	P15W14
      OFFSETS:	57-61
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(yinozil)
          POS:	IV3MS+IV
          VOC:	yi+nozil
        GLOSS:	he/it+descend/stay

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P15W15
      OFFSETS:	62-64
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نشرات
     IS_TRANS:	n$rAt
        INDEX:	P15W16
      OFFSETS:	65-70
       TOKENS:	P15W22-P15W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$orap_1]
   UNSPLITVOC:	(na$arAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	na$ar+At
        GLOSS:	reports/announcements/proclamations+[fem.pl.]

 INPUT STRING:	الأخبار
     IS_TRANS:	Al>xbAr
        INDEX:	P15W17
      OFFSETS:	71-78
       TOKENS:	P15W23-P15W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Al>axobAr)
          POS:	DET+NOUN
          VOC:	Al+>axobAr
        GLOSS:	the+news/reports

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P15W18
      OFFSETS:	78-79
       TOKENS:	P15W24-P15W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	فالمواطن
     IS_TRANS:	fAlmwATn
        INDEX:	P16W1
      OFFSETS:	0-8
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwATin_1]
   UNSPLITVOC:	(faAlmuwATin)
          POS:	CONJ+DET+NOUN
          VOC:	fa+Al+muwATin
        GLOSS:	so/and+the+citizen

 INPUT STRING:	البسيط
     IS_TRANS:	AlbsyT
        INDEX:	P16W2
      OFFSETS:	9-15
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basiyT_1]
   UNSPLITVOC:	(AlbasiyT)
          POS:	DET+ADJ
          VOC:	Al+basiyT
        GLOSS:	the+simple/plain

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P16W3
      OFFSETS:	16-19
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P16W4
      OFFSETS:	20-24
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P16W5
      OFFSETS:	25-29
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	معلوماته
     IS_TRANS:	mElwmAth
        INDEX:	P16W6
      OFFSETS:	30-38
       TOKENS:	P16W7-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoluwmap_1]
   UNSPLITVOC:	(maEoluwmAtuh)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3MS
          VOC:	maEoluwm+At+uh
        GLOSS:	information/data+[fem.pl.]+his/its

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P16W7
      OFFSETS:	39-41
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	no/not

 INPUT STRING:	متعقمة
     IS_TRANS:	mtEqmp
        INDEX:	P16W8
      OFFSETS:	42-48
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitoEaqam_1]
   UNSPLITVOC:	(mitoEaqamap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mitoEaqam+ap
        GLOSS:	pasteurized+[fem.sg.]

 INPUT STRING:	بيتهيأ
     IS_TRANS:	bythy>
        INDEX:	P16W9
      OFFSETS:	49-55
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(bythy>)
          POS:	NO_FUNC
          VOC:	bythy>
        GLOSS:	nogloss

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P16W10
      OFFSETS:	56-58
       TOKENS:	P16W12-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for/to+him/it

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P16W11
      OFFSETS:	59-63
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P16W12
      OFFSETS:	64-66
       TOKENS:	P16W15-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	البساط
     IS_TRANS:	AlbsAT
        INDEX:	P16W13
      OFFSETS:	67-73
       TOKENS:	P16W16-P16W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[busAT_1]
   UNSPLITVOC:	(AlbusAT)
          POS:	DET+NOUN
          VOC:	Al+busAT
        GLOSS:	the+carpet

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P16W14
      OFFSETS:	74-77
       TOKENS:	P16W17-P16W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	baqaY+(null)
        GLOSS:	become+he/it [verb]

 INPUT STRING:	أحمدي
     IS_TRANS:	>Hmdy
        INDEX:	P16W15
      OFFSETS:	78-83
       TOKENS:	P16W18-P16W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomadiy_1]
   UNSPLITVOC:	(>aHomadiy)
          POS:	ADJ
          VOC:	>aHomadiy
        GLOSS:	Ahmadi

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P16W16
      OFFSETS:	84-88
       TOKENS:	P16W19-P16W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	تحياتي
     IS_TRANS:	tHyAty
        INDEX:	P17W1
      OFFSETS:	0-6
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHiy~ap_1]
   UNSPLITVOC:	(taHiy~Atiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	taHiy~+At+iy
        GLOSS:	greeting/salute+[fem.pl.]+my

 INPUT STRING:	لكم
     IS_TRANS:	lkm
        INDEX:	P17W2
      OFFSETS:	7-10
       TOKENS:	P17W3-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(likum)
          POS:	PREP+PRON_2P
          VOC:	li+kum
        GLOSS:	to/for+you [pl.] (you have)

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	نصار
     IS_TRANS:	nSAr
        INDEX:	P18W2
      OFFSETS:	5-9
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naS~Ar_1]
   UNSPLITVOC:	(naS~Ar)
          POS:	NOUN_PROP
          VOC:	naS~Ar
        GLOSS:	Nassar

 INPUT STRING:	هانقوول
     IS_TRANS:	hAnqwwl
        INDEX:	P19W1
      OFFSETS:	0-7
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(hAnquwl)
          POS:	FUT_PART+IV1P+IV
          VOC:	ha+ni+quwl
        GLOSS:	will+we+say

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P19W2
      OFFSETS:	8-11
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P19W3
      OFFSETS:	12-16
       TOKENS:	P19W4-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uhum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all, entire, every, whole+their

 INPUT STRING:	بيقلدوا
     IS_TRANS:	byqldwA
        INDEX:	P19W4
      OFFSETS:	17-24
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(byqldwA)
          POS:	NO_FUNC
          VOC:	byqldwA
        GLOSS:	nogloss

 INPUT STRING:	رسولناا
     IS_TRANS:	rswlnAA
        INDEX:	P19W5
      OFFSETS:	25-32
       TOKENS:	P19W7-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rasuwl_1]
   UNSPLITVOC:	(rasuwlnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rasuwl+nA
        GLOSS:	messenger (Muhammad)+our

 INPUT STRING:	الكريم
     IS_TRANS:	Alkrym
        INDEX:	P19W6
      OFFSETS:	33-39
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kariym_1]
   UNSPLITVOC:	(Alkariym)
          POS:	DET+ADJ
          VOC:	Al+kariym
