 INPUT STRING:	دلوقت
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	بتسمعه
     IS_TRANS:	btsmEh
        INDEX:	P18W40
      OFFSETS:	164-170
       TOKENS:	P18W48-P18W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[samaE_1]
   UNSPLITVOC:	(bitisamaEuh)
          POS:	PROG_PART+IV2MS+IV+IVSUFF_DO:3MS
          VOC:	bi+ti+samaE+uh
        GLOSS:	[present-tense]+you+have listen/listen/make hear/hear+it/him

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P18W41
      OFFSETS:	171-172
       TOKENS:	P18W51-P18W51
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	تعقل
     IS_TRANS:	tEql
        INDEX:	P18W42
      OFFSETS:	173-177
       TOKENS:	P18W52-P18W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiqil_1]
   UNSPLITVOC:	(tiEoqal)
          POS:	IV2MS+IV
          VOC:	ti+Eoqal
        GLOSS:	you [masc.sg.]+be reasonable/be conceivable/be sensible

 INPUT STRING:	بمخك
     IS_TRANS:	bmxk
        INDEX:	P18W43
      OFFSETS:	178-182
       TOKENS:	P18W53-P18W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mux~_1]
   UNSPLITVOC:	(bimux~ak)
          POS:	PREP+NOUN+POSS_PRON_2MS
          VOC:	bi+mux~+ak
        GLOSS:	with/by+brain/brains+your

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P18W44
      OFFSETS:	182-183
       TOKENS:	P18W56-P18W56
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P19W1
      OFFSETS:	0-2
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dA_1]
   UNSPLITVOC:	(dA)
          POS:	DEM_PRON_MS
          VOC:	dA
        GLOSS:	this

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P19W2
      OFFSETS:	3-7
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	معظم
     IS_TRANS:	mEZm
        INDEX:	P19W3
      OFFSETS:	8-12
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEoZam_1]
   UNSPLITVOC:	(muEoZam)
          POS:	NOUN_QUANT
          VOC:	muEoZam
        GLOSS:	most/majority

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P19W4
      OFFSETS:	13-18
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	مبتعملوش
     IS_TRANS:	mbtEmlw$
        INDEX:	P19W5
      OFFSETS:	19-27
       TOKENS:	P19W5-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(mA_bitiEomiluw$)
          POS:	NEG_PART+PROG_PART+IV2P+IV+IVSUFF_SUBJ:P+NEG_PART
          VOC:	mA+bi+ti+Eomil+uwA+$
        GLOSS:	not+[present-tense]+they+function/make/act/be done/do/did+they+not

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P19W6
      OFFSETS:	28-33
       TOKENS:	P19W9-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/importance/affairs/affair/that/because/matters

 INPUT STRING:	كدا
     IS_TRANS:	kdA
        INDEX:	P19W7
      OFFSETS:	34-37
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidA)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/such/like that/that way/that

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P19W8
      OFFSETS:	38-41
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P19W9
      OFFSETS:	42-44
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نظرى
     IS_TRANS:	nZrY
        INDEX:	P19W10
      OFFSETS:	45-49
       TOKENS:	P19W14-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(naZariy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	naZar+iy
        GLOSS:	view/look/seeing/eye-sight/glances/looking/in view (of)+my

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P19W11
      OFFSETS:	50-54
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	much/numerous/a lot/many

 INPUT STRING:	اوى
     IS_TRANS:	AwY
        INDEX:	P19W12
      OFFSETS:	55-58
       TOKENS:	P19W17-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	>awiy
        GLOSS:	very/much/powerful/very much/strong

 INPUT STRING:	اوى
     IS_TRANS:	AwY
        INDEX:	P19W13
      OFFSETS:	59-62
       TOKENS:	P19W18-P19W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	>awiy
        GLOSS:	very/much/powerful/very much/strong

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W14
      OFFSETS:	63-65
       TOKENS:	P19W19-P19W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P19W15
      OFFSETS:	66-71
       TOKENS:	P19W20-P19W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P19W16
      OFFSETS:	72-74
       TOKENS:	P19W21-P19W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مؤمنة
     IS_TRANS:	m&mnp
        INDEX:	P19W17
      OFFSETS:	75-80
       TOKENS:	P19W22-P19W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu&omin_1]
   UNSPLITVOC:	(mu&ominap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	mu&omin+ap
        GLOSS:	believing+[fem.sg.]

 INPUT STRING:	بربنا
     IS_TRANS:	brbnA
        INDEX:	P19W18
      OFFSETS:	81-86
       TOKENS:	P19W23-P19W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(birab~inA)
          POS:	PREP+NOUN+POSS_PRON_1P
          VOC:	bi+rab~+nA
        GLOSS:	with/by+lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	اساسا
     IS_TRANS:	AsAsA
        INDEX:	P19W19
      OFFSETS:	87-92
       TOKENS:	P19W26-P19W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AasAs_1]
   UNSPLITVOC:	(AsAsAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	AsAs+AF
        GLOSS:	primarily/basically+[acc.indef.]

 INPUT STRING:	مهما
     IS_TRANS:	mhmA
        INDEX:	P19W20
      OFFSETS:	93-97
       TOKENS:	P19W27-P19W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mahomA_1]
   UNSPLITVOC:	(mahomA)
          POS:	REL_PRON
          VOC:	mahomA
        GLOSS:	whatever

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P19W21
      OFFSETS:	98-103
       TOKENS:	P19W28-P19W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be/was/were+they

 INPUT STRING:	بيصلوا
     IS_TRANS:	bySlwA
        INDEX:	P19W22
      OFFSETS:	104-110
       TOKENS:	P19W29-P19W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~aY_1]
   UNSPLITVOC:	(biyiSal~uwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+Sal~+uwA
        GLOSS:	[present-tense]+they+pray/worship/be worshiped/be prayed+we

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P19W23
      OFFSETS:	111-113
       TOKENS:	P19W31-P19W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	بيصموموا
     IS_TRANS:	bySmwmwA
        INDEX:	P19W24
      OFFSETS:	114-122
       TOKENS:	P19W32-P19W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bySmwmwA)
          POS:	TYPO
          VOC:	bySmwmwA
        GLOSS:	nogloss

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P19W25
      OFFSETS:	123-125
       TOKENS:	P19W33-P19W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	بيعملوا
     IS_TRANS:	byEmlwA
        INDEX:	P19W26
      OFFSETS:	126-133
       TOKENS:	P19W34-P19W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(biyiEomiluwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+Eomil+uwA
        GLOSS:	[present-tense]+they+function/make/act/be done/do/did+they

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P19W27
      OFFSETS:	134-137
       TOKENS:	P19W36-P19W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	REL_ADV
          VOC:	<iyh
        GLOSS:	why/what

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P19W28
      OFFSETS:	137-138
       TOKENS:	P19W37-P19W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P19W29
      OFFSETS:	139-142
       TOKENS:	P19W38-P19W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P19W30
      OFFSETS:	143-145
       TOKENS:	P19W39-P19W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بتكلم
     IS_TRANS:	btklm
        INDEX:	P19W31
      OFFSETS:	146-151
       TOKENS:	P19W40-P19W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<itokal~im_1]
   UNSPLITVOC:	(bAatokal~im)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+tokal~im
        GLOSS:	[present-tense]+I+talk/speak

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P19W32
      OFFSETS:	152-155
       TOKENS:	P19W42-P19W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P19W33
      OFFSETS:	156-163
       TOKENS:	P19W43-P19W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue/subjects/themes/issues

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P19W34
      OFFSETS:	164-166
       TOKENS:	P19W44-P19W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dA_1]
   UNSPLITVOC:	(dA)
          POS:	DEM_PRON_MS
          VOC:	dA
        GLOSS:	this

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P19W35
      OFFSETS:	166-167
       TOKENS:	P19W45-P19W45
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P19W36
      OFFSETS:	168-171
       TOKENS:	P19W46-P19W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بتكلم
     IS_TRANS:	btklm
        INDEX:	P19W37
      OFFSETS:	172-177
       TOKENS:	P19W47-P19W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<itokal~im_1]
   UNSPLITVOC:	(bAatokal~im)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+tokal~im
        GLOSS:	[present-tense]+I+talk/speak

 INPUT STRING:	كلام
     IS_TRANS:	klAm
        INDEX:	P19W38
      OFFSETS:	178-182
       TOKENS:	P19W49-P19W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAm)
          POS:	NOUN
          VOC:	kalAm
        GLOSS:	speech/statement/remark/talk/saying

 INPUT STRING:	عام
     IS_TRANS:	EAm
        INDEX:	P19W39
      OFFSETS:	183-186
       TOKENS:	P19W50-P19W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(EAm)
          POS:	ADJ
          VOC:	EAm
        GLOSS:	general/common/public/overall

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P19W40
      OFFSETS:	187-192
       TOKENS:	P19W51-P19W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/importance/affairs/affair/that/because/matters

 INPUT STRING:	اوضحلك
     IS_TRANS:	AwDHlk
        INDEX:	P19W41
      OFFSETS:	193-199
       TOKENS:	P19W53-P19W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waD~aH_1]
   UNSPLITVOC:	(>awaD~aHlak)
          POS:	IV1S+IV+PREP+PRON_2MS
          VOC:	>a+waD~aH+li+ak
        GLOSS:	clarify/explain/indicate/be clarified/be explained/be indicated+he/it+to/for+you

 INPUT STRING:	الفكرة
     IS_TRANS:	Alfkrp
        INDEX:	P19W42
      OFFSETS:	200-206
       TOKENS:	P19W56-P19W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(Alfikorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fikor+ap
        GLOSS:	the+idea/notion/concept+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P19W43
      OFFSETS:	206-207
       TOKENS:	P19W57-P19W57
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	الرسول
     IS_TRANS:	Alrswl
        INDEX:	P20W1
      OFFSETS:	0-6
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasuwl_1]
   UNSPLITVOC:	(Alr~asuwl)
          POS:	DET+NOUN
          VOC:	Al+rasuwl
        GLOSS:	the+messenger (Muhammad)/messenger/apostle/messengers/apostles

 INPUT STRING:	ص
     IS_TRANS:	S
        INDEX:	P20W2
      OFFSETS:	7-8
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[S_1]
   UNSPLITVOC:	(S)
          POS:	ABBREV
          VOC:	S
        GLOSS:	S./(page)/18th

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P20W3
      OFFSETS:	10-13
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/(for example)+he/it

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P20W4
      OFFSETS:	15-17
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	يلدغ
     IS_TRANS:	yldg
        INDEX:	P20W5
      OFFSETS:	18-22
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ladag_1]
   UNSPLITVOC:	(yulodag)
          POS:	IV3MS+IV_PASS
          VOC:	yu+lodag
        GLOSS:	he/it+sting/bite/prick

 INPUT STRING:	المؤمن
     IS_TRANS:	Alm&mn
        INDEX:	P20W6
      OFFSETS:	23-29
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&omin_1]
   UNSPLITVOC:	(Almu&omin)
          POS:	DET+NOUN
          VOC:	Al+mu&omin
        GLOSS:	the+believer/believer (Muslim)

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P20W7
      OFFSETS:	30-32
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	جحر
     IS_TRANS:	jHr
        INDEX:	P20W8
      OFFSETS:	33-36
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juHor_1]
   UNSPLITVOC:	(juHor)
          POS:	NOUN
          VOC:	juHor
        GLOSS:	hole/burrow/holes/burrows

 INPUT STRING:	مرتين
     IS_TRANS:	mrtyn
        INDEX:	P20W9
      OFFSETS:	37-42
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~atayoni)
          POS:	NOUN+NSUFF_FEM_DU_ACC
          VOC:	mar~+atayoni
        GLOSS:	occasion/time/moment+two [acc.]

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P20W10
      OFFSETS:	45-48
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_PRON
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P20W11
      OFFSETS:	48-49
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P20W12
      OFFSETS:	50-55
       TOKENS:	P20W12-P20W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/importance/affairs/affair/that/because/matters

 INPUT STRING:	الشخص
     IS_TRANS:	Al$xS
        INDEX:	P20W13
      OFFSETS:	56-61
       TOKENS:	P20W14-P20W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoS_1]
   UNSPLITVOC:	(Al$~axoS)
          POS:	DET+NOUN
          VOC:	Al+$axoS
        GLOSS:	the+individual/person/individuals/persons

 INPUT STRING:	المؤمن
     IS_TRANS:	Alm&mn
        INDEX:	P20W14
      OFFSETS:	62-68
       TOKENS:	P20W15-P20W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&am~an_1]
   UNSPLITVOC:	(Almu&am~an)
          POS:	DET+ADJ.VN
          VOC:	Al+mu&am~an
        GLOSS:	the+guaranteed/insured

 INPUT STRING:	بربنا
     IS_TRANS:	brbnA
        INDEX:	P20W15
      OFFSETS:	69-74
       TOKENS:	P20W16-P20W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(birab~nA)
          POS:	PREP+NOUN+POSS_PRON_1P
          VOC:	bi+rab~+nA
        GLOSS:	with/by+lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P20W16
      OFFSETS:	75-79
       TOKENS:	P20W19-P20W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

