 INPUT STRING:	أشوفكم
          VOC:	bi+Aa+$otagal
        GLOSS:	[present-tense]+I+function/direct/guide/lead/be directed/be guided/be lead/perform (function)

 INPUT STRING:	ماهو
     IS_TRANS:	mAhw
        INDEX:	P26W1
      OFFSETS:	0-4
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(mA_huw)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	mA+huw~a
        GLOSS:	that+he/it

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P26W2
      OFFSETS:	5-7
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	الفن
     IS_TRANS:	Alfn
        INDEX:	P26W3
      OFFSETS:	8-12
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fan~_1]
   UNSPLITVOC:	(Alfan~)
          POS:	DET+NOUN
          VOC:	Al+fan~
        GLOSS:	the+art/specialty/variety/arts/specialties/varieties

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P26W4
      OFFSETS:	13-17
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/which/that

 INPUT STRING:	أقصده
     IS_TRANS:	>qSdh
        INDEX:	P26W5
      OFFSETS:	18-23
       TOKENS:	P26W6-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSad_1]
   UNSPLITVOC:	(AaqoSuduh)
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	Aa+qoSud+uh
        GLOSS:	I+intend/mean/pursue/be intended/be meant/be pursued+it/him

 INPUT STRING:	بالنسبالك
     IS_TRANS:	bAlnsbAlk
        INDEX:	P26W6
      OFFSETS:	24-33
       TOKENS:	P26W8-P26W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nisbap_1]
   UNSPLITVOC:	(biAlnisobA_lik)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG+PREP+PRON_2FS
          VOC:	bi+Al+nisob+ap+li+ik
        GLOSS:	by/with+the+ratio/rate/percentage figure/link/relation (concerning/regarding)+[fem.sg.]+for/to+you

 INPUT STRING:	
     IS_TRANS:	&#xe105;
        INDEX:	P26W7
      OFFSETS:	33-34
       TOKENS:	P26W12-P26W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe105;)
          POS:	NO_FUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P27W1
      OFFSETS:	0-5
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/countries

 INPUT STRING:	جميلة
     IS_TRANS:	jmylp
        INDEX:	P27W2
      OFFSETS:	6-11
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiylap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jamiyl+ap
        GLOSS:	beautiful/nice/fine (arts)+[fem.sg.]

 INPUT STRING:	jdA
     IS_TRANS:	jdA
        INDEX:	P27W3
      OFFSETS:	12-15
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	ونفسي
     IS_TRANS:	wnfsy
        INDEX:	P27W4
      OFFSETS:	16-21
       TOKENS:	P27W4-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(winifosiy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+nifos+iy
        GLOSS:	and+appetite+my

 INPUT STRING:	اشوفها
     IS_TRANS:	A$wfhA
        INDEX:	P27W5
      OFFSETS:	22-28
       TOKENS:	P27W7-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Aa$uwfhA)
          POS:	IV1S+IV+IVSUFF_DO:3FS
          VOC:	Aa+$uwf+hA
        GLOSS:	I+look+it/them/her

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P28W1
      OFFSETS:	0-4
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P28W2
      OFFSETS:	5-7
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P28W3
      OFFSETS:	8-11
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P28W4
      OFFSETS:	12-16
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

