 INPUT STRING:	وما
        GLOSS:	the+last/end

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P666W20
      OFFSETS:	80-81
       TOKENS:	P666W24-P666W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P667W1
      OFFSETS:	0-1
       TOKENS:	P667W1-P667W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	حاضر
     IS_TRANS:	HADr
        INDEX:	P668W1
      OFFSETS:	0-4
       TOKENS:	P668W1-P668W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HADir_1]
   UNSPLITVOC:	(HADir)
          POS:	ADJ
          VOC:	HADir
        GLOSS:	present/attending

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P668W2
      OFFSETS:	5-6
       TOKENS:	P668W2-P668W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P669W1
      OFFSETS:	0-2
       TOKENS:	P669W1-P669W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	مسهل
     IS_TRANS:	mshl
        INDEX:	P669W2
      OFFSETS:	3-7
       TOKENS:	P669W2-P669W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musah~il_1]
   UNSPLITVOC:	(musah~il)
          POS:	ADJ
          VOC:	musah~il
        GLOSS:	facilitator/laxative

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P670W1
      OFFSETS:	0-4
       TOKENS:	P670W1-P670W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P671W1
      OFFSETS:	0-3
       TOKENS:	P671W1-P671W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P671W2
      OFFSETS:	4-6
       TOKENS:	P671W2-P671W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	كلمتهاش
     IS_TRANS:	klmthA$
        INDEX:	P671W3
      OFFSETS:	7-14
       TOKENS:	P671W3-P671W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imtahA$)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS+NEG_PART
          VOC:	kal~im+t+hA+$
        GLOSS:	talk/speak/talk to+I+it/them/her+not

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P671W4
      OFFSETS:	15-19
       TOKENS:	P671W6-P671W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P671W5
      OFFSETS:	20-22
       TOKENS:	P671W8-P671W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	نفعش
     IS_TRANS:	nfE$
        INDEX:	P671W6
      OFFSETS:	23-27
       TOKENS:	P671W9-P671W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifiE_1]
   UNSPLITVOC:	(nifiE$)
          POS:	PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	nifiE+(null)+$
        GLOSS:	be of use+he/it+not

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P671W7
      OFFSETS:	28-30
       TOKENS:	P671W11-P671W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P671W8
      OFFSETS:	30-31
       TOKENS:	P671W12-P671W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P672W1
      OFFSETS:	0-2
       TOKENS:	P672W1-P672W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	كلمتها
     IS_TRANS:	klmthA
        INDEX:	P672W2
      OFFSETS:	3-9
       TOKENS:	P672W2-P672W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imtahA)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS
          VOC:	kal~im+t+hA
        GLOSS:	talk/speak/talk to+I+it/them/her

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P673W1
      OFFSETS:	0-6
       TOKENS:	P673W1-P673W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEodiyn_1]
   UNSPLITVOC:	(wibaEodiyn)
          POS:	CONJ+ADV
          VOC:	wi+baEodiyn
        GLOSS:	and+then

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P673W2
      OFFSETS:	6-7
       TOKENS:	P673W3-P673W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	سيبها
     IS_TRANS:	sybhA
        INDEX:	P674W1
      OFFSETS:	0-5
       TOKENS:	P674W1-P674W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(siybhA)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3FS
          VOC:	siyb+(null)+hA
        GLOSS:	flow/neglect/leave/let+you+it/them/her

 INPUT STRING:	تهدأ
     IS_TRANS:	thd>
        INDEX:	P674W2
      OFFSETS:	6-10
       TOKENS:	P674W3-P674W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hada>_1]
   UNSPLITVOC:	(tihoda>)
          POS:	IV3FS+IV
          VOC:	ti+hoda>
        GLOSS:	it/they/she+calm down/subside

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P675W1
      OFFSETS:	0-3
       TOKENS:	P675W1-P675W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P675W2
      OFFSETS:	4-7
       TOKENS:	P675W2-P675W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	الحوار
     IS_TRANS:	AlHwAr
        INDEX:	P675W3
      OFFSETS:	8-14
       TOKENS:	P675W3-P675W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HiwAr_1]
   UNSPLITVOC:	(AlHiwAr)
          POS:	DET+NOUN
          VOC:	Al+HiwAr
        GLOSS:	the+conversation/dialogue/discussion/discussions/talks

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P675W4
      OFFSETS:	15-19
       TOKENS:	P675W4-P675W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	دار
     IS_TRANS:	dAr
        INDEX:	P675W5
      OFFSETS:	20-23
       TOKENS:	P675W5-P675W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAr_1]
   UNSPLITVOC:	(dAr)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	dAr+(null)
        GLOSS:	go around/turn+he/it

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P675W6
      OFFSETS:	24-26
       TOKENS:	P675W6-P675W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_6]
   UNSPLITVOC:	(mA)
          POS:	PART
          VOC:	mA
        GLOSS:	[part.]

 INPUT STRING:	بينكو
     IS_TRANS:	bynkw
        INDEX:	P675W7
      OFFSETS:	27-32
       TOKENS:	P675W7-P675W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biynkuw)
          POS:	NOUN+POSS_PRON_2P
          VOC:	biyn+kuw
        GLOSS:	among/between+your

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P675W8
      OFFSETS:	32-33
       TOKENS:	P675W9-P675W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	قشدة
     IS_TRANS:	q$dp
        INDEX:	P676W1
      OFFSETS:	0-4
       TOKENS:	P676W1-P676W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qi$odap_1]
   UNSPLITVOC:	(qi$odap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qi$od+ap
        GLOSS:	cream+[fem.sg.]

 INPUT STRING:	إتكلمنا
     IS_TRANS:	<tklmnA
        INDEX:	P676W2
      OFFSETS:	5-12
       TOKENS:	P676W2-P676W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(Aitokal~imnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	Aitokal~im+nA
        GLOSS:	speak/talk/discuss+we

 INPUT STRING:	وسيبها
     IS_TRANS:	wsybhA
        INDEX:	P676W3
      OFFSETS:	13-19
       TOKENS:	P676W3-P676W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(wisiybhA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3FS
          VOC:	wi+siyb+(null)+hA
        GLOSS:	and+flow/neglect/leave/let+you+it/them/her

 INPUT STRING:	تهدأ
     IS_TRANS:	thd>
        INDEX:	P676W4
      OFFSETS:	20-24
       TOKENS:	P676W6-P676W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hada>_1]
   UNSPLITVOC:	(tihoda>)
          POS:	IV3FS+IV
          VOC:	ti+hoda>
        GLOSS:	it/they/she+calm down/subside

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P677W1
      OFFSETS:	0-3
       TOKENS:	P677W1-P677W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P677W2
      OFFSETS:	4-6
       TOKENS:	P677W2-P677W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حتقولي
     IS_TRANS:	Htqwly
        INDEX:	P677W3
      OFFSETS:	7-13
       TOKENS:	P677W3-P677W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Hatiquwliy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	Ha+ti+quwl+iy
        GLOSS:	will+you+said/say/be said/(for example)+you

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P677W4
      OFFSETS:	14-16
       TOKENS:	P677W5-P677W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/for+I/me

 INPUT STRING:	قلتوا
     IS_TRANS:	qltwA
        INDEX:	P677W5
      OFFSETS:	17-22
       TOKENS:	P677W7-P677W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qultuwA)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	qul+tuwA
        GLOSS:	said/say/be said/(for example)+you

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P677W6
      OFFSETS:	23-26
       TOKENS:	P677W8-P677W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P677W7
      OFFSETS:	26-27
       TOKENS:	P677W9-P677W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P678W1
      OFFSETS:	0-4
       TOKENS:	P678W1-P678W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P678W2
      OFFSETS:	5-9
       TOKENS:	P678W3-P678W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	needing/liking/requiring/wanting/desiring

 INPUT STRING:	أعرف
     IS_TRANS:	>Erf
        INDEX:	P678W3
      OFFSETS:	10-14
       TOKENS:	P678W4-P678W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(AaEoraf)
          POS:	IV1S+IV
          VOC:	Aa+Eoraf
        GLOSS:	I+know

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P678W4
      OFFSETS:	15-17
       TOKENS:	P678W5-P678W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P678W5
      OFFSETS:	18-21
       TOKENS:	P678W6-P678W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	شايفة
     IS_TRANS:	$Ayfp
        INDEX:	P678W6
      OFFSETS:	22-27
       TOKENS:	P678W7-P678W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	$Ayof+ap
        GLOSS:	viewer/observer/onlooker/onloker+[fem.sg.]

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P678W7
      OFFSETS:	28-32
       TOKENS:	P678W8-P678W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P678W8
      OFFSETS:	33-35
       TOKENS:	P678W9-P678W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P678W9
      OFFSETS:	36-39
       TOKENS:	P678W10-P678W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P678W10
      OFFSETS:	40-42
       TOKENS:	P678W11-P678W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P678W11
      OFFSETS:	43-47
       TOKENS:	P678W12-P678W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	غلطان
     IS_TRANS:	glTAn
        INDEX:	P678W12
      OFFSETS:	48-53
       TOKENS:	P678W13-P678W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galoTAn_1]
   UNSPLITVOC:	(galoTAn)
          POS:	ADJ
          VOC:	galoTAn
        GLOSS:	wrong/erring

 INPUT STRING:	وأسيبها
     IS_TRANS:	w>sybhA
        INDEX:	P678W13
      OFFSETS:	54-61
       TOKENS:	P678W14-P678W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(wiAasiybhA)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:3FS
          VOC:	wi+Aa+siyb+hA
        GLOSS:	and+I+flow/neglect/leave/let+it/them/her

 INPUT STRING:	تهدأ
     IS_TRANS:	thd>
        INDEX:	P678W14
      OFFSETS:	62-66
       TOKENS:	P678W17-P678W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hada>_1]
   UNSPLITVOC:	(tihoda>)
          POS:	IV3FS+IV
          VOC:	ti+hoda>
        GLOSS:	it/they/she+calm down/subside

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P678W15
      OFFSETS:	66-67
       TOKENS:	P678W18-P678W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P679W1
      OFFSETS:	0-4
       TOKENS:	P679W1-P679W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wAl~A)
          POS:	CONJ
          VOC:	wAl~A
        GLOSS:	or

 INPUT STRING:	عرفتيها
     IS_TRANS:	ErftyhA
        INDEX:	P679W2
      OFFSETS:	5-12
       TOKENS:	P679W2-P679W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(EiriftiyhA)
          POS:	PV+PVSUFF_SUBJ:2FS+PVSUFF_DO:3FS
          VOC:	Eirif+tiy+hA
        GLOSS:	know+you+it/them/her

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P679W3
      OFFSETS:	13-15
       TOKENS:	P679W4-P679W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P679W4
      OFFSETS:	16-19
       TOKENS:	P679W5-P679W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P679W5
      OFFSETS:	20-24
       TOKENS:	P679W6-P679W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	شايل
     IS_TRANS:	$Ayl
        INDEX:	P679W6
      OFFSETS:	25-29
       TOKENS:	P679W7-P679W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ayil_1]
   UNSPLITVOC:	($Ayil)
          POS:	ADJ
          VOC:	$Ayil
        GLOSS:	carrying

 INPUT STRING:	وإن
     IS_TRANS:	w<n
        INDEX:	P679W7
      OFFSETS:	30-33
       TOKENS:	P679W8-P679W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi<in~)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+<in~
        GLOSS:	and+that

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P679W8
      OFFSETS:	34-36
       TOKENS:	P679W10-P679W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	غلطت
     IS_TRANS:	glTt
        INDEX:	P679W9
      OFFSETS:	37-41
       TOKENS:	P679W11-P679W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[giliT_1]
   UNSPLITVOC:	(giloTit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	giloT+it
        GLOSS:	make errors/wrong/err/make mistake/cause error/be wrong/be mistaken/do incorrectly+it/they/she

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P679W10
      OFFSETS:	41-42
       TOKENS:	P679W12-P679W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P679W11
      OFFSETS:	42-43
       TOKENS:	P679W13-P679W13
