 INPUT STRING:	رايحة
        GLOSS:	example/proverb/for example/proverbs/examples+[acc.indef.]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P208W1
      OFFSETS:	0-2
       TOKENS:	P208W1-P208W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	إدوارد
     IS_TRANS:	<dwArd
        INDEX:	P208W2
      OFFSETS:	3-9
       TOKENS:	P208W2-P208W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<idwArd_1]
   UNSPLITVOC:	(<idwArd)
          POS:	NOUN_PROP
          VOC:	<idwArd
        GLOSS:	Edward

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P208W3
      OFFSETS:	10-14
       TOKENS:	P208W3-P208W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	حيصحى
     IS_TRANS:	HySHY
        INDEX:	P208W4
      OFFSETS:	15-20
       TOKENS:	P208W4-P208W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiy_1]
   UNSPLITVOC:	(HayiSoHaY)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+SoHaY
        GLOSS:	will+he/it+wake up/regain consciousness

 INPUT STRING:	متأخر
     IS_TRANS:	mt>xr
        INDEX:	P208W5
      OFFSETS:	21-26
       TOKENS:	P208W6-P208W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mito>ax~ar_1]
   UNSPLITVOC:	(mito>ax~ar)
          POS:	ADJ.VN
          VOC:	mito>ax~ar
        GLOSS:	late/delayed

 INPUT STRING:	أوكيه
     IS_TRANS:	>wkyh
        INDEX:	P209W1
      OFFSETS:	0-5
       TOKENS:	P209W1-P209W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwk~iyh_1]
   UNSPLITVOC:	(>uwk~iyh)
          POS:	INTERJ
          VOC:	>uwk~iyh
        GLOSS:	ok

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P209W2
      OFFSETS:	6-9
       TOKENS:	P209W2-P209W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P209W3
      OFFSETS:	10-14
       TOKENS:	P209W3-P209W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	أجي
     IS_TRANS:	>jy
        INDEX:	P209W4
      OFFSETS:	15-18
       TOKENS:	P209W4-P209W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(Aajiy)
          POS:	IV1S+IV
          VOC:	Aa+jiy
        GLOSS:	I+came/come

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P209W5
      OFFSETS:	19-21
       TOKENS:	P209W5-P209W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ak
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	1
     IS_TRANS:	1
        INDEX:	P209W6
      OFFSETS:	22-23
       TOKENS:	P209W7-P209W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1)
          POS:	NOUN_NUM
          VOC:	1
        GLOSS:	1

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P209W7
      OFFSETS:	23-24
       TOKENS:	P209W8-P209W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	30
     IS_TRANS:	30
        INDEX:	P209W8
      OFFSETS:	24-26
       TOKENS:	P209W9-P209W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(30)
          POS:	NOUN_NUM
          VOC:	30
        GLOSS:	30

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P210W1
      OFFSETS:	0-4
       TOKENS:	P210W1-P210W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	قشطة
     IS_TRANS:	q$Tp
        INDEX:	P210W2
      OFFSETS:	5-9
       TOKENS:	P210W2-P210W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qi$oTap_1]
   UNSPLITVOC:	(qi$oTap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qi$oT+ap
        GLOSS:	cream+[fem.sg.]

 INPUT STRING:	ها
     IS_TRANS:	hA
        INDEX:	P211W1
      OFFSETS:	0-2
       TOKENS:	P211W1-P211W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hA_1]
   UNSPLITVOC:	(hA)
          POS:	FUT_PART
          VOC:	hA
        GLOSS:	will

 INPUT STRING:	أنزل
     IS_TRANS:	>nzl
        INDEX:	P211W2
      OFFSETS:	3-7
       TOKENS:	P211W2-P211W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nazal_1]
   UNSPLITVOC:	(Aanozil)
          POS:	IV1S+IV
          VOC:	Aa+nozil
        GLOSS:	I+descend/stay

 INPUT STRING:	امتى
     IS_TRANS:	AmtY
        INDEX:	P211W3
      OFFSETS:	8-12
       TOKENS:	P211W3-P211W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	أقول
     IS_TRANS:	>qwl
        INDEX:	P212W1
      OFFSETS:	0-4
       TOKENS:	P212W1-P212W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl)
          POS:	IV1S+IV
          VOC:	Aa+quwl
        GLOSS:	I+said/say/be said/(for example)

 INPUT STRING:	للراجل
     IS_TRANS:	llrAjl
        INDEX:	P212W2
      OFFSETS:	5-11
       TOKENS:	P212W2-P212W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(lilr~Ajil)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+rAjil
        GLOSS:	for/to+the+man/men/pedestrian/pedestrians

 INPUT STRING:	ييجي
     IS_TRANS:	yyjy
        INDEX:	P212W3
      OFFSETS:	12-16
       TOKENS:	P212W4-P212W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(yiyojiy)
          POS:	IV3MS+IV
          VOC:	yi+yojiy
        GLOSS:	he/it+occur/came/come/reach/arrive

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P212W4
      OFFSETS:	17-19
       TOKENS:	P212W5-P212W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+I

 INPUT STRING:	وأن
     IS_TRANS:	w>n
        INDEX:	P212W5
      OFFSETS:	20-23
       TOKENS:	P212W7-P212W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(w>n)
          POS:	FOREIGN
          VOC:	w>n
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P213W1
      OFFSETS:	0-3
       TOKENS:	P213W1-P213W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P213W2
      OFFSETS:	4-6
       TOKENS:	P213W2-P213W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الطريق
     IS_TRANS:	AlTryq
        INDEX:	P213W3
      OFFSETS:	7-13
       TOKENS:	P213W3-P213W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(AlTariyq)
          POS:	DET+NOUN
          VOC:	Al+Tariyq
        GLOSS:	the+road/way/roads/ways/means/methods

 INPUT STRING:	احلفي
     IS_TRANS:	AHlfy
        INDEX:	P214W1
      OFFSETS:	0-5
       TOKENS:	P214W1-P214W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hilif_1]
   UNSPLITVOC:	(>iHolifiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	>iHolif+iy
        GLOSS:	swear/take an oath+you

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P215W1
      OFFSETS:	0-4
       TOKENS:	P215W1-P215W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	ألبس
     IS_TRANS:	>lbs
        INDEX:	P215W2
      OFFSETS:	5-9
       TOKENS:	P215W2-P215W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[libis_1]
   UNSPLITVOC:	(Aalobis)
          POS:	IV1S+IV
          VOC:	Aa+lobis
        GLOSS:	I+put on/wear/dress/make vague/deceive/be worn/be dressed in

 INPUT STRING:	وأنزل
     IS_TRANS:	w>nzl
        INDEX:	P215W3
      OFFSETS:	10-15
       TOKENS:	P215W3-P215W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(wiAanozil)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+nozil
        GLOSS:	and+I+descend/come/desend/stay

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P215W4
      OFFSETS:	16-17
       TOKENS:	P215W5-P215W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	وإدوارد
     IS_TRANS:	w<dwArd
        INDEX:	P216W1
      OFFSETS:	0-7
       TOKENS:	P216W1-P216W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<idwArd_1]
   UNSPLITVOC:	(wi<idwArd)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+<idwArd
        GLOSS:	and+Edward

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P216W2
      OFFSETS:	8-12
       TOKENS:	P216W3-P216W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	يارا
     IS_TRANS:	yArA
        INDEX:	P217W1
      OFFSETS:	0-4
       TOKENS:	P217W1-P217W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yArA_1]
   UNSPLITVOC:	(yArA)
          POS:	NOUN_PROP
          VOC:	yArA
        GLOSS:	Yara

 INPUT STRING:	شفتي
     IS_TRANS:	$fty
        INDEX:	P218W1
      OFFSETS:	0-4
       TOKENS:	P218W1-P218W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uftiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	$uf+tiy
        GLOSS:	look+you

 INPUT STRING:	الجروب
     IS_TRANS:	Aljrwb
        INDEX:	P218W2
      OFFSETS:	5-11
       TOKENS:	P218W2-P218W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juruwb_1]
   UNSPLITVOC:	(Aljuruwb)
          POS:	DET+NOUN
          VOC:	Al+juruwb
        GLOSS:	the+group

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P219W1
      OFFSETS:	0-3
       TOKENS:	P219W1-P219W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P219W2
      OFFSETS:	4-6
       TOKENS:	P219W2-P219W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P219W3
      OFFSETS:	7-11
       TOKENS:	P219W3-P219W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P219W4
      OFFSETS:	12-14
       TOKENS:	P219W4-P219W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	نروحش
     IS_TRANS:	nrwH$
        INDEX:	P219W5
      OFFSETS:	15-20
       TOKENS:	P219W5-P219W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(niruwH$)
          POS:	IV1P+IV+NEG_PART
          VOC:	ni+ruwH+$
        GLOSS:	we+begin/go+not

 INPUT STRING:	شكلنا
     IS_TRANS:	$klnA
        INDEX:	P220W1
      OFFSETS:	0-5
       TOKENS:	P220W1-P220W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	($akolinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	$akol+nA
        GLOSS:	manner/form/configuration/manners/types/forms/configurations+our

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P220W2
      OFFSETS:	6-8
       TOKENS:	P220W3-P220W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حنروح
     IS_TRANS:	HnrwH
        INDEX:	P220W3
      OFFSETS:	9-14
       TOKENS:	P220W4-P220W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(HaniruwH)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+ruwH
        GLOSS:	will+we+begin/go

 INPUT STRING:	تعالي
     IS_TRANS:	tEAly
        INDEX:	P220W4
      OFFSETS:	15-20
       TOKENS:	P220W6-P220W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEAlay_1]
   UNSPLITVOC:	(taEAliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	taEAl+iy
        GLOSS:	come/be high/be raised/be exalted+you

 INPUT STRING:	نشوف
     IS_TRANS:	n$wf
        INDEX:	P220W5
      OFFSETS:	21-25
       TOKENS:	P220W7-P220W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(ni$uwf)
          POS:	IV1P+IV
          VOC:	ni+$uwf
        GLOSS:	we+look

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P220W6
      OFFSETS:	26-29
       TOKENS:	P220W8-P220W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	رايح
     IS_TRANS:	rAyH
        INDEX:	P220W7
      OFFSETS:	30-34
       TOKENS:	P220W9-P220W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAyiH_1]
   UNSPLITVOC:	(rAyiH)
          POS:	ADJ
          VOC:	rAyiH
        GLOSS:	going

 INPUT STRING:	ها
     IS_TRANS:	hA
        INDEX:	P221W1
      OFFSETS:	0-2
       TOKENS:	P221W1-P221W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hA_1]
   UNSPLITVOC:	(hA)
          POS:	INTERJ
          VOC:	hA
        GLOSS:	say what

 INPUT STRING:	حتروحي
     IS_TRANS:	HtrwHy
        INDEX:	P221W2
      OFFSETS:	3-9
       TOKENS:	P221W2-P221W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(HatiruwHiy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	Ha+ti+ruwH+iy
        GLOSS:	will+you+begin/go+you

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P221W3
      OFFSETS:	10-11
       TOKENS:	P221W4-P221W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	يوسف
     IS_TRANS:	ywsf
        INDEX:	P222W1
      OFFSETS:	0-4
       TOKENS:	P222W1-P222W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwsif_1]
   UNSPLITVOC:	(yuwsif)
          POS:	NOUN_PROP
          VOC:	yuwsif
        GLOSS:	Yousif/Yusif/Joseph

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P222W2
      OFFSETS:	5-10
       TOKENS:	P222W2-P222W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+quwl
        GLOSS:	[present-tense]+he/it+said/say/be said/(for example)

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P222W3
      OFFSETS:	11-13
       TOKENS:	P222W4-P222W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+I

 INPUT STRING:	أروح
     IS_TRANS:	>rwH
        INDEX:	P222W4
      OFFSETS:	14-18
       TOKENS:	P222W6-P222W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raw~aH_1]
   UNSPLITVOC:	(Aaraw~aH)
          POS:	IV1S+IV
          VOC:	Aa+raw~aH
        GLOSS:	I+fan/ventilate/revive

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P223W1
      OFFSETS:	0-4
       TOKENS:	P223W1-P223W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(waAnA)
          POS:	CONJ+PRON_1S
          VOC:	wa+AnA
        GLOSS:	and+I/me

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P223W2
      OFFSETS:	5-8
       TOKENS:	P223W3-P223W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P223W3
      OFFSETS:	9-12
       TOKENS:	P223W4-P223W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	بأبقى
     IS_TRANS:	b>bqY
        INDEX:	P223W4
      OFFSETS:	13-18
       TOKENS:	P223W5-P223W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(bAaboqaY)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+boqaY
        GLOSS:	[present-tense]+I+become/begin/start/be/begin a new day

 INPUT STRING:	قاعدة
     IS_TRANS:	qAEdp
        INDEX:	P223W5
      OFFSETS:	19-24
       TOKENS:	P223W7-P223W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(qAEodap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	qAEod+ap
        GLOSS:	sitting/seated/lazy/inactive/evaders (draft dodgers)+[fem.sg.]

 INPUT STRING:	فالبيت
     IS_TRANS:	fAlbyt
        INDEX:	P223W6
      OFFSETS:	25-31
       TOKENS:	P223W8-P223W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayt_1]
   UNSPLITVOC:	(fiAlbayt)
          POS:	PREP+DET+NOUN
          VOC:	fi+Al+bayt
        GLOSS:	in+the+house/houses/verse/verses

 INPUT STRING:	لوحدي
     IS_TRANS:	lwHdy
        INDEX:	P223W7
      OFFSETS:	32-37
       TOKENS:	P223W10-P223W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHod_1]
   UNSPLITVOC:	(liwaHodiy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	li+waHod+iy
        GLOSS:	for/to+alone/only+my

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P224W1
      OFFSETS:	0-2
       TOKENS:	P224W1-P224W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P224W2
      OFFSETS:	3-7
       TOKENS:	P224W2-P224W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(waAnA)
          POS:	CONJ+PRON_1S
          VOC:	wa+AnA
        GLOSS:	and+I/me

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P224W3
      OFFSETS:	8-12
       TOKENS:	P224W4-P224W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
