 INPUT STRING:	ازيه
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P142W2
      OFFSETS:	4-6
       TOKENS:	P142W2-P142W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عاوزة
     IS_TRANS:	EAwzp
        INDEX:	P142W3
      OFFSETS:	7-12
       TOKENS:	P142W3-P142W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAwoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	أبوظ
     IS_TRANS:	>bwZ
        INDEX:	P142W4
      OFFSETS:	13-17
       TOKENS:	P142W4-P142W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baw~aZ_1]
   UNSPLITVOC:	(Aabaw~aZ)
          POS:	IV1S+IV
          VOC:	Aa+baw~aZ
        GLOSS:	I+spoil

 INPUT STRING:	bs
     IS_TRANS:	bs
        INDEX:	P143W1
      OFFSETS:	0-2
       TOKENS:	P143W1-P143W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P143W2
      OFFSETS:	3-7
       TOKENS:	P143W2-P143W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite/certainly/surely/definitely

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P143W3
      OFFSETS:	8-10
       TOKENS:	P143W3-P143W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	أول
     IS_TRANS:	>wl
        INDEX:	P143W4
      OFFSETS:	11-14
       TOKENS:	P143W4-P143W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaw~il_1]
   UNSPLITVOC:	(Aw~il)
          POS:	ADJ
          VOC:	Aw~il
        GLOSS:	first/explain/interpret/be explained/be interpreted/first-place/best/top

 INPUT STRING:	اسبوع
     IS_TRANS:	AsbwE
        INDEX:	P143W5
      OFFSETS:	15-20
       TOKENS:	P143W5-P143W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AusobuwE_1]
   UNSPLITVOC:	(AusobuwE)
          POS:	NOUN
          VOC:	AusobuwE
        GLOSS:	week/weeks

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P144W1
      OFFSETS:	0-4
       TOKENS:	P144W1-P144W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/begin/start/be/begin a new day

 INPUT STRING:	نسمع
     IS_TRANS:	nsmE
        INDEX:	P144W2
      OFFSETS:	5-9
       TOKENS:	P144W2-P144W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(nisomaE)
          POS:	IV1P+IV
          VOC:	ni+somaE
        GLOSS:	we+listen/hear

 INPUT STRING:	كلام
     IS_TRANS:	klAm
        INDEX:	P144W3
      OFFSETS:	10-14
       TOKENS:	P144W3-P144W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAm)
          POS:	NOUN
          VOC:	kalAm
        GLOSS:	speech/statement/remark/talk/saying

 INPUT STRING:	أمه
     IS_TRANS:	>mh
        INDEX:	P144W4
      OFFSETS:	15-18
       TOKENS:	P144W4-P144W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>um~+uh
        GLOSS:	mother/maternal/mothers+his/its

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P145W1
      OFFSETS:	0-3
       TOKENS:	P145W1-P145W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P145W2
      OFFSETS:	4-8
       TOKENS:	P145W2-P145W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P145W3
      OFFSETS:	9-13
       TOKENS:	P145W3-P145W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifos+iy
        GLOSS:	appetite/wish+my

 INPUT STRING:	اوصل
     IS_TRANS:	AwSl
        INDEX:	P145W4
      OFFSETS:	14-18
       TOKENS:	P145W5-P145W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiSil_1]
   UNSPLITVOC:	(AawoSal)
          POS:	IV1S+IV
          VOC:	Aa+woSal
        GLOSS:	I+connect/arrive/reach

 INPUT STRING:	80
     IS_TRANS:	80
        INDEX:	P145W5
      OFFSETS:	19-21
       TOKENS:	P145W6-P145W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(80)
          POS:	NOUN_NUM
          VOC:	80
        GLOSS:	80

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P146W1
      OFFSETS:	0-3
       TOKENS:	P146W1-P146W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P146W2
      OFFSETS:	4-8
       TOKENS:	P146W2-P146W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifos+iy
        GLOSS:	appetite/wish+my

 INPUT STRING:	ينظمنا
     IS_TRANS:	ynZmnA
        INDEX:	P146W3
      OFFSETS:	9-15
       TOKENS:	P146W4-P146W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naZ~am_1]
   UNSPLITVOC:	(yinaZ~amnA)
          POS:	IV3MS+IV+IVSUFF_DO:1P
          VOC:	yi+naZ~am+nA
        GLOSS:	he/it+arrange/regulate/organize+us

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P146W4
      OFFSETS:	16-18
       TOKENS:	P146W6-P146W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	رمضان
     IS_TRANS:	rmDAn
        INDEX:	P146W5
      OFFSETS:	19-24
       TOKENS:	P146W7-P146W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramaDAn_1]
   UNSPLITVOC:	(ramaDAn)
          POS:	NOUN
          VOC:	ramaDAn
        GLOSS:	Ramadan

 INPUT STRING:	واو
     IS_TRANS:	wAw
        INDEX:	P147W1
      OFFSETS:	0-3
       TOKENS:	P147W1-P147W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAw_1]
   UNSPLITVOC:	(wAw)
          POS:	INTERJ
          VOC:	wAw
        GLOSS:	Wow

 INPUT STRING:	تبقى
     IS_TRANS:	tbqY
        INDEX:	P147W2
      OFFSETS:	4-8
       TOKENS:	P147W2-P147W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(tiboqaY)
          POS:	IV3FS+IV
          VOC:	ti+boqaY
        GLOSS:	it/they/she+become/begin/start/be/begin a new day

 INPUT STRING:	تحفة
     IS_TRANS:	tHfp
        INDEX:	P147W3
      OFFSETS:	9-13
       TOKENS:	P147W3-P147W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tuHofap_1]
   UNSPLITVOC:	(tuHofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tuHof+ap
        GLOSS:	wonderful+[fem.sg.]

 INPUT STRING:	والمشوار
     IS_TRANS:	wAlm$wAr
        INDEX:	P148W1
      OFFSETS:	0-8
       TOKENS:	P148W1-P148W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$owAr_1]
   UNSPLITVOC:	(wiAlmi$owAr)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+mi$owAr
        GLOSS:	and+the+cycle/stroke/course/trajectory/walk/promenade

 INPUT STRING:	قدامي
     IS_TRANS:	qdAmy
        INDEX:	P148W2
      OFFSETS:	9-14
       TOKENS:	P148W3-P148W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qud~Am_1]
   UNSPLITVOC:	(qud~Amiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qud~Am+iy
        GLOSS:	front/in front of+my

 INPUT STRING:	طويل
     IS_TRANS:	Twyl
        INDEX:	P148W3
      OFFSETS:	15-19
       TOKENS:	P148W5-P148W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tawiyl_1]
   UNSPLITVOC:	(Tawiyl)
          POS:	ADJ
          VOC:	Tawiyl
        GLOSS:	tall/long/for a long time/at length/extensively

 INPUT STRING:	يالا
     IS_TRANS:	yAlA
        INDEX:	P149W1
      OFFSETS:	0-4
       TOKENS:	P149W1-P149W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yAlA_1]
   UNSPLITVOC:	(yAlA)
          POS:	INTERJ
          VOC:	yAlA
        GLOSS:	lets go

 INPUT STRING:	بينا
     IS_TRANS:	bynA
        INDEX:	P149W2
      OFFSETS:	5-9
       TOKENS:	P149W2-P149W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biynA)
          POS:	PREP+PRON_1P
          VOC:	bi+nA
        GLOSS:	with/by+him/her

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P149W3
      OFFSETS:	10-13
       TOKENS:	P149W4-P149W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	حأشجعك
     IS_TRANS:	H>$jEk
        INDEX:	P149W4
      OFFSETS:	14-20
       TOKENS:	P149W5-P149W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aj~aE_1]
   UNSPLITVOC:	(HaAa$ajaEik)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:2FS
          VOC:	Ha+Aa+$aj~aE+ik
        GLOSS:	will+I+encourage+you

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P150W1
      OFFSETS:	0-3
       TOKENS:	P150W1-P150W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	عشأن
     IS_TRANS:	E$>n
        INDEX:	P150W2
      OFFSETS:	4-8
       TOKENS:	P150W3-P150W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$Aon)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/matters/case/condition/status/matter/affairs/importance

 INPUT STRING:	صحتك
     IS_TRANS:	SHtk
        INDEX:	P150W3
      OFFSETS:	9-13
       TOKENS:	P150W5-P150W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiH~ap_1]
   UNSPLITVOC:	(SiH~itik)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	SiH~+ap+ik
        GLOSS:	health/authenticity/truth/correctness+[fem.sg.]+your

 INPUT STRING:	قصدي
     IS_TRANS:	qSdy
        INDEX:	P151W1
      OFFSETS:	0-4
       TOKENS:	P151W1-P151W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSod_1]
   UNSPLITVOC:	(qaSodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qaSod+iy
        GLOSS:	intent/purpose/goal/intentionally+my

 INPUT STRING:	صحتنا
     IS_TRANS:	SHtnA
        INDEX:	P151W2
      OFFSETS:	5-10
       TOKENS:	P151W3-P151W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiH~ap_1]
   UNSPLITVOC:	(SiH~itnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	SiH~+ap+nA
        GLOSS:	health/authenticity/truth/correctness+[fem.sg.]+our

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P152W1
      OFFSETS:	0-2
       TOKENS:	P152W1-P152W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P152W2
      OFFSETS:	3-8
       TOKENS:	P152W2-P152W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P152W3
      OFFSETS:	9-12
       TOKENS:	P152W4-P152W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P152W4
      OFFSETS:	13-17
       TOKENS:	P152W5-P152W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	حاستغل
     IS_TRANS:	HAstgl
        INDEX:	P152W5
      OFFSETS:	18-24
       TOKENS:	P152W6-P152W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotagal~_1]
   UNSPLITVOC:	(HaAasotagil~)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+sotagil~
        GLOSS:	will+I+exploit/profit from/use/take advanatage/take advantage of/make use/abuse

 INPUT STRING:	فرصة
     IS_TRANS:	frSp
        INDEX:	P152W6
      OFFSETS:	25-29
       TOKENS:	P152W8-P152W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[furoSap_1]
   UNSPLITVOC:	(furoSap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	furoS+ap
        GLOSS:	opportunity/chance/opportunities/chances/holiday/holidays+[fem.sg.]

 INPUT STRING:	السباحة
     IS_TRANS:	AlsbAHp
        INDEX:	P152W7
      OFFSETS:	30-37
       TOKENS:	P152W9-P152W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sibAHap_1]
   UNSPLITVOC:	(AlsibAHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sibAH+ap
        GLOSS:	the+swimming+[fem.sg.]

 INPUT STRING:	btAEp
     IS_TRANS:	btAEp
        INDEX:	P152W8
      OFFSETS:	38-43
       TOKENS:	P152W10-P152W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bitAE+ap
        GLOSS:	owners/something/belongings+[fem.sg.]

 INPUT STRING:	الولاد
     IS_TRANS:	AlwlAd
        INDEX:	P152W9
      OFFSETS:	44-50
       TOKENS:	P152W11-P152W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(AlwilAd)
          POS:	DET+NOUN
          VOC:	Al+wilAd
        GLOSS:	the+child/son/children

 INPUT STRING:	وامشي
     IS_TRANS:	wAm$y
        INDEX:	P152W10
      OFFSETS:	51-56
       TOKENS:	P152W12-P152W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(wiAamo$iy)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+mo$iy
        GLOSS:	and+I+go/walk

 INPUT STRING:	ايوا
     IS_TRANS:	AywA
        INDEX:	P153W1
      OFFSETS:	0-4
       TOKENS:	P153W1-P153W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AywA_1]
   UNSPLITVOC:	(AywA)
          POS:	INTERJ
          VOC:	AywA
        GLOSS:	yes

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P153W2
      OFFSETS:	5-9
       TOKENS:	P153W2-P153W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/(actually/in effect)/acts+[acc.indef.]

 INPUT STRING:	عشأن
     IS_TRANS:	E$>n
        INDEX:	P153W3
      OFFSETS:	10-14
       TOKENS:	P153W3-P153W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$Aon)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/matters/case/condition/status/matter/affairs/importance

 INPUT STRING:	صحتنا
     IS_TRANS:	SHtnA
        INDEX:	P153W4
      OFFSETS:	15-20
       TOKENS:	P153W5-P153W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiH~ap_1]
   UNSPLITVOC:	(SiH~itnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	SiH~+ap+nA
        GLOSS:	health/authenticity/truth/correctness+[fem.sg.]+our

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P154W1
      OFFSETS:	0-2
       TOKENS:	P154W1-P154W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	إنجاز
     IS_TRANS:	<njAz
        INDEX:	P154W2
      OFFSETS:	3-8
       TOKENS:	P154W2-P154W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inojAz_1]
   UNSPLITVOC:	(<inojAz)
          POS:	NOUN
          VOC:	<inojAz
        GLOSS:	implementation/effectuation/accomplishment/achievement/success/accomplishments/achievements/successes

 INPUT STRING:	kl
     IS_TRANS:	kl
        INDEX:	P155W1
      OFFSETS:	0-2
       TOKENS:	P155W1-P155W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P155W2
      OFFSETS:	3-5
       TOKENS:	P155W2-P155W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	بنكبر
     IS_TRANS:	bnkbr
        INDEX:	P155W3
      OFFSETS:	6-11
       TOKENS:	P155W3-P155W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibir_1]
   UNSPLITVOC:	(binikobar)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+kobar
        GLOSS:	[present-tense]+we+grow older/increase/augment/become large/become plump/magnify/amplify/grow

 INPUT STRING:	بنخس
     IS_TRANS:	bnxs
        INDEX:	P155W4
      OFFSETS:	12-16
       TOKENS:	P155W5-P155W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xas~_1]
   UNSPLITVOC:	(binixis~)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+xis~
        GLOSS:	[present-tense]+we+be mean/diminish/lessen/reduce

 INPUT STRING:	ASEb
     IS_TRANS:	ASEb
        INDEX:	P155W5
      OFFSETS:	17-21
       TOKENS:	P155W7-P155W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSoEab_1]
   UNSPLITVOC:	(>aSoEab)
          POS:	ADJ_COMP
          VOC:	>aSoEab
        GLOSS:	more/most difficult/harder/hardest/more/most arduous

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P156W1
      OFFSETS:	0-4
       TOKENS:	P156W1-P156W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/(actually/in effect)/acts+[acc.indef.]

 INPUT STRING:	إنجاز
     IS_TRANS:	<njAz
        INDEX:	P156W2
      OFFSETS:	5-10
       TOKENS:	P156W2-P156W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inojAz_1]
   UNSPLITVOC:	(<inojAz)
          POS:	NOUN
          VOC:	<inojAz
        GLOSS:	implementation/effectuation/accomplishment/achievement/success/accomplishments/achievements/successes

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P157W1
      OFFSETS:	0-6
       TOKENS:	P157W1-P157W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dunoyA_1]
   UNSPLITVOC:	(AldunoyA)
          POS:	DET+NOUN
          VOC:	Al+dunoyA
        GLOSS:	the+world/worlds

 INPUT STRING:	زحمة
     IS_TRANS:	zHmp
        INDEX:	P157W2
      OFFSETS:	7-11
       TOKENS:	P157W2-P157W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaHomap_1]
   UNSPLITVOC:	(zaHomap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	zaHom+ap
        GLOSS:	crowded/jam+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P157W3
      OFFSETS:	12-13
       TOKENS:	P157W3-P157W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
