 INPUT STRING:	تمام
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدايت
     IS_TRANS:	AldAyt
        INDEX:	P30W2
      OFFSETS:	3-9
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AldAyt)
          POS:	FOREIGN
          VOC:	AldAyt
        GLOSS:	nogloss

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P30W3
      OFFSETS:	10-14
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>inotiy_1]
   UNSPLITVOC:	(>inotiy)
          POS:	PRON_2FS
          VOC:	>inotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P30W4
      OFFSETS:	15-18
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P30W5
      OFFSETS:	19-22
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P30W6
      OFFSETS:	23-24
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	اتقلبت
     IS_TRANS:	Atqlbt
        INDEX:	P31W1
      OFFSETS:	0-6
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<itoqalab_1]
   UNSPLITVOC:	(<itoqalabt)
          POS:	PV_PASS+PVSUFF_SUBJ:1S
          VOC:	<itoqalab+t
        GLOSS:	be inverted/be reversed/turn around+I

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P31W2
      OFFSETS:	7-10
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P31W3
      OFFSETS:	11-13
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	عم
     IS_TRANS:	Em
        INDEX:	P31W4
      OFFSETS:	14-16
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(Eam~)
          POS:	NOUN
          VOC:	Eam~
        GLOSS:	paternal uncle/paternal uncles

 INPUT STRING:	ِ
     IS_TRANS:	i
        INDEX:	P32W1
      OFFSETS:	0-1
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(i)
          POS:	TYPO
          VOC:	i
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P32W2
      OFFSETS:	1-2
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P33W1
      OFFSETS:	0-3
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	مسافر
     IS_TRANS:	msAfr
        INDEX:	P33W2
      OFFSETS:	4-9
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misAfir_1]
   UNSPLITVOC:	(misAfir)
          POS:	ADJ
          VOC:	misAfir
        GLOSS:	traveler/passenger/traveling

 INPUT STRING:	وكان
     IS_TRANS:	wkAn
        INDEX:	P33W3
      OFFSETS:	10-14
       TOKENS:	P33W3-P33W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikAn)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+kAn+(null)
        GLOSS:	and+be/was/were+he/it

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P33W4
      OFFSETS:	15-22
       TOKENS:	P33W5-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+ADJ
          VOC:	Al+maforuwD
        GLOSS:	the+imposed/prescribed

 INPUT STRING:	يرجع
     IS_TRANS:	yrjE
        INDEX:	P33W5
      OFFSETS:	23-27
       TOKENS:	P33W6-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(yirojaE)
          POS:	IV3MS+IV
          VOC:	yi+rojaE
        GLOSS:	he/it+come back/go back/return back/return

 INPUT STRING:	وننزل
     IS_TRANS:	wnnzl
        INDEX:	P33W6
      OFFSETS:	28-33
       TOKENS:	P33W7-P33W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(wininozil)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+nozil
        GLOSS:	and+we+descend/come/desend/stay

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P34W1
      OFFSETS:	0-2
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	رجعش
     IS_TRANS:	rjE$
        INDEX:	P34W2
      OFFSETS:	3-7
       TOKENS:	P34W2-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(rijiE$)
          POS:	PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	rijiE+(null)+$
        GLOSS:	come back/go back/return back/return+he/it+not

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P35W1
      OFFSETS:	0-2
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	بتقال
     IS_TRANS:	btqAl
        INDEX:	P35W2
      OFFSETS:	3-8
       TOKENS:	P35W2-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<itoqAl_1]
   UNSPLITVOC:	(bititoqAl)
          POS:	PROG_PART+IV3FS+IV_PASS
          VOC:	bi+ti+tiqAl
        GLOSS:	[present-tense]+it/they/she+be said

 INPUT STRING:	البنت
     IS_TRANS:	Albnt
        INDEX:	P35W3
      OFFSETS:	9-14
       TOKENS:	P35W4-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(Albinot)
          POS:	DET+NOUN
          VOC:	Al+binot
        GLOSS:	the+daughter/girl/daughters/girls

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P35W4
      OFFSETS:	15-17
       TOKENS:	P35W5-P35W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay_1]
   UNSPLITVOC:	(zaY)
          POS:	NOUN
          VOC:	zaY
        GLOSS:	like/as

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P35W5
      OFFSETS:	18-21
       TOKENS:	P35W6-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	تتف
     IS_TRANS:	ttf
        INDEX:	P35W6
      OFFSETS:	22-25
       TOKENS:	P35W7-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taf_1]
   UNSPLITVOC:	(tituf)
          POS:	IV2MS+IV
          VOC:	ti+tuf
        GLOSS:	you+spit

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P35W7
      OFFSETS:	26-30
       TOKENS:	P35W8-P35W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	يلزق
     IS_TRANS:	ylzq
        INDEX:	P35W8
      OFFSETS:	31-35
       TOKENS:	P35W10-P35W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lazaq_1]
   UNSPLITVOC:	(yilozaq)
          POS:	IV3MS+IV_PASS
          VOC:	yi+lozaq
        GLOSS:	it/he+be pasted on/be stuck on

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P35W9
      OFFSETS:	35-36
       TOKENS:	P35W11-P35W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	الظرف
     IS_TRANS:	AlZrf
        INDEX:	P35W10
      OFFSETS:	37-42
       TOKENS:	P35W12-P35W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zarof_1]
   UNSPLITVOC:	(AlZarof)
          POS:	DET+NOUN
          VOC:	Al+Zarof
        GLOSS:	the+charm/envelope/circumstance/condition/situation/circumstances

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P35W11
      OFFSETS:	43-46
       TOKENS:	P35W13-P35W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	طابع
     IS_TRANS:	TAbE
        INDEX:	P35W12
      OFFSETS:	47-51
       TOKENS:	P35W14-P35W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAbiE_1]
   UNSPLITVOC:	(TAbiE)
          POS:	NOUN
          VOC:	TAbiE
        GLOSS:	impression/character/personality/postage stamp/postage stamps

 INPUT STRING:	البريد
     IS_TRANS:	Albryd
        INDEX:	P35W13
      OFFSETS:	52-58
       TOKENS:	P35W15-P35W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bariyd_1]
   UNSPLITVOC:	(Albariyd)
          POS:	DET+NOUN
          VOC:	Al+bariyd
        GLOSS:	the+mail/post office

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P35W14
      OFFSETS:	58-59
       TOKENS:	P35W16-P35W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P35W15
      OFFSETS:	60-64
       TOKENS:	P35W17-P35W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P35W16
      OFFSETS:	65-68
       TOKENS:	P35W18-P35W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	البنت
     IS_TRANS:	Albnt
        INDEX:	P36W1
      OFFSETS:	0-5
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(Albinot)
          POS:	DET+NOUN
          VOC:	Al+binot
        GLOSS:	the+daughter/girl/daughters/girls

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P36W2
      OFFSETS:	6-8
       TOKENS:	P36W2-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay_1]
   UNSPLITVOC:	(zaY)
          POS:	NOUN
          VOC:	zaY
        GLOSS:	like/as

 INPUT STRING:	طابع
     IS_TRANS:	TAbE
        INDEX:	P36W3
      OFFSETS:	9-13
       TOKENS:	P36W3-P36W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAbiE_1]
   UNSPLITVOC:	(TAbiE)
          POS:	NOUN
          VOC:	TAbiE
        GLOSS:	impression/character/personality/postage stamp/postage stamps

 INPUT STRING:	البوستة
     IS_TRANS:	Albwstp
        INDEX:	P36W4
      OFFSETS:	14-21
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[buwsoTap_1]
   UNSPLITVOC:	(Albuwsotap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+buwsot+ap
        GLOSS:	the+mail+[fem.sg.]

 INPUT STRING:	تف
     IS_TRANS:	tf
        INDEX:	P36W5
      OFFSETS:	22-24
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taf~_1]
   UNSPLITVOC:	(tif~)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	tif~+(null)
        GLOSS:	spit+you

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P36W6
      OFFSETS:	25-30
       TOKENS:	P36W6-P36W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+it/them/she

 INPUT STRING:	تلزق
     IS_TRANS:	tlzq
        INDEX:	P36W7
      OFFSETS:	31-35
       TOKENS:	P36W8-P36W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lazaq_1]
   UNSPLITVOC:	(tilozaq)
          POS:	IV3FS+IV_PASS
          VOC:	ti+lozaq
        GLOSS:	it/they/she+be pasted on/be stuck on

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P36W8
      OFFSETS:	36-40
       TOKENS:	P36W9-P36W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_2]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more, most, majority

 INPUT STRING:	تهتز
     IS_TRANS:	thtz
        INDEX:	P37W1
      OFFSETS:	0-4
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(thtz)
          POS:	FOREIGN
          VOC:	thtz
        GLOSS:	nogloss

 INPUT STRING:	رونق
     IS_TRANS:	rwnq
        INDEX:	P37W2
      OFFSETS:	5-9
       TOKENS:	P37W2-P37W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(rwnq)
          POS:	FOREIGN
          VOC:	rwnq
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W3
      OFFSETS:	9-10
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	البنت
     IS_TRANS:	Albnt
        INDEX:	P37W4
      OFFSETS:	11-16
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(Albinot)
          POS:	DET+NOUN
          VOC:	Al+binot
        GLOSS:	the+daughter/girl/daughters/girls

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P37W5
      OFFSETS:	17-19
       TOKENS:	P37W5-P37W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay_1]
   UNSPLITVOC:	(zaY)
          POS:	NOUN
          VOC:	zaY
        GLOSS:	like/as

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P37W6
      OFFSETS:	20-22
       TOKENS:	P37W6-P37W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	إنسان
     IS_TRANS:	<nsAn
        INDEX:	P37W7
      OFFSETS:	23-28
       TOKENS:	P37W7-P37W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inosAn_1]
   UNSPLITVOC:	(<inosAn)
          POS:	NOUN
          VOC:	<inosAn
        GLOSS:	human being/human beings

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W8
      OFFSETS:	28-29
       TOKENS:	P37W8-P37W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	تف
     IS_TRANS:	tf
        INDEX:	P37W9
      OFFSETS:	30-32
       TOKENS:	P37W9-P37W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taf~_1]
   UNSPLITVOC:	(tif~)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	tif~+(null)
        GLOSS:	spit+you

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P37W10
      OFFSETS:	33-38
       TOKENS:	P37W10-P37W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+it/them/she

 INPUT STRING:	هتفشخك
     IS_TRANS:	htf$xk
        INDEX:	P37W11
      OFFSETS:	39-45
       TOKENS:	P37W12-P37W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fa$ax_1]
   UNSPLITVOC:	(Hatifo$axak)
          POS:	FUT_PART+IV3FS+IV+IVSUFF_DO:2MS
          VOC:	Ha+t+fo$ax+ak
        GLOSS:	will+it/they/she+disgust/spread+you

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P37W12
      OFFSETS:	46-47
       TOKENS:	P37W15-P37W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P38W1
      OFFSETS:	0-2
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laugh

 INPUT STRING:	أصلا
     IS_TRANS:	>SlA
        INDEX:	P39W1
      OFFSETS:	0-4
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	بيقولوا
     IS_TRANS:	byqwlwA
        INDEX:	P39W2
      OFFSETS:	5-12
       TOKENS:	P39W2-P39W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwluwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+quwl+uwA
        GLOSS:	[present-tense]+they+said/say/be said/(for example)+they

 INPUT STRING:	السينغ
     IS_TRANS:	Alsyng
        INDEX:	P39W3
      OFFSETS:	13-19
       TOKENS:	P39W4-P39W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alsyng)
          POS:	FOREIGN
          VOC:	Alsyng
        GLOSS:	nogloss

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P39W4
      OFFSETS:	20-22
       TOKENS:	P39W5-P39W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[dA_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P39W5
      OFFSETS:	24-27
       TOKENS:	P39W6-P39W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الولاد
     IS_TRANS:	AlwlAd
        INDEX:	P39W6
      OFFSETS:	28-34
       TOKENS:	P39W7-P39W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(AlwilAd)
          POS:	DET+NOUN
          VOC:	Al+wilAd
        GLOSS:	the+child/son/children

 INPUT STRING:	والبنات
     IS_TRANS:	wAlbnAt
        INDEX:	P39W7
      OFFSETS:	35-42
       TOKENS:	P39W8-P39W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(wiAlbanAt)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+banAt
        GLOSS:	and+the+daughter/girl/daughters/girls

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P40W1
      OFFSETS:	0-1
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P40W2
      OFFSETS:	2-5
       TOKENS:	P40W2-P40W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inota_1]
   UNSPLITVOC:	(<inota)
          POS:	PRON_2MS
          VOC:	<inota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	برنس
     IS_TRANS:	brns
        INDEX:	P40W3
      OFFSETS:	6-10
       TOKENS:	P40W3-P40W3
