 INPUT STRING:	يارا
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	bitAE+ak
        GLOSS:	owners/something/belongings+your

 INPUT STRING:	فارسة
     IS_TRANS:	fArsp
        INDEX:	P67W1
      OFFSETS:	0-5
       TOKENS:	P67W1-P67W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fArsp)
          POS:	FOREIGN
          VOC:	fArsp
        GLOSS:	nogloss

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P67W2
      OFFSETS:	6-7
       TOKENS:	P67W2-P67W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	يارز
     IS_TRANS:	yArz
        INDEX:	P67W3
      OFFSETS:	8-12
       TOKENS:	P67W3-P67W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(yArz)
          POS:	FOREIGN
          VOC:	yArz
        GLOSS:	nogloss

 INPUT STRING:	جنرال
     IS_TRANS:	jnrAl
        INDEX:	P67W4
      OFFSETS:	13-18
       TOKENS:	P67W4-P67W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jinirAl_2]
   UNSPLITVOC:	(jinirAl)
          POS:	NOUN
          VOC:	jinirAl
        GLOSS:	general

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P67W5
      OFFSETS:	19-23
       TOKENS:	P67W5-P67W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P68W1
      OFFSETS:	0-2
       TOKENS:	P68W1-P68W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	don't
     IS_TRANS:	don't
        INDEX:	P69W1
      OFFSETS:	0-5
       TOKENS:	P69W1-P69W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(don't)
          POS:	TRANSLIT_ERR
          VOC:	don't
        GLOSS:	don't

 INPUT STRING:	ووري
     IS_TRANS:	wwry
        INDEX:	P69W2
      OFFSETS:	6-10
       TOKENS:	P69W2-P69W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wwry)
          POS:	FOREIGN
          VOC:	wwry
        GLOSS:	nogloss

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P69W3
      OFFSETS:	11-16
       TOKENS:	P69W3-P69W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P69W4
      OFFSETS:	17-20
       TOKENS:	P69W5-P69W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	سهل
     IS_TRANS:	shl
        INDEX:	P69W5
      OFFSETS:	21-24
       TOKENS:	P69W7-P69W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sahol_1]
   UNSPLITVOC:	(sahol)
          POS:	ADJ
          VOC:	sahol
        GLOSS:	easy/simple

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P70W1
      OFFSETS:	0-3
       TOKENS:	P70W1-P70W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	سهل
     IS_TRANS:	shl
        INDEX:	P70W2
      OFFSETS:	4-7
       TOKENS:	P70W3-P70W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sahol_1]
   UNSPLITVOC:	(sahol)
          POS:	ADJ
          VOC:	sahol
        GLOSS:	easy/simple

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P70W3
      OFFSETS:	8-11
       TOKENS:	P70W4-P70W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P70W4
      OFFSETS:	12-14
       TOKENS:	P70W5-P70W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	enough

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P70W5
      OFFSETS:	15-17
       TOKENS:	P70W6-P70W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	ok/what

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P71W1
      OFFSETS:	0-4
       TOKENS:	P71W1-P71W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P71W2
      OFFSETS:	5-9
       TOKENS:	P71W2-P71W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	زكيه
     IS_TRANS:	zkyh
        INDEX:	P71W3
      OFFSETS:	10-14
       TOKENS:	P71W3-P71W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zakiy_1]
   UNSPLITVOC:	(zakiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	zakiy~+ap
        GLOSS:	pure/blameless+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P72W1
      OFFSETS:	0-2
       TOKENS:	P72W1-P72W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P72W2
      OFFSETS:	3-6
       TOKENS:	P72W2-P72W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P72W3
      OFFSETS:	7-10
       TOKENS:	P72W3-P72W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P72W4
      OFFSETS:	11-12
       TOKENS:	P72W4-P72W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P72W5
      OFFSETS:	13-14
       TOKENS:	P72W5-P72W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P72W6
      OFFSETS:	15-17
       TOKENS:	P72W6-P72W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	ok/what

 INPUT STRING:	بحتاج
     IS_TRANS:	bHtAj
        INDEX:	P72W7
      OFFSETS:	18-23
       TOKENS:	P72W7-P72W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotAj_1]
   UNSPLITVOC:	(baHotAj)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+HotAj
        GLOSS:	[present-tense]+I+require/be in need/need

 INPUT STRING:	شرح
     IS_TRANS:	$rH
        INDEX:	P72W8
      OFFSETS:	24-27
       TOKENS:	P72W9-P72W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroH_1]
   UNSPLITVOC:	($aroH)
          POS:	NOUN
          VOC:	$aroH
        GLOSS:	explanation/commentary/explanations/commentaries

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P72W9
      OFFSETS:	28-32
       TOKENS:	P72W10-P72W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	افهم
     IS_TRANS:	Afhm
        INDEX:	P72W10
      OFFSETS:	33-37
       TOKENS:	P72W12-P72W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(Aafoham)
          POS:	IV1S+IV
          VOC:	Aa+foham
        GLOSS:	I+understand/be understood/be heard/been able hear/be received information/be received news/be listened/be attentive

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P72W11
      OFFSETS:	38-40
       TOKENS:	P72W13-P72W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بفهم
     IS_TRANS:	bfhm
        INDEX:	P72W12
      OFFSETS:	41-45
       TOKENS:	P72W14-P72W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(bafoham)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+foham
        GLOSS:	[present-tense]+I+understand/be understood/be heard/been able hear/be received information/be received news/be listened/be attentive

 INPUT STRING:	لوحدي
     IS_TRANS:	lwHdy
        INDEX:	P72W13
      OFFSETS:	46-51
       TOKENS:	P72W16-P72W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHod_1]
   UNSPLITVOC:	(liwaHodiy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	li+waHod+iy
        GLOSS:	for/to+alone/only+my

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P73W1
      OFFSETS:	0-1
       TOKENS:	P73W1-P73W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P73W2
      OFFSETS:	2-4
       TOKENS:	P73W2-P73W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	بتروليوم
     IS_TRANS:	btrwlywm
        INDEX:	P73W3
      OFFSETS:	5-13
       TOKENS:	P73W3-P73W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bitruwliyuwm_1]
   UNSPLITVOC:	(bitruwliyuwm)
          POS:	NOUN_PROP
          VOC:	bitruwliyuwm
        GLOSS:	Petroleum

 INPUT STRING:	engineering
     IS_TRANS:	engineering
        INDEX:	P73W4
      OFFSETS:	14-25
       TOKENS:	P73W4-P73W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(engineering)
          POS:	TRANSLIT_ERR
          VOC:	engineering
        GLOSS:	engineering

 INPUT STRING:	بزيت
     IS_TRANS:	bzyt
        INDEX:	P73W5
      OFFSETS:	26-30
       TOKENS:	P73W5-P73W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ziyt_1]
   UNSPLITVOC:	(biziyt)
          POS:	PREP+NOUN
          VOC:	bi+ziyt
        GLOSS:	with/by+oil/oils

 INPUT STRING:	صعب
     IS_TRANS:	SEb
        INDEX:	P73W6
      OFFSETS:	31-34
       TOKENS:	P73W7-P73W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaEob_1]
   UNSPLITVOC:	(SaEob)
          POS:	ADJ
          VOC:	SaEob
        GLOSS:	difficult/hard/arduous

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P74W1
      OFFSETS:	0-5
       TOKENS:	P74W1-P74W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	سهلة
     IS_TRANS:	shlp
        INDEX:	P74W2
      OFFSETS:	6-10
       TOKENS:	P74W3-P74W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sahol_1]
   UNSPLITVOC:	(saholap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	sahol+ap
        GLOSS:	easy/simple+[fem.sg.]

 INPUT STRING:	عايزاني
     IS_TRANS:	EAyzAny
        INDEX:	P75W1
      OFFSETS:	0-7
       TOKENS:	P75W1-P75W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EAyzAny)
          POS:	NO_FUNC
          VOC:	EAyzAny
        GLOSS:	nogloss

 INPUT STRING:	اساعدك
     IS_TRANS:	AsAEdk
        INDEX:	P75W2
      OFFSETS:	8-14
       TOKENS:	P75W2-P75W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEid_1]
   UNSPLITVOC:	(AasAEodik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+sAEod+ik
        GLOSS:	I+contribute/assist/support/help+you

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P75W3
      OFFSETS:	15-19
       TOKENS:	P75W4-P75W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P75W4
      OFFSETS:	20-21
       TOKENS:	P75W5-P75W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P75W5
      OFFSETS:	22-23
       TOKENS:	P75W6-P75W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P75W6
      OFFSETS:	24-25
       TOKENS:	P75W7-P75W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P75W7
      OFFSETS:	26-27
       TOKENS:	P75W8-P75W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	يد
     IS_TRANS:	yd
        INDEX:	P75W8
      OFFSETS:	28-30
       TOKENS:	P75W9-P75W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yd)
          POS:	TYPO
          VOC:	yd
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P76W1
      OFFSETS:	0-2
       TOKENS:	P76W1-P76W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P76W2
      OFFSETS:	3-7
       TOKENS:	P76W2-P76W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite/certainly/surely/definitely

 INPUT STRING:	اصلا
     IS_TRANS:	ASlA
        INDEX:	P76W3
      OFFSETS:	8-12
       TOKENS:	P76W3-P76W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P76W4
      OFFSETS:	13-15
       TOKENS:	P76W4-P76W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هخش
     IS_TRANS:	hx$
        INDEX:	P76W5
      OFFSETS:	16-19
       TOKENS:	P76W5-P76W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xa$~_1]
   UNSPLITVOC:	(Haxu$~)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+xu$~
        GLOSS:	will+I+enter

 INPUT STRING:	بتروليوم
     IS_TRANS:	btrwlywm
        INDEX:	P76W6
      OFFSETS:	20-28
       TOKENS:	P76W7-P76W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bitruwliyuwm_1]
   UNSPLITVOC:	(bitruwliyuwm)
          POS:	NOUN_PROP
          VOC:	bitruwliyuwm
        GLOSS:	Petroleum

 INPUT STRING:	engineering
     IS_TRANS:	engineering
        INDEX:	P76W7
      OFFSETS:	29-40
       TOKENS:	P76W8-P76W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(engineering)
          POS:	TRANSLIT_ERR
          VOC:	engineering
        GLOSS:	engineering

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P76W8
      OFFSETS:	41-43
       TOKENS:	P76W9-P76W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	ok/what

 INPUT STRING:	اخف
     IS_TRANS:	Axf
        INDEX:	P77W1
      OFFSETS:	0-3
       TOKENS:	P77W1-P77W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axaf~_1]
   UNSPLITVOC:	(>axaf~)
          POS:	ADJ_COMP
          VOC:	>axaf~
        GLOSS:	lighter/lightest/lesser/least

 INPUT STRING:	hahahahahaha
     IS_TRANS:	hahahahahaha
        INDEX:	P78W1
      OFFSETS:	0-12
       TOKENS:	P78W1-P78W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(hahahahahaha)
          POS:	TRANSLIT_ERR
          VOC:	hahahahahaha
        GLOSS:	hahahahahaha

 INPUT STRING:	بخاف
     IS_TRANS:	bxAf
        INDEX:	P79W1
      OFFSETS:	0-4
       TOKENS:	P79W1-P79W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAf_1]
   UNSPLITVOC:	(baxAf)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+xAf
        GLOSS:	[present-tense]+I+fear/be afraid (of)/fear for/be worried (of)

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P79W2
      OFFSETS:	5-9
       TOKENS:	P79W3-P79W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	امي
     IS_TRANS:	Amy
        INDEX:	P79W3
      OFFSETS:	10-13
       TOKENS:	P79W5-P79W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>um~+iy
        GLOSS:	mother/maternal/mothers+my

 INPUT STRING:	بتقعد
     IS_TRANS:	btqEd
        INDEX:	P79W4
      OFFSETS:	14-19
       TOKENS:	P79W7-P79W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(bituqoEud)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+tu+qoEud
        GLOSS:	[present-tense]+it/they/she+sit down/be seated/remain

 INPUT STRING:	تخوفني
     IS_TRANS:	txwfny
        INDEX:	P79W5
      OFFSETS:	20-26
       TOKENS:	P79W9-P79W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaw~if_1]
   UNSPLITVOC:	(tixaw~ifniy)
          POS:	IV3FS+IV+IVSUFF_DO:1S
          VOC:	ti+xaw~if+niy
        GLOSS:	it/they/she+frighten/alarm/be made flinch/be intimidated/affray/be made confused/deceived/intimidate+me

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P79W6
      OFFSETS:	27-28
       TOKENS:	P79W11-P79W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	تقولي
     IS_TRANS:	tqwly
        INDEX:	P79W7
      OFFSETS:	29-34
       TOKENS:	P79W12-P79W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tuquwl_liy)
          POS:	IV3FS+IV+PREP+PRON_1S
          VOC:	tu+quwl+li+iy
        GLOSS:	she/it/they+say+for/to+me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P79W8
      OFFSETS:	35-37
       TOKENS:	P79W15-P79W15
