 INPUT STRING:	عاوزه
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P107W3
      OFFSETS:	9-12
       TOKENS:	P107W3-P107W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	السلامة
     IS_TRANS:	AlslAmp
        INDEX:	P107W4
      OFFSETS:	13-20
       TOKENS:	P107W4-P107W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAmap_1]
   UNSPLITVOC:	(AlsalAmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+salAm+ap
        GLOSS:	the+security/safety/integrity+[fem.sg.]

 INPUT STRING:	شفت
     IS_TRANS:	$ft
        INDEX:	P108W1
      OFFSETS:	0-3
       TOKENS:	P108W1-P108W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uft)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	$uf+t
        GLOSS:	look+you

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P108W2
      OFFSETS:	4-5
       TOKENS:	P108W2-P108W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P108W3
      OFFSETS:	5-6
       TOKENS:	P108W3-P108W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	مامتك
     IS_TRANS:	mAmtk
        INDEX:	P108W4
      OFFSETS:	6-11
       TOKENS:	P108W4-P108W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmotak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	mAmot+ak
        GLOSS:	mama+your

 INPUT STRING:	دفعت
     IS_TRANS:	dfEt
        INDEX:	P108W5
      OFFSETS:	12-16
       TOKENS:	P108W6-P108W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(dafaEit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	dafaE+it
        GLOSS:	push/motivate/pay/be pushed/be motivated/be paid+it/they/she

 INPUT STRING:	فاتورة
     IS_TRANS:	fAtwrp
        INDEX:	P108W6
      OFFSETS:	17-23
       TOKENS:	P108W7-P108W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAtuwrap_1]
   UNSPLITVOC:	(fAtuwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fAtuwr+ap
        GLOSS:	invoice/bill+[fem.sg.]

 INPUT STRING:	البيت
     IS_TRANS:	Albyt
        INDEX:	P108W7
      OFFSETS:	24-29
       TOKENS:	P108W8-P108W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayt_1]
   UNSPLITVOC:	(Albayt)
          POS:	DET+NOUN
          VOC:	Al+bayt
        GLOSS:	the+house/houses/verse/verses

 INPUT STRING:	بتاعتنا
     IS_TRANS:	btAEtnA
        INDEX:	P108W8
      OFFSETS:	30-37
       TOKENS:	P108W9-P108W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEitnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	bitAE+ap+nA
        GLOSS:	belong+[fem.sg.]+our

 INPUT STRING:	يادي
     IS_TRANS:	yAdy
        INDEX:	P108W9
      OFFSETS:	38-42
       TOKENS:	P108W11-P108W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yAdy)
          POS:	NO_FUNC
          VOC:	yAdy
        GLOSS:	nogloss

 INPUT STRING:	الاحراج
     IS_TRANS:	AlAHrAj
        INDEX:	P108W10
      OFFSETS:	43-50
       TOKENS:	P108W12-P108W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iHorAj_1]
   UNSPLITVOC:	(Al<iHorAj)
          POS:	DET+NOUN
          VOC:	Al+<iHorAj
        GLOSS:	the+embarrassing/embarrassment

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P109W1
      OFFSETS:	0-3
       TOKENS:	P109W1-P109W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	المسجات
     IS_TRANS:	AlmsjAt
        INDEX:	P109W2
      OFFSETS:	4-11
       TOKENS:	P109W2-P109W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[misij_1]
   UNSPLITVOC:	(AlmisojAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+misoj+At
        GLOSS:	the+message+fem. plur.

 INPUT STRING:	جايه
     IS_TRANS:	jAyh
        INDEX:	P109W3
      OFFSETS:	12-16
       TOKENS:	P109W3-P109W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy~_1]
   UNSPLITVOC:	(jAy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jAy~+ap
        GLOSS:	coming+[fem.sg.]

 INPUT STRING:	كتر
     IS_TRANS:	ktr
        INDEX:	P109W4
      OFFSETS:	17-20
       TOKENS:	P109W4-P109W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kat~ar_1]
   UNSPLITVOC:	(kat~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kat~ar+(null)
        GLOSS:	be numerous+he/it

 INPUT STRING:	خيرهم
     IS_TRANS:	xyrhm
        INDEX:	P109W5
      OFFSETS:	21-26
       TOKENS:	P109W5-P109W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(xayruhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	xayr+hum
        GLOSS:	good+their

 INPUT STRING:	وفرو
     IS_TRANS:	wfrw
        INDEX:	P109W6
      OFFSETS:	27-31
       TOKENS:	P109W7-P109W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waf~ar_1]
   UNSPLITVOC:	(waf~aruwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	waf~ar+uwA
        GLOSS:	save+they

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P109W7
      OFFSETS:	32-35
       TOKENS:	P109W8-P109W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(walaw)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+law
        GLOSS:	and+if

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P109W8
      OFFSETS:	36-40
       TOKENS:	P109W10-P109W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~hA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/her

 INPUT STRING:	محرجة
     IS_TRANS:	mHrjp
        INDEX:	P109W9
      OFFSETS:	41-46
       TOKENS:	P109W12-P109W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHorij_1]
   UNSPLITVOC:	(muHorijap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muHorij+ap
        GLOSS:	embarrassing+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P110W1
      OFFSETS:	0-2
       TOKENS:	P110W1-P110W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	وفروا
     IS_TRANS:	wfrwA
        INDEX:	P110W2
      OFFSETS:	3-8
       TOKENS:	P110W2-P110W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waf~ar_1]
   UNSPLITVOC:	(waf~aruwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	waf~ar+uwA
        GLOSS:	save+they

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P110W3
      OFFSETS:	9-12
       TOKENS:	P110W3-P110W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P110W4
      OFFSETS:	12-13
       TOKENS:	P110W4-P110W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P110W5
      OFFSETS:	14-18
       TOKENS:	P110W5-P110W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	حندفعهالهم
     IS_TRANS:	HndfEhAlhm
        INDEX:	P110W6
      OFFSETS:	19-29
       TOKENS:	P110W6-P110W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(HanidofaEhA_luhum)
          POS:	FUT_PART+IV1P+IV+IVSUFF_DO:3FS+PREP+PRON_3P
          VOC:	Ha+ni+dofaE+hA+li+hum
        GLOSS:	will+we+push/motivate/pay/be pushed/be motivated/be paid+it/them/her+to/for+they

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P111W1
      OFFSETS:	0-4
       TOKENS:	P111W1-P111W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يحلها
     IS_TRANS:	yHlhA
        INDEX:	P111W2
      OFFSETS:	5-10
       TOKENS:	P111W3-P111W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(yiHil~ahA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+Hil~+hA
        GLOSS:	he/it+dissolve/untie/solve (problem)/be dissolved/be untied/be solved/be solved (problem)/begin+it/them/her

 INPUT STRING:	وهى
     IS_TRANS:	whY
        INDEX:	P111W3
      OFFSETS:	11-14
       TOKENS:	P111W5-P111W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(wihiy~a)
          POS:	CONJ+PRON_3FS
          VOC:	wi+hiy~a
        GLOSS:	and+it/they/she

 INPUT STRING:	محلولة
     IS_TRANS:	mHlwlp
        INDEX:	P111W4
      OFFSETS:	15-21
       TOKENS:	P111W7-P111W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maHoluwl_1]
   UNSPLITVOC:	(maHoluwlap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maHoluwl+ap
        GLOSS:	resolved+[fem.sg.]

 INPUT STRING:	بإذن
     IS_TRANS:	b<*n
        INDEX:	P111W5
      OFFSETS:	22-26
       TOKENS:	P111W8-P111W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<i*on_1]
   UNSPLITVOC:	(bi<i*on)
          POS:	PREP+NOUN
          VOC:	bi+<i*on
        GLOSS:	with/by+permission/authorization/bonds

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P111W6
      OFFSETS:	27-31
       TOKENS:	P111W10-P111W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P111W7
      OFFSETS:	32-36
       TOKENS:	P111W11-P111W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يسهل
     IS_TRANS:	yshl
        INDEX:	P111W8
      OFFSETS:	37-41
       TOKENS:	P111W13-P111W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sah~il_1]
   UNSPLITVOC:	(yisah~il)
          POS:	IV3MS+IV
          VOC:	yi+sah~il
        GLOSS:	he/it+facilitate

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P111W9
      OFFSETS:	42-45
       TOKENS:	P111W14-P111W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	موجود
     IS_TRANS:	mwjwd
        INDEX:	P111W10
      OFFSETS:	46-51
       TOKENS:	P111W15-P111W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwd)
          POS:	ADJ
          VOC:	mawjuwd
        GLOSS:	present/existing/found

 INPUT STRING:	يكفى
     IS_TRANS:	ykfY
        INDEX:	P111W11
      OFFSETS:	52-56
       TOKENS:	P111W16-P111W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaf~aY_1]
   UNSPLITVOC:	(yikaf~iy)
          POS:	IV3MS+IV
          VOC:	yi+kaf~iy
        GLOSS:	he/it+suffice

 INPUT STRING:	عموما
     IS_TRANS:	EmwmA
        INDEX:	P112W1
      OFFSETS:	0-5
       TOKENS:	P112W1-P112W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumuwm_1]
   UNSPLITVOC:	(EumuwmAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eumuwm+AF
        GLOSS:	generality/totality/in general/generally/(House of) Commons+[acc.indef.]

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P112W2
      OFFSETS:	6-11
       TOKENS:	P112W2-P112W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P112W3
      OFFSETS:	12-15
       TOKENS:	P112W3-P112W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	اني
     IS_TRANS:	Any
        INDEX:	P112W4
      OFFSETS:	16-19
       TOKENS:	P112W5-P112W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ain~_1]
   UNSPLITVOC:	(Ain~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	Ain~+iy
        GLOSS:	that+I/me

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P112W5
      OFFSETS:	20-25
       TOKENS:	P112W7-P112W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	working+[fem.sg.]

 INPUT STRING:	حسابي
     IS_TRANS:	HsAby
        INDEX:	P112W6
      OFFSETS:	26-31
       TOKENS:	P112W8-P112W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HisAb_1]
   UNSPLITVOC:	(HisAbiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	HisAb+iy
        GLOSS:	calculation/appraisal/invoice/expense/account+my

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P113W1
      OFFSETS:	0-4
       TOKENS:	P113W1-P113W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	مستعان
     IS_TRANS:	mstEAn
        INDEX:	P113W2
      OFFSETS:	5-11
       TOKENS:	P113W3-P113W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musotaEAn_1]
   UNSPLITVOC:	(musotaEAn)
          POS:	ADJ
          VOC:	musotaEAn
        GLOSS:	asked for help

 INPUT STRING:	والحمد
     IS_TRANS:	wAlHmd
        INDEX:	P114W1
      OFFSETS:	0-6
       TOKENS:	P114W1-P114W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(wiAlHamod)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+Hamod
        GLOSS:	and+the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P114W2
      OFFSETS:	7-10
       TOKENS:	P114W3-P114W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	لبس
     IS_TRANS:	lbs
        INDEX:	P114W3
      OFFSETS:	11-14
       TOKENS:	P114W5-P114W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[libos_1]
   UNSPLITVOC:	(libos)
          POS:	NOUN
          VOC:	libos
        GLOSS:	clothes/attire

 INPUT STRING:	العيد
     IS_TRANS:	AlEyd
        INDEX:	P114W4
      OFFSETS:	15-20
       TOKENS:	P114W6-P114W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiyd_1]
   UNSPLITVOC:	(AlEiyd)
          POS:	DET+NOUN
          VOC:	Al+Eiyd
        GLOSS:	the+feast/holiday/festival/holidays/feasts

 INPUT STRING:	بتاع
     IS_TRANS:	btAE
        INDEX:	P114W5
      OFFSETS:	21-25
       TOKENS:	P114W7-P114W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAE)
          POS:	NOUN
          VOC:	bitAE
        GLOSS:	owners/something/belongings

 INPUT STRING:	الولاد
     IS_TRANS:	AlwlAd
        INDEX:	P114W6
      OFFSETS:	26-32
       TOKENS:	P114W8-P114W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(AlwilAd)
          POS:	DET+NOUN
          VOC:	Al+wilAd
        GLOSS:	the+child/son/children

 INPUT STRING:	موجود
     IS_TRANS:	mwjwd
        INDEX:	P114W7
      OFFSETS:	33-38
       TOKENS:	P114W9-P114W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwd)
          POS:	ADJ
          VOC:	mawjuwd
        GLOSS:	present/existing/found

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P114W8
      OFFSETS:	39-43
       TOKENS:	P114W10-P114W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P115W1
      OFFSETS:	0-2
       TOKENS:	P115W1-P115W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P115W2
      OFFSETS:	3-6
       TOKENS:	P115W2-P115W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P115W3
      OFFSETS:	7-10
       TOKENS:	P115W3-P115W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	kun+t
        GLOSS:	be/was/were+you

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P115W4
      OFFSETS:	11-16
       TOKENS:	P115W4-P115W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwl)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+quwl
        GLOSS:	[present-tense]+you+said/say/be said/(for example)

 INPUT STRING:	نطله
     IS_TRANS:	nTlh
        INDEX:	P115W5
      OFFSETS:	17-21
       TOKENS:	P115W6-P115W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(nTlh)
          POS:	TYPO
          VOC:	nTlh
        GLOSS:	nogloss

 INPUT STRING:	عمرة
     IS_TRANS:	Emrp
        INDEX:	P115W6
      OFFSETS:	22-26
       TOKENS:	P115W7-P115W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumorap_1]
   UNSPLITVOC:	(Eumorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Eumor+ap
        GLOSS:	umrat+[fem.sg.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P115W7
      OFFSETS:	27-29
       TOKENS:	P115W8-P115W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P115W8
      OFFSETS:	30-33
       TOKENS:	P115W9-P115W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some/a few/little/part

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P115W9
      OFFSETS:	33-34
       TOKENS:	P115W10-P115W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P115W10
      OFFSETS:	34-35
       TOKENS:	P115W11-P115W11
