 INPUT STRING:	شطور
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fwn)
          POS:	FOREIGN
          VOC:	fwn
        GLOSS:	nogloss

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P30W3
      OFFSETS:	7-10
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(kAm)
          POS:	INTERROG_PRON
          VOC:	kAm
        GLOSS:	how many

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P30W4
      OFFSETS:	11-12
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ضاع
     IS_TRANS:	DAE
        INDEX:	P31W1
      OFFSETS:	0-3
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAE_1]
   UNSPLITVOC:	(DAE)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	DAE+(null)
        GLOSS:	emanate/be fragrant/disappear/vanish+he/it

 INPUT STRING:	منك
     IS_TRANS:	mnk
        INDEX:	P31W2
      OFFSETS:	4-7
       TOKENS:	P31W2-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~ik)
          POS:	PREP+PRON_2FS
          VOC:	min~+ik
        GLOSS:	from+you

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P31W3
      OFFSETS:	8-11
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P31W4
      OFFSETS:	12-15
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P32W1
      OFFSETS:	0-3
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	قصدك
     IS_TRANS:	qSdk
        INDEX:	P32W2
      OFFSETS:	4-8
       TOKENS:	P32W2-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSod_1]
   UNSPLITVOC:	(qaSodik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	qaSod+ik
        GLOSS:	intent/purpose/goal/intentionally+your

 INPUT STRING:	الموديل
     IS_TRANS:	Almwdyl
        INDEX:	P32W3
      OFFSETS:	9-16
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwdiyl_1]
   UNSPLITVOC:	(Almuwdiyl)
          POS:	DET+NOUN
          VOC:	Al+muwdiyl
        GLOSS:	the+gender/sex/genders/sexes/type/kind/types/kinds

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P32W4
      OFFSETS:	17-18
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P33W1
      OFFSETS:	0-1
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P34W1
      OFFSETS:	0-2
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	فون
     IS_TRANS:	fwn
        INDEX:	P34W2
      OFFSETS:	3-6
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fwn)
          POS:	FOREIGN
          VOC:	fwn
        GLOSS:	nogloss

 INPUT STRING:	4
     IS_TRANS:	4
        INDEX:	P34W3
      OFFSETS:	7-8
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(4)
          POS:	NOUN_NUM
          VOC:	4
        GLOSS:	4

 INPUT STRING:	الموديل
     IS_TRANS:	Almwdyl
        INDEX:	P35W1
      OFFSETS:	0-7
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwdiyl_1]
   UNSPLITVOC:	(Almuwdiyl)
          POS:	DET+NOUN
          VOC:	Al+muwdiyl
        GLOSS:	the+gender/sex/genders/sexes/type/kind/types/kinds

 INPUT STRING:	باقو
     IS_TRANS:	bAqw
        INDEX:	P36W1
      OFFSETS:	0-4
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bAqw)
          POS:	TYPO
          VOC:	bAqw
        GLOSS:	nogloss

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P36W2
      OFFSETS:	5-7
       TOKENS:	P36W2-P36W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	li+ik
        GLOSS:	for/to+you

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P36W3
      OFFSETS:	8-11
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_3]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P36W4
      OFFSETS:	12-14
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	مي
     IS_TRANS:	my
        INDEX:	P36W5
      OFFSETS:	15-17
       TOKENS:	P36W6-P36W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[may~_1]
   UNSPLITVOC:	(may~)
          POS:	NOUN_PROP
          VOC:	may~
        GLOSS:	Mayy

 INPUT STRING:	جابت
     IS_TRANS:	jAbt
        INDEX:	P36W6
      OFFSETS:	18-22
       TOKENS:	P36W7-P36W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jAbit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	jAb+it
        GLOSS:	explore/traverse/bring+it/they/she

 INPUT STRING:	كتب
     IS_TRANS:	ktb
        INDEX:	P36W7
      OFFSETS:	23-26
       TOKENS:	P36W8-P36W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitAb_1]
   UNSPLITVOC:	(kutub)
          POS:	NOUN
          VOC:	kutub
        GLOSS:	book/books

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P36W8
      OFFSETS:	27-29
       TOKENS:	P36W9-P36W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	معرض
     IS_TRANS:	mErD
        INDEX:	P36W9
      OFFSETS:	30-34
       TOKENS:	P36W10-P36W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoraD_1]
   UNSPLITVOC:	(maEoraD)
          POS:	NOUN
          VOC:	maEoraD
        GLOSS:	fair

 INPUT STRING:	الكتاب
     IS_TRANS:	AlktAb
        INDEX:	P36W10
      OFFSETS:	35-41
       TOKENS:	P36W11-P36W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitAb_1]
   UNSPLITVOC:	(AlkitAb)
          POS:	DET+NOUN
          VOC:	Al+kitAb
        GLOSS:	the+book/books

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P36W11
      OFFSETS:	42-43
       TOKENS:	P36W12-P36W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ريلا
     IS_TRANS:	rylA
        INDEX:	P37W1
      OFFSETS:	0-4
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(rylA)
          POS:	TYPO
          VOC:	rylA
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P38W1
      OFFSETS:	0-3
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P38W2
      OFFSETS:	4-7
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
        GLOSS:	said/say/be said/(for example)+I

 INPUT STRING:	لشذا
     IS_TRANS:	l$*A
        INDEX:	P38W3
      OFFSETS:	8-12
       TOKENS:	P38W3-P38W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$a*A_1]
   UNSPLITVOC:	(li$a*A)
          POS:	PREP+NOUN_PROP
          VOC:	li+$a*A
        GLOSS:	for/to+Shaza

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P38W4
      OFFSETS:	13-15
       TOKENS:	P38W5-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	مي
     IS_TRANS:	my
        INDEX:	P38W5
      OFFSETS:	16-18
       TOKENS:	P38W6-P38W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[may~_1]
   UNSPLITVOC:	(may~)
          POS:	NOUN_PROP
          VOC:	may~
        GLOSS:	Mayy

 INPUT STRING:	تقربن
     IS_TRANS:	tqrbn
        INDEX:	P38W6
      OFFSETS:	19-24
       TOKENS:	P38W7-P38W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tqrbn)
          POS:	TYPO
          VOC:	tqrbn
        GLOSS:	nogloss

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P38W7
      OFFSETS:	25-30
       TOKENS:	P38W8-P38W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	لفة
     IS_TRANS:	lfp
        INDEX:	P38W8
      OFFSETS:	31-34
       TOKENS:	P38W9-P38W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lfp)
          POS:	FOREIGN
          VOC:	lfp
        GLOSS:	nogloss

 INPUT STRING:	اف
     IS_TRANS:	Af
        INDEX:	P38W9
      OFFSETS:	35-37
       TOKENS:	P38W10-P38W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Af)
          POS:	FOREIGN
          VOC:	Af
        GLOSS:	nogloss

 INPUT STRING:	بي
     IS_TRANS:	by
        INDEX:	P38W10
      OFFSETS:	38-40
       TOKENS:	P38W11-P38W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(by)
          POS:	FOREIGN
          VOC:	by
        GLOSS:	nogloss

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P39W1
      OFFSETS:	0-4
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P39W2
      OFFSETS:	5-10
       TOKENS:	P39W2-P39W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	NOUN.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	تجييب
     IS_TRANS:	tjyyb
        INDEX:	P39W3
      OFFSETS:	11-16
       TOKENS:	P39W3-P39W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tjyyb)
          POS:	TYPO
          VOC:	tjyyb
        GLOSS:	nogloss

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P39W4
      OFFSETS:	17-20
       TOKENS:	P39W4-P39W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+her/it/them

 INPUT STRING:	كفر
     IS_TRANS:	kfr
        INDEX:	P39W5
      OFFSETS:	21-24
       TOKENS:	P39W6-P39W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kfr)
          POS:	FOREIGN
          VOC:	kfr
        GLOSS:	nogloss

 INPUT STRING:	للمنه
     IS_TRANS:	llmnh
        INDEX:	P39W6
      OFFSETS:	25-30
       TOKENS:	P39W7-P39W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwbayil_1]
   UNSPLITVOC:	(lilmuwbayil)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+muwbayil+ap
        GLOSS:	for/to+the+mobile+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P39W7
      OFFSETS:	30-31
       TOKENS:	P39W9-P39W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P40W1
      OFFSETS:	0-1
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P41W1
      OFFSETS:	0-2
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	توم
     IS_TRANS:	twm
        INDEX:	P41W2
      OFFSETS:	3-6
       TOKENS:	P41W2-P41W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twm)
          POS:	FOREIGN
          VOC:	twm
        GLOSS:	nogloss

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P41W3
      OFFSETS:	7-9
       TOKENS:	P41W3-P41W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P41W4
      OFFSETS:	10-13
       TOKENS:	P41W4-P41W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P41W5
      OFFSETS:	14-18
       TOKENS:	P41W5-P41W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	هأروح
     IS_TRANS:	h>rwH
        INDEX:	P41W6
      OFFSETS:	19-24
       TOKENS:	P41W6-P41W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(HAaruwH)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+>a+ruwH
        GLOSS:	will+I+go

 INPUT STRING:	ديوان
     IS_TRANS:	dywAn
        INDEX:	P41W7
      OFFSETS:	25-30
       TOKENS:	P41W8-P41W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diywAn_1]
   UNSPLITVOC:	(diywAn)
          POS:	NOUN_PROP
          VOC:	diywAn
        GLOSS:	Diwan

 INPUT STRING:	وأشوف
     IS_TRANS:	w>$wf
        INDEX:	P41W8
      OFFSETS:	31-36
       TOKENS:	P41W9-P41W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(wiAa$uwf)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+$uwf
        GLOSS:	and+I+look

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P41W9
      OFFSETS:	37-40
       TOKENS:	P41W11-P41W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P42W1
      OFFSETS:	0-3
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	هأجيب
     IS_TRANS:	h>jyb
        INDEX:	P42W2
      OFFSETS:	4-9
       TOKENS:	P42W2-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(HAajiyb)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+jiyb
        GLOSS:	will+I+bring

 INPUT STRING:	وتراجعت
     IS_TRANS:	wtrAjEt
        INDEX:	P42W3
      OFFSETS:	10-17
       TOKENS:	P42W4-P42W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tarAjaE_1]
   UNSPLITVOC:	(witarAjaEt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+tarAjaE+t
        GLOSS:	and+retreat/fall behind+I [verb]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P43W1
      OFFSETS:	0-3
       TOKENS:	P43W1-P43W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	وشذا
     IS_TRANS:	w$*A
        INDEX:	P43W2
      OFFSETS:	4-8
       TOKENS:	P43W2-P43W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$a*A_1]
   UNSPLITVOC:	(wi$a*A)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+$a*A
        GLOSS:	and+Shaza

 INPUT STRING:	هنجيب
     IS_TRANS:	hnjyb
        INDEX:	P43W3
      OFFSETS:	9-14
       TOKENS:	P43W4-P43W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(Hanijiyb)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+jiyb
        GLOSS:	will+we+explore/traverse/bring

 INPUT STRING:	البكس
     IS_TRANS:	Albks
        INDEX:	P43W4
      OFFSETS:	15-20
       TOKENS:	P43W6-P43W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Albks)
          POS:	FOREIGN
          VOC:	Albks
        GLOSS:	nogloss

