 INPUT STRING:	رنا
     IS_TRANS:	Endy
        INDEX:	P25W4
      OFFSETS:	12-16
       TOKENS:	P25W4-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	at/have/possession/with+my

 INPUT STRING:	التهاب
     IS_TRANS:	AlthAb
        INDEX:	P25W5
      OFFSETS:	17-23
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ilotihAb_1]
   UNSPLITVOC:	(>ilotihAb)
          POS:	NOUN
          VOC:	>ilotihAb
        GLOSS:	inflammation

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P25W6
      OFFSETS:	24-26
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P25W7
      OFFSETS:	27-29
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	مسنه
     IS_TRANS:	msnh
        INDEX:	P25W8
      OFFSETS:	30-34
       TOKENS:	P25W9-P25W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(msnh)
          POS:	TYPO
          VOC:	msnh
        GLOSS:	nogloss

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P25W9
      OFFSETS:	35-37
       TOKENS:	P25W10-P25W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مستني
     IS_TRANS:	mstny
        INDEX:	P25W10
      OFFSETS:	38-43
       TOKENS:	P25W11-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotan~iy_1]
   UNSPLITVOC:	(misotan~iy)
          POS:	ADJ
          VOC:	misotan~iy
        GLOSS:	waiting/anticipating

 INPUT STRING:	نتيجه
     IS_TRANS:	ntyjh
        INDEX:	P25W11
      OFFSETS:	44-49
       TOKENS:	P25W12-P25W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[natiyjap_1]
   UNSPLITVOC:	(natiyjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	natiyj+ap
        GLOSS:	result/consequence/results/consequences/as a result (of)+[fem.sg.]

 INPUT STRING:	المزرعه
     IS_TRANS:	AlmzrEh
        INDEX:	P25W12
      OFFSETS:	50-57
       TOKENS:	P25W13-P25W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mazoraEap_1]
   UNSPLITVOC:	(AlmazoraEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mazoraE+ap
        GLOSS:	the+farm/bowery+[fem.sg.]

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P25W13
      OFFSETS:	58-60
       TOKENS:	P25W14-P25W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Al)
          POS:	TYPO
          VOC:	Al
        GLOSS:	nogloss

 INPUT STRING:	عملت
     IS_TRANS:	Emlt
        INDEX:	P25W14
      OFFSETS:	61-65
       TOKENS:	P25W15-P25W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamalt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Eamal+t
        GLOSS:	function/make/act/do+I

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P25W15
      OFFSETS:	66-67
       TOKENS:	P25W16-P25W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	هيخليني
     IS_TRANS:	hyxlyny
        INDEX:	P25W16
      OFFSETS:	68-75
       TOKENS:	P25W17-P25W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(Hayixal~iyniy)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:1S
          VOC:	Ha+yi+xal~iy+niy
        GLOSS:	will+he/it+release/evacuate/allow/be released/be evacuated/be allowed+me

 INPUT STRING:	اعمل
     IS_TRANS:	AEml
        INDEX:	P25W17
      OFFSETS:	76-80
       TOKENS:	P25W20-P25W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AaEomil)
          POS:	IV1S+IV
          VOC:	Aa+Eomil
        GLOSS:	I+function/make/act/do

 INPUT STRING:	تحليل
     IS_TRANS:	tHlyl
        INDEX:	P25W18
      OFFSETS:	81-86
       TOKENS:	P25W21-P25W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoliyl_1]
   UNSPLITVOC:	(taHoliyl)
          POS:	NOUN
          VOC:	taHoliyl
        GLOSS:	analysis/dissolution/analyses

 INPUT STRING:	دم
     IS_TRANS:	dm
        INDEX:	P25W19
      OFFSETS:	87-89
       TOKENS:	P25W22-P25W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(dam~)
          POS:	NOUN
          VOC:	dam~
        GLOSS:	blod/ointment/paint/dye

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P25W20
      OFFSETS:	90-94
       TOKENS:	P25W23-P25W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P25W21
      OFFSETS:	95-96
       TOKENS:	P25W24-P25W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P25W22
      OFFSETS:	97-98
       TOKENS:	P25W25-P25W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P26W1
      OFFSETS:	0-1
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	هتخفي
     IS_TRANS:	htxfy
        INDEX:	P26W2
      OFFSETS:	2-7
       TOKENS:	P26W2-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaf~_1]
   UNSPLITVOC:	(Hatixif~iy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	Ha+ti+xif~+iy
        GLOSS:	will+you+be light/decrease/reduce+you

 INPUT STRING:	ازاي
     IS_TRANS:	AzAy
        INDEX:	P26W3
      OFFSETS:	8-12
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iz~Ay_1]
   UNSPLITVOC:	(>iz~Ay)
          POS:	INTERROG_ADV
          VOC:	>iz~Ay
        GLOSS:	how/what degree

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P26W4
      OFFSETS:	13-14
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	دوا
     IS_TRANS:	dwA
        INDEX:	P26W5
      OFFSETS:	15-18
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawA_1]
   UNSPLITVOC:	(dawA)
          POS:	NOUN
          VOC:	dawA
        GLOSS:	medicine

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P26W6
      OFFSETS:	19-20
       TOKENS:	P26W7-P26W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P27W1
      OFFSETS:	0-2
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	كتبلي
     IS_TRANS:	ktbly
        INDEX:	P27W2
      OFFSETS:	3-8
       TOKENS:	P27W2-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(katab_liy)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_1S
          VOC:	katab+(null)+li+iy
        GLOSS:	write/be written/be fated/be destined+he/it+to/for+I

 INPUT STRING:	ادويه
     IS_TRANS:	Adwyh
        INDEX:	P27W3
      OFFSETS:	9-14
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawA_1]
   UNSPLITVOC:	(>adowiyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>adowiy+ap
        GLOSS:	medicine+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P27W4
      OFFSETS:	15-16
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	هروحله
     IS_TRANS:	hrwHlh
        INDEX:	P27W5
      OFFSETS:	17-23
       TOKENS:	P27W7-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(HaAaruwH_luh)
          POS:	FUT_PART+IV1S+IV+PREP+PRON_3MS
          VOC:	Ha+Aa+ruwH+li+uh
        GLOSS:	will+I+begin/go+to/for+him

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P27W6
      OFFSETS:	24-28
       TOKENS:	P27W11-P27W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly/thani/other/another/the last

 INPUT STRING:	insha2allah
     IS_TRANS:	insha2allah
        INDEX:	P27W7
      OFFSETS:	29-40
       TOKENS:	P27W12-P27W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(insha2allah)
          POS:	TRANSLIT_ERR
          VOC:	insha2allah
        GLOSS:	insha2allah

 INPUT STRING:	انشالله
     IS_TRANS:	An$Allh
        INDEX:	P28W1
      OFFSETS:	0-7
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(An$Allh)
          POS:	NO_FUNC
          VOC:	An$Allh
        GLOSS:	nogloss

