 INPUT STRING:	بتاع
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	TiliE+t
        GLOSS:	ascend/begin to/rise/start/seems/come out/get out/turn be+I

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P134W3
      OFFSETS:	8-9
       TOKENS:	P134W3-P134W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	ابعث
     IS_TRANS:	AbEv
        INDEX:	P135W1
      OFFSETS:	0-4
       TOKENS:	P135W1-P135W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEav_1]
   UNSPLITVOC:	(AiboEav)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	AiboEav+(null)
        GLOSS:	send+you

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P135W2
      OFFSETS:	5-7
       TOKENS:	P135W2-P135W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	for/to+I/me

 INPUT STRING:	الصور
     IS_TRANS:	AlSwr
        INDEX:	P135W3
      OFFSETS:	8-13
       TOKENS:	P135W4-P135W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(AlSuwar)
          POS:	DET+NOUN
          VOC:	Al+Suwar
        GLOSS:	the+picture/image/illustration/photo/pictures/photographs/illustrations/photos

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P135W4
      OFFSETS:	14-16
       TOKENS:	P135W5-P135W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	كابتنع
     IS_TRANS:	kAbtnE
        INDEX:	P135W5
      OFFSETS:	17-23
       TOKENS:	P135W6-P135W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(kAbtnE)
          POS:	TYPO
          VOC:	kAbtnE
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P135W6
      OFFSETS:	24-25
       TOKENS:	P135W7-P135W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	انتو
     IS_TRANS:	Antw
        INDEX:	P136W1
      OFFSETS:	0-4
       TOKENS:	P136W1-P136W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotuw_1]
   UNSPLITVOC:	(Ainotuw)
          POS:	PRON_2P
          VOC:	Ainotuw
        GLOSS:	you [pl.]

 INPUT STRING:	طلعتو
     IS_TRANS:	TlEtw
        INDEX:	P136W2
      OFFSETS:	5-10
       TOKENS:	P136W2-P136W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(TiliEtuwA)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	TiliE+tuwA
        GLOSS:	ascend/begin to/rise/start/seems/come out/get out/turn be+you

 INPUT STRING:	منين
     IS_TRANS:	mnyn
        INDEX:	P136W3
      OFFSETS:	11-15
       TOKENS:	P136W3-P136W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miniyn_1]
   UNSPLITVOC:	(miniyn)
          POS:	INTERROG_ADV
          VOC:	miniyn
        GLOSS:	from where

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P136W4
      OFFSETS:	15-16
       TOKENS:	P136W4-P136W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	عباس
     IS_TRANS:	EbAs
        INDEX:	P137W1
      OFFSETS:	0-4
       TOKENS:	P137W1-P137W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eab~As_1]
   UNSPLITVOC:	(Eab~As)
          POS:	NOUN_PROP
          VOC:	Eab~As
        GLOSS:	Abbas

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P138W1
      OFFSETS:	0-3
       TOKENS:	P138W1-P138W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	قشدة
     IS_TRANS:	q$dp
        INDEX:	P138W2
      OFFSETS:	4-8
       TOKENS:	P138W2-P138W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qi$odap_1]
   UNSPLITVOC:	(qi$odap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qi$od+ap
        GLOSS:	cream+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P138W3
      OFFSETS:	8-9
       TOKENS:	P138W3-P138W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P138W4
      OFFSETS:	10-13
       TOKENS:	P138W4-P138W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	رحت
     IS_TRANS:	rHt
        INDEX:	P138W5
      OFFSETS:	14-17
       TOKENS:	P138W5-P138W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(ruHt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	ruH+t
        GLOSS:	begin/go+you

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P138W6
      OFFSETS:	18-22
       TOKENS:	P138W6-P138W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wAl~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P138W7
      OFFSETS:	23-26
       TOKENS:	P138W7-P138W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P138W8
      OFFSETS:	26-27
       TOKENS:	P138W8-P138W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P139W1
      OFFSETS:	0-2
       TOKENS:	P139W1-P139W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P140W1
      OFFSETS:	0-5
       TOKENS:	P140W1-P140W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P140W2
      OFFSETS:	6-9
       TOKENS:	P140W2-P140W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	عالسلامة
     IS_TRANS:	EAlslAmp
        INDEX:	P140W3
      OFFSETS:	10-18
       TOKENS:	P140W4-P140W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAmap_1]
   UNSPLITVOC:	(EaAlsalAmap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	Ea+Al+salAm+ap
        GLOSS:	on/above+the+security/safety/integrity+[fem.sg.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P141W1
      OFFSETS:	0-4
       TOKENS:	P141W1-P141W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يسلمك
     IS_TRANS:	yslmk
        INDEX:	P141W2
      OFFSETS:	5-10
       TOKENS:	P141W2-P141W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sal~im_1]
   UNSPLITVOC:	(yisal~imak)
          POS:	IV3MS+IV+IVSUFF_DO:2MS
          VOC:	yi+sal~im+ak
        GLOSS:	he/it+greet/hand over/surrender/be safe+you

 INPUT STRING:	انبسطت
     IS_TRANS:	AnbsTt
        INDEX:	P142W1
      OFFSETS:	0-6
       TOKENS:	P142W1-P142W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinobasaT_1]
   UNSPLITVOC:	(AinobasaTt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	AinobasaT+t
        GLOSS:	enjoy+you

 INPUT STRING:	النهار
     IS_TRANS:	AlnhAr
        INDEX:	P142W2
      OFFSETS:	7-13
       TOKENS:	P142W2-P142W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahAr_1]
   UNSPLITVOC:	(AlnahAr)
          POS:	DET+NOUN
          VOC:	Al+nahAr
        GLOSS:	the+daytime/day/by day/during the day

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P142W3
      OFFSETS:	14-16
       TOKENS:	P142W3-P142W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P142W4
      OFFSETS:	17-18
       TOKENS:	P142W4-P142W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	انبسطت
     IS_TRANS:	AnbsTt
        INDEX:	P143W1
      OFFSETS:	0-6
       TOKENS:	P143W1-P143W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinobasaT_1]
   UNSPLITVOC:	(AinobasaTt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	AinobasaT+t
        GLOSS:	enjoy+I

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P143W2
      OFFSETS:	7-9
       TOKENS:	P143W2-P143W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	اخويا
     IS_TRANS:	AxwyA
        INDEX:	P143W3
      OFFSETS:	10-15
       TOKENS:	P143W3-P143W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(>axuwyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>axuw+iy
        GLOSS:	brothers/fraternity/brotherhood+my

 INPUT STRING:	انبسطت
     IS_TRANS:	AnbsTt
        INDEX:	P143W4
      OFFSETS:	16-22
       TOKENS:	P143W5-P143W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinobasaT_1]
   UNSPLITVOC:	(AinobasaTt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	AinobasaT+t
        GLOSS:	enjoy+I

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P143W5
      OFFSETS:	22-23
       TOKENS:	P143W6-P143W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	جوزتها
     IS_TRANS:	jwzthA
        INDEX:	P144W1
      OFFSETS:	0-6
       TOKENS:	P144W1-P144W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jaw~iz_1]
   UNSPLITVOC:	(jaw~izotahA)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS
          VOC:	jaw~iz+it+hA
        GLOSS:	make marry+I+it/them/her

 INPUT STRING:	ابن
     IS_TRANS:	Abn
        INDEX:	P144W2
      OFFSETS:	7-10
       TOKENS:	P144W3-P144W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(Aibon)
          POS:	NOUN
          VOC:	Aibon
        GLOSS:	son/children/sons

 INPUT STRING:	عمي
     IS_TRANS:	Emy
        INDEX:	P144W3
      OFFSETS:	11-14
       TOKENS:	P144W4-P144W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(Eam~iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eam~+iy
        GLOSS:	paternal uncle/paternal uncles+my

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P144W4
      OFFSETS:	15-16
       TOKENS:	P144W6-P144W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P145W1
      OFFSETS:	0-5
       TOKENS:	P145W1-P145W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	بأتعلم
     IS_TRANS:	b>tElm
        INDEX:	P145W2
      OFFSETS:	6-12
       TOKENS:	P145W3-P145W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEal~im_1]
   UNSPLITVOC:	(bAatoEal~im)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+toEal~im
        GLOSS:	[present-tense]+I+learn

 INPUT STRING:	منك
     IS_TRANS:	mnk
        INDEX:	P145W3
      OFFSETS:	13-16
       TOKENS:	P145W5-P145W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~ak)
          POS:	PREP+PRON_2MS
          VOC:	min~+ak
        GLOSS:	from+you

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P145W4
      OFFSETS:	17-18
       TOKENS:	P145W7-P145W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P146W1
      OFFSETS:	0-1
       TOKENS:	P146W1-P146W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P147W1
      OFFSETS:	0-2
       TOKENS:	P147W1-P147W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P147W2
      OFFSETS:	3-4
       TOKENS:	P147W2-P147W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	حأجيب
     IS_TRANS:	H>jyb
        INDEX:	P148W1
      OFFSETS:	0-5
       TOKENS:	P148W1-P148W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(HaAajiyb)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+jiyb
        GLOSS:	will+I+explore/traverse/bring

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P148W2
      OFFSETS:	6-8
       TOKENS:	P148W3-P148W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lak)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	for/to+you

 INPUT STRING:	بروفشنال
     IS_TRANS:	brwf$nAl
        INDEX:	P148W3
      OFFSETS:	9-17
       TOKENS:	P148W5-P148W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(brwf$nAl)
          POS:	FOREIGN
          VOC:	brwf$nAl
        GLOSS:	nogloss

 INPUT STRING:	كمارا
     IS_TRANS:	kmArA
        INDEX:	P148W4
      OFFSETS:	18-23
       TOKENS:	P148W6-P148W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kmArA)
          POS:	FOREIGN
          VOC:	kmArA
        GLOSS:	nogloss

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P149W1
      OFFSETS:	0-2
       TOKENS:	P149W1-P149W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	كثير
     IS_TRANS:	kvyr
        INDEX:	P149W2
      OFFSETS:	3-7
       TOKENS:	P149W2-P149W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiviyr_1]
   UNSPLITVOC:	(kiviyr)
          POS:	ADJ
          VOC:	kiviyr
        GLOSS:	very/much/numerous/so much/a lot/more/alot/many

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P149W3
      OFFSETS:	8-13
       TOKENS:	P149W3-P149W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	صليت
     IS_TRANS:	Slyt
        INDEX:	P150W1
      OFFSETS:	0-4
       TOKENS:	P150W1-P150W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sal~aY_1]
   UNSPLITVOC:	(Sal~iyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Sal~+iyt
        GLOSS:	pray/worship/be worshiped/be prayed+I

 INPUT STRING:	الفجر
     IS_TRANS:	Alfjr
        INDEX:	P150W2
      OFFSETS:	5-10
       TOKENS:	P150W2-P150W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fajor_1]
   UNSPLITVOC:	(Alfajor)
          POS:	DET+NOUN
          VOC:	Al+fajor
        GLOSS:	the+dawn

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P150W3
      OFFSETS:	11-15
       TOKENS:	P150W3-P150W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wAl~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P150W4
      OFFSETS:	16-19
       TOKENS:	P150W4-P150W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P150W5
      OFFSETS:	20-21
       TOKENS:	P150W5-P150W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P151W1
      OFFSETS:	0-2
       TOKENS:	P151W1-P151W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P151W2
      OFFSETS:	3-8
       TOKENS:	P151W2-P151W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P151W3
      OFFSETS:	9-12
       TOKENS:	P151W3-P151W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P151W4
      OFFSETS:	13-14
       TOKENS:	P151W5-P151W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	ومفيش
     IS_TRANS:	wmfy$
        INDEX:	P152W1
      OFFSETS:	0-5
       TOKENS:	P152W1-P152W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wima_fiy$)
          POS:	CONJ+VERB+PREP+PRON_3MS+NEG_PART
          VOC:	wi+mA+fiy+uh+$
        GLOSS:	and+is not+in+it/him+not

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P152W2
      OFFSETS:	6-10
       TOKENS:	P152W6-P152W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	تكثر
     IS_TRANS:	tkvr
        INDEX:	P152W3
      OFFSETS:	11-15
       TOKENS:	P152W7-P152W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kivir_1]
   UNSPLITVOC:	(tikovar)
          POS:	IV3FS+IV
          VOC:	ti+kovar
        GLOSS:	it/they/she+increase/become numerous

 INPUT STRING:	عليك
     IS_TRANS:	Elyk
        INDEX:	P152W4
      OFFSETS:	16-20
       TOKENS:	P152W8-P152W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealiyk)
          POS:	PREP+PRON_2MS
