 INPUT STRING:	ممكن
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	تصحي
     IS_TRANS:	tSHy
        INDEX:	P48W4
      OFFSETS:	16-20
       TOKENS:	P48W5-P48W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SiHiy_1]
   UNSPLITVOC:	(tiSoHiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+SoH+iy
        GLOSS:	you+awake+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P48W5
      OFFSETS:	21-23
       TOKENS:	P48W6-P48W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	نوم
     IS_TRANS:	nwm
        INDEX:	P48W6
      OFFSETS:	24-27
       TOKENS:	P48W7-P48W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nuwm_1]
   UNSPLITVOC:	(nuwm)
          POS:	NOUN
          VOC:	nuwm
        GLOSS:	sleep

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P48W7
      OFFSETS:	28-30
       TOKENS:	P48W8-P48W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	as/like

 INPUT STRING:	وشك
     IS_TRANS:	w$k
        INDEX:	P48W8
      OFFSETS:	31-34
       TOKENS:	P48W9-P48W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi$~_1]
   UNSPLITVOC:	(wi$~ik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	wi$~+ik
        GLOSS:	faces+your

 INPUT STRING:	متقدرش
     IS_TRANS:	mtqdr$
        INDEX:	P49W1
      OFFSETS:	0-6
       TOKENS:	P49W1-P49W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(mA_tiqodari$)
          POS:	NEG_PART+IV2MS+IV+NEG_PART
          VOC:	mA+ti+qodar+$
        GLOSS:	not+you+be able/be able to/be capable of/no capacity+not

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P49W2
      OFFSETS:	7-8
       TOKENS:	P49W4-P49W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P49W3
      OFFSETS:	9-10
       TOKENS:	P49W5-P49W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P50W1
      OFFSETS:	0-3
       TOKENS:	P50W1-P50W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P50W2
      OFFSETS:	4-8
       TOKENS:	P50W2-P50W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	بتموت
     IS_TRANS:	btmwt
        INDEX:	P51W1
      OFFSETS:	0-5
       TOKENS:	P51W1-P51W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(bitimuwt)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+muwt
        GLOSS:	[present-tense]+you+die/pass away

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P51W2
      OFFSETS:	6-9
       TOKENS:	P51W3-P51W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P52W1
      OFFSETS:	0-1
       TOKENS:	P52W1-P52W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	ذ
     IS_TRANS:	*
        INDEX:	P52W2
      OFFSETS:	2-3
       TOKENS:	P52W2-P52W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(*)
          POS:	NO_FUNC
          VOC:	*
        GLOSS:	nogloss

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P53W1
      OFFSETS:	0-1
       TOKENS:	P53W1-P53W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	ذ
     IS_TRANS:	*
        INDEX:	P53W2
      OFFSETS:	2-3
       TOKENS:	P53W2-P53W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(*)
          POS:	NO_FUNC
          VOC:	*
        GLOSS:	nogloss

 INPUT STRING:	ذ
     IS_TRANS:	*
        INDEX:	P53W3
      OFFSETS:	4-5
       TOKENS:	P53W3-P53W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(*)
          POS:	NO_FUNC
          VOC:	*
        GLOSS:	nogloss

 INPUT STRING:	ذ
     IS_TRANS:	*
        INDEX:	P53W4
      OFFSETS:	6-7
       TOKENS:	P53W4-P53W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(*)
          POS:	NO_FUNC
          VOC:	*
        GLOSS:	nogloss

 INPUT STRING:	ذ
     IS_TRANS:	*
        INDEX:	P53W5
      OFFSETS:	8-9
       TOKENS:	P53W5-P53W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(*)
          POS:	NO_FUNC
          VOC:	*
        GLOSS:	nogloss

 INPUT STRING:	حالي
     IS_TRANS:	HAly
        INDEX:	P54W1
      OFFSETS:	0-4
       TOKENS:	P54W1-P54W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(Hil~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Hil~+iy
        GLOSS:	solve+you

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P54W2
      OFFSETS:	5-7
       TOKENS:	P54W2-P54W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	so2aldah
     IS_TRANS:	so2aldah
        INDEX:	P54W3
      OFFSETS:	8-16
       TOKENS:	P54W3-P54W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(so2aldah)
          POS:	TRANSLIT_ERR
          VOC:	so2aldah
        GLOSS:	so2aldah

 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P55W1
      OFFSETS:	0-4
       TOKENS:	P55W1-P55W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry/questions/inquiries

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P55W2
      OFFSETS:	5-7
       TOKENS:	P55W2-P55W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	ذ
     IS_TRANS:	*
        INDEX:	P55W3
      OFFSETS:	8-9
       TOKENS:	P55W3-P55W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(*)
          POS:	NO_FUNC
          VOC:	*
        GLOSS:	nogloss

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P56W1
      OFFSETS:	0-3
       TOKENS:	P56W1-P56W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	مجنون
     IS_TRANS:	mjnwn
        INDEX:	P56W2
      OFFSETS:	4-9
       TOKENS:	P56W2-P56W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majonuwn_1]
   UNSPLITVOC:	(majonuwn)
          POS:	ADJ
          VOC:	majonuwn
        GLOSS:	crazy/insane/mad/crazy men/madmen

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P57W1
      OFFSETS:	0-3
       TOKENS:	P57W1-P57W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P57W2
      OFFSETS:	4-6
       TOKENS:	P57W2-P57W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P57W3
      OFFSETS:	7-11
       TOKENS:	P57W3-P57W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+her/it/them

 INPUT STRING:	بتساعدي
     IS_TRANS:	btsAEdy
        INDEX:	P57W4
      OFFSETS:	12-19
       TOKENS:	P57W5-P57W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAEid_1]
   UNSPLITVOC:	(bitosAEodiy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+sAEod+iy
        GLOSS:	[present-tense]+you+contribute/assist/support/help+you

 INPUT STRING:	فريند
     IS_TRANS:	frynd
        INDEX:	P57W5
      OFFSETS:	20-25
       TOKENS:	P57W7-P57W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(frynd)
          POS:	FOREIGN
          VOC:	frynd
        GLOSS:	nogloss

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P57W6
      OFFSETS:	26-30
       TOKENS:	P57W8-P57W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P57W7
      OFFSETS:	31-33
       TOKENS:	P57W9-P57W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عرف
     IS_TRANS:	Erf
        INDEX:	P57W8
      OFFSETS:	34-37
       TOKENS:	P57W10-P57W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ.VN
          VOC:	EArif
        GLOSS:	knowing

 INPUT STRING:	احلها
     IS_TRANS:	AHlhA
        INDEX:	P57W9
      OFFSETS:	38-43
       TOKENS:	P57W11-P57W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(>aHil~ahA)
          POS:	IV1S+IV+IVSUFF_DO:3FS
          VOC:	>a+Hil~+hA
        GLOSS:	I+dissolve/untie/solve (problem)+it/them/her

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P58W1
      OFFSETS:	0-2
       TOKENS:	P58W1-P58W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	7leteja
     IS_TRANS:	7leteja
        INDEX:	P58W2
      OFFSETS:	3-10
       TOKENS:	P58W2-P58W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(7leteja)
          POS:	TRANSLIT_ERR
          VOC:	7leteja
        GLOSS:	7leteja

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P58W3
      OFFSETS:	11-13
       TOKENS:	P58W3-P58W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P58W4
      OFFSETS:	14-17
       TOKENS:	P58W4-P58W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	هديه
     IS_TRANS:	hdyh
        INDEX:	P58W5
      OFFSETS:	18-22
       TOKENS:	P58W6-P58W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hidiy~ap_1]
   UNSPLITVOC:	(hidiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	hidiy~+ap
        GLOSS:	sweetness/candies/beauty/hala/sweeten/adorn/furnish/be sweetened+[fem.sg.]

 INPUT STRING:	هديه
     IS_TRANS:	hdyh
        INDEX:	P59W1
      OFFSETS:	0-4
       TOKENS:	P59W1-P59W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hidiy~ap_1]
   UNSPLITVOC:	(hidiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	hidiy~+ap
        GLOSS:	sweetness/candies/beauty/hala/sweeten/adorn/furnish/be sweetened+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P59W2
      OFFSETS:	5-8
       TOKENS:	P59W2-P59W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P60W1
      OFFSETS:	0-3
       TOKENS:	P60W1-P60W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(mA_AnA)
          POS:	SUB_CONJ+PRON_1S
          VOC:	mA+AnA
        GLOSS:	that+I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P60W2
      OFFSETS:	4-6
       TOKENS:	P60W3-P60W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	hh2olek
     IS_TRANS:	hh2olek
        INDEX:	P60W3
      OFFSETS:	7-14
       TOKENS:	P60W4-P60W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(hh2olek)
          POS:	TRANSLIT_ERR
          VOC:	hh2olek
        GLOSS:	hh2olek

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P60W4
      OFFSETS:	15-18
       TOKENS:	P60W5-P60W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<il~A_2]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P60W5
      OFFSETS:	19-22
       TOKENS:	P60W6-P60W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	تحلي
     IS_TRANS:	tHly
        INDEX:	P60W6
      OFFSETS:	23-27
       TOKENS:	P60W7-P60W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(tiHil~iy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+Hil~+iy
        GLOSS:	you+dissolve/untie/solve (problem)/be dissolved/be untied/be solved/be solved (problem)/begin+you

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P60W7
      OFFSETS:	28-29
       TOKENS:	P60W8-P60W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P60W8
      OFFSETS:	30-32
       TOKENS:	P60W9-P60W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	hahahaha
     IS_TRANS:	hahahaha
        INDEX:	P61W1
      OFFSETS:	0-8
       TOKENS:	P61W1-P61W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(hahahaha)
          POS:	TRANSLIT_ERR
          VOC:	hahahaha
        GLOSS:	hahahaha

 INPUT STRING:	خلي
     IS_TRANS:	xly
        INDEX:	P62W1
      OFFSETS:	0-3
       TOKENS:	P62W1-P62W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	xal~+iy
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+you

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P62W2
      OFFSETS:	4-6
       TOKENS:	P62W2-P62W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	titles
     IS_TRANS:	titles
        INDEX:	P62W3
      OFFSETS:	7-13
       TOKENS:	P62W3-P62W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(titles)
          POS:	TRANSLIT_ERR
          VOC:	titles
        GLOSS:	titles

 INPUT STRING:	10
     IS_TRANS:	10
        INDEX:	P62W4
      OFFSETS:	14-16
       TOKENS:	P62W4-P62W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(10)
          POS:	NOUN_NUM
          VOC:	10
        GLOSS:	10

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P62W5
      OFFSETS:	17-18
       TOKENS:	P62W5-P62W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P62W6
      OFFSETS:	19-21
       TOKENS:	P62W6-P62W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	برم
     IS_TRANS:	brm
        INDEX:	P62W7
      OFFSETS:	22-25
       TOKENS:	P62W7-P62W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(brm)
          POS:	FOREIGN
          VOC:	brm
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P62W8
      OFFSETS:	26-27
       TOKENS:	P62W8-P62W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P62W9
      OFFSETS:	28-31
       TOKENS:	P62W9-P62W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P62W10
      OFFSETS:	32-33
       TOKENS:	P62W10-P62W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P62W11
      OFFSETS:	34-36
       TOKENS:	P62W11-P62W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	دق
     IS_TRANS:	dq
        INDEX:	P62W12
      OFFSETS:	37-39
       TOKENS:	P62W12-P62W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dq)
          POS:	FOREIGN
          VOC:	dq
        GLOSS:	nogloss

 INPUT STRING:	يبتدي
     IS_TRANS:	ybtdy
        INDEX:	P62W13
      OFFSETS:	40-45
       TOKENS:	P62W13-P62W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibotadA_1]
   UNSPLITVOC:	(yibotidiy)
          POS:	IV3MS+IV
          VOC:	yi+botidiy
        GLOSS:	he/it+start/undertake/enact/prescribe/begin tart/appear/seem/make a start

 INPUT STRING:	12
     IS_TRANS:	12
        INDEX:	P62W14
      OFFSETS:	46-48
       TOKENS:	P62W14-P62W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(12)
          POS:	NOUN_NUM
          VOC:	12
        GLOSS:	12

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P63W1
      OFFSETS:	0-2
       TOKENS:	P63W1-P63W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
