 INPUT STRING:	ههه
     IS_TRANS:	EAdy
        INDEX:	P241W7
      OFFSETS:	26-30
       TOKENS:	P241W8-P241W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy)
          POS:	NOUN
          VOC:	EAdiy
        GLOSS:	aggressive/hostile/ordinary/normal/regular/chaser/plain

 INPUT STRING:	ياه
     IS_TRANS:	yAh
        INDEX:	P242W1
      OFFSETS:	0-3
       TOKENS:	P242W1-P242W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yAh_1]
   UNSPLITVOC:	(yAh)
          POS:	INTERJ
          VOC:	yAh
        GLOSS:	express surprise

 INPUT STRING:	نونا
     IS_TRANS:	nwnA
        INDEX:	P243W1
      OFFSETS:	0-4
       TOKENS:	P243W1-P243W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwn~ap_1]
   UNSPLITVOC:	(nuwn~aA)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	nuwn~+ap
        GLOSS:	Nona+[fem.sg.]

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P244W1
      OFFSETS:	0-4
       TOKENS:	P244W1-P244W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P244W2
      OFFSETS:	5-8
       TOKENS:	P244W2-P244W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[fiyn_1]
   UNSPLITVOC:	(fiyn)
          POS:	INTERROG_ADV
          VOC:	fayon
        GLOSS:	where

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P244W3
      OFFSETS:	9-10
       TOKENS:	P244W3-P244W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P245W1
      OFFSETS:	0-3
       TOKENS:	P245W1-P245W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet/still

 INPUT STRING:	تعبانة
     IS_TRANS:	tEbAnp
        INDEX:	P245W2
      OFFSETS:	4-10
       TOKENS:	P245W2-P245W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEobAn_1]
   UNSPLITVOC:	(taEobAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	taEobAn+ap
        GLOSS:	tired/weary/oppressed/overburdened/suppressed/fed up/stressed/exhausted+[fem.sg.]

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P246W1
      OFFSETS:	0-2
       TOKENS:	P246W1-P246W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	حمدلله
     IS_TRANS:	Hmdllh
        INDEX:	P246W2
      OFFSETS:	3-9
       TOKENS:	P246W2-P246W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Hmdllh)
          POS:	NO_FUNC
          VOC:	Hmdllh
        GLOSS:	nogloss

 INPUT STRING:	وانتي
     IS_TRANS:	wAnty
        INDEX:	P247W1
      OFFSETS:	0-5
       TOKENS:	P247W1-P247W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(wiAinotiy)
          POS:	CONJ+PRON_2FS
          VOC:	wi+Ainotiy
        GLOSS:	and+you [fem.sg.]/you/feminine

 INPUT STRING:	حبيبي
     IS_TRANS:	Hbyby
        INDEX:	P247W2
      OFFSETS:	6-11
       TOKENS:	P247W3-P247W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(Habiybiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Habiyb+iy
        GLOSS:	dear/beloved/sweetheart+my

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P248W1
      OFFSETS:	0-3
       TOKENS:	P248W1-P248W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	INTERJ
          VOC:	Tay~ib
        GLOSS:	ok

 INPUT STRING:	الحضل
     IS_TRANS:	AlHDl
        INDEX:	P248W2
      OFFSETS:	4-9
       TOKENS:	P248W2-P248W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlHDl)
          POS:	TYPO
          VOC:	AlHDl
        GLOSS:	nogloss

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P249W1
      OFFSETS:	0-3
       TOKENS:	P249W1-P249W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	نادي
     IS_TRANS:	nAdy
        INDEX:	P249W2
      OFFSETS:	4-8
       TOKENS:	P249W2-P249W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(nAdiy)
          POS:	NOUN
          VOC:	nAdiy
        GLOSS:	club/association/clubs/associations

 INPUT STRING:	رحت
     IS_TRANS:	rHt
        INDEX:	P249W3
      OFFSETS:	9-12
       TOKENS:	P249W3-P249W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(ruHt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	ruH+t
        GLOSS:	begin/go+I

 INPUT STRING:	لفيت
     IS_TRANS:	lfyt
        INDEX:	P249W4
      OFFSETS:	13-17
       TOKENS:	P249W4-P249W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laf~_1]
   UNSPLITVOC:	(laf~iyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	laf~+ayt
        GLOSS:	wrap/turn+I

 INPUT STRING:	الترك
     IS_TRANS:	Altrk
        INDEX:	P249W5
      OFFSETS:	18-23
       TOKENS:	P249W5-P249W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Altrk)
          POS:	FOREIGN
          VOC:	Altrk
        GLOSS:	nogloss

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P249W6
      OFFSETS:	24-26
       TOKENS:	P249W6-P249W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	أميرة
     IS_TRANS:	>myrp
        INDEX:	P249W7
      OFFSETS:	27-32
       TOKENS:	P249W7-P249W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amiyrap_1]
   UNSPLITVOC:	(>amiyrap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	>amiyr+ap
        GLOSS:	Amira+[fem.sg.]

 INPUT STRING:	وكده
     IS_TRANS:	wkdh
        INDEX:	P249W8
      OFFSETS:	33-37
       TOKENS:	P249W8-P249W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(wikidah)
          POS:	CONJ+NOUN
          VOC:	wi+kidah
        GLOSS:	and+this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	لإن
     IS_TRANS:	l<n
        INDEX:	P250W1
      OFFSETS:	0-3
       TOKENS:	P250W1-P250W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(l<n)
          POS:	FOREIGN
          VOC:	l<n
        GLOSS:	nogloss

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P250W2
      OFFSETS:	4-7
       TOKENS:	P250W2-P250W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	10
     IS_TRANS:	10
        INDEX:	P250W3
      OFFSETS:	8-10
       TOKENS:	P250W3-P250W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(10)
          POS:	NOUN_NUM
          VOC:	10
        GLOSS:	10

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P250W4
      OFFSETS:	10-11
       TOKENS:	P250W4-P250W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	45
     IS_TRANS:	45
        INDEX:	P250W5
      OFFSETS:	11-13
       TOKENS:	P250W5-P250W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(45)
          POS:	NOUN_NUM
          VOC:	45
        GLOSS:	45

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P250W6
      OFFSETS:	14-17
       TOKENS:	P250W6-P250W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	سوسو
     IS_TRANS:	swsw
        INDEX:	P250W7
      OFFSETS:	18-22
       TOKENS:	P250W7-P250W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwsuw_1]
   UNSPLITVOC:	(suwsuw)
          POS:	NOUN_PROP
          VOC:	suwsuw
        GLOSS:	Soso

 INPUT STRING:	قالتلي
     IS_TRANS:	qAltly
        INDEX:	P250W8
      OFFSETS:	23-29
       TOKENS:	P250W8-P250W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlit_liy)
          POS:	PV+PVSUFF_SUBJ:3FS+PREP+PRON_1S
          VOC:	qAl+it+li+iy
        GLOSS:	said/say/be said/(for example)+it/they/she+to/for+I

 INPUT STRING:	إنها
     IS_TRANS:	<nhA
        INDEX:	P250W9
      OFFSETS:	30-34
       TOKENS:	P250W11-P250W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+it/them/her

 INPUT STRING:	داخلة
     IS_TRANS:	dAxlp
        INDEX:	P250W10
      OFFSETS:	35-40
       TOKENS:	P250W13-P250W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	dAxol+ap
        GLOSS:	entering+[fem.sg.]

 INPUT STRING:	النادي
     IS_TRANS:	AlnAdy
        INDEX:	P250W11
      OFFSETS:	41-47
       TOKENS:	P250W14-P250W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(AlnAdiy)
          POS:	DET+NOUN
          VOC:	Al+nAdiy
        GLOSS:	the+club/association/clubs/associations

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P251W1
      OFFSETS:	0-2
       TOKENS:	P251W1-P251W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	طلعت
     IS_TRANS:	TlEt
        INDEX:	P251W2
      OFFSETS:	3-7
       TOKENS:	P251W2-P251W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(TiliEt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	TiliE+t
        GLOSS:	ascend/begin to/rise/start/seems/come out/get out/turn be+I

 INPUT STRING:	سلمت
     IS_TRANS:	slmt
        INDEX:	P251W3
      OFFSETS:	8-12
       TOKENS:	P251W3-P251W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sal~im_1]
   UNSPLITVOC:	(sal~imt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	sal~im+t
        GLOSS:	greet/hand over/surrender/be safe+I

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P251W4
      OFFSETS:	13-18
       TOKENS:	P251W4-P251W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EaliyhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+it/them/her

 INPUT STRING:	فالبرج
     IS_TRANS:	fAlbrj
        INDEX:	P251W5
      OFFSETS:	19-25
       TOKENS:	P251W6-P251W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyAlbrj)
          POS:	PREP+DET+FOREIGN
          VOC:	fiy+Al+brj
        GLOSS:	in+the+bridge

 INPUT STRING:	لقيت
     IS_TRANS:	lqyt
        INDEX:	P251W6
      OFFSETS:	26-30
       TOKENS:	P251W8-P251W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laqaY_1]
   UNSPLITVOC:	(laqiyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	laq+ayt
        GLOSS:	find/be found/exist/ascertain/come upon/modal of probability/encounter/discover+I

 INPUT STRING:	وليد
     IS_TRANS:	wlyd
        INDEX:	P251W7
      OFFSETS:	31-35
       TOKENS:	P251W9-P251W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waliyd_1]
   UNSPLITVOC:	(waliyd)
          POS:	NOUN_PROP
          VOC:	waliyd
        GLOSS:	Walid/Waleed

 INPUT STRING:	وجوليري
     IS_TRANS:	wjwlyry
        INDEX:	P251W8
      OFFSETS:	36-43
       TOKENS:	P251W10-P251W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[juwliyriy_1]
   UNSPLITVOC:	(wijuwliyriy)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+juwliyriy
        GLOSS:	and+Jwlyry

 INPUT STRING:	وشريف
     IS_TRANS:	w$ryf
        INDEX:	P251W9
      OFFSETS:	44-49
       TOKENS:	P251W12-P251W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iriyf_1]
   UNSPLITVOC:	(wi$iriyf)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+$iriyf
        GLOSS:	and+Sheriff

 INPUT STRING:	وسلمت
     IS_TRANS:	wslmt
        INDEX:	P252W1
      OFFSETS:	0-5
       TOKENS:	P252W1-P252W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sal~im_1]
   UNSPLITVOC:	(wisal~imt)
          POS:	SUB_CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+sal~im+t
        GLOSS:	while+greet/hand over/surrender/be safe+I

 INPUT STRING:	ووانا
     IS_TRANS:	wwAnA
        INDEX:	P252W2
      OFFSETS:	6-11
       TOKENS:	P252W3-P252W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wwAnA)
          POS:	TYPO
          VOC:	wwAnA
        GLOSS:	nogloss

 INPUT STRING:	نازله
     IS_TRANS:	nAzlh
        INDEX:	P252W3
      OFFSETS:	12-17
       TOKENS:	P252W4-P252W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAzil_1]
   UNSPLITVOC:	(nAzolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	nAzol+ap
        GLOSS:	descending/staying+[fem.sg.]

 INPUT STRING:	بأقول
     IS_TRANS:	b>qwl
        INDEX:	P252W4
      OFFSETS:	18-23
       TOKENS:	P252W5-P252W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+quwl
        GLOSS:	[present-tense]+I+said/say/be said/(for example)

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P253W1
      OFFSETS:	0-2
       TOKENS:	P253W1-P253W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	ريم
     IS_TRANS:	rym
        INDEX:	P253W2
      OFFSETS:	3-6
       TOKENS:	P253W2-P253W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riym_1]
   UNSPLITVOC:	(riym)
          POS:	NOUN_PROP
          VOC:	riym
        GLOSS:	Reem/Rim

 INPUT STRING:	السيسي
     IS_TRANS:	Alsysy
        INDEX:	P253W3
      OFFSETS:	7-13
       TOKENS:	P253W3-P253W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siysiy_1]
   UNSPLITVOC:	(Alsiysiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+siysiy
        GLOSS:	the+Sisi

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P253W4
      OFFSETS:	14-17
       TOKENS:	P253W4-P253W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[fiyn_1]
   UNSPLITVOC:	(fiyn)
          POS:	INTERROG_ADV
          VOC:	fayon
        GLOSS:	where

 INPUT STRING:	بأقول
     IS_TRANS:	b>qwl
        INDEX:	P254W1
      OFFSETS:	0-5
       TOKENS:	P254W1-P254W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+quwl
        GLOSS:	[present-tense]+I+said/say/be said/(for example)

 INPUT STRING:	لسوسو
     IS_TRANS:	lswsw
        INDEX:	P254W2
      OFFSETS:	6-11
       TOKENS:	P254W3-P254W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwsuw_1]
   UNSPLITVOC:	(lisuwsuw)
          POS:	PREP+NOUN_PROP
          VOC:	li+suwsuw
        GLOSS:	for/to+Soso

 INPUT STRING:	لقيت
     IS_TRANS:	lqyt
        INDEX:	P254W3
      OFFSETS:	12-16
       TOKENS:	P254W5-P254W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laqaY_1]
   UNSPLITVOC:	(laqiyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	laq+ayt
        GLOSS:	find/be found/exist/ascertain/come upon/modal of probability/encounter/discover+I

 INPUT STRING:	جوليري
     IS_TRANS:	jwlyry
        INDEX:	P254W4
      OFFSETS:	17-23
       TOKENS:	P254W6-P254W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[juwliyriy_1]
   UNSPLITVOC:	(juwliyriy)
          POS:	NOUN_PROP
          VOC:	juwliyriy
        GLOSS:	Jwlery

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P254W5
      OFFSETS:	24-27
       TOKENS:	P254W7-P254W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	بيرد
     IS_TRANS:	byrd
        INDEX:	P254W6
      OFFSETS:	28-32
       TOKENS:	P254W8-P254W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(biyirud~)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+rud~
        GLOSS:	[present-tense]+he/it+answer/reply/return/be returned/be given back

 INPUT STRING:	تعبانة
     IS_TRANS:	tEbAnp
        INDEX:	P255W1
      OFFSETS:	0-6
       TOKENS:	P255W1-P255W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEobAn_1]
   UNSPLITVOC:	(taEobAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	taEobAn+ap
        GLOSS:	tired/weary/oppressed/overburdened/suppressed/fed up/stressed/exhausted+[fem.sg.]

 INPUT STRING:	وروحت
     IS_TRANS:	wrwHt
        INDEX:	P255W2
      OFFSETS:	7-12
       TOKENS:	P255W2-P255W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raw~aH_1]
   UNSPLITVOC:	(wiraw~aHt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+raw~aH+t
        GLOSS:	and+go+I

 INPUT STRING:	البيت
     IS_TRANS:	Albyt
        INDEX:	P255W3
      OFFSETS:	13-18
       TOKENS:	P255W4-P255W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[biyt_1]
   UNSPLITVOC:	(Albiyt)
          POS:	DET+NOUN
          VOC:	Al+bayt
        GLOSS:	the+house/houses/verse/verses

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P256W1
      OFFSETS:	0-2
       TOKENS:	P256W1-P256W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P256W2
      OFFSETS:	3-6
       TOKENS:	P256W2-P256W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P256W3
      OFFSETS:	7-10
       TOKENS:	P256W3-P256W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	دخلت
     IS_TRANS:	dxlt
        INDEX:	P256W4
      OFFSETS:	11-15
       TOKENS:	P256W4-P256W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(daxalt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	daxal+t
        GLOSS:	enter/be entered+I

 INPUT STRING:	أسانسور
     IS_TRANS:	>sAnswr
        INDEX:	P256W5
      OFFSETS:	16-23
       TOKENS:	P256W5-P256W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>sAnswr)
          POS:	FOREIGN
          VOC:	>sAnswr
        GLOSS:	nogloss

 INPUT STRING:	أصلا
     IS_TRANS:	>SlA
