 INPUT STRING:	كلت
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(baqul_lik)
          POS:	PROG_PART+IV1S+IV+PREP+PRON_2FS
          VOC:	bi+Aa+qul+li+ik
        GLOSS:	[present-tense]+I+say+for/to+you

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P59W3
      OFFSETS:	9-12
       TOKENS:	P59W7-P59W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuw)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix+he/it

 INPUT STRING:	حشتري
     IS_TRANS:	H$try
        INDEX:	P60W1
      OFFSETS:	0-5
       TOKENS:	P60W1-P60W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otaraY_1]
   UNSPLITVOC:	(Ha$otiriy)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+$otiriy
        GLOSS:	will+I+buy

 INPUT STRING:	مستعمل
     IS_TRANS:	mstEml
        INDEX:	P60W2
      OFFSETS:	6-12
       TOKENS:	P60W3-P60W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaEomal_1]
   UNSPLITVOC:	(musotaEomal)
          POS:	ADJ
          VOC:	musotaEomal
        GLOSS:	used/in use

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P60W3
      OFFSETS:	13-18
       TOKENS:	P60W4-P60W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Eala$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	اوفر
     IS_TRANS:	Awfr
        INDEX:	P60W4
      OFFSETS:	19-23
       TOKENS:	P60W6-P60W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waf~ar_1]
   UNSPLITVOC:	(Aawaf~ar)
          POS:	IV1S+IV
          VOC:	Aa+waf~ar
        GLOSS:	I+provide/fulfill

 INPUT STRING:	90
     IS_TRANS:	90
        INDEX:	P60W5
      OFFSETS:	24-26
       TOKENS:	P60W7-P60W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(90)
          POS:	NOUN_NUM
          VOC:	90
        GLOSS:	90

 INPUT STRING:	ريال
     IS_TRANS:	ryAl
        INDEX:	P60W6
      OFFSETS:	27-31
       TOKENS:	P60W8-P60W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riyAl_1]
   UNSPLITVOC:	(riyAl)
          POS:	NOUN
          VOC:	riyAl
        GLOSS:	riyal (S.Ar.=100 halala/Qatar=100 dirham/Yemen=100 fils)

 INPUT STRING:	بصى
     IS_TRANS:	bSY
        INDEX:	P61W1
      OFFSETS:	0-3
       TOKENS:	P61W1-P61W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	يمكن
     IS_TRANS:	ymkn
        INDEX:	P61W2
      OFFSETS:	4-8
       TOKENS:	P61W2-P61W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amokan_1]
   UNSPLITVOC:	(yimokin)
          POS:	IV3MS+IV
          VOC:	yi+mokin
        GLOSS:	he/it+be possible/make possible for

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P61W3
      OFFSETS:	9-13
       TOKENS:	P61W3-P61W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be/was/were

 INPUT STRING:	حالته
     IS_TRANS:	HAlth
        INDEX:	P61W4
      OFFSETS:	14-19
       TOKENS:	P61W4-P61W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAlap_1]
   UNSPLITVOC:	(HAltuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	HAl+ap+uh
        GLOSS:	condition/case/situation/cases/situations/instances+[fem.sg.]+his/its

 INPUT STRING:	كويسه
     IS_TRANS:	kwysh
        INDEX:	P61W5
      OFFSETS:	20-25
       TOKENS:	P61W6-P61W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~isap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kuway~is+ap
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P62W1
      OFFSETS:	0-3
       TOKENS:	P62W1-P62W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P62W2
      OFFSETS:	4-9
       TOKENS:	P62W2-P62W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P62W3
      OFFSETS:	10-14
       TOKENS:	P62W3-P62W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	احس
     IS_TRANS:	AHs
        INDEX:	P62W4
      OFFSETS:	15-18
       TOKENS:	P62W4-P62W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Has~_1]
   UNSPLITVOC:	(AaHis~)
          POS:	IV1S+IV
          VOC:	Aa+His~
        GLOSS:	I+feel

 INPUT STRING:	اني
     IS_TRANS:	Any
        INDEX:	P62W5
      OFFSETS:	19-22
       TOKENS:	P62W5-P62W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	جبت
     IS_TRANS:	jbt
        INDEX:	P62W6
      OFFSETS:	23-26
       TOKENS:	P62W7-P62W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jibt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	jib+t
        GLOSS:	explore/traverse/bring+I

 INPUT STRING:	الديب
     IS_TRANS:	Aldyb
        INDEX:	P62W7
      OFFSETS:	27-32
       TOKENS:	P62W8-P62W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyb_1]
   UNSPLITVOC:	(Aldiyb)
          POS:	DET+NOUN
          VOC:	Al+diyb
        GLOSS:	the+wolf/jackal/wolves/jackals

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P62W8
      OFFSETS:	33-35
       TOKENS:	P62W9-P62W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ذيله
     IS_TRANS:	*ylh
        INDEX:	P62W9
      OFFSETS:	36-40
       TOKENS:	P62W10-P62W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*iyl_1]
   UNSPLITVOC:	(*iyluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	*iyl+uh
        GLOSS:	end/tail/addenda/tails+his/its

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P63W1
      OFFSETS:	0-4
       TOKENS:	P63W1-P63W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	بضمانه
     IS_TRANS:	bDmAnh
        INDEX:	P63W2
      OFFSETS:	5-11
       TOKENS:	P63W2-P63W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DamAn_1]
   UNSPLITVOC:	(biDamAnuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+DamAn+uh
        GLOSS:	with/by+guarantee/insurance+his/its

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P63W3
      OFFSETS:	12-13
       TOKENS:	P63W5-P63W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	حاجته
     IS_TRANS:	HAjth
        INDEX:	P63W4
      OFFSETS:	14-19
       TOKENS:	P63W6-P63W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjtuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	HAj+ap+uh
        GLOSS:	need/needs/thing/belongings+[fem.sg.]+his/its

 INPUT STRING:	ملحقش
     IS_TRANS:	mlHq$
        INDEX:	P63W5
      OFFSETS:	20-25
       TOKENS:	P63W8-P63W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laHaq_1]
   UNSPLITVOC:	(mA_laHq$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+laHq+(null)+$
        GLOSS:	not+follow/be attached/[help!]/reach+he/it+not

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P64W1
      OFFSETS:	0-2
       TOKENS:	P64W1-P64W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	اسالهولك
     IS_TRANS:	AsAlhwlk
        INDEX:	P64W2
      OFFSETS:	3-11
       TOKENS:	P64W2-P64W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(Aaso>alhuw_lik)
          POS:	IV1S+IV+IVSUFF_DO:3MS+PREP+PRON_2FS
          VOC:	Aa+so>al+uh+li+ik
        GLOSS:	I+ask/inquire/request/be asked+it/him+to/for+you

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P64W3
      OFFSETS:	12-14
       TOKENS:	P64W6-P64W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	تفرق
     IS_TRANS:	tfrq
        INDEX:	P64W4
      OFFSETS:	15-19
       TOKENS:	P64W7-P64W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraq_1]
   UNSPLITVOC:	(tiforiq)
          POS:	IV3FS+IV
          VOC:	ti+foriq
        GLOSS:	it/they/she+differentiate/distinguish/discriminate

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P64W5
      OFFSETS:	20-23
       TOKENS:	P64W8-P64W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P64W6
      OFFSETS:	24-28
       TOKENS:	P64W9-P64W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	تحبى
     IS_TRANS:	tHbY
        INDEX:	P64W7
      OFFSETS:	29-33
       TOKENS:	P64W10-P64W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(tiHib~iy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+Hib~+iy
        GLOSS:	you+love/like/want+you

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P64W8
      OFFSETS:	34-37
       TOKENS:	P64W11-P64W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P65W1
      OFFSETS:	0-2
       TOKENS:	P65W1-P65W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P65W2
      OFFSETS:	3-5
       TOKENS:	P65W2-P65W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	موديله
     IS_TRANS:	mwdylh
        INDEX:	P65W3
      OFFSETS:	6-12
       TOKENS:	P65W3-P65W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwdiyl_1]
   UNSPLITVOC:	(muwdiylhu)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	muwdiyl+hu
        GLOSS:	model/pattern+its/his

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P65W4
      OFFSETS:	13-16
       TOKENS:	P65W5-P65W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	واشوفه
     IS_TRANS:	wA$wfh
        INDEX:	P65W5
      OFFSETS:	17-23
       TOKENS:	P65W6-P65W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(wiAa$uwfuh)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:3MS
          VOC:	wi+Aa+$uwf+uh
        GLOSS:	and+I+look+it/him

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P65W6
      OFFSETS:	24-27
       TOKENS:	P65W9-P65W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here/from now on/somewhere

 INPUT STRING:	وخلاص
     IS_TRANS:	wxlAS
        INDEX:	P65W7
      OFFSETS:	28-33
       TOKENS:	P65W10-P65W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(wixalAS)
          POS:	CONJ+NOUN
          VOC:	wi+xalAS
        GLOSS:	and+deliverance/salvation/settlement

 INPUT STRING:	ميتعبش
     IS_TRANS:	mytEb$
        INDEX:	P65W8
      OFFSETS:	34-40
       TOKENS:	P65W12-P65W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEab_1]
   UNSPLITVOC:	(ma_yitoEib$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	ma+yi+toEib+$
        GLOSS:	not+he/it+be tired/work hard/be hurled down/become exhausted/become tired+not

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P65W9
      OFFSETS:	41-45
       TOKENS:	P65W15-P65W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves/soul/souls+his/its

 INPUT STRING:	بدل
     IS_TRANS:	bdl
        INDEX:	P65W10
      OFFSETS:	46-49
       TOKENS:	P65W17-P65W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badal_1]
   UNSPLITVOC:	(badal)
          POS:	NOUN
          VOC:	badal
        GLOSS:	substitute/substitutes/instead of/in lieu of

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P65W11
      OFFSETS:	50-52
       TOKENS:	P65W18-P65W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فارقه
     IS_TRANS:	fArqh
        INDEX:	P65W12
      OFFSETS:	53-58
       TOKENS:	P65W19-P65W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAriq_1]
   UNSPLITVOC:	(fAroqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fAroq+ap
        GLOSS:	difference/differences/distinctive features+[fem.sg.]

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P65W13
      OFFSETS:	59-63
       TOKENS:	P65W20-P65W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	numerous/many/several/much/a lot/very

 INPUT STRING:	Galaxy
     IS_TRANS:	Galaxy
        INDEX:	P66W1
      OFFSETS:	0-6
       TOKENS:	P66W1-P66W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(Galaxy)
          POS:	TRANSLIT_ERR
          VOC:	Galaxy
        GLOSS:	Galaxy

 INPUT STRING:	mini
     IS_TRANS:	mini
        INDEX:	P66W2
      OFFSETS:	7-11
       TOKENS:	P66W2-P66W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(mini)
          POS:	TRANSLIT_ERR
          VOC:	mini
        GLOSS:	mini

 INPUT STRING:	شكرا
     IS_TRANS:	$krA
        INDEX:	P67W1
      OFFSETS:	0-4
       TOKENS:	P67W1-P67W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thankfulness/thanks/thank you+[acc.indef.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P67W2
      OFFSETS:	5-7
       TOKENS:	P67W2-P67W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	هوبا
     IS_TRANS:	hwbA
        INDEX:	P67W3
      OFFSETS:	8-12
       TOKENS:	P67W3-P67W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huwbA_1]
   UNSPLITVOC:	(huwbA)
          POS:	NOUN_PROP
          VOC:	huwbA
        GLOSS:	houba

 INPUT STRING:	اشكري
     IS_TRANS:	A$kry
        INDEX:	P67W4
      OFFSETS:	13-18
       TOKENS:	P67W4-P67W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$akar_1]
   UNSPLITVOC:	(Ai$kuriy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Ai$kur+iy
        GLOSS:	thank+you

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P67W5
      OFFSETS:	19-21
       TOKENS:	P67W5-P67W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me

 INPUT STRING:	مازن
     IS_TRANS:	mAzn
        INDEX:	P67W6
      OFFSETS:	22-26
       TOKENS:	P67W7-P67W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAzin_1]
   UNSPLITVOC:	(mAzin)
          POS:	NOUN_PROP
          VOC:	mAzin
        GLOSS:	Mazen/Mazin

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P67W7
      OFFSETS:	27-31
       TOKENS:	P67W8-P67W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	numerous/many/several/much/a lot/very

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P68W1
      OFFSETS:	0-3
       TOKENS:	P68W1-P68W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P68W2
      OFFSETS:	4-7
       TOKENS:	P68W2-P68W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P69W1
      OFFSETS:	0-3
       TOKENS:	P69W1-P69W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المويايل
     IS_TRANS:	AlmwyAyl
        INDEX:	P69W2
      OFFSETS:	4-12
       TOKENS:	P69W2-P69W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlmwyAyl)
          POS:	TYPO
          VOC:	AlmwyAyl
        GLOSS:	nogloss

 INPUT STRING:	
     IS_TRANS:	&#xe056;
        INDEX:	P69W3
      OFFSETS:	13-14
       TOKENS:	P69W3-P69W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe056;)
          POS:	NO_FUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	احتراما
     IS_TRANS:	AHtrAmA
        INDEX:	P70W1
      OFFSETS:	0-7
       TOKENS:	P70W1-P70W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotirAm_1]
   UNSPLITVOC:	(AiHotirAmAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	AiHotirAm+AF
        GLOSS:	respect/honoring+[acc.indef.]

 INPUT STRING:	لانى
     IS_TRANS:	lAnY
        INDEX:	P70W2
      OFFSETS:	8-12
       TOKENS:	P70W2-P70W2
