 INPUT STRING:	تاني

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P34W2
      OFFSETS:	5-6
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P34W3
      OFFSETS:	6-7
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	ماخدتش
     IS_TRANS:	mAxdt$
        INDEX:	P34W4
      OFFSETS:	8-14
       TOKENS:	P34W4-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xad_1]
   UNSPLITVOC:	(mA_xadti$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	mA+xad+t+$
        GLOSS:	not+take+I+not

 INPUT STRING:	بالي
     IS_TRANS:	bAly
        INDEX:	P34W5
      OFFSETS:	15-19
       TOKENS:	P34W7-P34W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	bAl+iy
        GLOSS:	mind/attention/whale+my

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P34W6
      OFFSETS:	20-22
       TOKENS:	P34W9-P34W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P34W7
      OFFSETS:	23-25
       TOKENS:	P34W10-P34W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

