 INPUT STRING:	دودو
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P39W4
      OFFSETS:	15-17
       TOKENS:	P39W5-P39W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بحب
     IS_TRANS:	bHb
        INDEX:	P39W5
      OFFSETS:	18-21
       TOKENS:	P39W6-P39W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(baHib~)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Hib~
        GLOSS:	[present-tense]+I+love/like/want

 INPUT STRING:	الرضاعة
     IS_TRANS:	AlrDAEp
        INDEX:	P39W6
      OFFSETS:	22-29
       TOKENS:	P39W8-P39W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riDAEap_1]
   UNSPLITVOC:	(AlriDAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+riDAE+ap
        GLOSS:	the+breast-feeding/sucking+[fem.sg.]

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P40W1
      OFFSETS:	0-2
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|h_1]
   UNSPLITVOC:	(|h)
          POS:	INTERJ
          VOC:	|h
        GLOSS:	yes

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P40W2
      OFFSETS:	3-4
       TOKENS:	P40W2-P40W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P40W3
      OFFSETS:	5-7
       TOKENS:	P40W3-P40W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P41W1
      OFFSETS:	0-3
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مليش
     IS_TRANS:	mly$
        INDEX:	P41W2
      OFFSETS:	4-8
       TOKENS:	P41W2-P41W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mly$)
          POS:	NO_FUNC
          VOC:	mly$
        GLOSS:	nogloss

 INPUT STRING:	اييي
     IS_TRANS:	Ayyy
        INDEX:	P41W3
      OFFSETS:	9-13
       TOKENS:	P41W3-P41W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Ayyy)
          POS:	TYPO
          VOC:	Ayyy
        GLOSS:	nogloss

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P41W4
      OFFSETS:	14-17
       TOKENS:	P41W4-P41W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifos)
          POS:	NOUN
          VOC:	nifos
        GLOSS:	appetite

 INPUT STRING:	لاي
     IS_TRANS:	lAy
        INDEX:	P41W5
      OFFSETS:	18-21
       TOKENS:	P41W5-P41W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>ay~_2]
   UNSPLITVOC:	(li>ay~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+>ay~
        GLOSS:	for/to+any

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P41W6
      OFFSETS:	22-26
       TOKENS:	P41W7-P41W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	حاجات
     IS_TRANS:	HAjAt
        INDEX:	P42W1
      OFFSETS:	0-5
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	HAj+At
        GLOSS:	need/needs/thing/belongings+[fem.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P42W2
      OFFSETS:	6-7
       TOKENS:	P42W2-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	حاجات
     IS_TRANS:	HAjAt
        INDEX:	P42W3
      OFFSETS:	8-13
       TOKENS:	P42W3-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	HAj+At
        GLOSS:	need/needs/thing/belongings+[fem.pl.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P43W1
      OFFSETS:	0-2
       TOKENS:	P43W1-P43W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مستمتعة
     IS_TRANS:	mstmtEp
        INDEX:	P43W2
      OFFSETS:	3-10
       TOKENS:	P43W2-P43W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotamotiE_1]
   UNSPLITVOC:	(musotamotiEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	musotamotiE+ap
        GLOSS:	enjoying+[fem.sg.]

 INPUT STRING:	تمنحك
     IS_TRANS:	tmnHk
        INDEX:	P44W1
      OFFSETS:	0-5
       TOKENS:	P44W1-P44W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manaH_1]
   UNSPLITVOC:	(timonaHik)
          POS:	IV2MS+IV+IVSUFF_DO:2FS
          VOC:	ti+monaH+ik
        GLOSS:	you+grant/award/bestow/be granted/be awarded/be bestowed+you

 INPUT STRING:	الرضاعة
     IS_TRANS:	AlrDAEp
        INDEX:	P44W2
      OFFSETS:	6-13
       TOKENS:	P44W3-P44W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riDAEap_1]
   UNSPLITVOC:	(AlriDAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+riDAE+ap
        GLOSS:	the+breast-feeding/sucking+[fem.sg.]

 INPUT STRING:	الطبيعية
     IS_TRANS:	AlTbyEyp
        INDEX:	P44W3
      OFFSETS:	14-22
       TOKENS:	P44W4-P44W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TabiyEiy_1]
   UNSPLITVOC:	(AlTabiyEiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+TabiyEiy~+ap
        GLOSS:	the+natural/normal+[fem.sg.]

 INPUT STRING:	عادةً
     IS_TRANS:	EAdpF
        INDEX:	P44W4
      OFFSETS:	23-28
       TOKENS:	P44W5-P44W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdap_1]
   UNSPLITVOC:	(EAdapF)
          POS:	NOUN+NSUFF_FEM_SG+CASE_INDEF_ACC
          VOC:	EAd+ap+F
        GLOSS:	habit+[fem.sg.]+[acc.indef.]

 INPUT STRING:	شهية
     IS_TRANS:	$hyp
        INDEX:	P44W5
      OFFSETS:	29-33
       TOKENS:	P44W6-P44W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahiy~ap_1]
   UNSPLITVOC:	($ahiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$ahiy~+ap
        GLOSS:	appetite+[fem.sg.]

 INPUT STRING:	كبيرة
     IS_TRANS:	kbyrp
        INDEX:	P45W1
      OFFSETS:	0-5
       TOKENS:	P45W1-P45W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kibiyr+ap
        GLOSS:	senior/major/large/big/important/great+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P45W2
      OFFSETS:	5-6
       TOKENS:	P45W2-P45W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لذا
     IS_TRANS:	l*A
        INDEX:	P45W3
      OFFSETS:	7-10
       TOKENS:	P45W3-P45W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li*A_1]
   UNSPLITVOC:	(li*A)
          POS:	PREP+DEM_PRON
          VOC:	li+*A
        GLOSS:	for/because of+that

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P45W4
      OFFSETS:	10-11
       TOKENS:	P45W5-P45W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	إذا
     IS_TRANS:	<*A
        INDEX:	P45W5
      OFFSETS:	12-15
       TOKENS:	P45W6-P45W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	whether/If/whenever/when

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P45W6
      OFFSETS:	16-19
       TOKENS:	P45W7-P45W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunti)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	kun+ti
        GLOSS:	be/was/were+you

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P45W7
      OFFSETS:	20-22
       TOKENS:	P45W8-P45W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	تشعرين
     IS_TRANS:	t$Eryn
        INDEX:	P45W8
      OFFSETS:	23-29
       TOKENS:	P45W9-P45W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta$oEur_1]
   UNSPLITVOC:	(ta$oEuriyn)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ta+$oEur+iyn
        GLOSS:	you [fem.sg.]+feel/be aware+[fem.sg.]

 INPUT STRING:	برغبة
     IS_TRANS:	brgbp
        INDEX:	P45W9
      OFFSETS:	30-35
       TOKENS:	P45W10-P45W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragobap_1]
   UNSPLITVOC:	(biragobap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+ragob+ap
        GLOSS:	with/by+desire/wish/will/desires/wishes+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P45W10
      OFFSETS:	36-38
       TOKENS:	P45W12-P45W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الأكل
     IS_TRANS:	Al>kl
        INDEX:	P45W11
      OFFSETS:	39-44
       TOKENS:	P45W13-P45W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akol_1]
   UNSPLITVOC:	(Al>akol)
          POS:	DET+NOUN
          VOC:	Al+>akol
        GLOSS:	the+eating/consumption/food/meal

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P45W12
      OFFSETS:	44-45
       TOKENS:	P45W14-P45W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	فقد
     IS_TRANS:	fqd
        INDEX:	P45W13
      OFFSETS:	46-49
       TOKENS:	P45W15-P45W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(faqado)
          POS:	CONJ+VERB_PART
          VOC:	fa+qado
        GLOSS:	so/and+may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P45W14
      OFFSETS:	50-54
       TOKENS:	P45W17-P45W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV2FS+IV
          VOC:	ti+kuwn
        GLOSS:	you+be/was/were

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P45W15
      OFFSETS:	55-58
       TOKENS:	P45W18-P45W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*ihi)
          POS:	DEM_PRON_F
          VOC:	h`*ihi
        GLOSS:	this/these

 INPUT STRING:	علامة
     IS_TRANS:	ElAmp
        INDEX:	P45W16
      OFFSETS:	59-64
       TOKENS:	P45W19-P45W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalAmap_1]
   UNSPLITVOC:	(EalAmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EalAm+ap
        GLOSS:	mark/sign/point/marks/signs/points+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P45W17
      OFFSETS:	65-68
       TOKENS:	P45W20-P45W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حاجتك
     IS_TRANS:	HAjtk
        INDEX:	P45W18
      OFFSETS:	69-74
       TOKENS:	P45W21-P45W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjtik)
          POS:	NOUN.VN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	HAj+ap+ik
        GLOSS:	need/needs/thing/belongings+[fem.sg.]+your

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P45W19
      OFFSETS:	75-78
       TOKENS:	P45W23-P45W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards/a place/until

 INPUT STRING:	مزيد
     IS_TRANS:	mzyd
        INDEX:	P45W20
      OFFSETS:	79-83
       TOKENS:	P45W24-P45W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maziyd_1]
   UNSPLITVOC:	(maziyd)
          POS:	NOUN
          VOC:	maziyd
        GLOSS:	more/greater number

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P45W21
      OFFSETS:	84-86
       TOKENS:	P45W25-P45W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الدعم
     IS_TRANS:	AldEm
        INDEX:	P45W22
      OFFSETS:	87-92
       TOKENS:	P45W26-P45W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEom_1]
   UNSPLITVOC:	(AldaEom)
          POS:	DET+NOUN
          VOC:	Al+daEom
        GLOSS:	the+support/assistance/endorsement

 INPUT STRING:	العاطفي
     IS_TRANS:	AlEATfy
        INDEX:	P45W23
      OFFSETS:	93-100
       TOKENS:	P45W27-P45W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EATifiy_1]
   UNSPLITVOC:	(AlEATifiy)
          POS:	DET+ADJ
          VOC:	Al+EATifiy
        GLOSS:	the+affectionate/emotional

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P45W24
      OFFSETS:	100-101
       TOKENS:	P45W28-P45W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P45W25
      OFFSETS:	102-104
       TOKENS:	P45W29-P45W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P45W26
      OFFSETS:	105-108
       TOKENS:	P45W30-P45W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some/a few/little/part

 INPUT STRING:	الأحيان
     IS_TRANS:	Al>HyAn
        INDEX:	P45W27
      OFFSETS:	109-116
       TOKENS:	P45W31-P45W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hiyn_1]
   UNSPLITVOC:	(Al>aHoyAn)
          POS:	DET+NOUN
          VOC:	Al+>aHoyAn
        GLOSS:	the+time/moment/opportunity/times/opportunities/sometimes/occasionally/when

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P45W28
      OFFSETS:	116-117
       TOKENS:	P45W32-P45W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	تفقد
     IS_TRANS:	tfqd
        INDEX:	P45W29
      OFFSETS:	118-122
       TOKENS:	P45W33-P45W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqad_1]
   UNSPLITVOC:	(tifoqid)
          POS:	IV3FS+IV
          VOC:	ti+foqid
        GLOSS:	it/they/she+lose/be missing/lack/be lost

 INPUT STRING:	النساء
     IS_TRANS:	AlnsA'
        INDEX:	P45W30
      OFFSETS:	123-129
       TOKENS:	P45W34-P45W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(AlnisA')
          POS:	DET+NOUN
          VOC:	Al+nisA'
        GLOSS:	the+women

 INPUT STRING:	المصابات
     IS_TRANS:	AlmSAbAt
        INDEX:	P45W31
      OFFSETS:	130-138
       TOKENS:	P45W35-P45W35
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muSAb_1]
   UNSPLITVOC:	(AlmuSAbAt)
          POS:	DET+ADJ.VN+NSUFF_FEM_PL
          VOC:	Al+muSAb+At
        GLOSS:	the+afflicted/injured/wounded+[fem.pl.]

 INPUT STRING:	باكتئاب
     IS_TRANS:	bAkt}Ab
        INDEX:	P45W32
      OFFSETS:	139-146
       TOKENS:	P45W36-P45W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aikoti}Ab_1]
   UNSPLITVOC:	(biAikoti}Ab)
          POS:	PART+NOUN
          VOC:	bi+Aikoti}Ab
        GLOSS:	[part.]+depression

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P45W33
      OFFSETS:	147-149
       TOKENS:	P45W38-P45W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P45W34
      OFFSETS:	150-153
       TOKENS:	P45W39-P45W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	الولادة
     IS_TRANS:	AlwlAdp
        INDEX:	P45W35
      OFFSETS:	154-161
       TOKENS:	P45W40-P45W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wilAdap_1]
   UNSPLITVOC:	(AlwilAdap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+wilAd+ap
        GLOSS:	the+birth/childbearing/parturition/births/parturitions+[fem.sg.]

 INPUT STRING:	شهيتهن
     IS_TRANS:	$hythn
        INDEX:	P46W1
      OFFSETS:	0-6
       TOKENS:	P46W1-P46W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ahiy~ap_1]
   UNSPLITVOC:	($ahiy~atahun~a)
          POS:	NOUN+NSUFF_FEM_SG+CASE_DEF_ACC+POSS_PRON_3FP
          VOC:	$ahiy~+at+a+hun~a
        GLOSS:	appetite+[fem.sg.]+[def.acc.]+their

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P46W2
      OFFSETS:	6-7
       TOKENS:	P46W3-P46W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	إذا
     IS_TRANS:	<*A
        INDEX:	P46W3
      OFFSETS:	8-11
       TOKENS:	P46W4-P46W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	whether/If/whenever/when

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P46W4
      OFFSETS:	12-15
       TOKENS:	P46W5-P46W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn-u_1]
   UNSPLITVOC:	(kunoti)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	kun+ti
        GLOSS:	be/was/were+you [fem.sg.] [verb]

 INPUT STRING:	تجدين
     IS_TRANS:	tjdyn
        INDEX:	P46W5
      OFFSETS:	16-21
       TOKENS:	P46W6-P46W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tajid_1]
   UNSPLITVOC:	(tajidiyn)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ta+jid+iyn
        GLOSS:	you [fem.sg.]+find+[fem.sg.]

 INPUT STRING:	صعوبة
     IS_TRANS:	SEwbp
        INDEX:	P46W6
      OFFSETS:	22-27
       TOKENS:	P46W7-P46W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuEuwbap_1]
   UNSPLITVOC:	(SuEuwbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SuEuwb+ap
        GLOSS:	difficulty+[fem.sg.]

 INPUT STRING:	كبيرة
     IS_TRANS:	kbyrp
        INDEX:	P46W7
      OFFSETS:	28-33
