 INPUT STRING:	ك
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>ty)
          POS:	FOREIGN
          VOC:	>ty
        GLOSS:	nogloss

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P24W3
      OFFSETS:	7-10
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(<yh)
          POS:	FOREIGN
          VOC:	<yh
        GLOSS:	nogloss

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P24W4
      OFFSETS:	11-13
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lw)
          POS:	FOREIGN
          VOC:	lw
        GLOSS:	nogloss

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P24W5
      OFFSETS:	14-16
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	بأزهق
     IS_TRANS:	b>zhq
        INDEX:	P24W6
      OFFSETS:	17-22
       TOKENS:	P24W6-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zihiq_1]
   UNSPLITVOC:	(bAazohaq)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+zohaq
        GLOSS:	[present-tense]+I+become bored with/become impatient with/consider tedious/silly/spoil/ruin/make tedious/boring

 INPUT STRING:	مالأكل
     IS_TRANS:	mAl>kl
        INDEX:	P24W7
      OFFSETS:	23-29
       TOKENS:	P24W8-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akol_1]
   UNSPLITVOC:	(miAl>akol)
          POS:	PREP+DET+NOUN
          VOC:	mi+Al+>akol
        GLOSS:	from+the+eating/consumption/food/meal

 INPUT STRING:	عشأن
     IS_TRANS:	E$>n
        INDEX:	P24W8
      OFFSETS:	30-34
       TOKENS:	P24W10-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs

 INPUT STRING:	بآكل
     IS_TRANS:	b|kl
        INDEX:	P24W9
      OFFSETS:	35-39
       TOKENS:	P24W12-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akal_1]
   UNSPLITVOC:	(biAakul)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+kul
        GLOSS:	[present-tense]+I+eat/consume/be eaten/be consumed

 INPUT STRING:	كثير
     IS_TRANS:	kvyr
        INDEX:	P24W10
      OFFSETS:	40-44
       TOKENS:	P24W14-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiviyr_1]
   UNSPLITVOC:	(kiviyr)
          POS:	ADJ
          VOC:	kiviyr
        GLOSS:	very/much/numerous/so much/a lot/more/alot/many

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P24W11
      OFFSETS:	45-48
       TOKENS:	P24W15-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	بأشبع
     IS_TRANS:	b>$bE
        INDEX:	P24W12
      OFFSETS:	49-54
       TOKENS:	P24W17-P24W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$abaE_1]
   UNSPLITVOC:	(bAa$obaE)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+$obaE
        GLOSS:	[present-tense]+I+be full

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P25W1
      OFFSETS:	0-1
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P25W2
      OFFSETS:	2-5
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P25W3
      OFFSETS:	6-10
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	ماتأكلش
     IS_TRANS:	mAt>kl$
        INDEX:	P25W4
      OFFSETS:	11-18
       TOKENS:	P25W4-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakal_1]
   UNSPLITVOC:	(mA_tAkul$)
          POS:	NEG_PART+IV2MS+IV+NEG_PART
          VOC:	mA+t+Akul+$
        GLOSS:	not+you+eat+not

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P26W1
      OFFSETS:	0-2
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	express laugh

 INPUT STRING:	وماله
     IS_TRANS:	wmAlh
        INDEX:	P26W2
      OFFSETS:	3-8
       TOKENS:	P26W2-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(wimAluh)
          POS:	CONJ+INTERROG_PRON+PREP+PRON_3MS
          VOC:	wi+mA+li+uh
        GLOSS:	and+what+for/to+him

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P26W3
      OFFSETS:	9-10
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P27W1
      OFFSETS:	0-3
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	غلطان
     IS_TRANS:	glTAn
        INDEX:	P27W2
      OFFSETS:	4-9
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galoTAn_1]
   UNSPLITVOC:	(galoTAn)
          POS:	ADJ
          VOC:	galoTAn
        GLOSS:	wrong/erring

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P27W3
      OFFSETS:	9-10
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P28W1
      OFFSETS:	0-2
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P28W2
      OFFSETS:	3-6
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	زعلت
     IS_TRANS:	zElt
        INDEX:	P28W3
      OFFSETS:	7-11
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziEil_1]
   UNSPLITVOC:	(ziEilt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	ziEil+t
        GLOSS:	be angry+I

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P28W4
      OFFSETS:	11-12
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P29W1
      OFFSETS:	0-3
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P29W2
      OFFSETS:	4-7
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
        GLOSS:	said/say/be said/(for example)+I

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P29W3
      OFFSETS:	8-12
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P29W4
      OFFSETS:	14-15
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	صالحيني
     IS_TRANS:	SAlHyny
        INDEX:	P30W1
      OFFSETS:	0-7
       TOKENS:	P30W1-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAliH_1]
   UNSPLITVOC:	(SAloHiyniy)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:1S
          VOC:	SAloH+iy+niy
        GLOSS:	forgive+you+me

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P30W2
      OFFSETS:	7-8
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P31W1
      OFFSETS:	0-2
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P31W2
      OFFSETS:	3-5
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	بابا
     IS_TRANS:	bAbA
        INDEX:	P31W3
      OFFSETS:	6-10
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bAbA_1]
   UNSPLITVOC:	(bAbA)
          POS:	NOUN
          VOC:	bAb~A
        GLOSS:	Pope/daddy/father

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P31W4
      OFFSETS:	11-13
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بأصالح
     IS_TRANS:	b>SAlH
        INDEX:	P31W5
      OFFSETS:	14-20
       TOKENS:	P31W5-P31W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saliH_1]
   UNSPLITVOC:	(bAa>SAliH)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+>SAliH
        GLOSS:	[present-tense]+I+forgive

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P31W6
      OFFSETS:	21-23
       TOKENS:	P31W7-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	one

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P31W7
      OFFSETS:	24-27
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P31W8
      OFFSETS:	28-29
       TOKENS:	P31W9-P31W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P31W9
      OFFSETS:	30-33
       TOKENS:	P31W10-P31W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	اقول
     IS_TRANS:	Aqwl
        INDEX:	P31W10
      OFFSETS:	34-38
       TOKENS:	P31W11-P31W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl)
          POS:	IV1S+IV
          VOC:	Aa+quwl
        GLOSS:	I+said/say/be said/(for example)

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P31W11
      OFFSETS:	39-43
       TOKENS:	P31W12-P31W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P31W12
      OFFSETS:	44-48
       TOKENS:	P31W13-P31W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/begin/start/be/begin a new day

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P31W13
      OFFSETS:	49-53
       TOKENS:	P31W14-P31W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P31W14
      OFFSETS:	54-55
       TOKENS:	P31W15-P31W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P32W1
      OFFSETS:	0-4
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	شايفة
     IS_TRANS:	$Ayfp
        INDEX:	P32W2
      OFFSETS:	5-10
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayif~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$Ayif+ap
        GLOSS:	viewer/observer/onlooker+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P32W3
      OFFSETS:	11-14
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P32W4
      OFFSETS:	15-16
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P33W1
      OFFSETS:	0-2
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P33W2
      OFFSETS:	3-6
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P33W3
      OFFSETS:	7-9
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P33W4
      OFFSETS:	10-12
       TOKENS:	P33W4-P33W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P33W5
      OFFSETS:	13-15
       TOKENS:	P33W5-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	one

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P33W6
      OFFSETS:	16-17
       TOKENS:	P33W6-P33W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P34W1
      OFFSETS:	0-3
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P34W2
      OFFSETS:	4-7
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mnh)
          POS:	FOREIGN
          VOC:	mnh
        GLOSS:	nogloss

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P34W3
      OFFSETS:	8-10
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تزعلش
     IS_TRANS:	tzEl$
        INDEX:	P34W4
      OFFSETS:	11-16
       TOKENS:	P34W4-P34W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziEil_1]
   UNSPLITVOC:	(tizoEal$)
          POS:	IV2MS+IV+NEG_PART
          VOC:	ti+zoEal+$
        GLOSS:	you+be angry+not

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P35W1
      OFFSETS:	0-1
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P35W2
      OFFSETS:	2-6
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P35W3
      OFFSETS:	7-9
       TOKENS:	P35W3-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	زعلان
     IS_TRANS:	zElAn
        INDEX:	P35W4
      OFFSETS:	10-15
       TOKENS:	P35W4-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaEolAn_1]
   UNSPLITVOC:	(zaEolAn)
          POS:	ADJ
          VOC:	zaEolAn
        GLOSS:	angry/annoyed

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P35W5
      OFFSETS:	16-17
       TOKENS:	P35W5-P35W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P36W1
      OFFSETS:	0-4
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	express laugh

 INPUT STRING:	شكلك
     IS_TRANS:	$klk
        INDEX:	P36W2
      OFFSETS:	5-9
       TOKENS:	P36W2-P36W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	($akolik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	$akol+ik
        GLOSS:	manner/form/configuration/manners/types/forms/configurations+your

 INPUT STRING:	ليكي
     IS_TRANS:	lyky
        INDEX:	P36W3
      OFFSETS:	10-14
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lyky)
          POS:	FOREIGN
          VOC:	lyky
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P36W4
      OFFSETS:	15-17
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lA)
          POS:	FOREIGN
          VOC:	lA
