 INPUT STRING:	أتمنى
 INPUT STRING:	نصيبي
     IS_TRANS:	nSyby
        INDEX:	P23W35
      OFFSETS:	118-123
       TOKENS:	P23W40-P23W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSiyb_1]
   UNSPLITVOC:	(naSiybiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	naSiyb+iy
        GLOSS:	share/dividend/shares/dividends+my

